col_time_id,col_date,col_annee,col_mois,col_jour,col_heure,col_trimestre,col_semaine,col_nom_jour,col_saison,col_est_weekend,col_creneau_horaire,col_polluant,col_concentration,col_unite,col_station_poll,col_condition_meteo,col_temperature_celsius,col_ressentie_celsius,col_humidite_pourcent,col_pression_hpa,col_vitesse_vent_kmh,col_visibilite_km,col_precipitations_mm,col_indice_uv,col_qualite_air_locale,col_alerte_meteo,col_nom_zone,col_type_zone,col_indice_pollution,col_niveau_bruit_db,col_biodiversite_index,col_type_horaire_pointe
TIM_00001,2024-01-01 00:00:00,2024,4,10,10,5.57,9.84,5,2.36,OUI,5.08,SO2,2.22,1.59,9.69,Orage,7.29,4.61,5.52,2.63,3.47,4.04,8.76,8.41,5.22,5.38,ZAC Ouest,Parc Central,1.47,4.25,33,4.42
TIM_00002,2024-01-01 00:00:00,2024,4,3,13,8.31,4.73,16,9.30,NON,2.24,PM2.5,18.11,7.22,5.05,Nuageux,8.65,5.64,1.91,4.49,9.53,4.17,8.08,5.12,2.58,8.49,Parc Central,Zone Industrielle,3.91,1.09,84,9.56
TIM_00003,2024-01-01 00:00:00,2024,4,2,16,7.89,1.17,15,8.38,OUI,9.61,SO2,5.43,5.81,4.74,Pluie,2.65,7.83,4.36,8.90,8.88,9.33,5.59,7.95,6.20,4.14,ZAC Ouest,Résidentiel,7.24,8.29,100,8.04
TIM_00004,2024-01-01 00:00:00,2024,12,12,10,4.38,4.28,19,3.08,NON,4.18,CO2,26.14,6.88,2.66,Brouillard,5.19,5.80,7.86,5.33,4.73,3.81,1.20,9.50,3.03,3.19,Quartier Nord,Banlieue Sud,4.04,4.59,62,5.98
TIM_00005,2024-01-01 00:00:00,2024,5,2,10,7.40,8.86,3,9.10,OUI,5.00,NO2,46.48,4.63,2.36,Brouillard,8.49,2.09,1.06,6.70,1.68,6.01,6.37,7.95,1.77,5.24,Parc Central,Quartier Nord,8.82,7.11,70,3.89
TIM_00006,2024-01-01 00:00:00,2024,1,10,20,5.04,3.61,14,5.39,OUI,4.10,O3,8.55,7.83,7.22,Orage,2.08,1.60,5.41,8.78,3.75,6.14,7.87,1.44,2.52,3.21,Parc Central,Centre-Ville,7.00,2.16,88,3.95
TIM_00007,2024-01-01 00:00:00,2024,11,23,22,4.99,8.64,15,6.03,OUI,6.40,PM2.5,15.75,6.79,1.71,Soleil,3.40,8.43,8.78,5.19,2.44,9.71,7.65,9.88,7.41,8.89,Zone Industrielle,Zone Industrielle,6.69,6.28,40,4.31
TIM_00008,2024-01-01 00:00:00,2024,12,11,10,4.47,8.59,28,8.13,OUI,9.72,O3,16.50,3.54,7.66,Brouillard,8.07,4.42,2.40,6.95,7.10,6.88,9.09,8.22,2.44,9.62,Zone Industrielle,Zone Industrielle,5.99,4.37,84,4.86
TIM_00009,2024-01-01 00:00:00,2024,9,13,1,8.06,6.68,14,2.92,OUI,3.08,PM2.5,35.44,7.35,5.66,Nuageux,6.38,9.62,1.46,6.40,6.53,3.82,2.46,1.96,3.00,1.71,Résidentiel,Banlieue Sud,2.32,9.98,74,1.87
TIM_00010,2024-01-01 00:00:00,2024,2,9,22,7.74,5.98,21,8.02,OUI,8.20,PM2.5,5.76,2.62,4.33,Soleil,8.02,1.76,1.06,2.29,5.95,9.68,6.12,7.23,8.03,5.42,Zone Industrielle,Résidentiel,2.54,9.24,43,6.00
