col_stop_id,col_stop_nom,col_lat,col_lon,col_ville,col_zone_id,col_accessibilite,col_opened,col_station,col_lignes,col_trafic_journalier,col_trafic_annuel,col_nombre_correspondances,col_zone_tarifaire,col_source,col_date_maj,col_arret_id,col_nom_arret,col_type_arret,col_est_accessible_pmr,col_equipement_abri,col_equipement_affichage_temps_reel,col_latitude,col_longitude,col_commune
ARR_00001,Nom_1,48.612449,2.377300,Montpellier,00001,9.73,7.90,7.21,2.51,15,6.47,Nom_1,Banlieue Sud,SNCF_Open_Data,2024-01-01 00:00:00,00001,Nom_1,7.72,7.81,6.04,2.41,49.111067,2.438560,Bordeaux
ARR_00002,Nom_2,49.166558,2.579425,Nice,00002,1.02,8.01,6.96,3.45,15,4.38,Nom_2,Zone Industrielle,Data.gouv.fr,2024-01-01 00:00:00,00002,Nom_2,9.49,1.98,7.44,9.21,48.378640,2.350958,Toulouse
ARR_00003,Nom_3,48.809740,2.237590,Strasbourg,00003,9.78,2.66,8.05,4.71,1,9.88,Nom_3,Quartier Nord,AirParif_2024,2024-01-01 00:00:00,00003,Nom_3,2.66,6.72,5.37,6.60,48.623573,2.790750,Montpellier
ARR_00004,Nom_4,48.631873,2.824791,Toulouse,00004,8.17,4.36,8.55,2.53,20,7.45,Nom_4,Centre-Ville,RATP_Open_Data_2024,2024-01-01 00:00:00,00004,Nom_4,7.50,9.92,4.93,6.93,48.938207,2.258950,Lyon
ARR_00005,Nom_5,49.232625,2.293764,Marseille,00005,9.71,4.67,1.34,6.90,13,1.99,Nom_5,Résidentiel,AirParif_2024,2024-01-01 00:00:00,00005,Nom_5,2.46,2.56,1.73,4.86,48.827241,2.716761,Toulouse
ARR_00006,Nom_6,48.967042,2.506355,Nantes,00006,7.63,2.84,9.43,2.00,14,3.63,Nom_6,ZAC Ouest,Data.gouv.fr,2024-01-01 00:00:00,00006,Nom_6,7.23,1.32,2.46,6.28,49.028691,2.526269,Marseille
ARR_00007,Nom_7,48.426744,2.784152,Toulouse,00007,8.43,5.16,8.46,6.89,8,6.85,Nom_7,Parc Central,Meteo_France,2024-01-01 00:00:00,00007,Nom_7,1.12,7.99,3.09,5.00,49.057936,1.876578,Lyon
ARR_00008,Nom_8,48.446269,1.860373,Strasbourg,00008,9.66,8.42,7.12,2.45,1,4.97,Nom_8,Zone Industrielle,SNCF_Open_Data,2024-01-01 00:00:00,00008,Nom_8,8.35,1.72,6.48,6.37,48.417174,2.385629,Lille
ARR_00009,Nom_9,48.388393,2.713041,Nantes,00009,2.39,7.01,1.33,2.79,16,4.33,Nom_9,Zone Industrielle,RATP_Open_Data_2024,2024-01-01 00:00:00,00009,Nom_9,1.45,7.14,7.98,9.75,48.536323,2.846943,Marseille
ARR_00010,Nom_10,48.677359,2.292283,Lyon,00010,6.99,8.64,1.93,6.94,13,8.85,Nom_10,Centre-Ville,RATP_Open_Data_2024,2024-01-01 00:00:00,00010,Nom_10,2.21,2.89,6.40,8.76,49.042038,2.399030,Lyon
