col_securite_id,col_nom_zone,col_ville,col_niveau_securite,col_nbr_cameras,col_sentiment_securite,col_taux_delinquance,col_periodicite_patrouille,col_zone_couverte_camera,col_source,col_date_maj
SEC_00001,Parc Central,Lyon,Élevé,12,1.74,4.84,3.82,Parc Central,Meteo_France,2024-01-01 00:00:00
SEC_00002,Zone Industrielle,Lille,Élevé,58,9.15,1.93,8.37,Zone Industrielle,AirParif_2024,2024-01-01 00:00:00
SEC_00003,Centre-Ville,Lille,Critique,61,8.85,7.68,6.08,Quartier Nord,RATP_Open_Data_2024,2024-01-01 00:00:00
SEC_00004,Résidentiel,Nantes,Critique,65,3.42,5.72,4.13,Quartier Nord,AirParif_2024,2024-01-01 00:00:00
SEC_00005,Zone Industrielle,Bordeaux,Critique,29,3.86,6.31,7.25,Centre-Ville,RATP_Open_Data_2024,2024-01-01 00:00:00
SEC_00006,ZAC Ouest,Toulouse,Élevé,64,7.80,4.28,1.80,Banlieue Sud,Data.gouv.fr,2024-01-01 00:00:00
SEC_00007,Zone Industrielle,Lille,Modéré,61,6.31,2.64,6.01,Zone Industrielle,Data.gouv.fr,2024-01-01 00:00:00
SEC_00008,Centre-Ville,Marseille,Faible,20,3.36,5.84,3.80,Banlieue Sud,AirParif_2024,2024-01-01 00:00:00
SEC_00009,ZAC Ouest,Toulouse,Faible,56,5.47,4.86,1.32,Centre-Ville,SNCF_Open_Data,2024-01-01 00:00:00
SEC_00010,Parc Central,Nantes,Élevé,98,5.44,5.89,8.24,Centre-Ville,AirParif_2024,2024-01-01 00:00:00
SEC_00011,Banlieue Sud,Toulouse,Élevé,54,6.09,2.89,1.44,Banlieue Sud,AirParif_2024,2024-01-01 00:00:00
SEC_00012,ZAC Ouest,Marseille,Faible,75,5.78,7.56,3.27,Parc Central,AirParif_2024,2024-01-01 00:00:00
SEC_00013,Zone Industrielle,Nice,Modéré,82,6.50,2.79,6.62,Quartier Nord,SNCF_Open_Data,2024-01-01 00:00:00
SEC_00014,Centre-Ville,Toulouse,Faible,68,2.40,7.22,9.84,Quartier Nord,SNCF_Open_Data,2024-01-01 00:00:00
SEC_00015,ZAC Ouest,Strasbourg,Faible,74,9.28,7.16,2.53,ZAC Ouest,AirParif_2024,2024-01-01 00:00:00
SEC_00016,ZAC Ouest,Montpellier,Faible,51,7.07,5.40,1.89,Résidentiel,Data.gouv.fr,2024-01-01 00:00:00
SEC_00017,Parc Central,Nice,Modéré,12,3.90,9.61,1.54,Parc Central,AirParif_2024,2024-01-01 00:00:00
SEC_00018,Centre-Ville,Toulouse,Modéré,29,3.94,9.87,4.79,Zone Industrielle,RATP_Open_Data_2024,2024-01-01 00:00:00
SEC_00019,Zone Industrielle,Montpellier,Modéré,33,1.89,7.23,8.08,ZAC Ouest,AirParif_2024,2024-01-01 00:00:00
SEC_00020,Zone Industrielle,Strasbourg,Élevé,53,8.27,3.39,9.53,Quartier Nord,AirParif_2024,2024-01-01 00:00:00
SEC_00021,Banlieue Sud,Montpellier,Modéré,83,7.47,7.76,8.45,Résidentiel,AirParif_2024,2024-01-01 00:00:00
SEC_00022,Résidentiel,Montpellier,Élevé,58,4.79,2.71,8.07,Centre-Ville,RATP_Open_Data_2024,2024-01-01 00:00:00
SEC_00023,Quartier Nord,Lyon,Faible,87,7.27,7.23,9.00,Résidentiel,Meteo_France,2024-01-01 00:00:00
SEC_00024,Centre-Ville,Strasbourg,Critique,23,3.80,1.10,7.73,Centre-Ville,RATP_Open_Data_2024,2024-01-01 00:00:00
SEC_00025,ZAC Ouest,Lille,Élevé,80,7.18,3.59,2.25,Banlieue Sud,Meteo_France,2024-01-01 00:00:00
SEC_00026,ZAC Ouest,Strasbourg,Critique,35,5.99,4.24,9.11,Résidentiel,SNCF_Open_Data,2024-01-01 00:00:00
SEC_00027,Zone Industrielle,Lyon,Faible,2,1.45,7.43,2.60,Quartier Nord,Data.gouv.fr,2024-01-01 00:00:00
SEC_00028,Banlieue Sud,Strasbourg,Faible,27,5.43,8.14,7.81,Zone Industrielle,Data.gouv.fr,2024-01-01 00:00:00
SEC_00029,Quartier Nord,Marseille,Modéré,12,5.34,1.95,9.96,Zone Industrielle,RATP_Open_Data_2024,2024-01-01 00:00:00
SEC_00030,Résidentiel,Montpellier,Faible,67,1.36,2.01,8.06,Centre-Ville,Meteo_France,2024-01-01 00:00:00
SEC_00031,Quartier Nord,Bordeaux,Critique,32,2.74,1.04,6.14,Résidentiel,SNCF_Open_Data,2024-01-01 00:00:00
SEC_00032,Banlieue Sud,Montpellier,Modéré,21,9.70,7.21,3.09,Banlieue Sud,AirParif_2024,2024-01-01 00:00:00
SEC_00033,Banlieue Sud,Strasbourg,Faible,91,6.28,5.73,1.33,Parc Central,RATP_Open_Data_2024,2024-01-01 00:00:00
SEC_00034,Résidentiel,Montpellier,Faible,57,8.62,2.97,2.08,Quartier Nord,AirParif_2024,2024-01-01 00:00:00
SEC_00035,Parc Central,Nice,Critique,40,4.39,5.09,9.74,Quartier Nord,Meteo_France,2024-01-01 00:00:00
SEC_00036,ZAC Ouest,Strasbourg,Faible,1,8.35,4.71,1.71,Quartier Nord,RATP_Open_Data_2024,2024-01-01 00:00:00
SEC_00037,Banlieue Sud,Paris,Critique,16,4.75,7.59,7.03,Centre-Ville,AirParif_2024,2024-01-01 00:00:00
SEC_00038,Centre-Ville,Toulouse,Faible,98,5.47,4.57,2.06,Résidentiel,Meteo_France,2024-01-01 00:00:00
SEC_00039,Centre-Ville,Nantes,Faible,5,1.82,3.81,6.84,Parc Central,RATP_Open_Data_2024,2024-01-01 00:00:00
SEC_00040,Centre-Ville,Marseille,Élevé,15,8.22,5.00,4.59,Résidentiel,Data.gouv.fr,2024-01-01 00:00:00
SEC_00041,Quartier Nord,Toulouse,Modéré,13,8.01,9.46,3.08,Banlieue Sud,AirParif_2024,2024-01-01 00:00:00
SEC_00042,Zone Industrielle,Marseille,Critique,54,2.08,7.37,1.03,Quartier Nord,Meteo_France,2024-01-01 00:00:00
SEC_00043,Centre-Ville,Lyon,Critique,45,3.53,7.70,1.41,Quartier Nord,Data.gouv.fr,2024-01-01 00:00:00
SEC_00044,Quartier Nord,Marseille,Critique,17,1.60,3.66,5.52,Zone Industrielle,Meteo_France,2024-01-01 00:00:00
SEC_00045,Zone Industrielle,Lille,Élevé,97,5.14,9.54,7.19,ZAC Ouest,Data.gouv.fr,2024-01-01 00:00:00
SEC_00046,Centre-Ville,Nice,Critique,75,4.83,9.77,6.28,Banlieue Sud,Meteo_France,2024-01-01 00:00:00
SEC_00047,Centre-Ville,Montpellier,Faible,93,7.43,6.01,2.57,Parc Central,AirParif_2024,2024-01-01 00:00:00
SEC_00048,Résidentiel,Bordeaux,Faible,91,6.31,2.43,4.52,Zone Industrielle,RATP_Open_Data_2024,2024-01-01 00:00:00
SEC_00049,Quartier Nord,Bordeaux,Critique,45,6.55,6.63,8.67,Zone Industrielle,SNCF_Open_Data,2024-01-01 00:00:00
SEC_00050,Zone Industrielle,Toulouse,Faible,73,8.25,1.52,6.84,Quartier Nord,AirParif_2024,2024-01-01 00:00:00
SEC_00051,Quartier Nord,Lyon,Critique,48,2.56,9.75,1.83,Parc Central,Data.gouv.fr,2024-01-01 00:00:00
SEC_00052,Quartier Nord,Nice,Critique,83,4.34,7.96,2.85,Résidentiel,Meteo_France,2024-01-01 00:00:00
SEC_00053,ZAC Ouest,Montpellier,Critique,45,7.48,4.46,1.41,Banlieue Sud,Data.gouv.fr,2024-01-01 00:00:00
SEC_00054,Centre-Ville,Strasbourg,Élevé,69,2.54,6.23,9.68,Banlieue Sud,SNCF_Open_Data,2024-01-01 00:00:00
SEC_00055,ZAC Ouest,Strasbourg,Élevé,92,7.23,3.56,1.51,ZAC Ouest,RATP_Open_Data_2024,2024-01-01 00:00:00
SEC_00056,Résidentiel,Marseille,Modéré,58,6.71,5.45,9.39,Résidentiel,RATP_Open_Data_2024,2024-01-01 00:00:00
SEC_00057,Banlieue Sud,Marseille,Élevé,95,4.96,8.33,2.70,Zone Industrielle,AirParif_2024,2024-01-01 00:00:00
SEC_00058,Parc Central,Strasbourg,Modéré,75,9.79,5.38,2.84,Résidentiel,AirParif_2024,2024-01-01 00:00:00
SEC_00059,Zone Industrielle,Bordeaux,Modéré,68,6.05,8.18,3.24,Résidentiel,RATP_Open_Data_2024,2024-01-01 00:00:00
SEC_00060,Zone Industrielle,Lyon,Modéré,25,9.42,4.09,4.66,Centre-Ville,Data.gouv.fr,2024-01-01 00:00:00
SEC_00061,Banlieue Sud,Strasbourg,Faible,23,5.21,2.40,7.15,Banlieue Sud,AirParif_2024,2024-01-01 00:00:00
SEC_00062,Quartier Nord,Nantes,Élevé,37,1.43,7.68,3.36,Banlieue Sud,Meteo_France,2024-01-01 00:00:00
SEC_00063,Zone Industrielle,Lyon,Élevé,58,5.47,8.05,9.00,Zone Industrielle,SNCF_Open_Data,2024-01-01 00:00:00
SEC_00064,ZAC Ouest,Paris,Critique,4,2.22,1.01,9.92,Centre-Ville,Data.gouv.fr,2024-01-01 00:00:00
SEC_00065,ZAC Ouest,Nice,Faible,60,7.90,8.76,1.47,ZAC Ouest,Meteo_France,2024-01-01 00:00:00
SEC_00066,ZAC Ouest,Lille,Élevé,52,8.83,6.24,8.33,ZAC Ouest,Meteo_France,2024-01-01 00:00:00
SEC_00067,Centre-Ville,Toulouse,Élevé,33,3.22,2.91,2.66,ZAC Ouest,AirParif_2024,2024-01-01 00:00:00
SEC_00068,ZAC Ouest,Montpellier,Élevé,33,1.06,9.66,6.78,Centre-Ville,Meteo_France,2024-01-01 00:00:00
SEC_00069,Zone Industrielle,Paris,Faible,8,1.64,8.90,7.40,ZAC Ouest,Data.gouv.fr,2024-01-01 00:00:00
SEC_00070,Quartier Nord,Nantes,Élevé,59,8.52,9.88,9.31,Banlieue Sud,SNCF_Open_Data,2024-01-01 00:00:00
SEC_00071,Quartier Nord,Marseille,Faible,8,8.09,2.39,4.86,Parc Central,Data.gouv.fr,2024-01-01 00:00:00
SEC_00072,Banlieue Sud,Lille,Critique,25,6.54,2.35,8.02,Parc Central,SNCF_Open_Data,2024-01-01 00:00:00
SEC_00073,ZAC Ouest,Lyon,Critique,96,8.72,3.74,5.76,Parc Central,SNCF_Open_Data,2024-01-01 00:00:00
SEC_00074,Quartier Nord,Bordeaux,Faible,38,3.26,1.94,1.23,Quartier Nord,SNCF_Open_Data,2024-01-01 00:00:00
SEC_00075,Centre-Ville,Paris,Modéré,100,6.94,7.07,2.41,Centre-Ville,AirParif_2024,2024-01-01 00:00:00
SEC_00076,ZAC Ouest,Lille,Faible,80,6.63,3.95,9.67,Résidentiel,SNCF_Open_Data,2024-01-01 00:00:00
SEC_00077,Résidentiel,Lyon,Critique,94,4.85,6.70,3.29,Résidentiel,RATP_Open_Data_2024,2024-01-01 00:00:00
SEC_00078,Centre-Ville,Bordeaux,Critique,66,9.05,3.98,8.07,ZAC Ouest,RATP_Open_Data_2024,2024-01-01 00:00:00
SEC_00079,Quartier Nord,Bordeaux,Critique,15,9.27,7.70,8.24,Centre-Ville,Data.gouv.fr,2024-01-01 00:00:00
SEC_00080,Centre-Ville,Marseille,Modéré,10,9.00,5.68,1.58,Quartier Nord,SNCF_Open_Data,2024-01-01 00:00:00
SEC_00081,ZAC Ouest,Nantes,Critique,58,8.67,9.55,7.81,Quartier Nord,Meteo_France,2024-01-01 00:00:00
SEC_00082,Banlieue Sud,Nice,Modéré,92,6.65,2.39,1.40,Résidentiel,SNCF_Open_Data,2024-01-01 00:00:00
SEC_00083,Banlieue Sud,Bordeaux,Faible,95,1.56,4.74,1.21,Centre-Ville,Meteo_France,2024-01-01 00:00:00
SEC_00084,Résidentiel,Nice,Faible,8,6.51,5.98,5.90,ZAC Ouest,Meteo_France,2024-01-01 00:00:00
SEC_00085,Banlieue Sud,Nantes,Élevé,84,8.04,7.77,5.41,Centre-Ville,Meteo_France,2024-01-01 00:00:00
SEC_00086,Parc Central,Toulouse,Modéré,45,2.40,4.52,5.14,Parc Central,RATP_Open_Data_2024,2024-01-01 00:00:00
SEC_00087,Résidentiel,Toulouse,Élevé,88,9.18,8.84,4.84,Résidentiel,AirParif_2024,2024-01-01 00:00:00
SEC_00088,Résidentiel,Bordeaux,Critique,27,6.58,7.10,3.96,Résidentiel,AirParif_2024,2024-01-01 00:00:00
SEC_00089,Résidentiel,Marseille,Critique,74,1.12,1.07,6.65,Banlieue Sud,RATP_Open_Data_2024,2024-01-01 00:00:00
SEC_00090,ZAC Ouest,Strasbourg,Critique,13,6.56,4.54,7.00,Quartier Nord,SNCF_Open_Data,2024-01-01 00:00:00
SEC_00091,Banlieue Sud,Toulouse,Critique,47,1.17,9.99,2.50,Quartier Nord,RATP_Open_Data_2024,2024-01-01 00:00:00
SEC_00092,Centre-Ville,Toulouse,Modéré,25,3.32,6.61,9.69,Résidentiel,Meteo_France,2024-01-01 00:00:00
