col_segment_id,col_line_id,col_stop_id_from,col_stop_id_to,col_distance_m,col_temps_theorique_s,col_segment_id_line_id_stop_from,col_stop_to,col_dist_m_t_theo,col_stop_from,col_dist_m,col_t_theo,col_nom_rue,col_type_route,col_vitesse_limite,col_nb_voies,col_longueur_m,col_sens_unique,col_date_maj
SEG_00001,00001,00001,00001,1.87,4.85,00001,8.45,7.29,4.25,5.23,9.69,Nom_1,5.44,7.51,9.81,2.048118,7.60,2024-01-01 00:00:00
SEG_00002,00002,00002,00002,7.58,5.32,00002,1.95,3.98,8.96,9.61,4.24,Nom_2,7.14,5.97,9.55,2.224388,2.80,2024-01-01 00:00:00
SEG_00003,00003,00003,00003,7.66,3.47,00003,3.43,7.77,7.50,1.11,8.95,Nom_3,7.77,6.30,6.85,2.086917,1.18,2024-01-01 00:00:00
SEG_00004,00004,00004,00004,4.34,5.56,00004,7.22,3.10,4.60,6.61,5.51,Nom_4,3.58,9.05,5.36,2.543126,7.77,2024-01-01 00:00:00
SEG_00005,00005,00005,00005,2.51,2.96,00005,6.95,4.01,6.76,1.29,9.13,Nom_5,6.47,2.16,5.85,2.009797,7.02,2024-01-01 00:00:00
SEG_00006,00006,00006,00006,8.05,5.58,00006,6.50,2.89,4.45,1.80,3.44,Nom_6,1.50,1.76,5.23,2.191851,8.26,2024-01-01 00:00:00
SEG_00007,00007,00007,00007,1.77,4.57,00007,9.41,7.88,6.16,1.75,9.81,Nom_7,7.98,3.32,9.82,2.699045,2.57,2024-01-01 00:00:00
SEG_00008,00008,00008,00008,3.53,3.34,00008,6.58,1.88,6.15,4.32,8.55,Nom_8,9.66,7.63,4.00,2.458581,5.38,2024-01-01 00:00:00
SEG_00009,00009,00009,00009,5.17,7.23,00009,5.57,5.09,7.88,9.38,3.73,Nom_9,2.38,9.27,4.27,2.559587,9.28,2024-01-01 00:00:00
SEG_00010,00010,00010,00010,3.23,1.84,00010,2.57,5.04,4.64,2.17,4.76,Nom_10,6.58,6.98,6.76,2.585061,3.82,2024-01-01 00:00:00
SEG_00011,00011,00011,00011,7.71,2.74,00011,6.38,9.24,2.89,5.60,2.74,Nom_11,4.29,9.72,3.75,2.039946,6.76,2024-01-01 00:00:00
SEG_00012,00012,00012,00012,3.09,5.43,00012,9.52,8.80,3.15,4.07,2.73,Nom_12,8.47,9.93,6.99,1.910532,1.01,2024-01-01 00:00:00
SEG_00013,00013,00013,00013,8.26,3.48,00013,9.97,1.92,9.53,6.69,1.37,Nom_13,9.61,7.28,3.34,2.533735,6.59,2024-01-01 00:00:00
SEG_00014,00014,00014,00014,2.75,2.41,00014,2.22,8.14,8.48,1.64,2.67,Nom_14,8.57,5.21,9.57,1.999284,8.64,2024-01-01 00:00:00
SEG_00015,00015,00015,00015,3.84,7.50,00015,9.26,4.03,7.51,8.93,8.53,Nom_15,2.50,3.21,9.74,2.472166,3.26,2024-01-01 00:00:00
SEG_00016,00016,00016,00016,7.82,5.85,00016,8.84,6.12,1.25,3.93,2.94,Nom_16,5.77,8.76,7.73,2.294979,7.37,2024-01-01 00:00:00
SEG_00017,00017,00017,00017,1.22,9.47,00017,5.60,3.67,5.54,7.36,7.87,Nom_17,4.47,2.10,1.91,2.658658,4.23,2024-01-01 00:00:00
SEG_00018,00018,00018,00018,8.06,2.51,00018,1.18,5.54,8.17,3.27,4.77,Nom_18,8.05,3.07,9.71,2.073061,8.62,2024-01-01 00:00:00
SEG_00019,00019,00019,00019,4.49,9.05,00019,4.15,1.09,4.46,7.18,9.60,Nom_19,8.39,6.38,2.36,2.553102,8.40,2024-01-01 00:00:00
SEG_00020,00020,00020,00020,2.22,3.33,00020,6.78,8.28,2.99,3.34,7.86,Nom_20,5.82,1.10,4.62,2.441898,5.11,2024-01-01 00:00:00
SEG_00021,00021,00021,00021,1.06,5.70,00021,6.52,7.50,1.96,2.97,5.48,Nom_21,7.45,9.32,9.22,2.579672,1.82,2024-01-01 00:00:00
SEG_00022,00022,00022,00022,8.22,5.85,00022,9.01,4.01,2.37,8.38,9.30,Nom_22,2.18,2.73,8.95,1.869944,6.47,2024-01-01 00:00:00
SEG_00023,00023,00023,00023,5.88,4.55,00023,8.16,8.32,8.21,9.30,7.83,Nom_23,8.86,7.10,2.37,2.538030,5.51,2024-01-01 00:00:00
SEG_00024,00024,00024,00024,9.08,4.47,00024,3.23,6.20,4.23,2.18,4.41,Nom_24,5.53,7.15,5.18,2.821368,6.91,2024-01-01 00:00:00
SEG_00025,00025,00025,00025,4.45,1.01,00025,5.94,7.51,2.19,9.19,5.69,Nom_25,2.83,6.77,6.26,2.295343,3.43,2024-01-01 00:00:00
SEG_00026,00026,00026,00026,9.91,1.34,00026,9.07,2.68,9.75,4.22,6.02,Nom_26,3.76,3.76,7.27,2.699831,2.00,2024-01-01 00:00:00
SEG_00027,00027,00027,00027,7.32,6.08,00027,2.28,5.22,9.88,3.10,2.52,Nom_27,1.51,8.24,6.57,2.263732,9.35,2024-01-01 00:00:00
SEG_00028,00028,00028,00028,2.43,3.42,00028,4.17,1.35,8.04,4.89,9.52,Nom_28,3.96,2.69,1.36,2.376745,7.75,2024-01-01 00:00:00
SEG_00029,00029,00029,00029,1.04,4.40,00029,3.37,8.38,7.61,7.69,3.30,Nom_29,2.96,7.83,8.68,2.000218,2.33,2024-01-01 00:00:00
SEG_00030,00030,00030,00030,1.60,1.88,00030,3.66,8.43,5.06,1.48,8.67,Nom_30,9.36,7.49,1.54,2.534590,5.82,2024-01-01 00:00:00
SEG_00031,00031,00031,00031,7.04,1.04,00031,6.27,9.22,1.47,6.26,7.67,Nom_31,7.13,3.91,7.38,2.101793,6.77,2024-01-01 00:00:00
SEG_00032,00032,00032,00032,6.14,6.26,00032,2.71,6.76,8.70,4.73,8.36,Nom_32,8.88,3.07,6.58,2.651862,5.12,2024-01-01 00:00:00
SEG_00033,00033,00033,00033,5.77,5.84,00033,4.85,6.07,2.59,6.55,6.45,Nom_33,6.83,9.65,8.62,2.304676,1.33,2024-01-01 00:00:00
SEG_00034,00034,00034,00034,4.39,3.77,00034,1.22,9.07,5.46,1.53,9.31,Nom_34,9.31,3.33,6.14,2.848961,5.73,2024-01-01 00:00:00
SEG_00035,00035,00035,00035,8.22,4.12,00035,9.15,5.85,6.72,3.20,5.31,Nom_35,8.21,6.95,5.09,2.026391,3.30,2024-01-01 00:00:00
SEG_00036,00036,00036,00036,6.53,7.33,00036,2.13,4.38,6.58,1.82,5.52,Nom_36,7.12,9.63,7.90,2.205367,7.86,2024-01-01 00:00:00
SEG_00037,00037,00037,00037,7.74,6.98,00037,5.88,6.74,5.86,5.31,5.09,Nom_37,4.94,6.71,9.35,2.790656,9.86,2024-01-01 00:00:00
SEG_00038,00038,00038,00038,6.25,7.52,00038,8.63,7.92,3.68,5.87,7.78,Nom_38,7.26,5.97,6.60,2.697268,8.33,2024-01-01 00:00:00
SEG_00039,00039,00039,00039,4.30,2.48,00039,6.72,4.25,6.20,3.47,3.86,Nom_39,8.11,8.05,5.83,2.234994,4.00,2024-01-01 00:00:00
SEG_00040,00040,00040,00040,2.22,8.11,00040,7.46,2.14,3.88,3.44,3.51,Nom_40,2.19,7.28,2.69,2.785203,2.76,2024-01-01 00:00:00
SEG_00041,00041,00041,00041,5.40,5.18,00041,9.93,3.66,5.94,7.77,1.75,Nom_41,8.80,4.02,2.01,2.084263,3.38,2024-01-01 00:00:00
