col_mode_environnement_id,col_code_mode,col_nom_mode,col_type_mode,col_est_electrique,col_emission_factor_co2_gkm,col_type_energie,col_cout_energie_eur_km,col_efficacite_energetique,col_annee,col_pays,col_type_vehicule,col_pourcentage_parc,col_nombre_vehicules,col_emissions_co2_moyennes,col_source
MDE_00001,Velo,TER,RER,8.57,5.13,2.26,4.99,2.76,2024,4.68,3.40,6.96,Nom_1,7.05,RATP_Open_Data_2024
MDE_00002,Métro,Bus,TGV,7.24,6.87,2.71,5.66,5.89,2024,3.49,1.64,1.08,Nom_2,4.09,SNCF_Open_Data
MDE_00003,Tramway,Bus,Métro,1.44,9.70,2.05,2.11,9.62,2024,9.64,2.28,4.49,Nom_3,5.42,Data.gouv.fr
MDE_00004,TER,TER,Velo,8.04,5.70,9.17,6.92,5.94,2024,9.88,9.55,8.05,Nom_4,7.66,Meteo_France
MDE_00005,Bus,Métro,Tramway,8.31,5.90,4.24,4.36,1.57,2024,7.84,1.03,8.15,Nom_5,8.85,AirParif_2024
MDE_00006,Bus,RER,Métro,4.75,5.99,2.35,7.06,4.00,2024,2.48,1.94,7.08,Nom_6,2.15,Meteo_France
MDE_00007,TER,Velo,Métro,2.10,3.92,4.89,5.38,1.93,2024,9.82,3.80,4.79,Nom_7,7.50,AirParif_2024
MDE_00008,Métro,Métro,RER,6.37,8.67,5.73,7.06,5.66,2024,6.05,1.16,3.08,Nom_8,2.53,Data.gouv.fr
MDE_00009,Velo,Velo,Bus,2.05,4.72,3.90,2.33,3.30,2024,7.79,8.75,6.58,Nom_9,8.51,AirParif_2024
MDE_00010,RER,Velo,Tramway,8.06,2.08,8.50,1.00,8.49,2024,2.21,9.95,5.05,Nom_10,2.68,Meteo_France
MDE_00011,RER,Velo,TER,4.33,4.77,5.44,5.04,1.95,2024,9.75,4.77,8.77,Nom_11,9.64,Data.gouv.fr
MDE_00012,RER,RER,Bus,2.55,8.33,8.44,4.21,3.60,2024,8.09,5.76,6.22,Nom_12,1.67,Data.gouv.fr
MDE_00013,Bus,RER,Bus,7.39,7.50,2.80,4.08,2.72,2024,9.71,1.36,7.72,Nom_13,4.20,RATP_Open_Data_2024
MDE_00014,RER,RER,Velo,2.11,9.95,7.75,7.19,2.75,2024,2.28,4.27,4.04,Nom_14,9.19,AirParif_2024
MDE_00015,Bus,Métro,Bus,7.86,7.64,4.79,5.54,9.93,2024,4.03,5.73,4.76,Nom_15,7.73,RATP_Open_Data_2024
MDE_00016,TER,TGV,TGV,6.14,3.78,2.34,2.01,3.74,2024,1.49,5.05,8.97,Nom_16,6.89,AirParif_2024
MDE_00017,TGV,Tramway,Métro,2.68,9.72,6.10,8.73,9.94,2024,9.14,2.31,7.15,Nom_17,2.31,RATP_Open_Data_2024
MDE_00018,RER,Métro,Velo,9.77,1.07,4.36,2.10,5.76,2024,5.49,8.86,2.60,Nom_18,5.30,Meteo_France
MDE_00019,Bus,Tramway,RER,7.56,3.56,8.24,4.65,9.14,2024,2.98,2.91,3.82,Nom_19,2.94,AirParif_2024
MDE_00020,TER,Tramway,Bus,6.40,3.88,1.08,5.28,1.67,2024,2.11,7.34,1.99,Nom_20,8.89,RATP_Open_Data_2024
MDE_00021,TGV,Métro,Tramway,6.57,4.55,1.52,2.30,2.99,2024,4.74,7.11,3.33,Nom_21,4.15,Meteo_France
MDE_00022,Tramway,RER,Velo,3.76,1.37,5.62,5.87,6.79,2024,9.04,9.44,9.79,Nom_22,1.01,Meteo_France
MDE_00023,RER,Bus,Tramway,9.37,5.22,6.61,0.81,5.99,2024,7.81,6.13,3.44,Nom_23,5.52,Meteo_France
MDE_00024,TGV,Métro,Métro,6.98,9.51,7.10,2.34,2.90,2024,8.62,9.19,4.18,Nom_24,8.09,Meteo_France
MDE_00025,RER,Bus,TGV,8.12,1.61,1.62,7.17,5.41,2024,6.26,7.75,7.46,Nom_25,7.82,SNCF_Open_Data
MDE_00026,RER,Tramway,Métro,1.30,4.89,8.03,2.22,2.02,2024,4.44,1.11,5.53,Nom_26,7.34,RATP_Open_Data_2024
MDE_00027,Tramway,Tramway,Bus,9.12,4.60,8.25,6.48,4.76,2024,7.77,7.65,5.84,Nom_27,4.14,SNCF_Open_Data
MDE_00028,Métro,RER,Velo,3.05,5.48,2.59,3.37,7.09,2024,4.96,7.07,4.70,Nom_28,8.80,RATP_Open_Data_2024
MDE_00029,TER,Tramway,Tramway,7.59,4.40,9.51,5.98,2.83,2024,5.90,3.01,4.18,Nom_29,2.55,Meteo_France
MDE_00030,Métro,Bus,TGV,7.93,8.12,2.18,5.10,9.50,2024,7.03,8.01,8.05,Nom_30,2.57,RATP_Open_Data_2024
MDE_00031,TER,TER,Velo,5.26,5.17,4.02,2.20,9.93,2024,4.47,6.58,4.22,Nom_31,9.16,Data.gouv.fr
MDE_00032,TGV,Bus,RER,1.46,3.53,1.24,1.01,4.22,2024,1.48,8.66,1.23,Nom_32,3.22,AirParif_2024
MDE_00033,Bus,TER,Bus,8.15,1.83,9.03,4.10,7.84,2024,7.27,6.96,5.02,Nom_33,4.60,Meteo_France
MDE_00034,Tramway,Velo,Tramway,9.03,4.11,6.95,3.36,9.04,2024,5.16,9.70,7.85,Nom_34,2.62,Meteo_France
MDE_00035,RER,TER,Velo,3.05,2.85,6.86,3.47,5.24,2024,1.70,6.41,1.68,Nom_35,4.20,SNCF_Open_Data
MDE_00036,Bus,TGV,Velo,3.05,6.90,6.72,7.73,3.98,2024,5.01,2.47,1.93,Nom_36,9.64,SNCF_Open_Data
MDE_00037,Métro,Bus,TGV,2.44,3.96,6.81,3.17,7.22,2024,1.43,2.97,5.80,Nom_37,1.97,RATP_Open_Data_2024
MDE_00038,Métro,Velo,Métro,4.29,5.72,1.72,9.20,9.67,2024,1.84,1.68,1.30,Nom_38,5.05,AirParif_2024
MDE_00039,TGV,Tramway,TGV,1.47,7.15,9.61,3.11,8.16,2024,7.53,9.47,4.54,Nom_39,3.65,SNCF_Open_Data
MDE_00040,RER,Velo,Velo,7.62,7.00,9.81,8.93,8.45,2024,3.94,4.84,1.77,Nom_40,7.02,AirParif_2024
MDE_00041,TER,Métro,TGV,2.05,6.22,3.83,0.61,5.07,2024,3.32,9.53,2.94,Nom_41,2.46,AirParif_2024
MDE_00042,TGV,Métro,Métro,1.64,8.01,2.77,5.59,1.35,2024,1.67,9.01,1.44,Nom_42,2.44,SNCF_Open_Data
MDE_00043,Velo,Tramway,TER,1.49,1.84,7.10,7.12,6.32,2024,3.52,3.41,2.75,Nom_43,9.72,Data.gouv.fr
