col_accident_id,col_time_id,col_zone_id,col_lat,col_lon,col_type,col_gravite,col_usager_vulnerable,col_gravite_estimee,col_date_enrichissement
ID_000,ID_000,ID_000,47.609338,0.202318,1.9,1.29,2.76,2024-06-14 00:00:00,2024-03-15 00:00:00
ID_001,ID_001,ID_001,49.815312,-0.239407,2.14,8.64,1.64,2024-12-02 00:00:00,2024-05-14 00:00:00
ID_002,ID_002,ID_002,44.916547,3.158656,1.93,7.81,7.29,2024-03-17 00:00:00,2024-08-02 00:00:00
ID_003,ID_003,ID_003,49.375932,3.170017,4.63,1.26,7.68,2024-09-25 00:00:00,2024-03-23 00:00:00
ID_004,ID_004,ID_004,50.064204,5.356701,4.98,2.12,4.43,2024-04-02 00:00:00,2024-07-13 00:00:00
ID_005,ID_005,ID_005,52.698855,0.233342,7.55,6.27,7.96,2024-12-18 00:00:00,2024-05-03 00:00:00
ID_006,ID_006,ID_006,50.735873,4.358914,3.13,2.1,2.53,2024-03-14 00:00:00,2024-03-26 00:00:00
ID_007,ID_007,ID_007,50.44585,-1.435285,7.46,7.48,2.55,2024-05-07 00:00:00,2024-07-16 00:00:00
ID_008,ID_008,ID_008,51.697843,-1.467773,6.04,4.77,3.36,2024-10-21 00:00:00,2024-12-26 00:00:00
ID_009,ID_009,ID_009,51.904594,3.538591,4.66,8.33,4.52,2024-07-14 00:00:00,2024-11-16 00:00:00
ID_010,ID_010,ID_010,47.323368,-0.015993,6.14,4.57,2.21,2024-04-12 00:00:00,2024-02-25 00:00:00
ID_011,ID_011,ID_011,49.043705,-0.576065,4.03,2.64,3.83,2024-01-06 00:00:00,2024-04-05 00:00:00
ID_012,ID_012,ID_012,48.928392,2.1837,6.43,1.73,6.53,2024-01-03 00:00:00,2024-04-10 00:00:00
ID_013,ID_013,ID_013,52.788158,4.655717,5.8,2.96,3.82,2024-05-07 00:00:00,2024-08-27 00:00:00
ID_014,ID_014,ID_014,46.624509,6.04151,4.51,6.14,7.62,2024-09-15 00:00:00,2024-05-11 00:00:00
ID_015,ID_015,ID_015,45.233756,4.100777,8.07,1.54,7.52,2024-10-23 00:00:00,2024-12-12 00:00:00
ID_016,ID_016,ID_016,51.937101,5.227687,8.55,7.01,1.58,2024-05-28 00:00:00,2024-10-21 00:00:00
ID_017,ID_017,ID_017,49.255779,0.074789,3.95,5.65,4.65,2024-09-11 00:00:00,2024-07-05 00:00:00
ID_018,ID_018,ID_018,48.956119,1.265688,4.51,1.29,6.9,2024-10-13 00:00:00,2024-09-03 00:00:00
ID_019,ID_019,ID_019,52.806148,3.466992,1.36,2.69,8.24,2024-06-03 00:00:00,2024-07-19 00:00:00
ID_020,ID_020,ID_020,49.838787,-1.458997,3.88,6.15,5.92,2024-04-04 00:00:00,2024-04-28 00:00:00
ID_021,ID_021,ID_021,49.623746,3.353846,5.91,5.95,3.06,2024-02-18 00:00:00,2024-08-21 00:00:00
ID_022,ID_022,ID_022,48.807369,4.25273,6.96,6.18,5.75,2024-07-01 00:00:00,2024-04-18 00:00:00
ID_023,ID_023,ID_023,46.651668,5.547878,4.15,6.29,5.87,2024-12-24 00:00:00,2024-10-12 00:00:00
ID_024,ID_024,ID_024,46.496919,2.517459,3.35,5.52,3.58,2024-09-10 00:00:00,2024-06-17 00:00:00
ID_025,ID_025,ID_025,46.922845,4.011679,3.28,8.0,1.65,2024-03-08 00:00:00,2024-07-18 00:00:00
ID_026,ID_026,ID_026,50.526933,5.860241,3.15,3.26,3.69,2024-08-20 00:00:00,2024-11-27 00:00:00
ID_027,ID_027,ID_027,46.739816,3.24673,7.29,2.32,1.99,2024-01-31 00:00:00,2024-05-10 00:00:00
ID_028,ID_028,ID_028,48.089602,4.017824,1.22,2.07,2.83,2024-07-31 00:00:00,2024-04-01 00:00:00
ID_029,ID_029,ID_029,45.32906,5.74025,6.69,6.87,7.26,2024-02-06 00:00:00,2024-02-26 00:00:00
ID_030,ID_030,ID_030,46.635738,0.58836,8.3,1.45,2.78,2024-08-05 00:00:00,2024-04-20 00:00:00
ID_031,ID_031,ID_031,50.760954,0.678057,3.67,3.27,8.67,2024-02-06 00:00:00,2024-02-12 00:00:00
ID_032,ID_032,ID_032,45.701356,4.820666,7.82,3.1,7.39,2024-02-29 00:00:00,2024-03-22 00:00:00
ID_033,ID_033,ID_033,50.188832,2.024866,7.77,3.9,5.98,2024-01-25 00:00:00,2024-07-26 00:00:00
ID_034,ID_034,ID_034,50.267116,1.952143,3.78,2.78,5.13,2024-03-25 00:00:00,2024-11-17 00:00:00
ID_035,ID_035,ID_035,48.797879,-0.593419,4.86,7.37,4.54,2024-09-09 00:00:00,2024-11-06 00:00:00
ID_036,ID_036,ID_036,47.125608,5.5923,4.51,4.57,7.51,2024-11-29 00:00:00,2024-08-23 00:00:00
ID_037,ID_037,ID_037,46.350971,1.318556,2.66,5.77,2.62,2024-05-23 00:00:00,2024-01-16 00:00:00
ID_038,ID_038,ID_038,44.887536,3.716927,2.98,7.17,2.6,2024-11-15 00:00:00,2024-08-04 00:00:00
ID_039,ID_039,ID_039,47.813363,0.810427,7.91,4.17,7.35,2024-05-05 00:00:00,2024-01-18 00:00:00
ID_040,ID_040,ID_040,52.812882,-1.232201,8.21,5.31,3.41,2024-12-12 00:00:00,2024-08-10 00:00:00
ID_041,ID_041,ID_041,48.74889,5.489637,1.4,3.85,6.39,2024-05-02 00:00:00,2024-04-03 00:00:00
ID_042,ID_042,ID_042,50.925899,-0.902768,6.98,3.98,3.44,2024-05-15 00:00:00,2024-04-14 00:00:00
ID_043,ID_043,ID_043,51.55779,0.643962,5.68,3.37,4.23,2024-11-23 00:00:00,2024-02-27 00:00:00
ID_044,ID_044,ID_044,52.177279,5.580833,1.69,8.59,8.13,2024-11-18 00:00:00,2024-12-04 00:00:00
ID_045,ID_045,ID_045,50.648449,3.18491,7.39,2.33,5.62,2024-05-24 00:00:00,2024-05-19 00:00:00
ID_046,ID_046,ID_046,45.018787,-1.290122,3.99,4.93,3.34,2024-05-06 00:00:00,2024-10-25 00:00:00
