col_date,col_nombre_accidents,col_blesses_legers,col_blesses_graves,col_tues,col_taux_mortalite,col_source,col_date_collecte
2024-12-23 00:00:00,ID_000,5.22,5.11,5.75,6.33,Airparif,2024-11-11 00:00:00
2024-01-20 00:00:00,ID_001,6.56,7.08,4.22,7.21,SNCF_Open_Data,2024-11-06 00:00:00
2024-02-28 00:00:00,ID_002,8.52,6.59,6.19,6.01,SNCF_Open_Data,2024-11-16 00:00:00
2024-09-21 00:00:00,ID_003,3.14,4.19,1.88,6.61,SNCF_Open_Data,2024-06-07 00:00:00
2024-04-28 00:00:00,ID_004,7.36,4.92,1.6,6.78,Météo-France,2024-12-06 00:00:00
2024-02-04 00:00:00,ID_005,2.49,5.65,7.77,7.07,Météo-France,2024-08-23 00:00:00
2024-01-17 00:00:00,ID_006,6.67,8.47,6.91,4.44,SNCF_Open_Data,2024-10-31 00:00:00
2024-11-26 00:00:00,ID_007,1.37,1.69,4.43,2.05,Météo-France,2024-04-02 00:00:00
2024-01-30 00:00:00,ID_008,7.94,4.68,5.64,4.43,SNCF_Open_Data,2024-03-03 00:00:00
2024-03-24 00:00:00,ID_009,2.43,1.61,3.98,8.43,Airparif,2024-04-19 00:00:00
2024-01-23 00:00:00,ID_010,2.85,7.68,5.73,2.12,Data.gouv.fr,2024-03-12 00:00:00
2024-08-28 00:00:00,ID_011,4.39,8.59,8.28,2.18,SNCF_Open_Data,2024-01-25 00:00:00
2024-05-28 00:00:00,ID_012,6.58,5.42,2.63,2.99,Data.gouv.fr,2024-12-07 00:00:00
2024-02-18 00:00:00,ID_013,8.08,8.62,6.94,3.06,Airparif,2024-03-15 00:00:00
2024-06-05 00:00:00,ID_014,5.12,3.82,7.56,1.86,Airparif,2024-05-22 00:00:00
2024-07-23 00:00:00,ID_015,8.62,8.2,1.38,4.24,RATP_Open_Data_2024,2024-02-17 00:00:00
2024-04-28 00:00:00,ID_016,5.0,6.21,4.68,7.66,Météo-France,2024-09-04 00:00:00
2024-11-21 00:00:00,ID_017,6.42,5.83,5.22,5.11,Airparif,2024-09-28 00:00:00
2024-03-11 00:00:00,ID_018,3.38,6.52,7.4,3.25,SNCF_Open_Data,2024-02-10 00:00:00
2024-12-24 00:00:00,ID_019,2.2,7.08,4.88,4.15,Météo-France,2024-10-06 00:00:00
2024-10-01 00:00:00,ID_020,7.71,1.7,8.56,4.5,SNCF_Open_Data,2024-02-22 00:00:00
2024-10-03 00:00:00,ID_021,6.33,2.58,2.78,2.51,Météo-France,2024-01-08 00:00:00
