col_annee,col_ville,col_indice_congestion,col_temps_perdu_heures,col_cout_economique_millions,col_evolution_vs_2019_pourcent,col_source,col_date_collecte
1.72,Lyon,5.81,9.0,6.23,8.32,RATP_Open_Data_2024,2024-10-31 00:00:00
1.9,Toulouse,1.66,20.5,3.75,3.2,Airparif,2024-07-01 00:00:00
7.75,Marseille,3.58,21.1,2.51,3.56,Data.gouv.fr,2024-06-19 00:00:00
6.04,Lille,7.0,11.1,6.87,2.41,Airparif,2024-12-04 00:00:00
2.64,Strasbourg,4.78,24.5,7.15,8.12,SNCF_Open_Data,2024-12-21 00:00:00
7.6,Bordeaux,3.4,21.9,8.22,3.35,SNCF_Open_Data,2024-08-08 00:00:00
8.54,Lyon,6.33,18.7,4.75,6.62,SNCF_Open_Data,2024-07-30 00:00:00
5.28,Marseille,4.95,18.4,4.7,2.31,SNCF_Open_Data,2024-02-01 00:00:00
6.38,Nice,3.78,4.6,4.76,1.67,RATP_Open_Data_2024,2024-07-15 00:00:00
7.25,Strasbourg,7.01,15.4,3.25,7.15,Airparif,2024-10-11 00:00:00
3.85,Bordeaux,6.12,11.8,7.11,3.93,SNCF_Open_Data,2024-03-08 00:00:00
6.22,Lille,1.47,17.6,7.43,8.17,Data.gouv.fr,2024-06-24 00:00:00
1.77,Montpellier,5.27,11.0,4.11,4.47,Airparif,2024-10-03 00:00:00
7.82,Nantes,4.51,21.1,2.21,4.29,Météo-France,2024-10-07 00:00:00
3.59,Montpellier,7.8,7.3,2.68,3.97,Météo-France,2024-03-26 00:00:00
4.66,Montpellier,7.01,21.6,4.48,4.9,RATP_Open_Data_2024,2024-12-18 00:00:00
2.96,Nantes,1.68,10.8,6.58,3.98,RATP_Open_Data_2024,2024-05-21 00:00:00
4.45,Toulouse,2.91,4.9,8.34,1.63,Météo-France,2024-11-30 00:00:00
5.41,Toulouse,7.77,6.6,6.66,7.56,SNCF_Open_Data,2024-05-05 00:00:00
6.26,Toulouse,6.99,20.6,2.78,5.89,Data.gouv.fr,2024-04-13 00:00:00
1.82,Marseille,4.1,21.8,5.79,5.97,Météo-France,2024-10-25 00:00:00
3.93,Nice,7.09,22.7,4.59,4.97,Météo-France,2024-06-18 00:00:00
6.1,Strasbourg,5.62,14.1,1.29,4.96,RATP_Open_Data_2024,2024-04-17 00:00:00
7.18,Paris,7.33,5.9,3.53,8.72,SNCF_Open_Data,2024-08-29 00:00:00
6.22,Marseille,1.76,18.1,7.91,5.15,Data.gouv.fr,2024-01-11 00:00:00
1.89,Montpellier,4.47,12.1,5.81,4.66,Data.gouv.fr,2024-06-01 00:00:00
8.43,Nice,1.5,21.0,7.4,6.51,RATP_Open_Data_2024,2024-01-27 00:00:00
2.27,Strasbourg,6.22,18.0,8.55,4.48,RATP_Open_Data_2024,2024-06-16 00:00:00
7.1,Paris,7.0,19.5,3.89,1.59,Airparif,2024-10-13 00:00:00
7.9,Montpellier,7.71,23.0,4.04,2.03,Airparif,2024-03-15 00:00:00
8.19,Nantes,1.8,23.2,6.42,6.22,RATP_Open_Data_2024,2024-01-15 00:00:00
4.84,Marseille,4.14,19.9,5.88,5.05,Météo-France,2024-05-01 00:00:00
4.87,Lyon,8.52,5.7,3.66,5.44,Data.gouv.fr,2024-03-25 00:00:00
1.23,Nantes,6.95,22.7,6.72,8.41,RATP_Open_Data_2024,2024-06-11 00:00:00
2.06,Strasbourg,6.9,8.7,3.58,4.23,RATP_Open_Data_2024,2024-07-06 00:00:00
4.61,Paris,5.66,13.4,4.86,5.45,Data.gouv.fr,2024-08-24 00:00:00
8.28,Toulouse,7.56,12.8,5.27,4.26,RATP_Open_Data_2024,2024-06-27 00:00:00
2.91,Nice,7.41,5.1,2.78,4.78,Airparif,2024-03-24 00:00:00
4.48,Paris,3.09,5.0,4.36,1.25,Météo-France,2024-07-21 00:00:00
3.16,Marseille,7.6,8.2,5.51,4.47,Météo-France,2024-03-12 00:00:00
2.51,Marseille,8.51,27.2,6.1,8.13,SNCF_Open_Data,2024-08-27 00:00:00
2.57,Nice,8.5,7.0,4.76,1.68,Météo-France,2024-02-15 00:00:00
5.27,Strasbourg,4.23,8.2,6.22,3.71,RATP_Open_Data_2024,2024-07-26 00:00:00
4.18,Toulouse,7.86,16.6,8.15,3.33,Météo-France,2024-11-28 00:00:00
4.49,Nantes,4.0,22.8,7.82,3.56,Data.gouv.fr,2024-11-17 00:00:00
8.16,Marseille,2.53,12.4,1.38,6.18,Météo-France,2024-06-21 00:00:00
1.5,Lyon,5.78,5.4,6.02,6.66,Data.gouv.fr,2024-05-30 00:00:00
3.85,Nice,1.64,12.2,1.9,2.13,Data.gouv.fr,2024-10-12 00:00:00
7.8,Nice,5.39,26.1,8.24,7.1,RATP_Open_Data_2024,2024-12-16 00:00:00
6.51,Nice,8.33,20.2,2.14,2.86,Météo-France,2024-09-02 00:00:00
