col_date,col_heure,col_ville,col_departement,col_region,col_zone,col_type_route,col_type_cause,col_gravite,col_duree_estimee_minutes,col_impact_trafic,col_retard_estime_minutes,col_latitude,col_longitude,col_statut,col_source,col_zone_idf,col_niveau_congestion,col_vitesse_moyenne_kmh,col_temps_perdu_minutes,col_longueur_bouchon_km,col_heure_debut,col_dir,col_route_concernee,col_type_travaux,col_date_debut,col_date_fin,col_duree_jours,col_impact_circulation,col_voies_reduites,col_longueur_chantier_km,col_type_zone,col_nb_incidents,col_frequence_percent,col_duree_moyenne_minutes,col_retard_moyen_minutes,col_gravite_dominante,col_date_analyse,col_duree_moyenne,col_retard_moyen,col_nb_occurrences,col_pourcentage
2024-09-27 00:00:00,8.5,Montpellier,Bretagne,Hauts-de-France,8.5,7.05,8.53,4.57,2024-01-09 00:00:00,2.22,2024-03-29 00:00:00,51.881954,5.560739,8.73,Airparif,Z_014,5.89,130,6.7,5.560739,3.85,6.55,6.43,5.13,2024-08-31 00:00:00,2024-03-29 00:00:00,4.55,51.881954,5.58,5.560739,1.22,Z_014,2.25,2.65,1.93,1.78,2024-11-03 00:00:00,5.97,2.81,1.55,7.12
2024-01-01 00:00:00,4.74,Nice,Île-de-France,Provence-Alpes-Côte d'Azur,4.32,4.84,3.61,6.32,2024-09-28 00:00:00,5.46,2024-12-18 00:00:00,46.47683,-1.539135,1.57,SNCF_Open_Data,Z_011,1.75,45,21.7,-1.539135,7.39,8.66,3.48,6.08,2024-09-21 00:00:00,2024-01-23 00:00:00,4.0,46.47683,2.33,-1.539135,4.56,Z_011,6.68,6.9,8.67,5.58,2024-03-15 00:00:00,3.62,1.72,5.3,8.09
2024-04-30 00:00:00,8.36,Strasbourg,Nouvelle-Aquitaine,Nouvelle-Aquitaine,5.58,4.12,8.79,6.39,2024-12-05 00:00:00,4.22,2024-04-17 00:00:00,49.194941,4.371221,2.85,Airparif,Z_012,3.8,30,16.7,4.371221,7.55,7.52,5.96,1.65,2024-02-08 00:00:00,2024-09-03 00:00:00,2.34,49.194941,7.61,4.371221,1.52,Z_012,4.48,1.37,1.5,7.26,2024-01-21 00:00:00,2.86,3.58,4.72,1.85
2024-01-03 00:00:00,7.42,Strasbourg,Provence-Alpes-Côte d'Azur,Hauts-de-France,2.98,2.64,2.67,5.56,2024-06-01 00:00:00,1.58,2024-01-11 00:00:00,45.511587,4.879306,3.55,Météo-France,Z_009,2.71,45,11.7,4.879306,3.63,3.25,4.81,2.49,2024-01-08 00:00:00,2024-09-02 00:00:00,8.37,45.511587,3.13,4.879306,8.31,Z_009,7.38,8.7,5.26,3.96,2024-09-12 00:00:00,1.86,4.24,5.02,6.56
2024-08-05 00:00:00,8.55,Strasbourg,Occitanie,Île-de-France,6.34,8.17,8.66,5.07,2024-03-17 00:00:00,8.46,2024-09-12 00:00:00,51.92759,4.749673,2.44,Airparif,Z_014,1.27,110,8.3,4.749673,6.22,2.2,2.33,5.49,2024-08-12 00:00:00,2024-08-10 00:00:00,8.66,51.92759,5.5,4.749673,4.63,Z_014,5.77,8.79,2.25,4.58,2024-09-16 00:00:00,2.76,3.28,4.04,5.11
2024-05-23 00:00:00,7.3,Marseille,Provence-Alpes-Côte d'Azur,Nouvelle-Aquitaine,4.22,2.44,6.71,4.17,2024-05-24 00:00:00,1.62,2024-07-07 00:00:00,49.769376,1.769275,7.69,Data.gouv.fr,Z_018,6.31,130,14.8,1.769275,2.86,8.01,5.35,7.48,2024-06-24 00:00:00,2024-08-18 00:00:00,1.53,49.769376,7.37,1.769275,1.42,Z_018,6.59,8.37,4.11,8.3,2024-08-13 00:00:00,3.04,4.34,7.02,7.85
2024-06-16 00:00:00,5.16,Bordeaux,Provence-Alpes-Côte d'Azur,Île-de-France,8.16,1.26,5.42,1.59,2024-11-25 00:00:00,3.37,2024-10-04 00:00:00,44.907759,3.684014,8.62,RATP_Open_Data_2024,Z_015,7.84,80,10.9,3.684014,5.45,3.43,4.6,5.29,2024-07-01 00:00:00,2024-11-29 00:00:00,2.2,44.907759,3.29,3.684014,3.83,Z_015,2.71,5.94,1.55,4.59,2024-07-19 00:00:00,7.62,3.81,3.22,7.85
2024-04-03 00:00:00,2.08,Marseille,Île-de-France,Pays de la Loire,8.52,4.86,1.85,8.25,2024-01-20 00:00:00,7.36,2024-07-18 00:00:00,51.885116,5.329817,2.67,RATP_Open_Data_2024,Z_008,1.34,30,11.0,5.329817,7.46,6.65,5.22,5.06,2024-01-09 00:00:00,2024-01-17 00:00:00,5.99,51.885116,3.48,5.329817,1.74,Z_008,2.99,6.98,3.85,7.59,2024-10-07 00:00:00,8.22,8.06,8.6,1.96
2024-03-19 00:00:00,6.01,Strasbourg,Nouvelle-Aquitaine,Bretagne,3.7,5.36,4.29,1.84,2024-09-04 00:00:00,8.6,2024-06-01 00:00:00,48.991562,1.514158,3.28,Airparif,Z_016,2.57,130,25.6,1.514158,4.38,7.86,1.6,5.17,2024-03-12 00:00:00,2024-01-21 00:00:00,7.19,48.991562,7.72,1.514158,1.48,Z_016,7.11,1.58,3.12,5.29,2024-03-14 00:00:00,7.89,6.79,2.36,7.58
2024-12-20 00:00:00,1.76,Bordeaux,Auvergne-Rhône-Alpes,Occitanie,4.22,3.17,2.93,3.17,2024-08-16 00:00:00,8.21,2024-11-08 00:00:00,49.464076,0.595608,8.26,Airparif,Z_012,5.79,30,7.8,0.595608,2.53,1.44,1.78,3.1,2024-12-21 00:00:00,2024-11-19 00:00:00,6.68,49.464076,5.37,0.595608,2.61,Z_012,6.09,8.1,5.74,6.49,2024-06-12 00:00:00,8.0,6.54,3.32,6.36
