col_annee,col_type_energie,col_consommation,col_unite,col_evolution_pourcent,col_source,col_date_collecte
7.61,3.83,3.89,µg/m³,3.39,Data.gouv.fr,2024-04-01 00:00:00
1.7,3.67,4.15,µg/m³,6.75,Météo-France,2024-03-18 00:00:00
3.12,8.76,5.1,µg/m³,1.65,Data.gouv.fr,2024-06-20 00:00:00
4.32,4.27,2.5,µg/m³,6.8,SNCF_Open_Data,2024-03-03 00:00:00
8.27,7.21,3.61,µg/m³,6.84,SNCF_Open_Data,2024-10-29 00:00:00
5.08,6.34,5.52,µg/m³,6.12,Data.gouv.fr,2024-11-03 00:00:00
6.65,2.67,3.62,µg/m³,4.15,Data.gouv.fr,2024-03-15 00:00:00
7.04,7.0,3.37,µg/m³,6.42,SNCF_Open_Data,2024-08-14 00:00:00
1.54,6.52,6.99,µg/m³,7.72,Météo-France,2024-11-02 00:00:00
3.51,6.37,2.67,µg/m³,1.56,RATP_Open_Data_2024,2024-04-17 00:00:00
5.27,7.54,4.87,µg/m³,3.05,RATP_Open_Data_2024,2024-10-21 00:00:00
5.25,4.09,7.54,µg/m³,8.65,SNCF_Open_Data,2024-02-15 00:00:00
4.72,2.31,2.61,µg/m³,5.86,Data.gouv.fr,2024-04-27 00:00:00
4.58,1.96,6.23,µg/m³,1.99,Airparif,2024-05-03 00:00:00
2.36,7.4,6.25,µg/m³,2.05,SNCF_Open_Data,2024-04-10 00:00:00
4.08,8.37,5.13,µg/m³,1.62,SNCF_Open_Data,2024-09-29 00:00:00
2.92,5.01,7.46,µg/m³,1.96,Météo-France,2024-08-11 00:00:00
8.01,5.4,3.22,µg/m³,6.42,Data.gouv.fr,2024-06-03 00:00:00
2.14,6.09,2.76,µg/m³,6.48,Data.gouv.fr,2024-12-18 00:00:00
8.47,8.37,5.29,µg/m³,7.48,Météo-France,2024-06-12 00:00:00
6.43,5.78,2.83,µg/m³,3.32,Météo-France,2024-03-31 00:00:00
7.64,8.43,2.57,µg/m³,6.85,SNCF_Open_Data,2024-10-14 00:00:00
5.11,1.83,3.85,µg/m³,5.43,SNCF_Open_Data,2024-06-09 00:00:00
2.14,4.73,3.08,µg/m³,5.84,RATP_Open_Data_2024,2024-12-05 00:00:00
6.8,6.56,3.74,µg/m³,5.0,Airparif,2024-05-09 00:00:00
7.46,1.35,3.23,µg/m³,2.69,Data.gouv.fr,2024-08-20 00:00:00
5.88,8.69,2.61,µg/m³,6.01,Data.gouv.fr,2024-04-16 00:00:00
7.47,3.24,2.75,µg/m³,3.08,Airparif,2024-05-20 00:00:00
7.25,7.92,7.91,µg/m³,4.37,Météo-France,2024-06-10 00:00:00
7.79,4.23,1.93,µg/m³,1.82,SNCF_Open_Data,2024-03-08 00:00:00
3.09,2.38,2.28,µg/m³,6.22,SNCF_Open_Data,2024-02-16 00:00:00
2.57,6.53,1.48,µg/m³,7.36,RATP_Open_Data_2024,2024-11-13 00:00:00
2.35,4.72,4.65,µg/m³,1.76,Airparif,2024-08-26 00:00:00
4.09,4.5,5.96,µg/m³,5.62,Météo-France,2024-10-14 00:00:00
6.85,8.0,4.57,µg/m³,2.76,Airparif,2024-03-04 00:00:00
4.03,4.68,5.32,µg/m³,5.38,SNCF_Open_Data,2024-06-26 00:00:00
4.82,3.72,2.93,µg/m³,5.22,Data.gouv.fr,2024-01-07 00:00:00
4.86,3.3,1.89,µg/m³,3.95,Météo-France,2024-03-28 00:00:00
4.21,6.29,8.21,µg/m³,2.94,Météo-France,2024-08-20 00:00:00
3.22,1.87,5.17,µg/m³,8.64,Météo-France,2024-12-05 00:00:00
4.39,4.85,4.27,µg/m³,5.16,Airparif,2024-09-18 00:00:00
6.47,7.71,3.82,µg/m³,5.95,SNCF_Open_Data,2024-01-11 00:00:00
3.77,3.94,1.69,µg/m³,6.7,Météo-France,2024-02-23 00:00:00
8.37,4.52,8.31,µg/m³,6.68,SNCF_Open_Data,2024-08-29 00:00:00
6.52,8.34,6.57,µg/m³,2.58,SNCF_Open_Data,2024-07-09 00:00:00
1.28,8.66,3.05,µg/m³,7.33,Météo-France,2024-02-28 00:00:00
8.55,3.49,3.83,µg/m³,5.14,RATP_Open_Data_2024,2024-04-15 00:00:00
5.55,1.65,4.95,µg/m³,5.6,Airparif,2024-07-12 00:00:00
2.6,8.64,1.56,µg/m³,8.24,Data.gouv.fr,2024-02-24 00:00:00
2.31,3.27,7.75,µg/m³,8.11,SNCF_Open_Data,2024-01-21 00:00:00
