col_ville,col_mode_transport,col_periode_journee,col_freq_moyenne,col_freq_max,col_taux_remplissage_moyen,col_date,col_heure,col_jour_semaine,col_est_weekend,col_frequentation,col_capacite_max,col_taux_remplissage,col_source
Montpellier,Transilien,2.3,7.34,3.36,6.64,2024-10-02 00:00:00,7.54,6.21,0,6.69,50,1.24,Airparif
Toulouse,RER,7.21,2.97,7.76,2.44,2024-10-31 00:00:00,2.21,8.48,1,7.31,120,5.17,Météo-France
Bordeaux,Tramway,1.48,7.18,6.24,8.11,2024-11-13 00:00:00,1.87,8.45,NON,2.83,120,7.56,Data.gouv.fr
Marseille,Tramway,4.86,6.03,5.44,5.77,2024-08-26 00:00:00,4.77,6.27,NON,8.31,5,2.63,Data.gouv.fr
Marseille,TGV,8.47,2.36,4.21,5.28,2024-06-14 00:00:00,7.44,6.75,NON,3.69,5,7.51,Airparif
Paris,RER,2.11,3.08,4.18,2.48,2024-09-15 00:00:00,6.45,4.83,1,8.54,800,8.49,Airparif
Lyon,RER,1.42,3.9,4.25,4.23,2024-06-29 00:00:00,6.74,7.21,OUI,1.21,50,7.79,RATP_Open_Data_2024
Montpellier,TGV,2.33,8.79,5.95,4.68,2024-01-10 00:00:00,2.11,3.96,OUI,8.0,50,6.03,Airparif
Lyon,Tramway,6.91,3.22,7.4,3.06,2024-02-05 00:00:00,4.64,5.64,OUI,5.85,350,6.81,SNCF_Open_Data
Bordeaux,Tramway,3.85,4.08,2.19,2.99,2024-01-02 00:00:00,8.8,7.48,1,4.81,350,2.2,Météo-France
Nantes,TER,1.74,1.23,5.05,6.86,2024-07-12 00:00:00,4.34,2.54,OUI,4.7,50,4.97,Météo-France
Paris,TGV,7.89,4.04,3.54,2.06,2024-04-02 00:00:00,8.66,6.59,0,6.19,800,7.5,Data.gouv.fr
Paris,Bus RATP,6.31,3.4,8.25,2.51,2024-03-12 00:00:00,6.78,8.05,NON,8.59,800,2.3,Data.gouv.fr
Toulouse,Tramway,6.86,6.94,7.22,4.22,2024-02-25 00:00:00,1.98,7.66,OUI,2.96,350,6.61,RATP_Open_Data_2024
Marseille,RER,2.06,6.38,2.49,7.38,2024-11-05 00:00:00,5.76,4.23,0,7.28,800,8.39,Data.gouv.fr
Bordeaux,TER,6.95,8.47,4.16,6.54,2024-09-09 00:00:00,6.32,8.12,NON,3.59,120,3.39,Météo-France
Montpellier,TGV,4.0,7.5,1.92,6.18,2024-02-24 00:00:00,6.79,2.5,OUI,1.73,50,1.54,SNCF_Open_Data
Toulouse,Métro,2.51,3.26,8.59,3.85,2024-07-19 00:00:00,6.27,5.03,1,1.83,50,6.02,Data.gouv.fr
Bordeaux,Transilien,6.34,4.99,6.75,3.21,2024-11-19 00:00:00,8.34,1.87,1,1.72,800,4.95,Data.gouv.fr
Nice,Bus RATP,6.98,2.07,5.75,1.64,2024-05-21 00:00:00,1.21,3.27,NON,2.92,50,3.12,Météo-France
Bordeaux,TER,4.91,1.36,2.14,5.97,2024-02-19 00:00:00,8.59,3.12,0,7.33,120,2.17,RATP_Open_Data_2024
