col_ville,col_mode_transport,col_retard_moyen,col_retard_max,col_nb_incidents,col_total_passagers_impactes,col_date,col_heure,col_ligne,col_retard_minutes,col_retard_categorie,col_cause_retard,col_nb_voyages_affectes,col_passagers_impactes,col_type_incident,col_source
Toulouse,Métro,5.56,7.91,ID_000,2.68,2024-03-02 00:00:00,3.6,5.86,8.71,4.41,6.04,7.05,4.44,ID_000,RATP_Open_Data_2024
Toulouse,Métro,4.81,4.61,ID_001,6.8,2024-12-17 00:00:00,7.39,1.59,3.46,2.28,2.12,1.85,6.62,ID_001,Airparif
Nice,Métro,5.25,4.95,ID_002,6.71,2024-09-20 00:00:00,3.83,7.23,7.33,4.23,1.27,1.63,3.18,ID_002,RATP_Open_Data_2024
Marseille,Transilien,8.14,7.69,ID_003,7.47,2024-11-24 00:00:00,3.68,6.89,1.83,5.15,7.34,8.67,3.04,ID_003,Météo-France
Nice,TGV,6.43,6.97,ID_004,2.13,2024-09-15 00:00:00,2.02,4.29,3.37,7.79,6.8,5.25,1.83,ID_004,RATP_Open_Data_2024
Marseille,TER,6.42,6.71,ID_005,1.63,2024-08-30 00:00:00,4.04,7.38,2.23,5.31,6.07,3.64,8.16,ID_005,Data.gouv.fr
Paris,TGV,3.02,7.33,ID_006,5.28,2024-08-31 00:00:00,5.56,1.56,7.75,4.52,5.46,3.05,6.77,ID_006,Data.gouv.fr
Marseille,TER,6.39,7.86,ID_007,4.6,2024-07-31 00:00:00,2.4,2.83,2.29,6.95,8.79,6.07,4.87,ID_007,Météo-France
Lyon,Tramway,5.45,1.91,ID_008,8.34,2024-06-19 00:00:00,3.2,1.58,5.65,5.18,2.78,2.18,7.11,ID_008,RATP_Open_Data_2024
Nantes,Bus RATP,6.92,3.72,ID_009,3.73,2024-11-19 00:00:00,6.95,4.65,3.8,3.98,6.38,8.64,3.82,ID_009,Météo-France
Nice,RER,2.01,1.59,ID_010,7.12,2024-11-01 00:00:00,2.92,4.5,4.74,7.9,6.6,8.43,6.11,ID_010,Data.gouv.fr
Toulouse,RER,3.4,2.08,ID_011,4.79,2024-12-05 00:00:00,7.62,1.96,7.51,1.55,3.57,5.21,3.68,ID_011,SNCF_Open_Data
Paris,Métro,3.43,4.63,ID_012,7.0,2024-06-24 00:00:00,1.42,7.41,7.34,6.09,4.3,6.07,4.59,ID_012,Airparif
Nantes,TGV,5.13,3.38,ID_013,8.34,2024-04-05 00:00:00,1.93,7.11,3.23,6.05,3.88,2.43,6.75,ID_013,SNCF_Open_Data
Strasbourg,Transilien,2.36,3.01,ID_014,2.58,2024-05-23 00:00:00,2.58,5.46,1.97,5.07,4.68,5.08,6.43,ID_014,SNCF_Open_Data
Paris,Transilien,6.8,2.57,ID_015,8.51,2024-08-20 00:00:00,5.98,1.78,5.55,8.32,4.61,7.02,6.27,ID_015,RATP_Open_Data_2024
Lyon,Transilien,5.37,3.51,ID_016,5.08,2024-10-20 00:00:00,5.46,1.66,7.41,5.07,3.05,4.12,2.99,ID_016,Météo-France
Bordeaux,Métro,4.05,7.3,ID_017,8.33,2024-12-10 00:00:00,3.5,1.93,7.76,8.73,3.61,7.6,4.05,ID_017,SNCF_Open_Data
Marseille,Transilien,2.16,2.23,ID_018,7.13,2024-08-12 00:00:00,5.96,2.68,1.21,7.33,1.67,2.94,8.75,ID_018,Data.gouv.fr
Lyon,Métro,4.57,2.18,ID_019,4.92,2024-07-30 00:00:00,1.25,7.59,5.8,3.63,6.99,6.88,2.64,ID_019,Data.gouv.fr
Toulouse,Bus RATP,2.7,5.08,ID_020,1.84,2024-11-27 00:00:00,2.66,7.29,7.89,2.54,4.25,2.38,8.71,ID_020,SNCF_Open_Data
Lille,Métro,1.93,7.51,ID_021,8.25,2024-02-20 00:00:00,7.95,4.98,8.05,3.49,4.39,5.98,2.01,ID_021,Airparif
Nantes,TGV,7.38,3.42,ID_022,2.66,2024-04-03 00:00:00,3.0,1.68,6.25,7.13,4.73,6.95,7.94,ID_022,Data.gouv.fr
Strasbourg,Transilien,2.54,7.45,ID_023,6.66,2024-05-04 00:00:00,5.85,7.18,7.21,7.33,3.49,4.74,8.4,ID_023,Météo-France
