col_feedback_id,col_timestamp,col_date_feedback,col_heure_feedback,col_zone_id,col_zone_nom,col_ville,col_region,col_pays,col_latitude_centre,col_longitude_centre,col_surface_km2,col_population_estimee,col_code_insee_commune,col_app_version,col_rating,col_text,col_sentiment,col_categorie,col_gravite,col_source,col_date_enrichissement
ID_000,2024-01-12 00:00:00,2024-03-15 00:00:00,5.56,ID_000,4.67,Nantes,Nouvelle-Aquitaine,France,48.049552,-0.586751,5.43,48.049552,Lille,2.48,8.25,3.35,2024-02-02 00:00:00,6.79,5.94,RATP_Open_Data_2024,2024-11-20 00:00:00
ID_001,2024-05-23 00:00:00,2024-04-08 00:00:00,8.18,ID_001,4.96,Nantes,Pays de la Loire,France,46.936978,6.26207,5.29,46.936978,Paris,1.4,8.77,2.91,2024-04-26 00:00:00,2.54,6.12,Data.gouv.fr,2024-02-27 00:00:00
ID_002,2024-05-11 00:00:00,2024-06-04 00:00:00,4.45,ID_002,5.38,Marseille,Pays de la Loire,France,52.052956,0.135331,1.37,52.052956,Paris,3.49,3.13,7.19,2024-10-02 00:00:00,5.99,3.93,SNCF_Open_Data,2024-11-05 00:00:00
ID_003,2024-05-10 00:00:00,2024-04-27 00:00:00,6.65,ID_003,4.39,Lyon,Bretagne,France,49.504573,5.179425,2.0,49.504573,Bordeaux,8.06,4.7,2.93,2024-11-25 00:00:00,1.41,8.49,RATP_Open_Data_2024,2024-11-02 00:00:00
ID_004,2024-03-26 00:00:00,2024-03-25 00:00:00,2.56,ID_004,4.46,Paris,Grand Est,France,47.140951,2.010203,7.71,47.140951,Strasbourg,6.45,2.71,8.48,2024-08-19 00:00:00,2.36,3.6,RATP_Open_Data_2024,2024-02-04 00:00:00
ID_005,2024-04-25 00:00:00,2024-01-17 00:00:00,5.81,ID_005,5.09,Lyon,Pays de la Loire,France,46.163122,-0.498724,2.33,46.163122,Strasbourg,5.44,3.24,1.63,2024-01-07 00:00:00,2.45,7.75,Airparif,2024-02-07 00:00:00
ID_006,2024-09-24 00:00:00,2024-10-09 00:00:00,5.75,ID_006,1.47,Marseille,Provence-Alpes-Côte d'Azur,France,46.043742,6.021132,6.92,46.043742,Nantes,5.75,2.25,4.38,2024-04-01 00:00:00,2.75,8.42,Data.gouv.fr,2024-05-29 00:00:00
ID_007,2024-11-04 00:00:00,2024-05-14 00:00:00,3.83,ID_007,5.2,Strasbourg,Nouvelle-Aquitaine,France,52.776544,4.624183,4.61,52.776544,Lille,7.55,3.96,4.34,2024-02-18 00:00:00,7.69,2.75,Data.gouv.fr,2024-11-17 00:00:00
ID_008,2024-02-28 00:00:00,2024-05-11 00:00:00,5.81,ID_008,1.66,Montpellier,Normandie,France,52.6773,0.185838,8.66,52.6773,Lyon,8.51,4.55,8.05,2024-07-31 00:00:00,5.57,8.74,Data.gouv.fr,2024-04-21 00:00:00
ID_009,2024-03-12 00:00:00,2024-11-04 00:00:00,6.46,ID_009,4.68,Strasbourg,Nouvelle-Aquitaine,France,47.357972,4.365033,5.08,47.357972,Bordeaux,1.26,3.81,6.26,2024-03-22 00:00:00,4.66,7.33,Airparif,2024-11-13 00:00:00
ID_010,2024-11-08 00:00:00,2024-09-24 00:00:00,5.03,ID_010,3.01,Lyon,Nouvelle-Aquitaine,France,45.38724,3.042639,4.97,45.38724,Lyon,2.02,3.08,1.76,2024-05-19 00:00:00,6.23,3.91,SNCF_Open_Data,2024-08-05 00:00:00
ID_011,2024-12-09 00:00:00,2024-10-14 00:00:00,2.4,ID_011,5.55,Montpellier,Occitanie,France,45.108721,-0.530648,2.84,45.108721,Strasbourg,3.43,6.51,3.65,2024-08-18 00:00:00,1.83,8.61,Météo-France,2024-01-12 00:00:00
ID_012,2024-05-29 00:00:00,2024-12-08 00:00:00,5.14,ID_012,5.26,Strasbourg,Occitanie,France,48.820193,1.370393,2.53,48.820193,Bordeaux,2.02,4.01,3.1,2024-08-27 00:00:00,1.44,7.77,RATP_Open_Data_2024,2024-09-18 00:00:00
