col_feedback_id,col_timestamp,col_date_feedback,col_heure_feedback,col_zone_id,col_zone_nom,col_ville,col_region,col_pays,col_latitude_centre,col_longitude_centre,col_surface_km2,col_population_estimee,col_code_insee_commune,col_app_version,col_rating,col_text,col_sentiment,col_categorie,col_gravite,col_source,col_date_enrichissement
ID_000,2024-03-29 00:00:00,2024-05-01 00:00:00,6.94,ID_000,1.4,Nantes,Provence-Alpes-Côte d'Azur,France,46.996838,2.816333,5.21,46.996838,Marseille,3.59,1.39,7.14,2024-12-07 00:00:00,7.69,5.96,Data.gouv.fr,2024-08-30 00:00:00
ID_001,2024-04-22 00:00:00,2024-08-06 00:00:00,4.51,ID_001,8.52,Lille,Pays de la Loire,France,48.279072,1.867086,7.31,48.279072,Paris,6.32,7.08,4.07,2024-04-05 00:00:00,8.69,3.14,RATP_Open_Data_2024,2024-01-12 00:00:00
ID_002,2024-12-19 00:00:00,2024-05-25 00:00:00,4.72,ID_002,4.08,Lille,Occitanie,France,50.261707,4.729527,6.8,50.261707,Toulouse,2.41,3.4,8.48,2024-12-03 00:00:00,5.4,7.29,Data.gouv.fr,2024-01-20 00:00:00
ID_003,2024-05-12 00:00:00,2024-02-11 00:00:00,4.48,ID_003,7.65,Paris,Normandie,France,47.776221,0.213162,6.35,47.776221,Nantes,7.12,4.74,5.24,2024-09-07 00:00:00,2.82,7.75,Data.gouv.fr,2024-02-01 00:00:00
ID_004,2024-04-03 00:00:00,2024-03-02 00:00:00,7.0,ID_004,7.57,Montpellier,Pays de la Loire,France,44.915332,-1.597068,4.54,44.915332,Nantes,8.34,4.07,7.52,2024-01-26 00:00:00,1.91,1.25,SNCF_Open_Data,2024-11-01 00:00:00
ID_005,2024-04-02 00:00:00,2024-08-22 00:00:00,8.6,ID_005,8.78,Nantes,Nouvelle-Aquitaine,France,49.461722,-0.360284,3.07,49.461722,Toulouse,5.39,8.67,4.16,2024-10-17 00:00:00,1.21,1.6,SNCF_Open_Data,2024-05-02 00:00:00
ID_006,2024-04-15 00:00:00,2024-05-13 00:00:00,8.47,ID_006,4.56,Toulouse,Normandie,France,50.093782,-0.644134,4.15,50.093782,Montpellier,3.93,4.27,3.91,2024-06-30 00:00:00,1.75,7.15,Airparif,2024-11-24 00:00:00
ID_007,2024-12-26 00:00:00,2024-09-29 00:00:00,2.27,ID_007,2.78,Paris,Bretagne,France,50.010971,1.765006,7.86,50.010971,Nice,4.14,7.95,3.65,2024-10-13 00:00:00,2.61,7.53,RATP_Open_Data_2024,2024-08-24 00:00:00
ID_008,2024-08-25 00:00:00,2024-06-19 00:00:00,5.95,ID_008,8.28,Toulouse,Provence-Alpes-Côte d'Azur,France,46.964286,2.451215,2.98,46.964286,Toulouse,4.85,7.2,3.29,2024-03-24 00:00:00,6.29,2.51,Data.gouv.fr,2024-07-19 00:00:00
ID_009,2024-04-18 00:00:00,2024-07-09 00:00:00,3.1,ID_009,6.69,Nantes,Auvergne-Rhône-Alpes,France,47.425843,-0.763034,4.75,47.425843,Nantes,1.87,5.58,6.77,2024-02-03 00:00:00,3.09,4.01,RATP_Open_Data_2024,2024-06-28 00:00:00
ID_010,2024-05-27 00:00:00,2024-02-07 00:00:00,8.35,ID_010,8.23,Bordeaux,Pays de la Loire,France,45.27118,0.743114,6.98,45.27118,Bordeaux,3.7,6.82,1.4,2024-08-25 00:00:00,7.83,7.16,RATP_Open_Data_2024,2024-03-02 00:00:00
