col_ville,col_region,col_type_periode,col_creneau_horaire,col_heure_debut,col_type_route,col_type_trafic_dominant,col_nb_vehicules,col_est_heure_pic,col_niveau_congestion,col_vitesse_moyenne_kmh,col_facteur_periode,col_date_scraping,col_source,col_trafic_total,col_nb_heures_pic,col_vitesse_moyenne,col_trafic_moyen_journalier,col_facteur_vs_ouvre,col_heures_pic,col_niveau_encombrement,col_date_analyse,col_trafic_moyen,col_nb_villes_concernees,col_trafic_total_jour,col_heures_congestion,col_rang,col_pourcentage_vs_max
Nice,Auvergne-Rhône-Alpes,6.87,2.41,8.7,6.79,2.17,6.98,5.57,7.83,50,6.55,2024-08-07 00:00:00,Airparif,6.7,3.07,70,3.57,3.93,7.65,6.55,2024-10-21 00:00:00,7.14,Montpellier,6.02,2.08,2.38,1.9
Marseille,Provence-Alpes-Côte d'Azur,3.66,4.16,7.25,5.64,4.78,4.35,3.5,4.83,70,1.83,2024-03-24 00:00:00,RATP_Open_Data_2024,6.81,4.3,45,3.28,7.41,3.44,4.55,2024-10-27 00:00:00,4.89,Bordeaux,3.48,4.39,3.5,7.56
Nantes,Bretagne,3.37,6.07,3.67,5.81,1.72,1.94,5.87,8.51,70,4.01,2024-04-21 00:00:00,SNCF_Open_Data,2.53,7.36,45,3.57,8.07,5.71,5.69,2024-07-06 00:00:00,2.5,Lille,3.87,5.01,3.71,7.25
Marseille,Auvergne-Rhône-Alpes,5.58,4.78,8.68,7.04,4.84,3.73,2.86,4.55,110,8.56,2024-03-23 00:00:00,RATP_Open_Data_2024,8.32,3.74,130,6.8,8.11,8.4,7.89,2024-07-19 00:00:00,4.18,Lille,5.66,4.2,2.01,7.41
Nice,Nouvelle-Aquitaine,7.63,2.41,7.72,8.05,7.82,8.21,4.59,2.64,50,6.96,2024-04-27 00:00:00,SNCF_Open_Data,5.1,2.17,80,7.06,3.05,4.72,2.13,2024-06-28 00:00:00,2.09,Lille,4.21,7.21,8.44,3.62
Nice,Nouvelle-Aquitaine,8.19,8.77,7.86,4.91,6.21,7.87,6.48,2.77,50,3.76,2024-02-22 00:00:00,Data.gouv.fr,4.88,8.75,30,2.16,7.18,7.81,1.25,2024-02-26 00:00:00,2.25,Marseille,7.75,1.37,6.98,4.82
Strasbourg,Grand Est,4.22,6.1,2.26,2.93,2.42,5.63,2.18,3.33,70,2.63,2024-03-11 00:00:00,RATP_Open_Data_2024,3.26,2.92,30,3.63,7.2,3.74,4.7,2024-05-03 00:00:00,5.49,Marseille,5.44,5.14,4.17,3.42
Montpellier,Grand Est,6.36,5.73,8.49,1.85,1.67,7.78,3.02,7.31,45,7.62,2024-01-22 00:00:00,Météo-France,5.04,6.79,30,7.3,8.05,2.45,4.94,2024-04-13 00:00:00,4.23,Paris,3.73,3.31,5.95,6.86
Strasbourg,Provence-Alpes-Côte d'Azur,4.38,4.47,2.67,5.84,5.16,7.76,6.17,5.72,80,7.95,2024-11-15 00:00:00,SNCF_Open_Data,1.75,2.23,30,8.57,8.53,3.43,4.6,2024-12-06 00:00:00,7.44,Marseille,5.34,7.82,3.81,3.06
Montpellier,Grand Est,2.35,1.71,1.94,2.42,1.52,8.49,3.12,7.53,130,8.44,2024-10-29 00:00:00,SNCF_Open_Data,8.72,4.15,110,3.58,2.89,5.74,2.8,2024-10-27 00:00:00,8.72,Nantes,4.4,6.9,5.5,3.83
Strasbourg,Grand Est,8.15,5.08,3.0,3.21,7.38,5.71,4.57,7.81,45,3.69,2024-01-31 00:00:00,SNCF_Open_Data,2.64,4.56,50,2.83,6.57,6.39,2.76,2024-12-08 00:00:00,8.42,Nantes,3.46,1.83,8.57,3.94
Strasbourg,Nouvelle-Aquitaine,7.89,5.47,4.78,3.98,6.92,7.89,3.54,5.85,110,7.55,2024-03-30 00:00:00,Météo-France,3.57,7.75,45,6.42,3.2,6.33,1.35,2024-11-23 00:00:00,1.94,Montpellier,7.63,5.33,7.77,3.95
Strasbourg,Bretagne,2.19,5.18,4.67,5.67,4.35,1.57,2.83,2.02,110,7.61,2024-11-05 00:00:00,Météo-France,4.57,5.55,50,8.35,4.37,4.97,4.84,2024-05-06 00:00:00,1.64,Marseille,7.32,5.96,2.62,1.89
Lille,Bretagne,6.01,5.28,2.36,5.11,8.41,3.26,6.63,3.67,130,5.1,2024-04-28 00:00:00,Airparif,1.64,4.59,70,6.53,6.42,8.42,5.59,2024-10-01 00:00:00,6.94,Nantes,6.8,8.36,5.11,2.53
Strasbourg,Nouvelle-Aquitaine,3.23,4.2,8.64,5.08,8.43,2.46,7.87,1.42,130,2.02,2024-08-22 00:00:00,RATP_Open_Data_2024,6.99,8.21,45,6.34,6.68,5.57,2.53,2024-09-14 00:00:00,5.13,Lyon,5.18,1.78,7.51,6.41
Nice,Normandie,7.28,7.53,4.68,3.47,3.33,1.31,1.66,5.71,110,7.86,2024-08-27 00:00:00,Data.gouv.fr,2.63,8.61,130,6.41,7.86,7.45,2.93,2024-09-27 00:00:00,6.54,Lyon,6.3,5.6,7.51,4.28
Toulouse,Bretagne,5.47,8.31,3.29,3.7,5.43,8.73,1.59,8.15,45,3.62,2024-11-18 00:00:00,RATP_Open_Data_2024,4.88,3.63,130,6.3,2.74,5.05,2.9,2024-10-04 00:00:00,1.99,Marseille,2.9,3.33,3.83,2.86
Nantes,Île-de-France,2.38,5.41,3.85,5.65,3.82,4.93,1.63,2.53,110,4.87,2024-06-03 00:00:00,Data.gouv.fr,4.29,5.85,130,6.46,2.49,7.57,7.8,2024-04-22 00:00:00,2.08,Nantes,7.44,1.68,4.78,3.18
Marseille,Normandie,7.4,1.56,2.23,7.77,4.24,8.09,5.68,1.46,110,5.27,2024-11-14 00:00:00,SNCF_Open_Data,3.29,7.25,130,4.53,6.86,5.31,2.15,2024-02-04 00:00:00,7.4,Montpellier,7.1,8.32,1.97,3.23
Paris,Provence-Alpes-Côte d'Azur,4.45,6.46,5.14,6.79,4.17,5.86,6.27,2.08,50,4.52,2024-11-05 00:00:00,Airparif,1.5,6.76,80,4.12,1.6,4.59,3.16,2024-05-25 00:00:00,4.4,Toulouse,5.38,5.52,3.71,1.31
Lille,Bretagne,8.59,3.84,5.38,8.78,2.93,8.53,4.55,5.17,130,3.84,2024-05-03 00:00:00,RATP_Open_Data_2024,2.32,3.11,30,3.87,3.51,2.32,4.78,2024-07-09 00:00:00,5.95,Paris,4.5,7.08,2.56,7.49
Nantes,Île-de-France,5.82,7.86,8.71,3.14,3.83,7.5,8.46,7.58,130,4.93,2024-08-02 00:00:00,Data.gouv.fr,1.38,2.04,130,7.95,8.56,5.15,3.5,2024-08-22 00:00:00,8.11,Strasbourg,2.94,3.63,3.33,5.53
