col_infrastructure,col_type,col_longueur_totale_km,col_etat_moyen,col_investissement_annuel_millions,col_source,col_date_maj
2.34,5.82,3.976667,5.84,7.97,Airparif,2024-01-20 00:00:00
7.4,7.28,-0.319301,2.91,1.66,Data.gouv.fr,2024-01-16 00:00:00
1.74,7.64,4.796565,1.21,6.22,Météo-France,2024-11-21 00:00:00
5.54,2.76,1.270924,5.1,1.77,RATP_Open_Data_2024,2024-10-13 00:00:00
8.52,4.94,1.230905,3.96,7.17,Airparif,2024-06-07 00:00:00
2.67,8.34,5.945263,2.5,8.79,SNCF_Open_Data,2024-08-03 00:00:00
7.01,5.59,-1.14432,6.16,8.39,Data.gouv.fr,2024-07-11 00:00:00
6.11,2.57,0.205581,5.74,7.36,RATP_Open_Data_2024,2024-08-20 00:00:00
6.75,1.53,2.813812,1.65,4.05,Airparif,2024-01-25 00:00:00
5.39,8.5,1.869474,4.79,1.9,SNCF_Open_Data,2024-09-06 00:00:00
3.02,2.03,0.632877,2.56,7.3,RATP_Open_Data_2024,2024-07-14 00:00:00
2.59,2.51,5.758747,2.97,7.47,Airparif,2024-05-09 00:00:00
8.39,4.08,1.269968,7.6,5.3,RATP_Open_Data_2024,2024-06-05 00:00:00
4.58,7.64,4.21573,2.36,1.48,RATP_Open_Data_2024,2024-11-16 00:00:00
1.77,3.94,5.944359,2.13,5.49,Data.gouv.fr,2024-11-05 00:00:00
8.68,4.6,6.110471,3.15,7.01,Airparif,2024-07-09 00:00:00
6.47,6.57,6.23467,4.97,3.15,Météo-France,2024-03-02 00:00:00
3.57,3.31,5.166109,1.2,2.94,RATP_Open_Data_2024,2024-10-14 00:00:00
7.39,1.59,6.036273,3.49,6.23,RATP_Open_Data_2024,2024-12-12 00:00:00
7.76,2.82,-1.575599,8.03,6.97,SNCF_Open_Data,2024-05-01 00:00:00
4.92,7.4,2.505364,6.25,1.65,Data.gouv.fr,2024-03-18 00:00:00
4.79,4.5,-0.713757,5.82,2.62,SNCF_Open_Data,2024-06-28 00:00:00
7.26,8.73,0.206581,7.66,6.59,Data.gouv.fr,2024-06-05 00:00:00
3.71,6.07,6.11478,6.23,2.68,Airparif,2024-11-11 00:00:00
5.88,3.42,0.317444,3.27,1.7,RATP_Open_Data_2024,2024-06-30 00:00:00
7.29,4.66,1.055871,5.45,4.02,Météo-France,2024-02-20 00:00:00
3.85,5.07,-0.038741,2.52,1.99,Météo-France,2024-08-27 00:00:00
5.24,1.74,2.712842,7.29,2.2,Météo-France,2024-06-27 00:00:00
5.22,5.49,3.434464,2.21,6.26,Météo-France,2024-02-20 00:00:00
6.6,6.21,0.067254,1.89,2.67,Météo-France,2024-08-13 00:00:00
5.65,7.25,4.073794,6.48,7.05,Airparif,2024-07-15 00:00:00
5.14,3.04,2.201249,1.51,5.81,SNCF_Open_Data,2024-11-27 00:00:00
7.28,2.35,6.221991,2.86,2.95,Météo-France,2024-04-16 00:00:00
8.08,5.47,2.837349,4.06,6.71,SNCF_Open_Data,2024-07-16 00:00:00
6.42,4.31,0.68629,4.94,3.28,Airparif,2024-06-13 00:00:00
2.5,1.32,0.746818,2.63,8.62,SNCF_Open_Data,2024-01-25 00:00:00
8.32,4.84,0.338431,7.4,1.55,Data.gouv.fr,2024-10-20 00:00:00
4.85,2.28,-0.337393,4.97,1.26,RATP_Open_Data_2024,2024-10-17 00:00:00
2.69,8.29,-1.026685,5.03,8.14,SNCF_Open_Data,2024-08-15 00:00:00
3.22,4.25,1.340591,3.06,3.64,SNCF_Open_Data,2024-02-17 00:00:00
6.22,5.78,2.713001,3.21,7.17,Météo-France,2024-09-18 00:00:00
3.71,7.66,1.319376,1.75,2.78,Data.gouv.fr,2024-12-21 00:00:00
4.89,5.71,2.789046,1.79,5.13,RATP_Open_Data_2024,2024-10-08 00:00:00
6.16,8.62,-0.249584,3.54,3.39,SNCF_Open_Data,2024-05-09 00:00:00
1.61,5.36,4.560427,4.02,2.97,Météo-France,2024-01-20 00:00:00
3.49,4.97,2.335283,1.83,2.01,Airparif,2024-06-12 00:00:00
3.28,2.25,1.158521,5.99,8.76,RATP_Open_Data_2024,2024-04-27 00:00:00
4.48,2.05,1.084734,7.06,7.43,Airparif,2024-09-28 00:00:00
6.62,4.18,5.978991,2.99,6.45,SNCF_Open_Data,2024-06-09 00:00:00
5.46,5.03,6.194616,6.44,5.96,Airparif,2024-07-09 00:00:00
