col_annee,col_mode_transport,col_note_satisfaction,col_nombre_repondants,col_taux_satisfaction_pourcent,col_critere_principal,col_source,col_date_collecte
4.14,Métro,4.12,1.35,6.99,4.78,Data.gouv.fr,2024-02-05 00:00:00
8.8,Métro,8.46,3.1,8.62,7.22,Airparif,2024-01-04 00:00:00
4.63,Métro,7.29,1.8,2.69,3.74,Airparif,2024-12-18 00:00:00
2.05,Métro,6.78,2.14,5.18,1.65,Data.gouv.fr,2024-06-24 00:00:00
6.62,Bus RATP,6.73,6.83,7.11,4.84,SNCF_Open_Data,2024-06-04 00:00:00
4.51,TER,2.51,5.79,2.7,5.93,SNCF_Open_Data,2024-04-01 00:00:00
8.51,TER,7.54,6.37,1.38,7.16,RATP_Open_Data_2024,2024-05-03 00:00:00
6.31,Bus RATP,3.68,2.95,3.14,8.18,Airparif,2024-08-03 00:00:00
5.43,Tramway,3.34,1.83,8.77,2.88,RATP_Open_Data_2024,2024-02-27 00:00:00
3.03,Métro,4.09,3.44,7.2,1.65,SNCF_Open_Data,2024-01-09 00:00:00
1.96,TGV,4.23,1.4,7.8,6.63,Airparif,2024-08-23 00:00:00
4.17,TER,3.87,3.81,5.61,5.1,RATP_Open_Data_2024,2024-02-23 00:00:00
2.3,Métro,5.46,1.66,3.19,5.95,Airparif,2024-05-01 00:00:00
5.75,TGV,4.62,3.67,7.47,3.79,SNCF_Open_Data,2024-09-24 00:00:00
7.25,TGV,7.85,4.12,7.66,4.04,Météo-France,2024-04-07 00:00:00
6.25,TGV,6.37,5.62,2.92,3.3,Météo-France,2024-10-07 00:00:00
5.67,RER,5.03,6.58,5.73,6.36,Météo-France,2024-10-17 00:00:00
2.56,Tramway,8.3,3.89,1.63,4.39,RATP_Open_Data_2024,2024-09-20 00:00:00
5.49,Transilien,7.0,7.27,4.47,8.72,Data.gouv.fr,2024-07-13 00:00:00
6.24,Métro,6.82,8.04,8.4,5.63,SNCF_Open_Data,2024-02-06 00:00:00
2.45,TGV,2.61,6.44,1.72,8.36,SNCF_Open_Data,2024-06-02 00:00:00
7.55,TGV,5.62,3.34,7.95,5.62,Airparif,2024-11-09 00:00:00
5.41,RER,3.16,6.42,4.0,4.16,RATP_Open_Data_2024,2024-12-01 00:00:00
2.37,TER,4.9,7.48,6.38,1.57,Data.gouv.fr,2024-02-17 00:00:00
5.84,RER,4.32,4.91,8.23,3.37,SNCF_Open_Data,2024-08-12 00:00:00
2.96,Tramway,3.38,4.84,2.17,8.35,Airparif,2024-08-22 00:00:00
6.37,RER,8.77,2.72,7.05,6.62,SNCF_Open_Data,2024-04-18 00:00:00
7.16,Bus RATP,3.01,4.85,5.9,1.78,Airparif,2024-02-15 00:00:00
1.55,TGV,6.24,4.2,6.36,8.4,SNCF_Open_Data,2024-01-12 00:00:00
3.71,Transilien,2.75,4.15,6.16,2.33,Météo-France,2024-03-28 00:00:00
6.84,Bus RATP,1.28,2.16,4.28,3.71,Airparif,2024-10-30 00:00:00
3.75,Transilien,5.14,3.85,6.37,7.39,SNCF_Open_Data,2024-02-09 00:00:00
2.39,RER,2.98,2.53,5.17,2.47,Météo-France,2024-06-27 00:00:00
8.4,RER,2.94,2.8,4.58,7.88,Airparif,2024-12-11 00:00:00
3.01,TGV,4.56,1.25,4.12,3.55,SNCF_Open_Data,2024-07-05 00:00:00
2.38,Tramway,8.08,2.8,7.19,8.13,Data.gouv.fr,2024-07-26 00:00:00
3.85,TGV,4.77,1.87,7.25,1.49,Météo-France,2024-04-26 00:00:00
6.06,TGV,5.9,3.86,8.77,3.61,RATP_Open_Data_2024,2024-03-31 00:00:00
6.02,RER,2.05,2.63,4.79,6.76,RATP_Open_Data_2024,2024-11-02 00:00:00
6.51,RER,4.73,7.62,6.52,2.44,Data.gouv.fr,2024-06-06 00:00:00
6.91,RER,1.35,7.42,7.49,4.36,Météo-France,2024-07-14 00:00:00
1.42,Tramway,7.19,7.79,2.98,6.73,SNCF_Open_Data,2024-11-16 00:00:00
4.77,Transilien,5.74,2.47,7.16,5.18,Airparif,2024-01-31 00:00:00
6.16,Métro,6.57,1.28,6.22,4.2,Data.gouv.fr,2024-07-05 00:00:00
2.87,Bus RATP,8.37,3.79,5.25,3.66,Airparif,2024-10-23 00:00:00
7.47,RER,8.32,6.13,2.49,6.71,Data.gouv.fr,2024-01-19 00:00:00
5.88,Bus RATP,2.78,8.1,3.0,7.18,Airparif,2024-05-02 00:00:00
4.55,RER,5.63,7.84,2.45,8.55,SNCF_Open_Data,2024-10-25 00:00:00
3.14,Tramway,4.76,6.14,2.36,4.58,Airparif,2024-08-25 00:00:00
6.16,Tramway,2.64,6.94,1.35,6.16,Météo-France,2024-11-26 00:00:00
