col_date,col_heure,col_ville,col_type_zone,col_trafic_vehicules,col_periode,col_confinement,col_taux_occupation,col_vitesse_moyenne,col_niveau_confinement
2024-06-26 00:00:00,6.95,Marseille,4.18,3.34,7.34,3.62,5.43,130,8.61
2024-05-29 00:00:00,7.93,Lille,4.95,4.35,1.46,5.89,4.14,110,6.45
2024-06-03 00:00:00,6.69,Lille,5.7,2.92,7.09,1.84,4.66,80,6.39
2024-09-10 00:00:00,4.38,Paris,6.89,4.79,8.59,2.48,5.36,50,3.9
2024-12-06 00:00:00,3.61,Nice,5.46,5.15,6.21,7.15,3.61,30,8.53
2024-08-16 00:00:00,2.29,Paris,8.43,5.46,8.16,6.82,6.93,110,7.53
2024-04-04 00:00:00,1.51,Marseille,1.34,7.4,2.58,6.39,5.75,80,1.48
2024-03-31 00:00:00,5.16,Nantes,3.06,7.93,4.84,8.33,5.09,130,5.12
2024-05-28 00:00:00,5.06,Marseille,5.48,2.93,3.86,7.04,8.39,45,7.54
2024-03-02 00:00:00,7.64,Strasbourg,7.34,3.32,3.48,4.75,1.35,80,2.89
2024-02-12 00:00:00,2.2,Lille,5.5,5.81,5.87,5.23,6.72,110,8.54
2024-07-06 00:00:00,4.9,Nantes,2.0,7.18,6.79,3.95,8.72,110,3.46
2024-09-06 00:00:00,7.38,Toulouse,7.06,7.33,7.42,5.83,1.22,110,2.97
2024-09-27 00:00:00,6.95,Nantes,7.24,8.53,5.98,4.15,2.0,70,2.97
2024-04-10 00:00:00,3.98,Lille,5.64,7.3,6.01,4.73,6.68,80,4.68
2024-10-05 00:00:00,2.14,Lyon,7.92,2.28,6.28,3.32,3.69,110,7.67
2024-02-09 00:00:00,3.51,Bordeaux,4.21,6.68,2.68,3.82,6.29,70,8.17
2024-10-18 00:00:00,2.4,Paris,4.96,4.03,4.71,5.87,6.57,110,7.87
2024-08-15 00:00:00,4.69,Lille,4.09,2.61,7.82,3.03,8.08,70,6.74
2024-07-17 00:00:00,6.54,Paris,8.54,2.71,7.16,1.29,2.21,50,7.96
2024-08-14 00:00:00,3.43,Marseille,8.5,5.92,2.03,3.16,6.65,50,1.38
2024-07-24 00:00:00,1.96,Toulouse,7.19,8.79,5.05,2.15,1.77,110,5.57
2024-06-15 00:00:00,3.16,Paris,4.36,1.25,4.0,5.28,7.23,130,1.24
2024-01-15 00:00:00,1.8,Nantes,2.29,2.28,2.48,1.64,1.35,50,1.93
2024-05-20 00:00:00,2.96,Strasbourg,4.16,3.38,2.47,8.14,4.0,30,5.0
2024-06-01 00:00:00,7.43,Lyon,2.4,2.27,3.06,5.35,6.3,110,5.45
2024-01-04 00:00:00,5.55,Montpellier,1.23,1.82,2.51,6.81,8.68,30,1.54
2024-07-28 00:00:00,6.99,Marseille,1.64,4.32,5.71,6.96,6.47,50,8.77
2024-12-12 00:00:00,7.94,Bordeaux,3.31,6.97,1.91,7.81,1.46,110,6.83
2024-05-11 00:00:00,5.1,Montpellier,3.71,7.7,6.55,5.03,4.95,70,5.83
2024-07-09 00:00:00,4.13,Nice,4.65,5.75,5.38,6.66,5.22,110,5.52
2024-10-14 00:00:00,7.68,Nantes,1.85,8.0,5.53,7.95,7.48,110,6.6
2024-06-04 00:00:00,8.78,Toulouse,5.92,5.71,3.91,1.72,7.28,80,5.08
2024-06-02 00:00:00,5.62,Lyon,6.64,3.36,8.49,8.27,5.37,45,8.23
2024-05-21 00:00:00,2.23,Toulouse,3.15,7.93,3.95,8.17,3.75,130,4.36
2024-05-03 00:00:00,1.44,Nice,8.02,8.2,5.08,7.46,7.39,50,8.53
2024-02-26 00:00:00,3.78,Lyon,8.42,2.01,4.0,6.16,1.47,110,4.68
2024-07-02 00:00:00,6.17,Lyon,7.25,5.34,1.96,3.84,1.45,45,7.89
2024-10-23 00:00:00,8.61,Lyon,6.79,3.73,4.94,4.99,6.3,50,5.09
