col_date,col_intensite_veh_h,col_debit_veh_km,col_occupation_pourcent,col_ville,col_source,col_date_collecte
2024-07-13 00:00:00,6.1,4.11,3.99,Nice,SNCF_Open_Data,2024-04-07 00:00:00
2024-10-29 00:00:00,8.65,7.14,5.82,Nice,Météo-France,2024-03-06 00:00:00
2024-06-07 00:00:00,7.47,3.24,1.39,Lyon,RATP_Open_Data_2024,2024-01-20 00:00:00
2024-04-20 00:00:00,6.36,8.08,3.06,Montpellier,Airparif,2024-06-20 00:00:00
2024-11-12 00:00:00,6.27,2.77,4.31,Bordeaux,Airparif,2024-08-31 00:00:00
2024-11-26 00:00:00,5.85,2.49,6.63,Montpellier,Data.gouv.fr,2024-08-17 00:00:00
2024-09-05 00:00:00,2.07,8.3,3.13,Toulouse,SNCF_Open_Data,2024-07-29 00:00:00
2024-08-30 00:00:00,1.22,7.47,3.18,Nice,Data.gouv.fr,2024-10-12 00:00:00
2024-08-03 00:00:00,7.9,1.41,7.25,Strasbourg,Météo-France,2024-03-27 00:00:00
2024-02-24 00:00:00,1.69,8.7,8.15,Lyon,RATP_Open_Data_2024,2024-06-17 00:00:00
2024-08-19 00:00:00,8.3,5.02,1.45,Bordeaux,SNCF_Open_Data,2024-07-02 00:00:00
2024-02-18 00:00:00,5.26,1.78,4.41,Nantes,RATP_Open_Data_2024,2024-06-27 00:00:00
2024-04-27 00:00:00,8.42,1.35,4.65,Nantes,SNCF_Open_Data,2024-05-11 00:00:00
2024-10-04 00:00:00,5.38,4.04,1.3,Marseille,Data.gouv.fr,2024-09-07 00:00:00
2024-08-04 00:00:00,4.33,1.72,1.96,Marseille,Météo-France,2024-05-16 00:00:00
2024-02-05 00:00:00,8.69,3.4,7.28,Bordeaux,RATP_Open_Data_2024,2024-10-18 00:00:00
2024-03-07 00:00:00,8.13,5.49,4.5,Bordeaux,Airparif,2024-12-02 00:00:00
2024-05-25 00:00:00,8.0,1.58,1.74,Paris,SNCF_Open_Data,2024-08-15 00:00:00
2024-02-05 00:00:00,5.33,6.59,5.53,Nice,Météo-France,2024-11-04 00:00:00
2024-07-14 00:00:00,3.59,7.32,7.98,Nice,Météo-France,2024-04-01 00:00:00
2024-06-29 00:00:00,7.4,1.25,1.29,Bordeaux,SNCF_Open_Data,2024-06-01 00:00:00
2024-05-31 00:00:00,4.47,3.29,3.74,Strasbourg,SNCF_Open_Data,2024-03-26 00:00:00
2024-12-02 00:00:00,7.88,7.8,4.75,Lyon,RATP_Open_Data_2024,2024-06-26 00:00:00
2024-03-27 00:00:00,2.66,7.07,7.85,Nice,Airparif,2024-07-28 00:00:00
2024-07-23 00:00:00,5.25,3.03,7.94,Paris,Data.gouv.fr,2024-12-19 00:00:00
2024-12-10 00:00:00,8.13,7.58,6.1,Toulouse,Airparif,2024-11-16 00:00:00
2024-07-25 00:00:00,3.43,5.19,1.4,Marseille,Météo-France,2024-08-31 00:00:00
2024-03-07 00:00:00,4.35,5.41,1.97,Toulouse,RATP_Open_Data_2024,2024-01-09 00:00:00
2024-07-21 00:00:00,7.52,4.61,2.25,Strasbourg,Airparif,2024-04-25 00:00:00
2024-10-03 00:00:00,8.38,8.14,7.99,Lille,RATP_Open_Data_2024,2024-11-27 00:00:00
2024-12-04 00:00:00,5.65,4.73,6.83,Marseille,Airparif,2024-06-11 00:00:00
2024-07-09 00:00:00,1.64,2.57,8.71,Lyon,Data.gouv.fr,2024-05-31 00:00:00
2024-04-16 00:00:00,3.13,5.14,7.7,Toulouse,Data.gouv.fr,2024-09-16 00:00:00
2024-07-05 00:00:00,8.75,8.09,6.61,Marseille,RATP_Open_Data_2024,2024-12-17 00:00:00
2024-02-12 00:00:00,7.4,3.84,1.27,Nice,RATP_Open_Data_2024,2024-10-22 00:00:00
2024-02-05 00:00:00,4.93,3.39,3.74,Nantes,Data.gouv.fr,2024-12-11 00:00:00
2024-08-02 00:00:00,5.71,6.19,5.57,Paris,RATP_Open_Data_2024,2024-08-08 00:00:00
2024-10-06 00:00:00,3.96,1.32,2.88,Marseille,Data.gouv.fr,2024-08-23 00:00:00
2024-01-31 00:00:00,4.69,4.27,2.5,Montpellier,Météo-France,2024-05-06 00:00:00
2024-01-05 00:00:00,7.21,4.27,8.63,Marseille,Météo-France,2024-01-03 00:00:00
2024-06-29 00:00:00,2.04,3.91,7.38,Paris,Data.gouv.fr,2024-01-28 00:00:00
2024-10-31 00:00:00,6.51,3.31,2.81,Lille,Météo-France,2024-07-20 00:00:00
2024-07-27 00:00:00,8.15,4.16,2.04,Marseille,Data.gouv.fr,2024-06-16 00:00:00
2024-03-09 00:00:00,4.47,7.11,4.21,Bordeaux,RATP_Open_Data_2024,2024-03-03 00:00:00
2024-01-30 00:00:00,5.62,4.87,1.85,Lyon,Airparif,2024-04-23 00:00:00
2024-09-10 00:00:00,1.23,7.9,8.62,Lille,Data.gouv.fr,2024-06-28 00:00:00
2024-03-13 00:00:00,6.64,4.25,3.86,Paris,RATP_Open_Data_2024,2024-01-09 00:00:00
2024-09-03 00:00:00,5.59,4.39,1.88,Bordeaux,SNCF_Open_Data,2024-11-01 00:00:00
2024-06-18 00:00:00,6.8,6.92,3.97,Marseille,Airparif,2024-03-31 00:00:00
2024-08-22 00:00:00,8.64,3.02,2.57,Marseille,Data.gouv.fr,2024-06-29 00:00:00
2024-03-20 00:00:00,2.35,8.21,7.28,Montpellier,Data.gouv.fr,2024-06-12 00:00:00
2024-03-26 00:00:00,6.54,6.41,3.96,Marseille,SNCF_Open_Data,2024-10-05 00:00:00
2024-08-02 00:00:00,8.3,1.93,5.88,Lyon,Airparif,2024-05-30 00:00:00
2024-04-06 00:00:00,7.47,7.76,3.07,Bordeaux,Météo-France,2024-09-20 00:00:00
2024-02-02 00:00:00,4.62,6.07,5.34,Paris,Airparif,2024-10-22 00:00:00
2024-11-20 00:00:00,4.29,3.24,1.67,Strasbourg,Airparif,2024-11-14 00:00:00
2024-03-21 00:00:00,6.12,7.05,1.58,Nice,RATP_Open_Data_2024,2024-04-24 00:00:00
2024-08-22 00:00:00,7.81,8.63,5.73,Nantes,Météo-France,2024-05-21 00:00:00
2024-09-27 00:00:00,3.73,6.11,2.79,Marseille,RATP_Open_Data_2024,2024-11-29 00:00:00
2024-11-07 00:00:00,7.91,4.07,6.92,Nantes,RATP_Open_Data_2024,2024-08-26 00:00:00
2024-05-08 00:00:00,7.32,5.14,3.87,Bordeaux,Météo-France,2024-10-12 00:00:00
2024-04-20 00:00:00,1.84,3.98,6.56,Nice,Airparif,2024-07-12 00:00:00
2024-06-05 00:00:00,1.28,1.96,3.81,Paris,RATP_Open_Data_2024,2024-04-03 00:00:00
2024-04-14 00:00:00,6.71,5.01,8.4,Paris,Météo-France,2024-06-29 00:00:00
2024-06-22 00:00:00,6.14,6.8,3.1,Paris,Data.gouv.fr,2024-07-19 00:00:00
2024-12-23 00:00:00,1.34,5.26,7.57,Toulouse,Météo-France,2024-10-23 00:00:00
2024-05-04 00:00:00,4.56,1.39,8.22,Strasbourg,RATP_Open_Data_2024,2024-09-22 00:00:00
2024-04-13 00:00:00,1.32,5.93,7.8,Paris,Airparif,2024-05-12 00:00:00
2024-02-07 00:00:00,2.89,2.04,3.2,Montpellier,SNCF_Open_Data,2024-03-24 00:00:00
2024-08-04 00:00:00,2.28,7.32,2.73,Lyon,RATP_Open_Data_2024,2024-01-14 00:00:00
2024-04-30 00:00:00,7.73,3.72,5.46,Toulouse,Airparif,2024-07-23 00:00:00
2024-04-19 00:00:00,4.38,3.33,1.85,Marseille,Airparif,2024-05-19 00:00:00
2024-01-30 00:00:00,3.19,5.32,4.08,Strasbourg,RATP_Open_Data_2024,2024-12-20 00:00:00
2024-02-11 00:00:00,6.6,3.29,7.14,Nice,SNCF_Open_Data,2024-02-03 00:00:00
2024-09-05 00:00:00,7.7,8.43,5.1,Lille,RATP_Open_Data_2024,2024-02-26 00:00:00
2024-06-27 00:00:00,6.0,3.75,5.06,Paris,Airparif,2024-11-28 00:00:00
2024-09-19 00:00:00,6.32,3.9,3.49,Strasbourg,Météo-France,2024-12-16 00:00:00
2024-07-10 00:00:00,4.93,6.01,8.29,Lyon,RATP_Open_Data_2024,2024-02-04 00:00:00
2024-05-01 00:00:00,3.06,1.83,8.46,Marseille,SNCF_Open_Data,2024-07-26 00:00:00
2024-08-23 00:00:00,6.86,4.17,5.35,Nantes,RATP_Open_Data_2024,2024-05-15 00:00:00
2024-09-06 00:00:00,4.43,4.41,6.7,Montpellier,Météo-France,2024-09-11 00:00:00
2024-11-19 00:00:00,7.48,2.51,5.79,Toulouse,Météo-France,2024-09-13 00:00:00
2024-02-17 00:00:00,6.03,6.89,5.92,Lille,Météo-France,2024-01-09 00:00:00
2024-09-02 00:00:00,3.85,3.66,8.24,Nice,Airparif,2024-10-30 00:00:00
2024-04-02 00:00:00,1.24,1.95,3.95,Nantes,Météo-France,2024-03-09 00:00:00
2024-05-04 00:00:00,3.33,6.96,5.84,Strasbourg,Météo-France,2024-07-09 00:00:00
2024-04-06 00:00:00,1.27,2.2,2.61,Nantes,Data.gouv.fr,2024-05-21 00:00:00
2024-06-08 00:00:00,1.91,3.75,8.77,Marseille,Météo-France,2024-06-08 00:00:00
2024-02-27 00:00:00,3.56,1.47,3.34,Marseille,RATP_Open_Data_2024,2024-12-09 00:00:00
2024-11-12 00:00:00,4.86,1.26,1.34,Marseille,Data.gouv.fr,2024-11-21 00:00:00
2024-10-09 00:00:00,5.06,5.87,4.53,Lyon,Data.gouv.fr,2024-10-03 00:00:00
2024-01-13 00:00:00,6.49,2.89,5.95,Lyon,Airparif,2024-10-29 00:00:00
2024-09-05 00:00:00,5.69,1.24,7.85,Paris,Airparif,2024-01-20 00:00:00
2024-01-13 00:00:00,6.58,3.2,6.69,Lille,RATP_Open_Data_2024,2024-03-18 00:00:00
2024-09-17 00:00:00,2.34,7.33,3.96,Toulouse,Data.gouv.fr,2024-03-17 00:00:00
2024-05-15 00:00:00,2.89,2.04,1.81,Toulouse,Airparif,2024-03-20 00:00:00
2024-04-23 00:00:00,5.87,6.72,4.92,Montpellier,Météo-France,2024-03-27 00:00:00
2024-02-12 00:00:00,1.28,8.15,3.04,Montpellier,Data.gouv.fr,2024-02-07 00:00:00
2024-04-22 00:00:00,6.18,8.21,4.46,Montpellier,Airparif,2024-04-08 00:00:00
2024-01-19 00:00:00,5.77,8.46,5.07,Nice,Data.gouv.fr,2024-10-11 00:00:00
2024-03-11 00:00:00,8.66,3.83,8.15,Lille,Airparif,2024-08-10 00:00:00
2024-11-22 00:00:00,1.6,7.32,7.34,Lyon,Météo-France,2024-06-03 00:00:00
2024-06-07 00:00:00,6.12,8.62,6.03,Toulouse,SNCF_Open_Data,2024-12-01 00:00:00
2024-08-08 00:00:00,6.08,2.58,4.12,Lille,RATP_Open_Data_2024,2024-02-27 00:00:00
2024-06-17 00:00:00,6.3,1.21,8.75,Lyon,Airparif,2024-10-28 00:00:00
2024-10-17 00:00:00,4.19,1.33,5.09,Paris,Data.gouv.fr,2024-10-15 00:00:00
2024-08-08 00:00:00,2.0,8.07,1.31,Strasbourg,Météo-France,2024-04-01 00:00:00
2024-05-06 00:00:00,5.11,3.29,1.56,Paris,Météo-France,2024-08-14 00:00:00
2024-06-27 00:00:00,7.37,6.76,4.11,Paris,SNCF_Open_Data,2024-05-19 00:00:00
2024-12-18 00:00:00,2.24,7.59,7.5,Marseille,Météo-France,2024-04-14 00:00:00
2024-03-31 00:00:00,7.16,5.06,7.47,Montpellier,SNCF_Open_Data,2024-12-09 00:00:00
2024-07-18 00:00:00,7.33,2.65,8.67,Strasbourg,Data.gouv.fr,2024-05-09 00:00:00
2024-06-15 00:00:00,7.2,5.09,8.26,Bordeaux,Airparif,2024-07-24 00:00:00
2024-02-27 00:00:00,2.85,3.29,2.3,Toulouse,Météo-France,2024-06-28 00:00:00
2024-11-09 00:00:00,5.38,6.47,8.49,Lyon,Météo-France,2024-07-14 00:00:00
2024-02-22 00:00:00,2.11,1.67,7.83,Bordeaux,Data.gouv.fr,2024-04-18 00:00:00
2024-11-08 00:00:00,5.26,2.89,5.76,Lille,SNCF_Open_Data,2024-03-03 00:00:00
2024-09-09 00:00:00,4.43,5.53,1.52,Paris,Data.gouv.fr,2024-12-17 00:00:00
2024-03-31 00:00:00,6.09,5.56,8.72,Montpellier,SNCF_Open_Data,2024-07-13 00:00:00
2024-06-04 00:00:00,5.84,6.78,7.65,Nantes,Météo-France,2024-02-02 00:00:00
2024-09-29 00:00:00,3.73,5.64,3.92,Toulouse,Météo-France,2024-06-22 00:00:00
2024-06-14 00:00:00,1.72,5.39,6.99,Lyon,Météo-France,2024-08-04 00:00:00
2024-05-03 00:00:00,7.59,5.12,1.23,Toulouse,Airparif,2024-02-15 00:00:00
2024-04-24 00:00:00,8.51,8.35,5.42,Nantes,Data.gouv.fr,2024-06-23 00:00:00
2024-03-21 00:00:00,1.72,2.94,3.83,Nice,SNCF_Open_Data,2024-11-29 00:00:00
2024-11-08 00:00:00,6.05,8.39,4.21,Nice,Airparif,2024-01-19 00:00:00
2024-04-06 00:00:00,3.16,2.14,4.09,Bordeaux,Airparif,2024-10-13 00:00:00
2024-08-01 00:00:00,8.59,5.49,5.91,Nice,Airparif,2024-06-21 00:00:00
2024-05-02 00:00:00,6.42,2.24,8.15,Paris,RATP_Open_Data_2024,2024-01-18 00:00:00
2024-03-30 00:00:00,6.55,6.41,4.26,Marseille,Data.gouv.fr,2024-08-17 00:00:00
2024-10-03 00:00:00,2.35,2.8,7.0,Nantes,Airparif,2024-06-16 00:00:00
2024-02-17 00:00:00,6.22,5.82,2.01,Lille,Airparif,2024-12-13 00:00:00
2024-03-23 00:00:00,6.15,8.45,7.07,Nice,SNCF_Open_Data,2024-05-10 00:00:00
2024-03-22 00:00:00,7.2,2.61,5.89,Nantes,RATP_Open_Data_2024,2024-04-14 00:00:00
2024-02-25 00:00:00,1.77,3.65,3.3,Marseille,SNCF_Open_Data,2024-12-11 00:00:00
2024-02-14 00:00:00,7.11,5.3,5.61,Strasbourg,Météo-France,2024-04-04 00:00:00
2024-06-03 00:00:00,6.26,6.51,3.01,Strasbourg,RATP_Open_Data_2024,2024-04-16 00:00:00
2024-08-14 00:00:00,7.31,5.51,2.36,Montpellier,RATP_Open_Data_2024,2024-02-16 00:00:00
2024-03-13 00:00:00,6.39,1.66,7.98,Strasbourg,RATP_Open_Data_2024,2024-06-24 00:00:00
2024-03-18 00:00:00,4.3,6.26,3.84,Lyon,SNCF_Open_Data,2024-03-28 00:00:00
2024-03-22 00:00:00,7.91,4.05,7.77,Marseille,Data.gouv.fr,2024-03-14 00:00:00
2024-01-31 00:00:00,2.9,5.77,4.71,Marseille,RATP_Open_Data_2024,2024-07-21 00:00:00
2024-06-10 00:00:00,5.33,5.71,3.12,Bordeaux,SNCF_Open_Data,2024-01-26 00:00:00
2024-03-20 00:00:00,4.28,4.42,3.6,Lyon,Airparif,2024-06-03 00:00:00
2024-07-03 00:00:00,3.72,7.01,4.36,Marseille,RATP_Open_Data_2024,2024-07-13 00:00:00
2024-06-06 00:00:00,3.27,3.22,7.59,Marseille,Météo-France,2024-01-04 00:00:00
2024-08-04 00:00:00,5.16,5.84,7.91,Montpellier,RATP_Open_Data_2024,2024-12-11 00:00:00
2024-02-11 00:00:00,8.52,5.9,1.95,Nantes,RATP_Open_Data_2024,2024-10-14 00:00:00
2024-10-03 00:00:00,3.69,2.84,5.43,Nice,Airparif,2024-10-24 00:00:00
2024-05-05 00:00:00,3.07,5.79,6.35,Marseille,Data.gouv.fr,2024-11-28 00:00:00
2024-07-07 00:00:00,3.3,2.31,1.97,Bordeaux,SNCF_Open_Data,2024-12-11 00:00:00
2024-11-17 00:00:00,8.58,3.74,7.84,Montpellier,RATP_Open_Data_2024,2024-12-15 00:00:00
2024-11-22 00:00:00,1.47,4.09,1.91,Nantes,Météo-France,2024-06-14 00:00:00
