col_ville,col_code_departement,col_region,col_population,col_type_route,col_heure,col_trafic_vehicules_h,col_vitesse_moyenne_kmh,col_niveau_congestion,col_indice_congestion_1_10,col_date_scraping,col_source,col_latitude,col_longitude,col_qualite_air,col_emission_co2_g_km_moyenne,col_emission_totale_estimee_kg_h,col_lignes_metro,col_lignes_tram,col_systeme_velo,col_departement,col_jour_semaine,col_tmja,col_pourcentage_pl,col_vitesse_commerciale_kmh,col_longueur_reseau_km,col_date_mesure,col_mois,col_mois_nom,col_direction,col_classe_route,col_classement_bison,col_densite_trafic_percent,col_duree_trajet_supplementaire_min,col_est_periode_vacances,col_recommandation,col_trafic_par_habitant
Lyon,Provence-Alpes-Côte d'Azur,Bretagne,52.840208,8.67,5.62,6.93,45,6.5,5.06,2024-11-07 00:00:00,Airparif,52.840208,6.036411,6.25,3.42,2024-04-16 00:00:00,4.4,3.61,4.64,Auvergne-Rhône-Alpes,1.27,6.39,3.72,70,6.036411,2024-03-20 00:00:00,1.81,5.2,2.34,6.23,8.75,39241,6.52,OUI,2.12,2.57
Strasbourg,Île-de-France,Île-de-France,47.245241,5.62,3.0,8.68,45,8.26,2.28,2024-10-12 00:00:00,Airparif,47.245241,-0.322877,1.77,3.23,2024-12-10 00:00:00,3.71,7.36,4.5,Provence-Alpes-Côte d'Azur,6.95,7.79,7.09,130,-0.322877,2024-10-12 00:00:00,3.89,4.77,5.58,6.27,2.31,91719,2.36,OUI,6.48,5.65
Bordeaux,Pays de la Loire,Provence-Alpes-Côte d'Azur,49.429798,4.0,4.01,5.9,110,6.72,2.59,2024-05-18 00:00:00,RATP_Open_Data_2024,49.429798,-0.93675,1.8,7.5,2024-10-30 00:00:00,4.3,8.01,2.54,Bretagne,5.72,8.32,4.74,70,-0.93675,2024-07-26 00:00:00,8.3,2.99,5.62,6.62,4.59,136954,6.7,0,4.22,6.43
Bordeaux,Nouvelle-Aquitaine,Occitanie,44.933785,3.46,6.36,4.28,110,4.49,3.14,2024-09-16 00:00:00,Data.gouv.fr,44.933785,1.339607,7.64,8.2,2024-03-18 00:00:00,3.73,1.81,4.39,Normandie,8.12,7.63,6.53,30,1.339607,2024-01-25 00:00:00,1.59,6.21,5.21,6.61,1.25,194038,2.92,NON,1.61,8.11
Nantes,Occitanie,Provence-Alpes-Côte d'Azur,47.340706,5.32,2.44,3.57,70,8.65,4.59,2024-01-09 00:00:00,Météo-France,47.340706,-1.074542,4.05,8.29,2024-04-27 00:00:00,2.43,3.57,6.32,Grand Est,8.45,7.03,6.83,130,-1.074542,2024-10-31 00:00:00,6.9,6.11,2.61,1.52,6.23,105520,5.41,1,5.87,2.81
Strasbourg,Nouvelle-Aquitaine,Occitanie,48.448043,8.33,1.85,6.47,30,2.82,3.16,2024-03-27 00:00:00,Météo-France,48.448043,4.865883,3.54,2.01,2024-11-02 00:00:00,7.54,4.88,7.2,Occitanie,4.17,7.34,1.66,50,4.865883,2024-07-01 00:00:00,8.21,6.86,3.28,1.71,1.34,149277,7.7,OUI,6.59,8.28
Marseille,Bretagne,Normandie,46.038313,2.9,6.72,3.55,50,3.29,1.93,2024-10-24 00:00:00,RATP_Open_Data_2024,46.038313,5.302522,2.47,3.34,2024-06-14 00:00:00,4.88,3.65,4.01,Grand Est,1.88,8.56,8.29,70,5.302522,2024-01-09 00:00:00,4.39,8.51,1.82,8.3,6.47,133426,2.21,0,6.01,2.38
Toulouse,Nouvelle-Aquitaine,Normandie,50.297052,6.77,8.44,2.56,80,4.97,1.36,2024-08-09 00:00:00,SNCF_Open_Data,50.297052,0.322349,1.59,4.51,2024-01-28 00:00:00,4.91,5.44,3.15,Normandie,4.12,7.29,5.79,50,0.322349,2024-01-02 00:00:00,3.46,3.56,8.16,2.55,5.28,28106,4.54,1,4.06,5.17
Strasbourg,Hauts-de-France,Île-de-France,51.447272,8.11,6.66,6.4,130,6.22,8.07,2024-01-26 00:00:00,RATP_Open_Data_2024,51.447272,2.83125,3.55,3.28,2024-06-14 00:00:00,7.86,4.35,7.22,Hauts-de-France,8.48,6.55,2.64,45,2.83125,2024-08-14 00:00:00,2.6,2.11,7.15,3.55,1.9,115599,1.9,NON,3.51,6.98
Bordeaux,Auvergne-Rhône-Alpes,Hauts-de-France,47.880598,7.14,6.85,1.95,45,2.21,2.25,2024-08-01 00:00:00,Météo-France,47.880598,0.831261,7.3,3.68,2024-02-03 00:00:00,6.33,2.76,3.69,Provence-Alpes-Côte d'Azur,2.81,8.59,2.23,110,0.831261,2024-02-08 00:00:00,4.49,1.93,5.07,5.02,2.29,9985,3.44,OUI,6.69,5.65
Strasbourg,Auvergne-Rhône-Alpes,Provence-Alpes-Côte d'Azur,45.173766,7.49,7.5,3.02,30,2.97,5.2,2024-02-08 00:00:00,Météo-France,45.173766,3.818713,5.73,7.57,2024-10-05 00:00:00,6.49,1.61,4.54,Provence-Alpes-Côte d'Azur,1.57,7.83,4.14,80,3.818713,2024-04-14 00:00:00,4.99,3.98,3.4,6.34,2.2,137803,1.24,0,2.17,7.48
