col_mois,col_numero_mois,col_semaine,col_ville,col_region,col_type_route,col_jour_type,col_classement_bison,col_densite_trafic_percent,col_trafic_vehicules_jour,col_direction,col_periode,col_source,col_latitude,col_longitude,col_saison,col_recommandation_circulation,col_date,col_nom_ferie,col_type_ferie,col_est_pont,col_jour_semaine,col_variation_vs_jour_normal,col_type_jour_vacances,col_periode_vacances,col_zone_scolaire,col_trafic_moyen_journalier,col_variation_vs_moyenne,col_heure_pointe_matin,col_heure_pointe_soir,col_duree_heures_pointe,col_vitesse_moyenne_kmh,col_congestion_moyenne,col_est_jour_ouvre,col_est_weekend,col_est_ferie,col_periode_type
4.98,8.78,5.45,Strasbourg,Hauts-de-France,5.86,3.52,4.26,168501,5.17,6.31,1.8,Météo-France,49.3553,0.7645,2.51,49.3553,2024-10-10 00:00:00,1,1,4.07,4.97,4.78,OUI,NON,7.43,3.94,3.38,6.12,8.18,4.8,130,7.58,3.25,NON,NON,1.61
4.96,6.87,2.37,Nice,Normandie,1.42,4.28,2.49,23020,5.35,5.61,8.48,Airparif,48.562307,3.515806,6.39,48.562307,2024-01-13 00:00:00,0,1,2.59,4.97,7.19,0,NON,2.94,2.52,8.56,2.71,1.27,5.7,50,6.76,3.22,0,1,1.65
8.72,2.86,1.35,Nice,Grand Est,8.12,2.55,3.94,167470,6.56,7.84,4.62,Data.gouv.fr,48.955649,3.109155,5.92,48.955649,2024-03-24 00:00:00,1,0,7.36,3.02,5.87,1,1,3.92,7.25,7.64,1.76,7.26,2.24,110,2.99,3.82,0,OUI,2.7
2.56,8.35,5.46,Strasbourg,Auvergne-Rhône-Alpes,5.48,4.38,6.25,99773,6.95,1.71,7.9,Data.gouv.fr,51.703894,0.428351,1.91,51.703894,2024-10-11 00:00:00,0,NON,3.08,7.51,1.38,OUI,0,5.14,5.96,6.41,3.54,7.39,5.69,70,2.03,6.79,OUI,0,6.13
8.54,7.79,7.08,Lille,Normandie,5.45,6.84,5.81,85661,6.01,5.03,3.51,SNCF_Open_Data,47.198619,4.917853,6.9,47.198619,2024-09-11 00:00:00,NON,1,5.17,2.06,8.7,OUI,NON,4.54,3.03,1.29,7.89,8.65,6.1,80,5.27,2.89,1,0,5.05
1.47,3.36,2.06,Montpellier,Normandie,5.97,5.83,7.76,42507,8.46,5.89,5.6,RATP_Open_Data_2024,45.413223,2.677789,4.68,45.413223,2024-02-21 00:00:00,0,NON,1.26,7.67,2.84,1,NON,4.43,5.37,6.12,2.34,1.22,7.81,130,5.79,5.94,NON,0,3.56
7.95,7.2,2.9,Lyon,Normandie,3.77,3.43,3.19,167151,6.86,7.48,1.92,RATP_Open_Data_2024,47.857135,-0.101162,6.8,47.857135,2024-11-09 00:00:00,OUI,OUI,4.97,6.95,4.54,NON,OUI,6.34,3.07,5.16,1.63,7.35,6.07,50,8.74,5.69,OUI,NON,2.34
3.85,3.45,2.9,Lyon,Normandie,1.86,2.68,1.7,92718,4.25,4.51,6.51,Airparif,49.423482,5.787809,3.81,49.423482,2024-09-02 00:00:00,1,OUI,4.99,6.29,5.05,NON,0,1.59,3.51,5.73,7.47,7.86,2.28,50,4.78,1.35,NON,0,1.8
5.72,1.26,8.13,Lyon,Nouvelle-Aquitaine,5.19,6.12,6.31,138469,8.23,3.32,1.71,Data.gouv.fr,48.720293,1.199125,6.83,48.720293,2024-07-24 00:00:00,NON,NON,4.66,7.06,3.16,NON,1,7.73,4.41,2.46,1.69,3.37,3.98,130,7.24,6.31,0,0,6.7
4.95,3.8,4.38,Lille,Île-de-France,5.6,3.57,6.21,148732,6.36,2.75,5.25,RATP_Open_Data_2024,51.640821,0.220785,4.04,51.640821,2024-04-12 00:00:00,OUI,NON,7.87,5.86,2.38,1,NON,4.06,5.12,4.77,6.25,5.71,3.16,70,7.12,7.36,OUI,OUI,6.49
8.7,8.19,7.99,Nantes,Nouvelle-Aquitaine,3.23,5.45,4.68,145805,6.79,4.53,5.72,Météo-France,47.485128,5.86427,3.3,47.485128,2024-07-23 00:00:00,OUI,OUI,2.88,3.33,6.59,NON,1,1.79,1.28,4.65,8.6,2.89,8.29,30,5.04,2.84,0,0,7.21
6.77,4.55,2.33,Lyon,Auvergne-Rhône-Alpes,1.76,3.78,1.76,116052,7.6,7.0,7.74,RATP_Open_Data_2024,48.216778,5.439042,1.95,48.216778,2024-06-03 00:00:00,OUI,OUI,2.02,4.7,7.88,0,1,6.66,4.47,2.49,2.2,2.34,7.9,110,4.14,3.33,OUI,0,6.41
8.2,6.88,6.37,Lyon,Occitanie,2.26,2.78,6.04,61569,4.95,5.81,6.88,Airparif,45.897997,1.217058,6.16,45.897997,2024-08-28 00:00:00,OUI,OUI,2.42,8.22,1.45,0,OUI,5.19,2.15,8.07,4.65,7.41,5.01,30,3.17,4.53,1,NON,5.18
3.68,7.35,5.75,Toulouse,Nouvelle-Aquitaine,3.68,2.35,3.84,89199,1.76,8.3,5.57,Data.gouv.fr,52.792878,3.132641,6.74,52.792878,2024-04-19 00:00:00,OUI,1,5.38,5.26,5.53,1,0,3.95,5.19,6.13,5.27,7.3,2.1,50,6.38,7.35,OUI,NON,5.03
4.01,1.87,6.87,Strasbourg,Normandie,4.45,5.13,3.06,4487,2.64,7.17,1.88,Data.gouv.fr,52.243907,4.601353,1.75,52.243907,2024-08-07 00:00:00,NON,NON,7.66,4.49,5.95,OUI,1,1.89,2.72,8.77,8.47,4.45,8.26,30,7.2,7.21,0,NON,3.99
5.61,8.28,5.35,Lille,Bretagne,1.56,2.0,7.24,44852,2.88,2.82,7.98,SNCF_Open_Data,51.288017,-1.500223,8.23,51.288017,2024-11-23 00:00:00,OUI,0,5.34,6.78,3.72,0,NON,6.75,4.62,4.77,5.84,1.62,6.61,30,5.45,8.52,NON,0,5.43
3.92,7.16,7.06,Strasbourg,Occitanie,5.79,7.61,2.77,73109,1.21,8.16,4.27,Airparif,49.655073,-1.558694,1.33,49.655073,2024-04-30 00:00:00,0,NON,7.18,2.15,2.98,NON,0,2.51,1.95,2.81,4.86,2.43,4.91,80,7.03,3.46,0,1,7.66
7.79,3.57,4.1,Bordeaux,Provence-Alpes-Côte d'Azur,7.8,2.34,8.51,163106,5.63,3.03,7.65,Météo-France,48.753977,-0.398265,1.52,48.753977,2024-07-30 00:00:00,0,OUI,7.03,4.62,6.31,0,1,8.49,4.05,5.7,8.1,5.79,2.51,30,2.93,1.28,OUI,OUI,8.77
4.77,2.56,1.93,Montpellier,Occitanie,2.31,1.38,3.21,185090,5.03,5.04,2.15,Météo-France,45.992219,0.916718,3.53,45.992219,2024-09-22 00:00:00,0,1,3.42,2.11,4.24,0,1,5.03,2.39,1.92,3.39,8.62,3.01,80,5.33,8.41,OUI,1,2.64
1.87,1.98,7.23,Toulouse,Bretagne,6.56,4.89,5.26,151649,8.55,1.87,3.85,Météo-France,45.656406,2.825229,2.44,45.656406,2024-01-18 00:00:00,OUI,NON,2.58,2.62,5.99,1,1,5.67,5.27,1.34,3.58,6.02,4.63,110,2.15,6.87,OUI,NON,2.68
2.68,8.58,7.31,Bordeaux,Occitanie,4.43,7.73,8.38,183956,6.28,3.5,1.79,Météo-France,52.382898,5.705947,1.27,52.382898,2024-04-19 00:00:00,OUI,0,6.09,6.16,4.65,NON,NON,1.88,1.47,2.71,3.7,3.15,2.78,45,5.05,8.3,0,1,5.67
4.08,3.24,1.83,Lyon,Provence-Alpes-Côte d'Azur,7.9,5.49,2.01,173751,7.38,8.12,6.66,SNCF_Open_Data,52.159853,2.180883,3.14,52.159853,2024-05-27 00:00:00,OUI,1,5.89,4.48,3.51,NON,1,5.29,8.25,3.77,8.47,8.07,8.63,45,8.24,7.56,1,OUI,3.38
3.67,6.47,4.46,Strasbourg,Auvergne-Rhône-Alpes,2.07,3.52,8.09,124578,2.8,4.3,8.02,RATP_Open_Data_2024,50.534656,6.204821,1.45,50.534656,2024-02-13 00:00:00,NON,OUI,6.47,8.05,8.31,OUI,NON,7.17,6.29,5.71,2.44,4.17,4.81,110,4.18,6.76,OUI,NON,3.72
6.24,5.97,1.23,Lyon,Nouvelle-Aquitaine,4.85,2.33,4.36,8939,5.18,4.34,8.57,SNCF_Open_Data,46.756273,2.043506,7.15,46.756273,2024-02-22 00:00:00,NON,1,5.06,4.01,1.21,1,0,7.87,4.11,6.41,5.63,6.56,5.0,80,2.18,4.84,1,NON,8.0
7.43,4.82,3.98,Paris,Auvergne-Rhône-Alpes,8.5,4.1,8.31,151863,6.35,1.74,2.98,Météo-France,47.192536,-0.858108,7.36,47.192536,2024-11-10 00:00:00,NON,OUI,5.49,7.92,1.82,OUI,0,3.41,8.05,5.83,2.62,4.21,1.72,30,4.01,4.23,OUI,0,8.19
7.51,3.64,8.56,Nantes,Hauts-de-France,4.53,6.47,4.21,114692,5.77,5.04,5.57,RATP_Open_Data_2024,46.411419,-0.63112,5.06,46.411419,2024-07-01 00:00:00,0,1,4.52,4.75,2.3,NON,NON,1.67,5.82,8.22,5.58,6.28,2.51,30,4.34,6.98,NON,1,7.54
6.9,1.28,1.81,Bordeaux,Provence-Alpes-Côte d'Azur,7.64,1.64,4.03,85519,3.86,4.49,6.8,Airparif,50.029533,0.227233,6.56,50.029533,2024-02-12 00:00:00,1,NON,8.77,4.88,6.71,0,NON,7.39,1.3,2.62,1.2,5.78,6.9,110,8.07,7.77,NON,1,5.45
4.07,6.4,6.54,Strasbourg,Normandie,7.62,5.93,4.41,199391,2.44,2.85,1.74,Data.gouv.fr,49.75987,5.001325,3.9,49.75987,2024-02-20 00:00:00,0,0,6.98,6.11,3.07,0,0,7.56,3.48,7.08,5.19,2.11,3.77,110,7.59,7.5,OUI,NON,2.36
3.06,6.22,3.87,Nice,Nouvelle-Aquitaine,5.05,2.79,6.86,126725,3.48,2.5,3.08,SNCF_Open_Data,46.287956,-0.188012,4.37,46.287956,2024-07-17 00:00:00,NON,0,8.54,1.61,8.12,0,0,5.4,3.08,4.63,4.66,5.76,3.36,30,1.6,4.77,0,0,5.01
2.38,7.36,5.83,Marseille,Auvergne-Rhône-Alpes,5.49,3.74,2.91,58618,3.42,6.06,5.31,SNCF_Open_Data,51.065633,-1.008757,6.02,51.065633,2024-12-17 00:00:00,1,NON,3.15,3.4,7.73,0,OUI,1.53,8.43,8.41,4.34,7.78,8.69,70,2.11,5.82,OUI,OUI,2.31
5.14,5.38,1.42,Lille,Nouvelle-Aquitaine,7.71,4.63,2.77,169671,1.31,8.33,2.28,RATP_Open_Data_2024,45.046301,0.177569,6.29,45.046301,2024-03-07 00:00:00,0,OUI,8.01,3.11,7.72,NON,NON,2.7,8.38,1.26,5.14,4.32,6.77,45,8.57,1.63,NON,1,4.39
3.27,1.9,7.49,Lyon,Nouvelle-Aquitaine,3.74,7.32,6.28,99665,3.2,7.19,7.39,Météo-France,48.508759,4.095175,3.55,48.508759,2024-06-08 00:00:00,0,OUI,7.44,6.86,6.81,1,0,4.48,6.95,1.75,6.4,8.15,6.9,130,7.62,6.75,OUI,1,8.04
5.57,3.93,2.36,Marseille,Bretagne,5.4,3.18,7.64,41358,2.0,5.2,2.79,Météo-France,51.776626,0.254368,3.94,51.776626,2024-04-05 00:00:00,0,1,4.48,3.18,2.26,OUI,1,5.38,1.33,6.73,3.69,7.84,5.83,50,6.13,6.49,0,NON,5.47
5.42,2.11,4.54,Toulouse,Nouvelle-Aquitaine,3.27,8.69,1.54,19938,6.0,8.7,6.09,SNCF_Open_Data,47.803922,2.878176,4.29,47.803922,2024-03-13 00:00:00,OUI,1,8.28,4.58,6.63,NON,OUI,5.7,4.3,4.65,7.05,5.45,3.54,80,6.72,6.08,NON,1,2.16
5.26,2.06,1.85,Toulouse,Nouvelle-Aquitaine,1.38,4.28,3.98,29790,5.03,1.69,4.7,SNCF_Open_Data,51.479012,3.60549,2.86,51.479012,2024-07-23 00:00:00,1,0,4.31,4.51,2.48,OUI,1,4.03,6.73,7.27,7.73,8.41,4.24,50,6.98,2.88,0,1,5.89
6.66,7.46,8.07,Montpellier,Pays de la Loire,5.71,1.68,8.07,81691,2.62,1.43,6.37,Data.gouv.fr,46.880265,3.679495,8.65,46.880265,2024-07-29 00:00:00,NON,OUI,2.2,8.12,7.06,0,NON,4.74,1.48,4.54,6.29,2.27,3.3,70,5.53,6.83,NON,OUI,4.02
6.96,8.55,6.46,Nantes,Auvergne-Rhône-Alpes,4.72,2.43,8.06,151389,8.75,7.28,8.27,RATP_Open_Data_2024,45.521943,5.795764,4.29,45.521943,2024-05-05 00:00:00,1,1,4.82,6.85,8.4,1,NON,2.67,2.29,2.91,2.01,2.97,3.21,110,5.19,2.15,NON,0,8.49
5.63,4.59,7.43,Lyon,Pays de la Loire,2.62,3.19,4.76,91319,1.2,1.45,8.75,Airparif,51.105958,6.095233,1.68,51.105958,2024-06-05 00:00:00,1,NON,7.66,4.42,4.89,OUI,0,1.75,6.49,4.41,4.73,6.43,3.06,70,5.76,7.31,NON,0,5.96
6.88,6.82,7.84,Strasbourg,Île-de-France,7.06,6.87,5.47,180590,5.3,7.75,3.12,Météo-France,52.175285,2.88522,6.1,52.175285,2024-12-05 00:00:00,1,NON,1.55,3.68,5.33,0,0,1.35,4.92,4.78,1.96,7.91,4.55,50,7.32,6.36,OUI,0,3.41
1.61,4.15,5.42,Montpellier,Occitanie,4.03,6.48,8.07,157823,5.9,8.49,6.98,RATP_Open_Data_2024,49.338639,0.265074,4.46,49.338639,2024-05-22 00:00:00,0,0,5.51,2.6,7.69,1,0,3.67,1.28,1.82,3.53,3.32,5.67,45,8.22,3.32,0,OUI,1.25
5.75,7.68,6.41,Lyon,Grand Est,8.31,1.59,8.41,174023,2.95,2.85,3.81,SNCF_Open_Data,46.938482,4.552582,1.48,46.938482,2024-05-28 00:00:00,1,0,5.86,5.36,4.76,NON,NON,7.33,2.22,6.29,6.08,4.01,2.25,45,3.97,6.09,OUI,0,6.6
2.8,3.07,8.17,Lyon,Pays de la Loire,1.74,7.8,5.0,156004,6.92,5.05,6.85,SNCF_Open_Data,46.68895,1.712699,7.24,46.68895,2024-09-18 00:00:00,1,0,5.13,8.56,5.76,NON,1,4.15,1.31,3.93,3.19,3.05,1.82,45,8.78,4.34,OUI,0,8.57
1.35,5.31,1.52,Lyon,Grand Est,7.4,6.29,7.15,42323,4.54,4.51,1.76,Data.gouv.fr,50.827128,3.030333,5.9,50.827128,2024-07-20 00:00:00,OUI,OUI,2.27,1.55,4.7,OUI,NON,1.61,8.73,3.25,5.42,6.57,1.85,80,2.89,3.3,0,1,4.74
3.69,7.22,7.07,Bordeaux,Île-de-France,1.57,2.03,5.21,72754,7.82,6.73,4.79,Data.gouv.fr,49.141338,6.031085,5.42,49.141338,2024-05-31 00:00:00,OUI,NON,5.03,7.99,1.69,OUI,NON,4.43,6.22,8.78,2.55,6.56,2.99,50,5.37,3.73,NON,OUI,6.76
5.78,4.0,4.98,Lille,Île-de-France,5.41,5.3,3.25,124869,3.51,3.77,4.0,Data.gouv.fr,50.565909,4.458244,3.37,50.565909,2024-05-09 00:00:00,NON,OUI,4.25,1.44,4.36,1,OUI,5.87,5.08,1.42,5.47,8.2,2.26,130,6.64,5.3,NON,OUI,4.16
4.05,8.38,1.99,Lille,Normandie,5.68,7.4,7.11,132454,4.01,3.54,5.45,RATP_Open_Data_2024,52.517404,3.071201,5.3,52.517404,2024-07-06 00:00:00,NON,0,2.49,3.38,5.72,0,1,2.02,6.25,2.74,3.52,2.05,3.16,70,2.73,3.87,NON,OUI,2.33
4.32,7.9,2.52,Paris,Nouvelle-Aquitaine,2.96,2.39,5.46,161227,5.48,2.23,3.48,Airparif,49.838953,4.286488,4.75,49.838953,2024-10-21 00:00:00,NON,1,3.42,6.87,3.21,1,1,2.19,2.1,1.3,8.09,4.82,2.89,70,2.28,7.84,0,1,2.92
1.96,4.53,7.72,Strasbourg,Occitanie,4.96,5.2,3.73,160719,8.38,1.28,7.46,RATP_Open_Data_2024,45.266306,6.291846,8.79,45.266306,2024-02-19 00:00:00,0,1,3.79,6.11,4.24,1,1,8.56,7.63,8.39,6.9,5.8,4.6,80,2.74,5.55,0,1,4.92
1.98,4.31,8.33,Nice,Hauts-de-France,7.75,8.49,1.41,144151,7.64,4.37,2.87,Data.gouv.fr,52.778445,0.324417,4.59,52.778445,2024-07-08 00:00:00,OUI,OUI,3.64,4.45,4.7,OUI,OUI,8.67,2.66,1.39,3.58,6.54,5.23,110,4.41,8.25,OUI,1,1.66
5.7,5.92,1.58,Nice,Auvergne-Rhône-Alpes,2.13,2.58,3.24,100966,6.45,3.06,1.3,RATP_Open_Data_2024,48.322573,5.314956,6.71,48.322573,2024-06-30 00:00:00,0,OUI,6.2,3.47,6.16,NON,1,8.68,1.22,2.24,5.41,3.89,8.6,45,7.47,2.33,OUI,OUI,4.84
4.81,1.39,2.65,Marseille,Occitanie,6.98,1.61,2.33,187075,8.38,2.77,8.54,Data.gouv.fr,51.031508,1.605192,7.96,51.031508,2024-06-10 00:00:00,1,OUI,2.62,4.57,8.28,0,OUI,3.05,5.36,3.19,8.69,1.93,2.33,30,3.29,6.88,1,OUI,2.28
5.96,3.61,5.53,Bordeaux,Hauts-de-France,3.81,1.59,5.28,120577,4.27,7.36,3.44,Météo-France,52.244649,3.517702,8.2,52.244649,2024-01-10 00:00:00,OUI,1,8.01,5.94,1.56,1,0,6.84,6.11,2.69,6.19,6.83,2.03,45,4.39,6.14,OUI,1,8.54
5.79,7.26,1.69,Lille,Occitanie,7.96,7.01,1.24,100485,6.02,3.82,4.65,SNCF_Open_Data,52.666179,4.221732,5.83,52.666179,2024-02-03 00:00:00,0,1,2.97,6.01,2.05,0,NON,5.69,1.62,2.62,6.15,1.7,1.49,130,2.61,4.52,1,0,8.54
7.49,6.17,7.8,Nice,Provence-Alpes-Côte d'Azur,6.59,4.06,5.08,106366,6.26,7.79,6.25,SNCF_Open_Data,47.097137,4.922586,3.8,47.097137,2024-08-12 00:00:00,NON,1,1.72,2.42,1.35,NON,OUI,7.11,3.05,2.52,7.04,7.69,3.46,30,7.74,6.43,NON,NON,5.53
7.77,4.72,4.84,Lyon,Nouvelle-Aquitaine,3.36,3.32,4.85,165739,7.63,7.13,8.62,Météo-France,50.311255,3.191379,2.76,50.311255,2024-05-07 00:00:00,OUI,OUI,3.24,4.45,8.46,NON,NON,7.4,2.87,8.78,3.64,1.59,8.55,30,4.06,2.72,0,OUI,6.46
4.08,8.04,3.49,Montpellier,Normandie,5.1,7.49,5.73,56004,3.16,5.46,2.54,Météo-France,45.098532,4.191179,1.33,45.098532,2024-01-23 00:00:00,0,0,5.0,3.14,6.68,OUI,OUI,5.43,6.51,4.36,7.27,7.22,8.13,50,4.65,1.89,0,OUI,6.58
6.19,6.1,5.86,Strasbourg,Occitanie,1.24,7.15,5.55,167587,2.51,4.36,4.99,Data.gouv.fr,50.397816,0.193102,2.08,50.397816,2024-09-24 00:00:00,OUI,NON,3.64,6.77,3.35,0,OUI,7.98,8.04,3.02,2.54,3.55,6.52,70,7.99,7.43,0,NON,7.05
2.66,5.48,1.56,Lyon,Hauts-de-France,8.73,3.49,1.7,153655,1.86,7.52,6.52,Data.gouv.fr,50.037264,5.935525,4.33,50.037264,2024-03-10 00:00:00,OUI,NON,1.98,6.76,5.84,0,NON,8.76,5.2,2.45,7.57,4.34,5.62,50,5.4,4.64,0,OUI,5.6
7.13,8.3,1.99,Strasbourg,Bretagne,6.8,3.77,7.52,5268,5.63,3.21,8.27,Météo-France,45.432168,3.228416,5.6,45.432168,2024-04-13 00:00:00,NON,NON,7.66,5.3,7.48,0,NON,7.46,4.82,2.95,5.29,4.69,3.53,110,7.92,2.43,NON,1,2.86
2.39,7.24,4.81,Paris,Provence-Alpes-Côte d'Azur,5.79,2.94,5.72,48960,2.22,5.35,5.31,Data.gouv.fr,51.067829,3.966604,4.86,51.067829,2024-03-26 00:00:00,OUI,OUI,7.11,5.83,6.28,NON,NON,3.03,4.39,6.03,2.41,8.6,6.0,70,2.32,6.27,OUI,OUI,2.11
1.63,1.24,4.78,Bordeaux,Nouvelle-Aquitaine,5.43,4.51,2.09,34978,3.72,3.05,8.02,RATP_Open_Data_2024,50.785651,2.085737,5.59,50.785651,2024-01-14 00:00:00,NON,1,1.92,7.91,4.01,OUI,1,5.61,3.58,4.65,6.51,1.47,1.88,80,1.51,8.31,NON,0,4.69
5.57,1.96,7.68,Lille,Auvergne-Rhône-Alpes,5.11,5.04,1.91,42227,6.4,6.09,6.87,Airparif,45.728807,-0.515951,8.47,45.728807,2024-04-16 00:00:00,OUI,NON,5.02,5.41,2.67,1,0,8.65,5.91,8.5,4.39,1.6,1.83,50,4.27,1.47,OUI,NON,8.49
7.87,8.12,3.83,Nice,Hauts-de-France,1.82,8.15,3.03,146912,5.63,7.17,4.56,Airparif,46.636906,5.153176,2.59,46.636906,2024-04-16 00:00:00,1,0,4.79,5.96,3.79,1,OUI,1.32,4.33,8.55,3.92,4.69,4.56,130,5.3,8.21,NON,OUI,2.33
7.22,2.81,1.36,Strasbourg,Auvergne-Rhône-Alpes,1.31,3.89,8.45,42414,2.72,7.89,5.81,RATP_Open_Data_2024,46.371449,4.216595,2.03,46.371449,2024-09-25 00:00:00,NON,1,6.82,3.37,7.8,1,0,3.92,1.4,8.06,4.42,2.67,8.17,110,8.01,5.74,OUI,OUI,4.97
2.74,7.72,7.04,Nantes,Auvergne-Rhône-Alpes,6.19,7.89,1.92,9226,3.67,6.53,1.85,Météo-France,47.963309,3.604691,1.85,47.963309,2024-03-20 00:00:00,0,OUI,4.92,7.4,6.82,0,OUI,4.35,6.12,7.62,8.46,5.39,6.62,50,4.13,1.42,OUI,OUI,5.07
8.31,5.01,8.11,Marseille,Normandie,2.38,6.61,7.86,47343,6.56,5.32,2.51,Météo-France,44.932399,2.050662,8.66,44.932399,2024-06-03 00:00:00,1,NON,6.01,7.37,6.36,1,NON,8.58,4.12,5.64,6.72,2.94,6.23,70,4.52,5.82,NON,NON,8.45
8.79,6.0,6.52,Marseille,Pays de la Loire,5.37,5.18,2.71,105981,7.57,1.6,3.85,Météo-France,50.431648,4.91191,4.48,50.431648,2024-07-07 00:00:00,1,0,7.38,4.23,2.74,NON,0,4.66,4.02,6.88,4.18,1.9,1.35,70,1.59,8.3,OUI,0,5.34
4.03,6.77,2.01,Paris,Bretagne,1.28,5.69,7.81,138863,2.04,8.38,6.6,RATP_Open_Data_2024,45.929546,-0.876736,5.4,45.929546,2024-04-20 00:00:00,NON,NON,6.53,5.25,5.69,1,OUI,4.99,8.62,6.99,5.88,6.54,7.72,45,3.46,5.2,0,1,1.83
2.0,3.63,5.85,Lyon,Île-de-France,6.68,4.8,2.52,27707,5.48,1.42,3.0,SNCF_Open_Data,46.26262,2.168776,2.44,46.26262,2024-05-22 00:00:00,NON,NON,4.2,7.8,6.83,0,OUI,1.5,3.06,5.9,2.16,1.74,4.67,30,3.68,3.48,1,OUI,5.55
2.62,4.02,8.18,Paris,Normandie,1.57,5.05,4.41,70121,7.91,8.19,2.92,Airparif,45.070498,5.740095,4.44,45.070498,2024-11-27 00:00:00,0,0,2.2,2.44,2.71,0,1,8.11,6.52,3.86,2.98,5.03,1.84,30,7.57,5.73,0,NON,6.58
4.3,4.66,4.81,Lyon,Nouvelle-Aquitaine,5.68,2.73,4.63,140224,7.17,7.6,5.39,SNCF_Open_Data,51.628744,6.313004,6.9,51.628744,2024-10-14 00:00:00,1,0,3.74,4.21,6.54,1,NON,2.87,3.19,2.42,1.72,4.87,5.28,130,5.57,7.59,0,0,1.3
4.48,1.92,1.9,Nice,Hauts-de-France,1.25,4.94,4.96,137142,6.13,6.7,7.65,Data.gouv.fr,50.862554,2.070364,5.93,50.862554,2024-08-05 00:00:00,NON,NON,7.55,2.43,1.75,1,0,1.58,5.92,4.06,6.94,4.3,1.54,50,3.76,6.73,1,1,4.13
1.33,7.73,1.83,Strasbourg,Nouvelle-Aquitaine,3.87,2.43,3.77,98825,7.33,6.0,5.04,Airparif,50.490781,4.459053,4.12,50.490781,2024-06-27 00:00:00,0,0,4.24,6.56,2.33,NON,NON,6.89,2.97,3.08,6.25,7.66,2.24,30,7.29,3.23,OUI,0,3.1
4.45,6.45,3.05,Nice,Île-de-France,7.5,2.08,4.33,110313,8.38,8.67,8.23,RATP_Open_Data_2024,52.289448,5.277202,1.24,52.289448,2024-10-24 00:00:00,NON,OUI,2.53,7.25,5.68,OUI,0,4.76,5.54,8.14,4.69,4.71,6.71,130,1.77,7.17,NON,1,6.02
