col_ville,col_region,col_reseau,col_mode,col_ligne,col_nom_ligne,col_heure,col_capacite_theorique,col_charge_percent,col_taux_remplissage,col_voyageurs_estimes,col_densite,col_longueur_km,col_nb_stations,col_efficacite_score,col_date_scraping,col_voyageurs_total_jour,col_voyages_par_km,col_cout_exploitation_euro,col_revenu_estime_euro,col_rentabilite_euro,col_ratio_rentabilite_percent,col_statut,col_date_analyse,col_type_action,col_action,col_impact_estime,col_delai,col_nb_lignes,col_voyageurs_total,col_charge_moyenne,col_efficacite_moyenne
Bordeaux,Occitanie,7.99,Tramway,6.45,Ligne B,5.65,800,6.29,6.69,2024-11-28 00:00:00,29013,3.601986,Montparnasse 6,4.68,2024-04-23 00:00:00,8.72,5.75,8.79,2024-09-24 00:00:00,8.62,1.8,2.96,2024-09-24 00:00:00,4.61,7.47,2024-08-14 00:00:00,5.08,5.4,1.43,1.61,4.96
Lille,Provence-Alpes-Côte d'Azur,2.95,Bus RATP,2.75,Ligne T2,2.46,350,6.48,3.14,2024-07-08 00:00:00,27192,2.085893,Matabiau 5,7.67,2024-02-22 00:00:00,7.68,2.93,8.15,2024-12-19 00:00:00,6.01,1.71,4.74,2024-02-24 00:00:00,7.63,2.84,2024-06-04 00:00:00,8.67,3.73,1.51,4.71,8.62
Nantes,Nouvelle-Aquitaine,5.7,Métro,4.37,Ligne A,4.07,350,2.41,1.69,2024-01-19 00:00:00,73086,-1.614872,Haussmann Saint-Lazare 5,5.08,2024-09-11 00:00:00,1.75,3.38,1.42,2024-02-21 00:00:00,7.12,1.68,8.62,2024-09-22 00:00:00,2.67,3.37,2024-11-25 00:00:00,3.36,4.36,3.77,6.62,6.36
Lyon,Auvergne-Rhône-Alpes,1.39,Bus RATP,4.5,Ligne 14,4.13,5,8.53,8.72,2024-05-01 00:00:00,132254,2.215351,Part-Dieu 8,7.41,2024-01-14 00:00:00,1.23,4.66,6.31,2024-05-08 00:00:00,8.59,5.29,4.01,2024-02-19 00:00:00,2.61,2.77,2024-04-19 00:00:00,2.26,3.89,4.02,5.14,8.53
Nantes,Grand Est,4.24,RER,2.69,Ligne T2,8.19,50,4.82,5.77,2024-08-10 00:00:00,12993,-0.94513,Haussmann Saint-Lazare 8,1.97,2024-01-16 00:00:00,5.47,8.01,5.13,2024-11-11 00:00:00,5.17,4.82,2.7,2024-01-17 00:00:00,4.48,8.08,2024-06-30 00:00:00,6.16,2.94,2.33,5.99,3.75
Montpellier,Île-de-France,2.66,Transilien,1.97,Ligne M1,7.21,800,8.2,2.62,2024-06-28 00:00:00,173739,2.149038,Matabiau 6,4.09,2024-04-27 00:00:00,2.81,5.93,3.71,2024-01-14 00:00:00,3.15,3.69,2.49,2024-03-19 00:00:00,5.72,3.82,2024-08-03 00:00:00,5.55,4.68,5.68,8.5,2.23
Toulouse,Île-de-France,2.58,TER,5.08,Ligne C,8.73,800,4.58,7.95,2024-07-02 00:00:00,87013,2.478413,Montparnasse 2,8.56,2024-05-21 00:00:00,3.1,7.72,1.28,2024-11-07 00:00:00,1.35,5.99,3.15,2024-01-11 00:00:00,6.08,7.9,2024-03-26 00:00:00,4.12,1.84,4.13,8.27,7.99
Paris,Hauts-de-France,5.58,TER,2.21,Ligne 14,7.87,120,2.01,6.85,2024-07-22 00:00:00,173396,2.516135,Montparnasse 1,8.77,2024-12-04 00:00:00,4.96,8.66,4.44,2024-01-10 00:00:00,5.35,1.54,3.94,2024-08-10 00:00:00,2.6,3.89,2024-04-15 00:00:00,7.87,4.38,1.45,1.99,8.08
Paris,Hauts-de-France,3.36,Tramway,8.21,Ligne A,3.79,350,5.68,2.38,2024-05-25 00:00:00,112690,5.96864,Gare de l'Est 6,4.95,2024-11-02 00:00:00,2.03,6.42,7.57,2024-12-10 00:00:00,4.17,7.58,1.56,2024-03-20 00:00:00,7.67,5.33,2024-04-22 00:00:00,7.29,2.19,5.86,4.28,6.42
Montpellier,Île-de-France,7.23,Bus RATP,6.11,Ligne B,2.82,5,5.74,4.65,2024-08-08 00:00:00,106882,5.494119,Haussmann Saint-Lazare 8,8.45,2024-04-13 00:00:00,8.73,5.22,2.74,2024-05-30 00:00:00,1.51,4.34,3.26,2024-06-24 00:00:00,5.19,6.62,2024-05-30 00:00:00,2.2,7.86,2.86,1.58,4.8
Lille,Grand Est,1.97,Tramway,6.85,Ligne 1,2.14,120,2.43,5.63,2024-10-25 00:00:00,139408,2.99854,Montparnasse 6,3.43,2024-06-12 00:00:00,7.37,2.15,4.69,2024-05-10 00:00:00,7.01,2.85,8.11,2024-03-15 00:00:00,8.68,8.79,2024-04-10 00:00:00,6.86,6.88,8.56,4.73,6.24
Lyon,Pays de la Loire,4.7,Tramway,5.18,Ligne T2,4.23,120,5.57,8.16,2024-03-21 00:00:00,55276,5.496855,Haussmann Saint-Lazare 3,4.9,2024-07-06 00:00:00,3.81,7.08,4.19,2024-10-22 00:00:00,5.13,4.58,3.42,2024-01-04 00:00:00,1.48,5.93,2024-06-27 00:00:00,5.2,8.66,4.11,4.75,2.99
Nice,Bretagne,4.04,Métro,8.36,Ligne M1,4.79,5,5.03,4.04,2024-03-24 00:00:00,140666,4.934772,Matabiau 7,8.57,2024-06-21 00:00:00,8.01,2.77,8.61,2024-01-18 00:00:00,8.36,6.28,4.14,2024-05-13 00:00:00,7.18,7.13,2024-05-02 00:00:00,5.73,5.37,8.67,3.68,8.68
Bordeaux,Bretagne,8.75,Tramway,8.52,Ligne M1,2.32,5,6.77,3.42,2024-08-10 00:00:00,43719,0.066807,Saint-Jean 9,2.1,2024-09-04 00:00:00,3.35,1.99,8.35,2024-07-16 00:00:00,8.11,4.54,2.92,2024-04-15 00:00:00,3.29,5.94,2024-02-22 00:00:00,1.79,7.53,7.46,3.36,2.86
Lyon,Occitanie,1.69,TGV,4.33,Ligne T2,4.54,120,8.69,4.96,2024-07-26 00:00:00,189055,0.826168,Saint-Charles 1,7.7,2024-07-05 00:00:00,8.38,1.37,5.16,2024-12-22 00:00:00,4.95,7.56,8.01,2024-01-03 00:00:00,5.84,8.03,2024-12-12 00:00:00,7.28,8.8,5.97,4.99,8.53
Lille,Grand Est,7.38,Bus RATP,1.54,Ligne A,1.95,5,2.8,5.95,2024-08-20 00:00:00,108574,4.851587,Montparnasse 5,5.82,2024-04-19 00:00:00,1.24,6.75,4.27,2024-10-13 00:00:00,4.02,6.7,6.22,2024-09-25 00:00:00,7.88,5.26,2024-08-08 00:00:00,3.25,6.45,5.71,8.13,3.09
Lille,Île-de-France,7.67,TGV,2.41,Ligne A,7.13,50,6.7,7.93,2024-05-25 00:00:00,74098,4.319535,Gare de l'Est 2,3.92,2024-07-16 00:00:00,8.34,1.86,2.62,2024-10-30 00:00:00,3.01,7.76,8.4,2024-01-28 00:00:00,8.78,3.96,2024-11-23 00:00:00,3.35,4.27,5.01,8.46,8.28
Nice,Hauts-de-France,2.23,TGV,1.73,Ligne 1,4.75,350,3.74,6.9,2024-07-27 00:00:00,99407,-1.393561,Gare du Nord 6,6.78,2024-10-26 00:00:00,4.45,8.15,3.39,2024-05-28 00:00:00,8.75,8.46,3.25,2024-01-11 00:00:00,7.85,6.54,2024-07-19 00:00:00,3.66,4.87,5.42,7.54,4.31
Nantes,Hauts-de-France,3.87,RER,8.6,Ligne T2,8.29,800,8.44,4.13,2024-05-29 00:00:00,165444,-0.623723,Saint-Jean 8,1.24,2024-12-23 00:00:00,3.74,6.91,4.55,2024-04-15 00:00:00,5.4,6.98,1.44,2024-06-21 00:00:00,8.31,5.09,2024-10-23 00:00:00,4.73,4.83,5.81,2.88,5.76
Toulouse,Pays de la Loire,2.41,Transilien,6.46,Ligne B,4.08,350,7.54,5.24,2024-08-04 00:00:00,66074,2.22074,Part-Dieu 6,2.25,2024-06-27 00:00:00,5.27,2.66,2.32,2024-04-02 00:00:00,2.5,1.51,5.76,2024-09-07 00:00:00,2.92,8.53,2024-10-01 00:00:00,6.4,3.44,2.82,2.83,8.09
Strasbourg,Bretagne,1.9,Tramway,3.24,Ligne T2,8.41,800,7.47,2.98,2024-07-18 00:00:00,155945,3.862081,Gare de l'Est 4,8.07,2024-12-20 00:00:00,4.12,4.79,1.51,2024-06-01 00:00:00,3.44,6.49,2.11,2024-03-31 00:00:00,2.01,3.56,2024-09-21 00:00:00,8.34,4.39,6.94,5.06,3.04
Paris,Occitanie,3.15,Bus RATP,5.33,Ligne 1,2.88,350,2.87,1.82,2024-08-13 00:00:00,10832,1.379149,Part-Dieu 8,1.83,2024-06-20 00:00:00,5.04,4.04,1.47,2024-05-02 00:00:00,5.43,4.89,2.9,2024-09-24 00:00:00,2.93,5.88,2024-06-14 00:00:00,8.18,4.96,2.36,2.27,3.51
Montpellier,Nouvelle-Aquitaine,4.4,TER,3.35,Ligne A,6.82,50,4.36,8.06,2024-05-11 00:00:00,31742,1.120446,Part-Dieu 3,6.53,2024-09-15 00:00:00,2.77,7.92,5.02,2024-12-04 00:00:00,2.37,8.38,8.45,2024-05-07 00:00:00,2.85,2.36,2024-07-18 00:00:00,4.89,7.52,8.69,4.37,7.4
Toulouse,Normandie,5.63,Transilien,8.79,Ligne 14,7.61,120,1.98,1.56,2024-02-07 00:00:00,67453,0.250732,Part-Dieu 4,6.86,2024-08-02 00:00:00,3.14,2.3,7.29,2024-04-27 00:00:00,5.47,5.53,8.07,2024-07-04 00:00:00,8.6,3.48,2024-11-03 00:00:00,6.89,2.5,1.95,5.69,7.0
Montpellier,Pays de la Loire,3.32,Tramway,8.26,Ligne B,6.89,50,2.13,8.09,2024-06-19 00:00:00,178939,0.384286,Part-Dieu 1,7.62,2024-01-10 00:00:00,1.85,1.33,3.49,2024-12-08 00:00:00,7.3,6.6,5.85,2024-12-26 00:00:00,5.55,2.42,2024-05-24 00:00:00,2.52,5.29,1.51,4.22,6.9
Strasbourg,Auvergne-Rhône-Alpes,1.71,TGV,7.96,Ligne C,5.89,50,2.95,3.84,2024-09-20 00:00:00,66444,0.702377,Haussmann Saint-Lazare 4,6.76,2024-11-16 00:00:00,7.19,5.7,3.48,2024-10-04 00:00:00,1.71,1.32,7.29,2024-12-20 00:00:00,1.93,3.36,2024-04-09 00:00:00,7.03,6.64,6.36,1.32,6.37
