col_ligne,col_station,col_trafic_annuel,col_ville,col_source,col_date_collecte,col_nombre_stations,col_longueur_km,col_frequence_moyenne_min,col_trafic_journalier
6.15,Saint-Charles 1,2.53,Strasbourg,Airparif,2024-12-16 00:00:00,Gare de Lyon 6,5.508525,2.56,5.13
4.13,Gare de Lyon 9,7.12,Nantes,Data.gouv.fr,2024-10-15 00:00:00,Haussmann Saint-Lazare 5,3.92421,8.5,2.55
2.08,Gare de Lyon 6,3.09,Marseille,Data.gouv.fr,2024-12-15 00:00:00,Part-Dieu 3,5.980801,6.06,3.82
2.4,Gare du Nord 4,5.48,Paris,Airparif,2024-10-18 00:00:00,Gare de l'Est 2,1.42817,8.56,2.39
6.41,Part-Dieu 2,6.49,Nantes,RATP_Open_Data_2024,2024-09-18 00:00:00,Gare de Lyon 3,4.111518,7.25,8.54
8.22,Saint-Charles 6,4.72,Montpellier,Météo-France,2024-09-27 00:00:00,Montparnasse 9,0.460909,3.33,7.54
6.0,Gare de Lyon 4,1.69,Strasbourg,Météo-France,2024-08-29 00:00:00,Saint-Charles 8,0.927776,2.84,1.35
8.0,Saint-Jean 3,6.06,Toulouse,Météo-France,2024-01-19 00:00:00,Saint-Jean 5,4.100668,3.15,4.54
5.01,Montparnasse 3,7.44,Strasbourg,Data.gouv.fr,2024-09-25 00:00:00,Part-Dieu 4,3.768354,2.1,1.82
8.17,Saint-Jean 6,2.92,Nantes,Airparif,2024-10-13 00:00:00,Part-Dieu 5,2.520202,4.9,2.17
3.42,Saint-Charles 2,2.29,Bordeaux,Météo-France,2024-09-03 00:00:00,Haussmann Saint-Lazare 3,0.753735,8.61,7.75
7.7,Gare de l'Est 8,3.73,Nice,Airparif,2024-05-18 00:00:00,Part-Dieu 5,-0.978755,5.61,1.4
3.03,Saint-Charles 4,7.55,Toulouse,RATP_Open_Data_2024,2024-12-26 00:00:00,Saint-Jean 8,4.198807,5.26,6.88
6.76,Montparnasse 8,5.84,Bordeaux,Météo-France,2024-04-21 00:00:00,Saint-Charles 9,2.369801,6.02,1.89
7.53,Gare de Lyon 7,3.59,Lille,Airparif,2024-05-01 00:00:00,Montparnasse 1,2.256199,1.8,7.29
6.31,Gare de l'Est 6,5.27,Nice,Météo-France,2024-04-17 00:00:00,Gare du Nord 5,-0.090818,6.56,7.03
6.19,Saint-Charles 7,7.11,Toulouse,Data.gouv.fr,2024-07-16 00:00:00,Montparnasse 3,2.964153,1.4,6.27
5.21,Saint-Jean 8,2.77,Montpellier,Météo-France,2024-06-02 00:00:00,Part-Dieu 4,1.434771,6.09,5.26
