col_event_id,col_time_id,col_line_id,col_stop_id,col_heure_theorique,col_heure_reelle,col_retard_s,col_annule,col_charge_estimee,col_vehicle_id
ID_000,ID_000,ID_000,ID_000,3.45,7.28,4.26,8.05,2024-05-03 00:00:00,ID_000
ID_001,ID_001,ID_001,ID_001,7.55,7.35,8.47,6.9,2024-12-19 00:00:00,ID_001
ID_002,ID_002,ID_002,ID_002,3.42,4.29,6.8,7.67,2024-01-02 00:00:00,ID_002
ID_003,ID_003,ID_003,ID_003,4.51,3.03,1.65,7.13,2024-07-01 00:00:00,ID_003
ID_004,ID_004,ID_004,ID_004,5.07,8.25,2.31,6.31,2024-04-18 00:00:00,ID_004
ID_005,ID_005,ID_005,ID_005,3.08,1.3,4.35,7.12,2024-07-19 00:00:00,ID_005
ID_006,ID_006,ID_006,ID_006,7.37,6.44,2.4,6.77,2024-03-14 00:00:00,ID_006
ID_007,ID_007,ID_007,ID_007,8.27,7.27,1.89,7.45,2024-01-03 00:00:00,ID_007
ID_008,ID_008,ID_008,ID_008,8.47,7.98,5.2,5.16,2024-11-11 00:00:00,ID_008
ID_009,ID_009,ID_009,ID_009,7.33,2.18,1.88,1.7,2024-09-10 00:00:00,ID_009
ID_010,ID_010,ID_010,ID_010,4.58,2.91,7.27,8.25,2024-10-02 00:00:00,ID_010
ID_011,ID_011,ID_011,ID_011,5.46,7.19,2.02,8.12,2024-12-16 00:00:00,ID_011
ID_012,ID_012,ID_012,ID_012,6.69,4.04,6.77,8.61,2024-12-12 00:00:00,ID_012
ID_013,ID_013,ID_013,ID_013,4.28,7.97,5.63,5.81,2024-05-24 00:00:00,ID_013
ID_014,ID_014,ID_014,ID_014,8.11,4.6,2.31,1.27,2024-09-07 00:00:00,ID_014
ID_015,ID_015,ID_015,ID_015,8.6,2.39,6.27,5.81,2024-05-09 00:00:00,ID_015
ID_016,ID_016,ID_016,ID_016,7.37,6.36,7.45,1.62,2024-09-13 00:00:00,ID_016
ID_017,ID_017,ID_017,ID_017,3.67,2.67,5.75,3.48,2024-11-05 00:00:00,ID_017
ID_018,ID_018,ID_018,ID_018,4.76,2.06,8.16,1.66,2024-04-27 00:00:00,ID_018
ID_019,ID_019,ID_019,ID_019,2.2,7.25,3.87,8.74,2024-08-20 00:00:00,ID_019
ID_020,ID_020,ID_020,ID_020,7.65,1.68,4.03,2.34,2024-09-07 00:00:00,ID_020
ID_021,ID_021,ID_021,ID_021,5.36,4.22,6.25,7.4,2024-05-22 00:00:00,ID_021
ID_022,ID_022,ID_022,ID_022,5.06,3.73,1.82,7.5,2024-01-21 00:00:00,ID_022
ID_023,ID_023,ID_023,ID_023,2.05,4.36,6.68,7.47,2024-05-16 00:00:00,ID_023
ID_024,ID_024,ID_024,ID_024,8.15,5.59,5.81,3.02,2024-06-22 00:00:00,ID_024
ID_025,ID_025,ID_025,ID_025,4.95,8.03,8.43,4.08,2024-05-27 00:00:00,ID_025
ID_026,ID_026,ID_026,ID_026,5.54,5.93,1.71,8.42,2024-03-02 00:00:00,ID_026
ID_027,ID_027,ID_027,ID_027,5.1,5.43,3.88,7.37,2024-02-10 00:00:00,ID_027
