col_event_id,col_time_id,col_line_id,col_stop_id,col_heure_theorique,col_heure_reelle,col_retard_s,col_annule,col_charge_estimee,col_vehicle_id
ID_000,ID_000,ID_000,ID_000,3.02,5.91,3.06,4.02,2024-01-25 00:00:00,ID_000
ID_001,ID_001,ID_001,ID_001,8.27,8.12,5.48,6.12,2024-04-26 00:00:00,ID_001
ID_002,ID_002,ID_002,ID_002,1.26,7.91,4.97,8.04,2024-12-23 00:00:00,ID_002
ID_003,ID_003,ID_003,ID_003,1.98,2.68,5.05,3.88,2024-09-21 00:00:00,ID_003
ID_004,ID_004,ID_004,ID_004,2.35,8.65,4.71,8.75,2024-06-15 00:00:00,ID_004
ID_005,ID_005,ID_005,ID_005,1.96,8.22,5.01,6.03,2024-04-15 00:00:00,ID_005
ID_006,ID_006,ID_006,ID_006,8.52,1.28,7.7,4.25,2024-07-24 00:00:00,ID_006
ID_007,ID_007,ID_007,ID_007,6.56,6.39,8.07,5.04,2024-03-19 00:00:00,ID_007
ID_008,ID_008,ID_008,ID_008,2.3,2.41,2.57,7.05,2024-12-16 00:00:00,ID_008
ID_009,ID_009,ID_009,ID_009,3.0,1.37,2.51,2.39,2024-02-25 00:00:00,ID_009
ID_010,ID_010,ID_010,ID_010,2.85,5.7,6.01,6.88,2024-06-11 00:00:00,ID_010
ID_011,ID_011,ID_011,ID_011,8.22,1.59,2.23,4.32,2024-06-19 00:00:00,ID_011
ID_012,ID_012,ID_012,ID_012,3.71,1.27,7.35,6.11,2024-12-07 00:00:00,ID_012
ID_013,ID_013,ID_013,ID_013,6.63,1.58,2.01,3.64,2024-05-12 00:00:00,ID_013
ID_014,ID_014,ID_014,ID_014,3.17,6.06,4.15,7.89,2024-07-12 00:00:00,ID_014
ID_015,ID_015,ID_015,ID_015,8.68,4.79,7.85,6.06,2024-05-26 00:00:00,ID_015
ID_016,ID_016,ID_016,ID_016,6.47,3.38,1.7,8.77,2024-01-02 00:00:00,ID_016
ID_017,ID_017,ID_017,ID_017,4.03,6.67,4.35,2.17,2024-03-09 00:00:00,ID_017
ID_018,ID_018,ID_018,ID_018,3.78,7.5,4.87,8.23,2024-07-25 00:00:00,ID_018
ID_019,ID_019,ID_019,ID_019,8.4,1.41,3.06,1.42,2024-09-16 00:00:00,ID_019
ID_020,ID_020,ID_020,ID_020,6.2,1.85,6.14,3.76,2024-06-20 00:00:00,ID_020
ID_021,ID_021,ID_021,ID_021,1.84,8.36,8.21,5.8,2024-03-02 00:00:00,ID_021
ID_022,ID_022,ID_022,ID_022,5.54,7.67,6.68,3.53,2024-11-21 00:00:00,ID_022
ID_023,ID_023,ID_023,ID_023,2.6,5.96,7.45,5.39,2024-09-16 00:00:00,ID_023
ID_024,ID_024,ID_024,ID_024,5.59,2.27,5.87,5.54,2024-03-27 00:00:00,ID_024
ID_025,ID_025,ID_025,ID_025,6.71,5.07,8.74,6.69,2024-04-02 00:00:00,ID_025
