col_mobilite_id,col_time_id,col_zone_id,col_mode_id,col_ligne_id,col_arret_id,col_segment_id,col_evenement_id,col_vehicule_id,col_trafic_mesure,col_vitesse_moyenne,col_temps_attente,col_taux_frequentation,col_nbr_accidents,col_niveau_delinquance,col_congestion_level,col_est_weekend,col_est_vacances,col_est_jour_ferie,col_is_peak_hour,col_high_risk_area,col_cout_energie_km,col_consommation_totale,col_feedback_score,col_source,col_date_insertion
MOB_00001,00001,00001,00001,00001,00001,00001,00001,00001,38.94,2.10,5.13,5.58,50,5.45,Modéré,OUI,OUI,OUI,NON,NON,6.46,9.40,42,AirParif_2024,2024-01-01 00:00:00
MOB_00002,00002,00002,00002,00002,00002,00002,00002,00002,44.09,4.72,7.09,6.12,22,9.52,Modéré,NON,NON,OUI,NON,OUI,9.77,5.82,78,SNCF_Open_Data,2024-01-01 00:00:00
MOB_00003,00003,00003,00003,00003,00003,00003,00003,00003,49.70,3.80,6.67,1.21,1,2.89,Critique,NON,OUI,OUI,OUI,NON,3.04,5.46,40,SNCF_Open_Data,2024-01-01 00:00:00
MOB_00004,00004,00004,00004,00004,00004,00004,00004,00004,35.63,1.09,8.20,3.82,45,9.28,Critique,OUI,OUI,NON,OUI,NON,6.13,8.92,67,SNCF_Open_Data,2024-01-01 00:00:00
MOB_00005,00005,00005,00005,00005,00005,00005,00005,00005,20.73,6.55,9.50,8.05,56,8.86,Élevé,NON,NON,NON,NON,OUI,2.86,6.54,84,RATP_Open_Data_2024,2024-01-01 00:00:00
MOB_00006,00006,00006,00006,00006,00006,00006,00006,00006,34.66,1.83,7.69,5.97,27,2.85,Modéré,OUI,OUI,OUI,OUI,NON,3.38,9.07,82,RATP_Open_Data_2024,2024-01-01 00:00:00
MOB_00007,00007,00007,00007,00007,00007,00007,00007,00007,30.67,9.60,7.64,2.45,65,2.23,Faible,OUI,OUI,NON,OUI,OUI,9.37,5.69,77,Meteo_France,2024-01-01 00:00:00
MOB_00008,00008,00008,00008,00008,00008,00008,00008,00008,7.52,6.40,9.27,1.32,3,8.59,Critique,OUI,NON,NON,OUI,OUI,5.38,5.92,60,SNCF_Open_Data,2024-01-01 00:00:00
MOB_00009,00009,00009,00009,00009,00009,00009,00009,00009,31.88,6.44,9.60,9.71,15,6.75,Faible,NON,NON,NON,OUI,OUI,2.29,8.24,12,RATP_Open_Data_2024,2024-01-01 00:00:00
MOB_00010,00010,00010,00010,00010,00010,00010,00010,00010,5.63,9.34,7.00,7.91,8,4.75,Élevé,OUI,OUI,OUI,OUI,NON,9.69,5.56,48,SNCF_Open_Data,2024-01-01 00:00:00
MOB_00011,00011,00011,00011,00011,00011,00011,00011,00011,21.05,9.37,7.06,9.52,58,8.71,Faible,OUI,NON,NON,OUI,OUI,0.82,6.08,5,Data.gouv.fr,2024-01-01 00:00:00
MOB_00012,00012,00012,00012,00012,00012,00012,00012,00012,4.90,5.09,2.83,3.65,73,5.85,Modéré,OUI,NON,NON,NON,NON,1.58,7.79,29,RATP_Open_Data_2024,2024-01-01 00:00:00
MOB_00013,00013,00013,00013,00013,00013,00013,00013,00013,6.32,5.20,5.04,6.20,9,8.66,Faible,NON,OUI,NON,NON,OUI,5.63,9.39,83,Data.gouv.fr,2024-01-01 00:00:00
MOB_00014,00014,00014,00014,00014,00014,00014,00014,00014,2.70,5.99,4.91,2.77,42,7.27,Modéré,NON,OUI,OUI,OUI,NON,3.56,2.82,89,Meteo_France,2024-01-01 00:00:00
MOB_00015,00015,00015,00015,00015,00015,00015,00015,00015,2.70,5.21,2.79,5.58,32,4.32,Faible,OUI,NON,NON,NON,OUI,5.74,9.56,78,SNCF_Open_Data,2024-01-01 00:00:00
MOB_00016,00016,00016,00016,00016,00016,00016,00016,00016,2.50,1.63,5.74,3.19,69,7.07,Faible,NON,OUI,NON,OUI,OUI,5.13,1.10,96,RATP_Open_Data_2024,2024-01-01 00:00:00
MOB_00017,00017,00017,00017,00017,00017,00017,00017,00017,24.84,9.59,4.47,9.43,11,3.61,Faible,NON,NON,NON,OUI,OUI,5.07,2.97,73,Meteo_France,2024-01-01 00:00:00
MOB_00018,00018,00018,00018,00018,00018,00018,00018,00018,17.26,1.23,2.57,1.69,77,6.95,Élevé,NON,OUI,OUI,OUI,OUI,9.94,3.54,13,SNCF_Open_Data,2024-01-01 00:00:00
MOB_00019,00019,00019,00019,00019,00019,00019,00019,00019,2.08,3.37,2.13,5.73,66,9.91,Critique,OUI,NON,OUI,OUI,NON,7.75,7.35,30,SNCF_Open_Data,2024-01-01 00:00:00
MOB_00020,00020,00020,00020,00020,00020,00020,00020,00020,32.56,9.53,1.17,4.17,32,6.64,Élevé,NON,NON,OUI,OUI,NON,9.69,4.20,69,Meteo_France,2024-01-01 00:00:00
MOB_00021,00021,00021,00021,00021,00021,00021,00021,00021,42.78,6.66,4.36,1.57,25,5.09,Critique,NON,OUI,NON,NON,NON,8.50,5.19,66,Meteo_France,2024-01-01 00:00:00
MOB_00022,00022,00022,00022,00022,00022,00022,00022,00022,26.45,6.13,6.99,5.71,27,9.98,Faible,OUI,OUI,OUI,OUI,OUI,1.87,3.26,96,AirParif_2024,2024-01-01 00:00:00
MOB_00023,00023,00023,00023,00023,00023,00023,00023,00023,35.26,2.01,2.96,7.62,25,3.51,Faible,NON,NON,OUI,NON,NON,5.51,3.73,88,AirParif_2024,2024-01-01 00:00:00
MOB_00024,00024,00024,00024,00024,00024,00024,00024,00024,3.68,5.08,9.80,9.64,4,5.93,Élevé,NON,OUI,OUI,OUI,OUI,6.34,7.86,17,RATP_Open_Data_2024,2024-01-01 00:00:00
MOB_00025,00025,00025,00025,00025,00025,00025,00025,00025,17.08,9.17,5.12,2.38,21,9.94,Faible,NON,OUI,NON,NON,OUI,1.17,1.95,11,AirParif_2024,2024-01-01 00:00:00
MOB_00026,00026,00026,00026,00026,00026,00026,00026,00026,14.34,5.04,9.29,9.59,27,3.73,Faible,NON,NON,NON,NON,NON,0.98,4.88,50,RATP_Open_Data_2024,2024-01-01 00:00:00
MOB_00027,00027,00027,00027,00027,00027,00027,00027,00027,18.01,2.79,2.40,4.52,22,1.67,Faible,OUI,OUI,OUI,OUI,NON,5.36,5.88,33,RATP_Open_Data_2024,2024-01-01 00:00:00
MOB_00028,00028,00028,00028,00028,00028,00028,00028,00028,43.99,7.74,7.85,4.93,67,5.62,Faible,NON,OUI,OUI,NON,NON,3.02,9.33,39,Data.gouv.fr,2024-01-01 00:00:00
MOB_00029,00029,00029,00029,00029,00029,00029,00029,00029,20.12,8.44,9.31,5.53,90,8.80,Modéré,NON,OUI,OUI,OUI,NON,6.26,4.57,15,AirParif_2024,2024-01-01 00:00:00
MOB_00030,00030,00030,00030,00030,00030,00030,00030,00030,14.96,4.02,8.34,8.91,66,4.43,Faible,NON,NON,NON,NON,OUI,7.80,7.94,34,Meteo_France,2024-01-01 00:00:00
MOB_00031,00031,00031,00031,00031,00031,00031,00031,00031,10.92,5.07,6.32,7.18,13,7.48,Critique,OUI,NON,NON,NON,OUI,2.06,6.59,32,SNCF_Open_Data,2024-01-01 00:00:00
MOB_00032,00032,00032,00032,00032,00032,00032,00032,00032,23.36,2.33,9.00,4.77,52,5.69,Critique,NON,OUI,NON,NON,NON,4.69,9.25,45,SNCF_Open_Data,2024-01-01 00:00:00
MOB_00033,00033,00033,00033,00033,00033,00033,00033,00033,47.20,6.45,1.01,3.16,27,4.18,Élevé,OUI,NON,OUI,NON,OUI,2.95,6.30,26,RATP_Open_Data_2024,2024-01-01 00:00:00
