col_date,col_heure,col_station,col_polluant,col_valeur,col_unite,col_indice_qualite,col_latitude,col_longitude
2024-02-08 00:00:00,4.47,Montparnasse 7,SO2,44.0,µg/m³,6.68,48.27597,0.603899
2024-01-15 00:00:00,5.89,Saint-Jean 4,PM10,55.89,µg/m³,7.62,49.026311,5.71383
2024-04-02 00:00:00,4.44,Haussmann Saint-Lazare 1,PM10,32.05,µg/m³,8.48,46.62872,-0.012802
2024-06-12 00:00:00,5.99,Saint-Jean 5,SO2,62.72,µg/m³,2.1,47.244619,5.2105
2024-07-13 00:00:00,3.83,Gare de Lyon 1,CO,15.65,µg/m³,2.27,46.918117,4.376684
2024-06-22 00:00:00,8.18,Haussmann Saint-Lazare 8,PM2.5,31.66,µg/m³,5.29,52.038926,-1.407927
2024-01-11 00:00:00,1.83,Gare de Lyon 3,PM2.5,4.53,µg/m³,6.59,46.292105,6.034927
2024-11-22 00:00:00,4.29,Montparnasse 3,CO,51.88,µg/m³,8.54,46.588398,2.78112
2024-01-24 00:00:00,8.06,Saint-Jean 3,PM10,61.1,µg/m³,3.6,51.111048,0.357263
2024-11-10 00:00:00,4.11,Gare de Lyon 8,PM2.5,9.73,µg/m³,3.25,46.895076,2.382123
2024-12-18 00:00:00,8.14,Gare du Nord 2,O3,5.49,µg/m³,3.42,47.78514,5.986127
2024-04-06 00:00:00,3.56,Matabiau 6,CO,15.64,µg/m³,6.42,51.309968,5.240006
2024-05-15 00:00:00,7.56,Montparnasse 5,PM10,42.71,µg/m³,2.25,49.233877,-0.454772
2024-02-27 00:00:00,8.55,Saint-Jean 5,CO,52.64,µg/m³,8.39,49.342248,-0.519637
2024-08-21 00:00:00,3.56,Gare du Nord 3,PM2.5,26.4,µg/m³,8.55,46.74445,-0.076598
2024-12-05 00:00:00,2.52,Montparnasse 1,SO2,66.93,µg/m³,8.42,48.388891,2.938539
2024-05-02 00:00:00,4.25,Saint-Jean 1,NO2,83.71,µg/m³,4.91,49.154777,2.143955
2024-05-24 00:00:00,4.3,Gare de l'Est 4,SO2,20.62,µg/m³,6.14,48.545208,-1.298181
2024-03-12 00:00:00,3.04,Montparnasse 3,PM2.5,29.86,µg/m³,4.87,48.439794,3.67827
2024-04-08 00:00:00,1.81,Saint-Charles 4,SO2,17.78,µg/m³,6.14,50.770536,3.597755
2024-02-28 00:00:00,5.06,Part-Dieu 1,O3,78.38,µg/m³,4.01,50.819331,5.156736
2024-10-11 00:00:00,7.71,Montparnasse 6,O3,81.68,µg/m³,2.33,51.381237,3.231756
2024-05-27 00:00:00,6.46,Montparnasse 4,PM2.5,19.67,µg/m³,6.28,48.23448,1.213536
2024-09-07 00:00:00,4.53,Montparnasse 8,PM10,16.94,µg/m³,6.4,51.562079,2.098924
2024-09-16 00:00:00,2.01,Gare du Nord 1,SO2,9.29,µg/m³,4.06,52.21728,-0.586899
2024-03-05 00:00:00,8.73,Matabiau 7,PM10,21.8,µg/m³,4.32,50.244647,4.750629
2024-07-01 00:00:00,3.05,Haussmann Saint-Lazare 8,PM10,38.62,µg/m³,4.03,47.181031,0.14976
2024-12-08 00:00:00,2.61,Saint-Charles 1,O3,44.36,µg/m³,6.25,52.289657,-0.088329
2024-04-04 00:00:00,6.0,Haussmann Saint-Lazare 6,CO,18.75,µg/m³,3.05,47.721084,-1.378415
2024-08-31 00:00:00,5.75,Gare de l'Est 4,PM2.5,45.18,µg/m³,6.53,50.822762,-1.108113
2024-10-06 00:00:00,4.77,Saint-Jean 8,NO2,25.0,µg/m³,5.23,52.653545,0.894272
2024-02-09 00:00:00,4.02,Gare de l'Est 9,PM2.5,10.4,µg/m³,8.01,48.430444,0.4767
2024-01-14 00:00:00,3.3,Matabiau 7,CO,20.87,µg/m³,1.52,46.434187,-0.826313
2024-08-22 00:00:00,7.38,Montparnasse 4,PM10,18.88,µg/m³,2.22,46.159931,5.547893
2024-01-22 00:00:00,7.33,Matabiau 1,PM2.5,50.14,µg/m³,1.34,51.493487,-1.43752
2024-12-11 00:00:00,2.97,Matabiau 7,O3,62.01,µg/m³,8.38,45.994853,3.080532
2024-11-01 00:00:00,4.63,Part-Dieu 9,CO,4.57,µg/m³,1.37,46.215218,-0.069047
2024-09-15 00:00:00,8.0,Montparnasse 4,SO2,5.93,µg/m³,6.37,49.408729,3.289127
2024-06-07 00:00:00,5.33,Part-Dieu 1,PM2.5,75.91,µg/m³,5.39,45.839306,4.646542
2024-07-02 00:00:00,8.3,Matabiau 5,SO2,60.37,µg/m³,3.88,46.020035,1.907875
2024-01-13 00:00:00,5.48,Saint-Jean 7,CO,19.93,µg/m³,2.53,51.194771,-1.430776
2024-11-17 00:00:00,4.68,Saint-Charles 3,O3,71.51,µg/m³,2.85,46.734287,3.938979
2024-10-24 00:00:00,4.5,Saint-Jean 4,PM10,40.8,µg/m³,8.17,48.529291,3.186477
2024-01-08 00:00:00,1.45,Saint-Jean 4,SO2,59.36,µg/m³,2.36,50.401688,4.2553
2024-08-19 00:00:00,1.73,Matabiau 4,SO2,74.14,µg/m³,2.54,52.61154,4.505417
