col_Indicateur,col_Valeur
5.99,30.35
3.19,42.87
6.4,81.81
7.09,60.83
6.7,9.4
8.22,12.43
5.57,59.3
1.32,41.55
3.72,52.61
6.05,2.53
7.04,82.71
6.98,78.23
3.2,56.96
3.03,41.63
6.04,82.5
8.14,55.97
1.52,23.69
3.04,83.58
4.99,69.03
6.73,68.61
1.25,56.87
4.14,11.12
6.17,48.41
7.25,11.31
7.24,42.31
7.74,64.53
1.56,10.87
4.22,63.28
4.3,54.17
7.22,51.52
3.9,11.27
5.28,27.41
1.95,81.8
1.35,33.93
4.63,62.59
3.91,52.78
8.67,33.23
5.98,19.89
6.78,17.8
5.81,8.27
3.74,45.96
3.99,38.05
5.72,80.58
4.75,72.56
2.2,24.84
4.21,36.42
1.85,23.95
1.64,15.18
8.22,81.2
7.88,19.8
