col_date,col_region,col_ville,col_polluant,col_valeur,col_unite,col_indice_atmo,col_qualite_air,col_latitude,col_longitude
2024-04-14 00:00:00,Occitanie,Nantes,PM10,2.78,µg/m³,6.81,8.52,50.315317,0.435399
2024-02-01 00:00:00,Hauts-de-France,Lille,PM2.5,4.61,µg/m³,1.56,1.93,45.114783,0.271985
2024-11-11 00:00:00,Auvergne-Rhône-Alpes,Bordeaux,SO2,70.57,µg/m³,4.62,2.84,44.86557,3.101523
2024-02-13 00:00:00,Île-de-France,Marseille,CO,9.31,µg/m³,2.57,7.23,51.41728,0.031809
2024-01-10 00:00:00,Pays de la Loire,Lille,PM10,44.8,µg/m³,1.39,4.74,51.074319,2.231186
2024-06-20 00:00:00,Provence-Alpes-Côte d'Azur,Nice,SO2,81.37,µg/m³,5.61,4.52,45.37002,3.511415
2024-05-29 00:00:00,Provence-Alpes-Côte d'Azur,Nice,NO2,14.53,µg/m³,5.55,5.74,46.43077,3.663085
2024-11-26 00:00:00,Grand Est,Lille,PM2.5,28.56,µg/m³,6.63,5.45,51.28292,4.230293
2024-12-03 00:00:00,Île-de-France,Strasbourg,PM10,42.03,µg/m³,4.2,2.88,45.172846,2.69891
2024-02-14 00:00:00,Bretagne,Paris,PM2.5,44.53,µg/m³,1.78,7.86,49.758874,3.050607
2024-04-03 00:00:00,Occitanie,Lyon,SO2,51.47,µg/m³,4.73,1.29,48.943605,1.62567
2024-03-27 00:00:00,Hauts-de-France,Nice,SO2,56.71,µg/m³,7.98,8.28,50.193961,3.698682
2024-02-07 00:00:00,Normandie,Paris,PM2.5,36.42,µg/m³,1.4,8.67,47.526906,1.938589
2024-08-22 00:00:00,Pays de la Loire,Nantes,CO,45.73,µg/m³,5.92,5.24,47.646393,6.321632
2024-10-25 00:00:00,Pays de la Loire,Lyon,PM10,84.75,µg/m³,7.0,5.72,51.344959,4.937003
2024-02-05 00:00:00,Hauts-de-France,Toulouse,CO,44.8,µg/m³,4.96,2.82,46.377478,4.37952
2024-02-09 00:00:00,Hauts-de-France,Montpellier,CO,80.8,µg/m³,8.56,1.34,46.175172,6.084204
2024-05-16 00:00:00,Bretagne,Lille,NO2,77.37,µg/m³,8.37,2.53,45.766304,2.569227
2024-08-19 00:00:00,Île-de-France,Toulouse,CO,61.25,µg/m³,4.97,1.4,49.095555,3.437331
2024-10-08 00:00:00,Provence-Alpes-Côte d'Azur,Strasbourg,PM10,34.8,µg/m³,7.55,5.58,46.613619,2.498063
2024-07-17 00:00:00,Bretagne,Marseille,CO,15.43,µg/m³,6.45,5.87,47.910575,4.632147
2024-01-06 00:00:00,Nouvelle-Aquitaine,Marseille,PM10,72.97,µg/m³,8.32,2.35,49.212258,3.08161
2024-04-06 00:00:00,Occitanie,Nantes,PM2.5,14.44,µg/m³,2.65,1.95,52.147134,4.066304
2024-07-26 00:00:00,Nouvelle-Aquitaine,Strasbourg,NO2,64.44,µg/m³,2.82,7.57,48.440437,-0.414563
2024-11-27 00:00:00,Provence-Alpes-Côte d'Azur,Lille,SO2,21.54,µg/m³,5.59,4.89,48.689121,6.117769
2024-07-10 00:00:00,Hauts-de-France,Nice,SO2,7.44,µg/m³,2.63,7.46,50.202245,4.121557
2024-07-17 00:00:00,Île-de-France,Bordeaux,NO2,6.0,µg/m³,6.93,1.8,46.078886,-0.24996
2024-07-12 00:00:00,Île-de-France,Strasbourg,SO2,77.94,µg/m³,4.12,7.34,46.893132,4.218658
2024-10-09 00:00:00,Auvergne-Rhône-Alpes,Toulouse,NO2,50.86,µg/m³,6.63,3.85,51.725817,5.451383
2024-05-21 00:00:00,Pays de la Loire,Paris,SO2,11.73,µg/m³,5.15,7.63,47.820839,5.949279
2024-12-05 00:00:00,Nouvelle-Aquitaine,Strasbourg,NO2,29.86,µg/m³,8.37,4.58,50.598957,5.817662
2024-07-15 00:00:00,Pays de la Loire,Nice,PM10,26.58,µg/m³,8.25,3.43,45.910304,1.764351
2024-08-18 00:00:00,Nouvelle-Aquitaine,Lille,CO,37.28,µg/m³,2.98,4.27,52.790202,4.321261
2024-12-10 00:00:00,Hauts-de-France,Montpellier,NO2,73.13,µg/m³,8.62,1.71,52.67637,4.263183
2024-10-18 00:00:00,Grand Est,Nantes,NO2,74.06,µg/m³,2.59,4.01,48.832478,5.963995
2024-11-19 00:00:00,Auvergne-Rhône-Alpes,Paris,PM2.5,14.37,µg/m³,3.05,8.71,52.350361,-1.255642
2024-11-16 00:00:00,Grand Est,Nantes,NO2,79.79,µg/m³,6.1,7.67,51.329148,-0.78695
2024-05-27 00:00:00,Auvergne-Rhône-Alpes,Nantes,PM2.5,63.32,µg/m³,8.46,1.35,49.463164,0.34295
2024-08-31 00:00:00,Pays de la Loire,Lyon,SO2,47.32,µg/m³,6.47,5.4,50.420262,-1.100653
2024-09-26 00:00:00,Grand Est,Paris,NO2,61.44,µg/m³,5.57,5.41,46.69291,5.674568
2024-02-05 00:00:00,Occitanie,Montpellier,PM2.5,47.73,µg/m³,5.06,5.75,46.927171,-0.696332
2024-11-14 00:00:00,Grand Est,Strasbourg,O3,57.72,µg/m³,3.83,8.48,49.351743,5.498626
2024-09-25 00:00:00,Normandie,Bordeaux,PM2.5,65.17,µg/m³,4.98,4.69,50.082541,1.204453
2024-08-25 00:00:00,Grand Est,Lyon,PM10,53.12,µg/m³,1.45,5.75,44.910721,0.260968
2024-09-14 00:00:00,Pays de la Loire,Lille,PM10,41.81,µg/m³,5.01,3.38,48.53914,0.895719
2024-11-01 00:00:00,Pays de la Loire,Nantes,SO2,45.5,µg/m³,3.04,7.6,46.171157,5.686177
2024-06-27 00:00:00,Occitanie,Paris,PM2.5,44.48,µg/m³,8.28,5.63,47.773396,6.190865
2024-01-15 00:00:00,Provence-Alpes-Côte d'Azur,Paris,PM2.5,17.29,µg/m³,3.72,6.47,49.69303,-1.002817
2024-04-09 00:00:00,Provence-Alpes-Côte d'Azur,Lille,PM10,37.73,µg/m³,6.14,8.33,51.961389,5.513064
2024-06-23 00:00:00,Bretagne,Montpellier,O3,23.79,µg/m³,2.18,8.35,46.08555,-0.468598
2024-10-22 00:00:00,Bretagne,Toulouse,NO2,75.15,µg/m³,8.71,3.36,49.661386,3.894183
2024-04-12 00:00:00,Pays de la Loire,Toulouse,CO,8.93,µg/m³,6.86,6.92,51.703745,1.031353
2024-08-08 00:00:00,Hauts-de-France,Lille,SO2,76.68,µg/m³,1.59,5.9,47.05193,-0.223986
2024-01-15 00:00:00,Normandie,Toulouse,O3,42.64,µg/m³,7.79,2.34,47.171111,-0.93111
2024-08-08 00:00:00,Occitanie,Nantes,O3,65.5,µg/m³,8.72,8.53,49.616203,0.663659
2024-10-22 00:00:00,Provence-Alpes-Côte d'Azur,Montpellier,PM2.5,36.09,µg/m³,4.19,2.08,46.805665,3.166941
2024-06-26 00:00:00,Grand Est,Lyon,PM10,39.79,µg/m³,6.35,7.47,51.342425,0.723149
2024-07-04 00:00:00,Hauts-de-France,Toulouse,PM10,25.0,µg/m³,2.43,2.66,45.493639,-1.63952
2024-07-25 00:00:00,Île-de-France,Bordeaux,CO,48.55,µg/m³,2.45,4.68,50.288554,3.062245
2024-02-04 00:00:00,Île-de-France,Bordeaux,CO,63.28,µg/m³,4.16,2.6,52.456284,0.377226
2024-07-25 00:00:00,Occitanie,Strasbourg,NO2,84.55,µg/m³,8.04,3.75,46.021427,1.653243
2024-05-09 00:00:00,Grand Est,Strasbourg,PM10,75.08,µg/m³,6.69,3.92,48.503077,2.054711
2024-02-18 00:00:00,Île-de-France,Nantes,PM2.5,16.4,µg/m³,2.75,7.12,51.980138,2.279974
2024-12-20 00:00:00,Île-de-France,Paris,PM10,12.83,µg/m³,4.61,8.01,50.648113,3.451793
2024-07-31 00:00:00,Pays de la Loire,Lille,PM10,37.9,µg/m³,8.13,2.79,47.803098,1.624965
2024-07-24 00:00:00,Provence-Alpes-Côte d'Azur,Strasbourg,NO2,31.47,µg/m³,8.14,8.09,52.574269,3.197929
2024-06-05 00:00:00,Grand Est,Strasbourg,O3,18.71,µg/m³,1.24,5.47,51.618862,5.87881
2024-06-02 00:00:00,Pays de la Loire,Nantes,PM2.5,54.68,µg/m³,7.79,1.29,50.280852,3.612731
2024-07-10 00:00:00,Île-de-France,Lyon,O3,67.02,µg/m³,5.99,4.48,48.377873,2.267159
2024-01-08 00:00:00,Normandie,Strasbourg,O3,39.8,µg/m³,4.01,7.77,50.611249,5.208898
2024-10-29 00:00:00,Auvergne-Rhône-Alpes,Nice,NO2,36.28,µg/m³,6.4,4.11,47.516821,5.806085
2024-07-03 00:00:00,Hauts-de-France,Paris,O3,77.39,µg/m³,3.36,3.14,52.036691,0.118192
2024-02-02 00:00:00,Nouvelle-Aquitaine,Nantes,PM2.5,22.67,µg/m³,6.44,7.76,45.393821,6.183549
2024-04-25 00:00:00,Auvergne-Rhône-Alpes,Paris,PM10,10.26,µg/m³,6.36,4.89,45.933273,5.609518
2024-03-03 00:00:00,Occitanie,Lille,O3,67.93,µg/m³,7.97,8.5,47.041181,-1.238933
2024-10-25 00:00:00,Nouvelle-Aquitaine,Nantes,SO2,36.15,µg/m³,2.43,4.97,45.054674,2.979417
2024-02-22 00:00:00,Normandie,Nantes,CO,23.79,µg/m³,5.04,7.97,45.423594,1.504089
2024-05-29 00:00:00,Grand Est,Montpellier,CO,13.22,µg/m³,3.97,8.34,51.023308,5.841166
2024-12-19 00:00:00,Normandie,Bordeaux,PM2.5,20.94,µg/m³,3.46,2.72,50.351907,4.573568
2024-05-16 00:00:00,Pays de la Loire,Marseille,SO2,23.33,µg/m³,2.43,3.62,49.27394,0.552616
2024-04-07 00:00:00,Pays de la Loire,Montpellier,O3,74.58,µg/m³,1.92,2.28,48.896676,0.964927
2024-06-03 00:00:00,Occitanie,Toulouse,SO2,22.37,µg/m³,4.67,6.57,46.07182,6.084738
2024-09-03 00:00:00,Hauts-de-France,Nantes,O3,76.45,µg/m³,5.05,3.76,49.991425,0.941776
2024-09-28 00:00:00,Occitanie,Bordeaux,SO2,15.38,µg/m³,8.36,7.49,49.916362,0.453041
2024-06-28 00:00:00,Pays de la Loire,Nantes,PM10,25.21,µg/m³,7.02,5.75,50.74649,1.378081
2024-08-19 00:00:00,Grand Est,Nantes,CO,5.79,µg/m³,1.94,8.04,51.581063,2.330989
2024-09-20 00:00:00,Provence-Alpes-Côte d'Azur,Strasbourg,PM2.5,14.29,µg/m³,6.73,1.83,45.435085,1.11997
2024-08-28 00:00:00,Occitanie,Bordeaux,O3,53.15,µg/m³,4.29,7.27,46.985873,-0.541637
2024-09-05 00:00:00,Hauts-de-France,Nice,PM10,13.22,µg/m³,6.88,3.32,50.691744,2.376884
2024-11-16 00:00:00,Bretagne,Bordeaux,PM2.5,4.28,µg/m³,8.59,7.75,45.171127,6.326651
2024-03-20 00:00:00,Grand Est,Strasbourg,CO,43.81,µg/m³,4.41,3.21,51.439035,0.562005
2024-02-25 00:00:00,Grand Est,Toulouse,CO,73.67,µg/m³,1.66,5.36,47.857709,3.508673
2024-01-15 00:00:00,Hauts-de-France,Bordeaux,PM2.5,14.77,µg/m³,1.48,5.66,51.273399,6.178571
2024-12-23 00:00:00,Bretagne,Marseille,CO,55.37,µg/m³,5.93,4.39,50.354197,-1.40004
2024-01-16 00:00:00,Pays de la Loire,Marseille,PM10,17.14,µg/m³,2.06,5.4,50.372732,4.999105
2024-03-01 00:00:00,Île-de-France,Bordeaux,NO2,50.42,µg/m³,3.56,5.87,51.066964,5.519764
2024-05-18 00:00:00,Auvergne-Rhône-Alpes,Toulouse,SO2,78.49,µg/m³,6.92,7.09,47.169266,4.058367
