col_date,col_region,col_type_vehicule,col_type_energie,col_est_renouvelable,col_total_parc,col_nb_vehicules,col_taux_adoption_pct,col_economie_co2_tonnes,col_part_energie_renouvelable_pct,col_cout_moyen_vehicule_eur,col_subvention_moyenne_eur,col_source
2024-02-06 00:00:00,Île-de-France,3.0,7.25,3.7,5.6,7.9,8.01,3.41,2.28,4.72,6.41,SNCF_Open_Data
2024-03-19 00:00:00,Provence-Alpes-Côte d'Azur,6.64,6.46,5.78,4.2,7.19,5.05,5.95,4.28,5.48,8.3,Airparif
2024-11-08 00:00:00,Grand Est,8.55,7.89,5.33,3.29,3.88,2.75,5.9,1.87,5.75,5.76,RATP_Open_Data_2024
2024-05-03 00:00:00,Bretagne,2.91,1.82,4.29,4.93,7.31,7.54,5.56,4.38,3.94,7.32,Data.gouv.fr
2024-03-26 00:00:00,Île-de-France,5.78,8.55,6.08,8.56,8.26,8.56,5.4,3.72,8.55,3.71,Météo-France
2024-08-10 00:00:00,Bretagne,4.48,4.0,8.14,4.87,4.77,4.24,1.88,7.53,6.5,3.36,RATP_Open_Data_2024
2024-01-10 00:00:00,Occitanie,8.45,2.31,1.94,7.54,6.76,2.16,1.32,3.29,6.09,2.24,Météo-France
2024-07-09 00:00:00,Bretagne,8.5,6.72,4.32,2.25,2.64,5.54,4.96,7.66,1.29,5.0,SNCF_Open_Data
2024-06-16 00:00:00,Auvergne-Rhône-Alpes,6.03,1.26,7.82,1.78,7.95,5.41,4.22,6.53,1.84,8.16,Airparif
2024-07-13 00:00:00,Bretagne,1.53,7.58,1.32,6.46,4.91,4.09,5.16,4.31,4.48,7.76,RATP_Open_Data_2024
2024-02-02 00:00:00,Occitanie,7.82,6.26,5.62,8.09,1.62,1.46,5.03,6.17,3.45,8.49,SNCF_Open_Data
2024-03-13 00:00:00,Île-de-France,6.69,7.21,3.12,8.06,3.16,2.62,1.48,3.74,4.51,3.13,Data.gouv.fr
2024-05-06 00:00:00,Bretagne,7.68,6.9,1.87,2.35,5.07,6.32,4.6,4.32,5.61,8.34,Data.gouv.fr
2024-05-11 00:00:00,Normandie,5.96,1.89,8.08,5.11,3.41,8.66,5.54,4.69,1.85,5.58,SNCF_Open_Data
2024-04-03 00:00:00,Pays de la Loire,5.48,2.33,5.04,4.68,6.23,3.79,2.18,8.44,4.97,7.4,Data.gouv.fr
2024-10-10 00:00:00,Île-de-France,5.29,6.16,6.2,3.93,7.2,7.41,4.78,2.76,3.59,5.38,Airparif
2024-08-29 00:00:00,Hauts-de-France,6.41,8.31,5.83,2.73,1.49,2.8,5.02,3.3,2.39,8.13,Météo-France
2024-07-13 00:00:00,Pays de la Loire,8.08,6.04,8.43,4.2,4.14,7.21,1.92,8.69,2.32,1.29,Airparif
2024-04-06 00:00:00,Nouvelle-Aquitaine,6.72,6.68,2.5,2.53,2.81,7.8,3.19,3.58,6.15,4.57,SNCF_Open_Data
2024-10-21 00:00:00,Nouvelle-Aquitaine,6.79,2.95,3.33,8.17,5.25,3.67,3.56,1.73,1.48,8.09,Météo-France
2024-03-06 00:00:00,Auvergne-Rhône-Alpes,3.22,2.55,6.74,6.43,5.24,3.24,1.75,6.73,6.15,3.24,SNCF_Open_Data
2024-05-21 00:00:00,Grand Est,7.24,4.37,2.5,5.02,5.59,8.37,2.87,2.69,5.34,7.2,SNCF_Open_Data
2024-03-25 00:00:00,Occitanie,2.46,3.6,2.61,3.49,5.72,5.07,3.37,7.36,8.26,7.8,Data.gouv.fr
2024-06-04 00:00:00,Île-de-France,6.18,2.11,2.45,2.55,2.67,4.72,1.35,5.91,6.67,2.23,SNCF_Open_Data
2024-05-06 00:00:00,Occitanie,5.45,3.84,4.01,7.94,6.67,5.25,2.5,5.08,1.45,5.02,RATP_Open_Data_2024
2024-11-28 00:00:00,Normandie,3.78,6.69,5.42,4.96,8.17,7.58,7.83,6.21,5.72,4.3,RATP_Open_Data_2024
2024-03-25 00:00:00,Pays de la Loire,1.47,8.62,7.48,4.34,3.05,4.42,3.1,5.85,1.98,4.23,Airparif
2024-09-17 00:00:00,Auvergne-Rhône-Alpes,4.19,2.72,7.55,3.74,3.63,6.06,7.75,6.17,8.07,1.63,RATP_Open_Data_2024
2024-07-12 00:00:00,Occitanie,1.61,4.89,7.67,7.95,1.33,5.75,5.61,5.22,3.42,8.17,SNCF_Open_Data
2024-09-01 00:00:00,Provence-Alpes-Côte d'Azur,5.46,8.25,2.11,1.29,3.97,5.23,3.68,2.62,2.07,2.52,Data.gouv.fr
2024-05-16 00:00:00,Normandie,7.81,5.92,2.35,4.21,3.98,6.7,5.7,3.09,8.69,6.6,SNCF_Open_Data
2024-04-13 00:00:00,Occitanie,5.66,4.53,4.12,2.35,7.46,4.98,8.72,7.48,3.67,5.32,Data.gouv.fr
