col_mode_transport,col_polluant,col_emission_totale,col_emission_moyenne,col_concentration_moyenne,col_date,col_saison,col_ville,col_emission_par_usager_gkm,col_nb_usagers_journaliers,col_emission_totale_kg,col_concentration_ugm3,col_indice_qualite_air,col_source
Bus RATP,PM2.5,5.94,6.65,51.53,2024-08-12 00:00:00,7.72,Nantes,3.52,2.04,3.21,44.77,6.04,SNCF_Open_Data
Métro,O3,7.79,6.77,46.98,2024-04-21 00:00:00,1.74,Montpellier,3.13,6.82,6.76,83.65,6.21,Météo-France
RER,NO2,5.95,4.52,72.99,2024-01-14 00:00:00,8.63,Lille,4.63,6.49,6.95,4.06,3.0,Data.gouv.fr
Tramway,PM10,5.03,8.04,66.33,2024-11-15 00:00:00,7.99,Montpellier,2.65,8.37,1.46,41.48,3.18,RATP_Open_Data_2024
Tramway,SO2,7.18,4.97,80.69,2024-06-26 00:00:00,1.55,Lille,8.2,7.48,6.96,42.47,3.24,Data.gouv.fr
TGV,CO,4.94,8.31,73.8,2024-06-17 00:00:00,6.45,Nantes,6.92,3.12,4.49,52.26,7.75,Airparif
Transilien,CO,1.93,4.93,67.82,2024-12-22 00:00:00,2.02,Montpellier,5.32,7.46,4.17,13.3,3.42,Airparif
TER,SO2,4.15,2.18,45.3,2024-08-19 00:00:00,5.04,Strasbourg,4.12,6.26,3.65,63.93,4.72,Airparif
TER,O3,4.89,4.01,65.51,2024-12-03 00:00:00,2.75,Toulouse,3.84,5.65,8.62,49.24,2.4,Data.gouv.fr
Métro,O3,8.08,2.85,45.7,2024-01-09 00:00:00,2.68,Bordeaux,1.42,2.61,4.37,41.53,2.37,Airparif
TER,NO2,2.3,1.21,53.28,2024-02-19 00:00:00,7.46,Marseille,8.27,3.29,3.66,19.57,6.93,Météo-France
TGV,PM10,4.67,2.73,32.09,2024-05-16 00:00:00,4.53,Marseille,1.75,8.7,6.03,35.59,7.85,Airparif
TER,PM2.5,5.2,6.57,60.82,2024-04-01 00:00:00,7.73,Toulouse,8.67,5.37,1.61,15.53,1.82,Data.gouv.fr
RER,CO,3.55,3.72,76.08,2024-05-02 00:00:00,6.82,Paris,6.28,2.54,5.22,4.11,7.91,RATP_Open_Data_2024
Transilien,SO2,5.18,5.86,55.23,2024-09-27 00:00:00,7.85,Strasbourg,4.16,6.54,4.38,24.89,7.72,RATP_Open_Data_2024
Tramway,PM2.5,7.76,1.29,81.08,2024-01-10 00:00:00,3.83,Lyon,3.42,5.97,6.12,11.42,6.17,Météo-France
