col_emission_id,col_annee,col_mois,col_zone_id,col_mode,col_activity_type,col_activity_value,col_emission_factor,col_co2_kg
ID_000,1.52,5.63,ID_000,TER,2.23,7.26,8.6,2.63
ID_001,7.07,7.11,ID_001,Tramway,5.74,8.16,3.5,3.42
ID_002,6.61,2.35,ID_002,Métro,2.46,8.44,4.55,6.83
ID_003,8.34,6.91,ID_003,Bus RATP,1.95,2.78,4.11,2.58
ID_004,7.24,6.33,ID_004,Métro,8.01,2.38,8.19,5.64
ID_005,1.86,7.22,ID_005,RER,7.57,5.78,5.51,3.99
ID_006,3.32,1.41,ID_006,Transilien,4.03,2.12,8.14,3.72
ID_007,8.28,3.4,ID_007,TGV,5.44,8.66,2.67,1.54
ID_008,6.59,7.1,ID_008,TER,2.39,8.48,6.02,5.18
ID_009,1.37,4.01,ID_009,Bus RATP,3.03,8.52,6.48,2.64
ID_010,5.74,7.07,ID_010,TER,7.02,3.13,6.85,3.31
ID_011,5.84,7.19,ID_011,RER,4.02,4.62,3.07,5.63
ID_012,4.68,4.76,ID_012,Bus RATP,2.24,1.98,8.52,4.49
ID_013,8.55,7.43,ID_013,Transilien,5.62,1.79,2.98,1.93
ID_014,7.09,7.69,ID_014,Transilien,5.8,6.6,1.83,7.16
ID_015,6.25,2.29,ID_015,TER,6.01,8.5,4.0,6.6
ID_016,6.95,3.65,ID_016,TER,6.96,7.68,4.5,3.38
ID_017,5.88,5.31,ID_017,RER,3.16,4.59,6.35,3.85
ID_018,2.97,6.91,ID_018,RER,8.42,3.44,6.23,7.45
ID_019,1.87,5.7,ID_019,TGV,2.09,3.82,7.07,1.88
ID_020,4.59,4.89,ID_020,TGV,2.98,3.14,5.74,5.51
ID_021,4.58,1.26,ID_021,TGV,2.13,2.07,5.34,7.84
ID_022,5.08,5.9,ID_022,Métro,2.07,8.23,7.59,5.27
ID_023,8.08,5.8,ID_023,TER,4.5,2.66,4.93,1.75
ID_024,7.32,6.69,ID_024,Transilien,1.39,6.13,7.56,7.22
ID_025,7.12,4.19,ID_025,Tramway,1.64,5.82,8.22,5.21
ID_026,8.57,2.51,ID_026,Métro,3.16,4.15,8.8,3.81
ID_027,4.47,5.12,ID_027,Bus RATP,6.1,7.05,3.52,2.33
ID_028,5.81,1.77,ID_028,RER,6.08,5.98,6.62,6.79
ID_029,7.92,4.96,ID_029,Bus RATP,2.77,1.75,4.19,8.72
ID_030,2.75,3.59,ID_030,Tramway,1.63,3.18,4.43,1.92
ID_031,3.82,1.64,ID_031,RER,8.43,5.82,6.91,8.14
ID_032,3.42,2.82,ID_032,Métro,2.21,4.77,8.46,3.46
ID_033,5.72,5.77,ID_033,Bus RATP,1.23,7.55,1.44,6.8
ID_034,2.4,6.36,ID_034,Tramway,8.01,7.76,3.1,4.69
ID_035,7.16,5.85,ID_035,TER,5.68,7.42,8.17,6.07
ID_036,1.57,1.59,ID_036,Métro,2.67,7.78,5.7,4.3
ID_037,3.28,5.48,ID_037,TGV,6.48,2.31,4.81,2.18
ID_038,3.33,4.85,ID_038,TER,2.76,3.65,5.3,7.9
ID_039,8.45,2.61,ID_039,TER,7.68,5.94,5.08,1.84
ID_040,6.53,6.92,ID_040,TER,4.94,1.71,8.75,3.68
ID_041,5.37,3.36,ID_041,Tramway,3.12,3.44,2.92,2.82
ID_042,3.68,5.97,ID_042,TER,3.38,6.52,6.09,3.98
ID_043,5.21,2.71,ID_043,Transilien,2.3,1.67,6.63,2.17
ID_044,4.91,7.77,ID_044,RER,5.74,1.78,1.2,1.92
ID_045,4.09,4.73,ID_045,Bus RATP,8.68,7.94,4.45,3.24
ID_046,5.19,6.19,ID_046,RER,5.11,6.79,5.68,3.3
ID_047,5.79,5.94,ID_047,TER,6.03,3.57,2.08,4.33
ID_048,5.37,2.39,ID_048,TGV,7.71,8.33,8.38,1.83
ID_049,5.07,5.53,ID_049,TGV,2.53,3.55,1.82,2.52
ID_050,6.28,3.09,ID_050,TER,6.94,1.34,2.51,2.72
ID_051,2.91,1.62,ID_051,TER,5.11,7.54,3.57,4.01
ID_052,5.75,6.39,ID_052,TGV,2.07,3.6,3.7,5.22
ID_053,7.76,3.02,ID_053,Bus RATP,6.67,3.48,3.99,3.62
ID_054,8.23,4.08,ID_054,TER,2.61,6.96,4.27,8.48
ID_055,4.36,3.04,ID_055,Tramway,6.49,1.96,6.87,8.58
ID_056,2.04,7.41,ID_056,TGV,1.69,1.67,2.86,2.94
ID_057,5.58,3.14,ID_057,Métro,6.76,4.19,3.46,7.68
ID_058,4.76,4.17,ID_058,Tramway,5.55,2.22,1.26,4.05
ID_059,8.37,5.95,ID_059,Bus RATP,8.47,6.65,7.57,8.26
ID_060,3.27,3.33,ID_060,TGV,3.8,7.6,2.32,6.1
ID_061,2.12,4.9,ID_061,TER,7.51,4.56,5.67,7.98
ID_062,3.42,4.64,ID_062,TER,4.23,8.72,1.68,7.72
