col_energy_id,col_date,col_annee,col_mois,col_line_id,col_zone_id,col_mode,col_energie_kwh
ID_000,2024-09-15 00:00:00,7.62,1.56,ID_000,ID_000,Tramway,6.86
ID_001,2024-02-11 00:00:00,4.24,4.07,ID_001,ID_001,Bus RATP,7.16
ID_002,2024-10-19 00:00:00,1.5,2.42,ID_002,ID_002,Tramway,5.25
ID_003,2024-11-13 00:00:00,6.95,4.49,ID_003,ID_003,Bus RATP,8.69
ID_004,2024-05-07 00:00:00,3.31,7.83,ID_004,ID_004,TGV,3.63
ID_005,2024-06-01 00:00:00,6.74,5.84,ID_005,ID_005,TER,5.89
ID_006,2024-03-05 00:00:00,1.86,2.97,ID_006,ID_006,Métro,4.56
ID_007,2024-03-01 00:00:00,6.57,7.03,ID_007,ID_007,RER,2.14
ID_008,2024-06-12 00:00:00,7.0,6.87,ID_008,ID_008,Métro,8.03
ID_009,2024-01-03 00:00:00,8.49,5.45,ID_009,ID_009,Transilien,1.91
ID_010,2024-10-06 00:00:00,3.66,5.97,ID_010,ID_010,Métro,8.56
ID_011,2024-01-17 00:00:00,2.8,4.42,ID_011,ID_011,Bus RATP,8.15
ID_012,2024-11-06 00:00:00,7.59,8.36,ID_012,ID_012,Tramway,6.76
ID_013,2024-07-17 00:00:00,7.4,7.76,ID_013,ID_013,Transilien,3.31
ID_014,2024-10-31 00:00:00,4.01,2.21,ID_014,ID_014,TER,3.02
ID_015,2024-09-09 00:00:00,5.91,7.92,ID_015,ID_015,TGV,8.01
ID_016,2024-03-04 00:00:00,4.57,1.23,ID_016,ID_016,TGV,3.34
ID_017,2024-06-09 00:00:00,1.92,7.28,ID_017,ID_017,RER,8.71
ID_018,2024-12-23 00:00:00,6.19,6.69,ID_018,ID_018,Transilien,6.95
ID_019,2024-12-11 00:00:00,3.04,1.98,ID_019,ID_019,Bus RATP,5.02
ID_020,2024-07-19 00:00:00,8.18,2.57,ID_020,ID_020,RER,1.41
ID_021,2024-01-27 00:00:00,7.91,6.86,ID_021,ID_021,Tramway,3.15
ID_022,2024-10-12 00:00:00,2.34,5.38,ID_022,ID_022,TGV,5.11
ID_023,2024-01-18 00:00:00,1.55,4.81,ID_023,ID_023,TER,5.53
ID_024,2024-09-14 00:00:00,3.2,1.82,ID_024,ID_024,Bus RATP,7.49
ID_025,2024-10-07 00:00:00,7.24,5.95,ID_025,ID_025,Transilien,5.6
ID_026,2024-10-11 00:00:00,1.62,4.3,ID_026,ID_026,Métro,3.24
ID_027,2024-11-17 00:00:00,4.48,6.16,ID_027,ID_027,Tramway,6.54
ID_028,2024-03-30 00:00:00,6.64,2.14,ID_028,ID_028,Tramway,8.74
ID_029,2024-07-10 00:00:00,6.62,6.32,ID_029,ID_029,RER,4.83
ID_030,2024-10-11 00:00:00,4.34,1.78,ID_030,ID_030,RER,8.56
ID_031,2024-01-11 00:00:00,1.81,4.77,ID_031,ID_031,TER,2.19
ID_032,2024-09-26 00:00:00,1.21,6.17,ID_032,ID_032,Métro,1.47
ID_033,2024-09-15 00:00:00,6.35,6.79,ID_033,ID_033,Métro,1.55
ID_034,2024-09-15 00:00:00,6.82,4.74,ID_034,ID_034,TER,6.58
ID_035,2024-08-03 00:00:00,6.82,3.29,ID_035,ID_035,Bus RATP,4.81
ID_036,2024-04-28 00:00:00,2.38,6.56,ID_036,ID_036,TGV,2.76
ID_037,2024-10-28 00:00:00,2.32,6.52,ID_037,ID_037,RER,4.02
ID_038,2024-01-20 00:00:00,2.23,2.24,ID_038,ID_038,RER,3.43
ID_039,2024-04-26 00:00:00,3.56,8.33,ID_039,ID_039,Transilien,6.19
ID_040,2024-03-04 00:00:00,5.81,8.45,ID_040,ID_040,Bus RATP,7.56
ID_041,2024-05-21 00:00:00,4.49,3.41,ID_041,ID_041,TER,4.41
ID_042,2024-08-24 00:00:00,7.18,2.26,ID_042,ID_042,TGV,6.73
ID_043,2024-01-14 00:00:00,4.12,3.25,ID_043,ID_043,Tramway,6.45
ID_044,2024-01-11 00:00:00,2.18,3.4,ID_044,ID_044,Tramway,3.31
ID_045,2024-07-05 00:00:00,7.44,5.46,ID_045,ID_045,TER,1.43
ID_046,2024-02-15 00:00:00,7.85,3.42,ID_046,ID_046,TGV,8.38
ID_047,2024-01-13 00:00:00,2.6,6.38,ID_047,ID_047,Transilien,5.66
ID_048,2024-10-14 00:00:00,8.6,1.93,ID_048,ID_048,RER,4.98
ID_049,2024-01-06 00:00:00,7.86,2.76,ID_049,ID_049,Transilien,2.31
ID_050,2024-04-15 00:00:00,2.36,1.9,ID_050,ID_050,TER,6.26
ID_051,2024-12-07 00:00:00,3.23,6.26,ID_051,ID_051,Métro,4.58
ID_052,2024-04-02 00:00:00,4.05,4.36,ID_052,ID_052,RER,8.23
ID_053,2024-04-07 00:00:00,6.13,1.61,ID_053,ID_053,Tramway,2.58
ID_054,2024-08-12 00:00:00,7.02,4.49,ID_054,ID_054,Bus RATP,8.23
ID_055,2024-11-21 00:00:00,5.77,2.08,ID_055,ID_055,RER,1.27
ID_056,2024-01-17 00:00:00,3.43,6.94,ID_056,ID_056,RER,7.48
ID_057,2024-01-22 00:00:00,8.6,5.35,ID_057,ID_057,Transilien,4.95
ID_058,2024-05-20 00:00:00,1.88,8.52,ID_058,ID_058,Tramway,7.74
ID_059,2024-02-26 00:00:00,7.7,7.99,ID_059,ID_059,TGV,4.45
ID_060,2024-12-17 00:00:00,3.42,4.66,ID_060,ID_060,TER,4.83
ID_061,2024-03-08 00:00:00,3.01,6.53,ID_061,ID_061,Tramway,7.04
ID_062,2024-01-29 00:00:00,3.9,3.05,ID_062,ID_062,Tramway,7.82
ID_063,2024-10-22 00:00:00,7.84,4.48,ID_063,ID_063,Bus RATP,7.19
ID_064,2024-08-08 00:00:00,8.13,5.89,ID_064,ID_064,Métro,5.93
ID_065,2024-01-23 00:00:00,5.0,1.94,ID_065,ID_065,Métro,4.97
ID_066,2024-10-26 00:00:00,4.36,6.69,ID_066,ID_066,Bus RATP,4.08
ID_067,2024-09-25 00:00:00,6.26,1.62,ID_067,ID_067,RER,4.4
ID_068,2024-03-21 00:00:00,4.45,7.09,ID_068,ID_068,RER,2.97
ID_069,2024-05-10 00:00:00,7.85,7.52,ID_069,ID_069,TGV,5.07
ID_070,2024-10-13 00:00:00,1.88,6.48,ID_070,ID_070,RER,3.33
ID_071,2024-06-12 00:00:00,2.57,2.29,ID_071,ID_071,TGV,3.07
ID_072,2024-06-10 00:00:00,8.2,8.08,ID_072,ID_072,Transilien,2.26
ID_073,2024-09-21 00:00:00,8.18,4.72,ID_073,ID_073,TGV,8.38
ID_074,2024-08-07 00:00:00,1.96,3.92,ID_074,ID_074,Tramway,6.05
ID_075,2024-06-24 00:00:00,4.77,7.19,ID_075,ID_075,TER,2.13
ID_076,2024-10-16 00:00:00,7.68,7.9,ID_076,ID_076,Métro,4.98
ID_077,2024-11-21 00:00:00,8.07,4.56,ID_077,ID_077,Bus RATP,4.98
ID_078,2024-04-20 00:00:00,3.22,2.69,ID_078,ID_078,Transilien,5.14
ID_079,2024-08-13 00:00:00,6.3,4.77,ID_079,ID_079,Métro,5.12
ID_080,2024-01-18 00:00:00,4.48,6.93,ID_080,ID_080,Métro,6.63
ID_081,2024-04-02 00:00:00,4.79,4.21,ID_081,ID_081,Tramway,6.34
ID_082,2024-03-01 00:00:00,7.19,4.62,ID_082,ID_082,Bus RATP,2.96
ID_083,2024-06-15 00:00:00,7.84,1.75,ID_083,ID_083,TER,6.91
ID_084,2024-08-10 00:00:00,8.38,2.7,ID_084,ID_084,Métro,1.46
ID_085,2024-12-09 00:00:00,7.13,8.4,ID_085,ID_085,TGV,1.22
ID_086,2024-01-28 00:00:00,7.43,8.69,ID_086,ID_086,TGV,4.09
ID_087,2024-02-19 00:00:00,2.09,8.55,ID_087,ID_087,RER,7.26
ID_088,2024-09-30 00:00:00,2.05,1.92,ID_088,ID_088,Tramway,4.58
ID_089,2024-12-09 00:00:00,7.2,5.84,ID_089,ID_089,RER,2.7
ID_090,2024-10-29 00:00:00,7.27,7.69,ID_090,ID_090,TER,6.74
ID_091,2024-10-28 00:00:00,1.72,7.35,ID_091,ID_091,Tramway,2.72
ID_092,2024-03-27 00:00:00,6.35,5.81,ID_092,ID_092,TGV,8.27
ID_093,2024-12-21 00:00:00,4.54,1.72,ID_093,ID_093,Métro,8.4
ID_094,2024-08-12 00:00:00,5.79,4.95,ID_094,ID_094,Bus RATP,1.95
ID_095,2024-01-27 00:00:00,5.04,8.52,ID_095,ID_095,RER,5.61
ID_096,2024-01-03 00:00:00,3.87,4.51,ID_096,ID_096,Tramway,4.21
ID_097,2024-07-16 00:00:00,7.77,8.43,ID_097,ID_097,TGV,2.85
ID_098,2024-02-08 00:00:00,8.37,5.69,ID_098,ID_098,TGV,8.11
ID_099,2024-09-08 00:00:00,4.35,1.9,ID_099,ID_099,Métro,7.16
ID_000,2024-05-09 00:00:00,8.48,2.87,ID_000,ID_000,Métro,1.93
ID_001,2024-10-15 00:00:00,3.79,1.81,ID_001,ID_001,RER,6.44
ID_002,2024-12-22 00:00:00,7.09,7.33,ID_002,ID_002,RER,4.74
ID_003,2024-06-09 00:00:00,6.36,2.83,ID_003,ID_003,Transilien,5.3
ID_004,2024-05-06 00:00:00,3.07,7.56,ID_004,ID_004,RER,5.87
ID_005,2024-07-31 00:00:00,1.73,7.41,ID_005,ID_005,Bus RATP,3.37
ID_006,2024-11-17 00:00:00,4.76,6.3,ID_006,ID_006,Bus RATP,8.66
ID_007,2024-06-16 00:00:00,5.34,6.08,ID_007,ID_007,Transilien,4.94
ID_008,2024-12-20 00:00:00,6.95,3.25,ID_008,ID_008,Bus RATP,3.42
ID_009,2024-01-26 00:00:00,3.13,2.33,ID_009,ID_009,RER,5.0
ID_010,2024-09-22 00:00:00,5.94,8.55,ID_010,ID_010,Bus RATP,7.51
ID_011,2024-08-27 00:00:00,7.46,7.36,ID_011,ID_011,Transilien,3.92
ID_012,2024-05-30 00:00:00,5.53,4.68,ID_012,ID_012,Transilien,3.47
ID_013,2024-08-19 00:00:00,6.72,7.55,ID_013,ID_013,Tramway,6.74
ID_014,2024-09-30 00:00:00,2.68,3.5,ID_014,ID_014,TER,6.34
ID_015,2024-11-26 00:00:00,8.78,7.46,ID_015,ID_015,Bus RATP,7.29
ID_016,2024-07-21 00:00:00,5.19,4.14,ID_016,ID_016,TER,7.62
ID_017,2024-09-21 00:00:00,8.21,4.09,ID_017,ID_017,Tramway,3.27
ID_018,2024-05-27 00:00:00,6.1,4.53,ID_018,ID_018,TGV,7.85
ID_019,2024-11-25 00:00:00,7.69,8.62,ID_019,ID_019,RER,4.93
ID_020,2024-01-01 00:00:00,3.91,3.1,ID_020,ID_020,Transilien,2.95
ID_021,2024-03-16 00:00:00,2.91,5.04,ID_021,ID_021,Tramway,7.31
ID_022,2024-02-15 00:00:00,2.24,7.81,ID_022,ID_022,TGV,1.81
ID_023,2024-09-22 00:00:00,4.44,6.3,ID_023,ID_023,RER,5.23
ID_024,2024-08-29 00:00:00,6.9,2.37,ID_024,ID_024,Métro,3.05
ID_025,2024-07-10 00:00:00,4.44,2.64,ID_025,ID_025,TER,6.31
ID_026,2024-10-14 00:00:00,6.61,3.96,ID_026,ID_026,TGV,5.58
ID_027,2024-09-08 00:00:00,3.28,5.61,ID_027,ID_027,TER,5.27
ID_028,2024-06-08 00:00:00,1.45,5.94,ID_028,ID_028,Métro,4.34
ID_029,2024-07-26 00:00:00,1.27,8.69,ID_029,ID_029,Bus RATP,8.07
ID_030,2024-09-11 00:00:00,1.75,8.17,ID_030,ID_030,Tramway,6.07
ID_031,2024-01-17 00:00:00,6.69,2.79,ID_031,ID_031,Bus RATP,4.65
ID_032,2024-10-27 00:00:00,2.88,7.98,ID_032,ID_032,Bus RATP,2.39
ID_033,2024-09-22 00:00:00,5.47,2.36,ID_033,ID_033,Tramway,8.63
ID_034,2024-05-27 00:00:00,8.55,4.17,ID_034,ID_034,Bus RATP,1.89
ID_035,2024-03-23 00:00:00,7.24,6.12,ID_035,ID_035,RER,2.46
ID_036,2024-01-30 00:00:00,4.55,3.66,ID_036,ID_036,TER,6.24
ID_037,2024-02-21 00:00:00,4.08,6.02,ID_037,ID_037,RER,1.69
ID_038,2024-07-30 00:00:00,5.38,8.6,ID_038,ID_038,Transilien,3.8
ID_039,2024-04-14 00:00:00,4.37,3.54,ID_039,ID_039,Transilien,2.71
ID_040,2024-09-12 00:00:00,2.7,7.21,ID_040,ID_040,TGV,8.09
ID_041,2024-11-02 00:00:00,4.17,3.53,ID_041,ID_041,RER,8.62
ID_042,2024-05-28 00:00:00,7.33,5.13,ID_042,ID_042,Métro,7.05
ID_043,2024-12-03 00:00:00,6.18,4.72,ID_043,ID_043,Bus RATP,2.05
