col_annee,col_carburant,col_prix_moyen,col_variation_vs_2019_pourcent,col_variation_annuelle_pourcent,col_tendance,col_source,col_date_collecte
1.31,5.74,1.706,1.65,5.13,5.52,RATP_Open_Data_2024,2024-07-03 00:00:00
5.13,3.94,1.981,2.92,5.14,6.99,Météo-France,2024-09-13 00:00:00
4.72,3.28,1.898,7.87,8.48,1.97,Airparif,2024-10-08 00:00:00
5.23,5.55,1.981,5.46,5.31,1.6,Météo-France,2024-03-31 00:00:00
8.62,7.42,1.836,4.89,5.59,3.38,SNCF_Open_Data,2024-04-01 00:00:00
7.64,5.82,1.711,7.11,3.8,5.58,SNCF_Open_Data,2024-11-21 00:00:00
1.29,3.33,1.795,3.58,6.98,5.83,Météo-France,2024-01-26 00:00:00
8.5,2.99,1.858,7.27,1.44,4.59,Airparif,2024-01-10 00:00:00
3.52,2.55,1.911,3.54,3.99,7.22,Data.gouv.fr,2024-12-23 00:00:00
3.49,2.59,1.837,4.07,6.83,5.69,Data.gouv.fr,2024-01-10 00:00:00
7.91,5.31,1.93,6.15,8.77,3.71,Data.gouv.fr,2024-08-31 00:00:00
8.1,4.51,1.777,5.47,4.2,2.98,RATP_Open_Data_2024,2024-05-20 00:00:00
7.26,7.74,1.785,5.38,7.6,6.71,Data.gouv.fr,2024-03-10 00:00:00
7.85,7.96,1.847,2.58,1.24,7.17,Airparif,2024-10-17 00:00:00
2.07,1.99,1.681,4.56,4.53,1.38,SNCF_Open_Data,2024-11-03 00:00:00
8.26,4.87,1.916,5.98,5.01,7.47,RATP_Open_Data_2024,2024-01-18 00:00:00
8.67,6.47,1.708,8.74,7.11,3.76,Airparif,2024-12-02 00:00:00
5.25,6.33,1.972,3.73,6.71,7.99,Météo-France,2024-04-02 00:00:00
3.18,3.45,1.765,7.2,7.5,8.62,Météo-France,2024-08-13 00:00:00
4.22,4.8,1.945,6.95,4.07,2.18,Météo-France,2024-03-25 00:00:00
1.6,7.52,1.884,3.1,8.4,4.43,Airparif,2024-06-28 00:00:00
5.74,6.78,1.931,2.66,2.99,1.36,Météo-France,2024-10-11 00:00:00
5.06,3.96,1.9,4.6,6.02,1.43,Météo-France,2024-07-08 00:00:00
7.19,8.37,1.948,3.21,6.21,1.46,Data.gouv.fr,2024-01-20 00:00:00
4.0,6.06,1.773,3.55,2.95,7.72,Météo-France,2024-06-16 00:00:00
5.8,5.16,1.772,1.69,2.75,5.41,RATP_Open_Data_2024,2024-04-13 00:00:00
4.51,2.81,1.809,4.1,3.24,4.75,Airparif,2024-06-09 00:00:00
5.89,2.07,1.926,2.42,6.18,1.74,Météo-France,2024-03-24 00:00:00
8.3,8.43,1.696,2.09,6.38,5.92,SNCF_Open_Data,2024-02-29 00:00:00
2.28,1.47,1.89,2.59,6.31,8.79,RATP_Open_Data_2024,2024-02-14 00:00:00
2.01,6.08,1.914,3.99,2.36,2.76,SNCF_Open_Data,2024-03-27 00:00:00
4.61,3.58,1.896,8.04,5.9,1.66,SNCF_Open_Data,2024-06-12 00:00:00
4.82,4.66,1.752,7.47,6.13,5.22,Météo-France,2024-05-03 00:00:00
7.32,2.39,1.697,3.34,4.99,8.17,Airparif,2024-01-06 00:00:00
6.03,3.62,1.731,7.93,3.53,1.57,Airparif,2024-02-14 00:00:00
8.06,5.44,1.861,3.96,2.66,7.54,Airparif,2024-03-16 00:00:00
2.42,4.63,1.859,3.32,6.83,8.74,RATP_Open_Data_2024,2024-08-27 00:00:00
5.3,7.04,1.825,8.46,4.02,4.41,Data.gouv.fr,2024-06-13 00:00:00
1.29,7.91,1.784,2.11,1.52,4.52,RATP_Open_Data_2024,2024-08-17 00:00:00
1.28,7.59,1.965,5.45,8.78,3.83,Data.gouv.fr,2024-03-25 00:00:00
1.22,6.83,1.735,2.57,3.56,7.96,RATP_Open_Data_2024,2024-04-24 00:00:00
4.68,2.17,1.773,8.74,6.37,3.66,RATP_Open_Data_2024,2024-08-14 00:00:00
1.62,4.43,1.97,3.44,7.26,6.92,Data.gouv.fr,2024-07-31 00:00:00
7.36,8.69,1.876,5.59,3.2,4.96,Data.gouv.fr,2024-07-30 00:00:00
1.42,3.59,1.926,3.91,5.19,5.03,Data.gouv.fr,2024-05-10 00:00:00
5.17,1.35,1.723,5.65,1.5,3.32,Data.gouv.fr,2024-03-26 00:00:00
3.11,8.0,1.782,3.61,7.77,6.76,Airparif,2024-06-18 00:00:00
8.05,6.07,1.988,6.67,4.82,2.44,RATP_Open_Data_2024,2024-01-18 00:00:00
8.49,7.49,1.684,1.6,4.54,7.18,Airparif,2024-11-24 00:00:00
2.01,2.98,1.862,6.69,1.24,7.69,Airparif,2024-02-10 00:00:00
