col_location,col_city,col_country,col_parameter,col_value,col_unit,col_date_utc,col_latitude,col_longitude
6.5,Toulouse,2.14,6.5,4.97,1.64,2024-02-19 00:00:00,46.349991,-0.568406
4.31,Montpellier,5.86,1.4,5.01,2.93,2024-03-31 00:00:00,46.711752,-0.94058
6.88,Nice,6.19,7.06,6.73,4.9,2024-03-22 00:00:00,49.221981,1.884145
4.06,Toulouse,4.24,4.32,2.14,3.12,2024-01-06 00:00:00,52.521134,5.368316
3.64,Marseille,8.14,5.92,6.19,5.05,2024-06-02 00:00:00,48.039868,5.159675
7.52,Lyon,7.63,2.84,8.07,2.69,2024-05-29 00:00:00,45.037484,2.241425
8.36,Bordeaux,1.6,7.87,4.28,2.82,2024-10-04 00:00:00,47.393435,0.069131
4.27,Marseille,3.48,4.22,3.59,1.27,2024-11-05 00:00:00,49.227376,5.675136
3.32,Bordeaux,4.86,3.04,8.27,2.44,2024-04-26 00:00:00,50.163166,2.517381
3.73,Strasbourg,1.47,1.31,3.53,7.27,2024-12-09 00:00:00,46.457942,-1.06769
6.83,Paris,5.93,8.51,7.29,5.49,2024-07-05 00:00:00,50.814375,0.003159
2.41,Lille,6.61,1.44,2.29,3.22,2024-02-11 00:00:00,46.932104,3.137561
5.46,Montpellier,8.57,8.28,4.28,1.6,2024-04-17 00:00:00,52.817663,0.522246
3.28,Nantes,5.59,6.95,4.46,8.71,2024-08-18 00:00:00,47.211222,1.542245
4.15,Lyon,5.83,1.98,6.68,7.14,2024-04-13 00:00:00,49.485594,4.83253
6.62,Toulouse,8.1,6.62,8.71,4.26,2024-01-09 00:00:00,48.617496,-0.349437
6.12,Lille,2.39,5.77,8.06,2.11,2024-07-07 00:00:00,46.167945,4.562058
4.3,Nantes,1.39,5.54,1.81,2.96,2024-09-17 00:00:00,48.310377,0.959007
4.47,Nantes,3.23,5.39,6.52,6.16,2024-06-22 00:00:00,51.145599,2.653888
4.34,Lille,5.85,8.1,5.83,4.5,2024-09-21 00:00:00,48.789905,3.167688
7.89,Strasbourg,6.5,8.71,3.23,5.4,2024-08-01 00:00:00,49.563529,3.364265
6.72,Bordeaux,1.68,4.3,5.46,2.72,2024-09-17 00:00:00,50.51745,1.911886
7.49,Toulouse,6.59,6.24,2.17,1.52,2024-02-15 00:00:00,44.89018,1.878302
7.0,Paris,2.91,4.23,6.52,6.72,2024-02-08 00:00:00,52.624176,2.111415
8.63,Lille,5.21,6.32,5.76,3.89,2024-01-11 00:00:00,49.503907,6.03749
6.42,Paris,8.2,4.36,8.1,7.81,2024-11-06 00:00:00,51.124927,-0.890266
3.7,Paris,4.52,8.71,1.59,2.47,2024-06-07 00:00:00,49.885933,2.577651
2.06,Lille,2.6,1.69,6.84,3.25,2024-04-08 00:00:00,49.661356,2.796303
2.39,Paris,6.61,2.56,8.25,5.99,2024-10-15 00:00:00,47.70601,5.856474
3.87,Lyon,7.95,3.52,7.74,3.77,2024-10-06 00:00:00,52.430034,-1.263834
3.66,Paris,8.39,8.57,4.48,1.62,2024-08-13 00:00:00,47.442529,1.40221
1.64,Lyon,2.87,6.54,2.22,7.84,2024-04-10 00:00:00,49.018829,-0.320365
6.26,Lille,3.66,6.41,4.13,8.17,2024-08-10 00:00:00,46.902385,1.903416
3.22,Nantes,8.17,4.63,7.62,7.83,2024-04-03 00:00:00,49.741107,1.109076
3.21,Montpellier,5.29,1.69,7.95,7.18,2024-12-14 00:00:00,46.251108,-1.052748
8.7,Marseille,2.82,8.08,1.74,2.7,2024-03-21 00:00:00,51.615259,-0.393223
4.28,Toulouse,8.48,3.48,3.56,3.41,2024-03-22 00:00:00,51.667988,1.707578
3.83,Montpellier,4.33,4.39,7.42,6.39,2024-12-26 00:00:00,50.211251,4.96308
7.2,Lille,3.71,4.39,5.16,5.27,2024-05-28 00:00:00,46.131842,0.673596
8.4,Bordeaux,5.88,6.13,1.6,7.76,2024-01-10 00:00:00,51.935802,3.747765
8.68,Nice,6.8,7.35,3.27,4.34,2024-10-04 00:00:00,45.701999,4.380878
5.93,Lille,8.27,7.66,7.54,3.53,2024-08-12 00:00:00,49.232792,0.681766
5.1,Lyon,4.97,5.29,5.85,4.11,2024-02-11 00:00:00,46.223368,3.290538
6.55,Nantes,2.27,5.59,3.4,1.21,2024-04-15 00:00:00,45.108522,4.854008
7.58,Lille,8.61,8.33,3.12,1.98,2024-05-21 00:00:00,52.180611,5.377532
3.91,Nantes,8.66,6.8,8.53,1.75,2024-05-07 00:00:00,47.374989,-0.960358
8.07,Lille,5.44,1.38,8.33,2.07,2024-06-07 00:00:00,45.81668,6.184034
3.58,Strasbourg,5.25,6.53,4.1,7.24,2024-12-26 00:00:00,49.602057,1.974723
3.85,Lyon,8.27,5.87,4.76,1.28,2024-12-26 00:00:00,47.161626,2.55955
7.27,Nantes,5.83,4.15,5.76,8.06,2024-09-11 00:00:00,50.877161,4.418439
6.6,Strasbourg,5.71,2.0,4.63,3.95,2024-11-04 00:00:00,52.129715,6.069638
7.01,Nice,6.96,7.85,2.02,8.51,2024-07-13 00:00:00,48.501632,-1.375605
1.49,Toulouse,4.83,4.77,2.11,4.91,2024-08-14 00:00:00,47.371072,-0.400299
8.59,Strasbourg,8.03,6.62,7.0,3.06,2024-05-10 00:00:00,47.727105,-0.139078
2.76,Bordeaux,2.13,6.0,3.28,7.59,2024-11-14 00:00:00,50.702612,5.912356
