col_environnement_id,col_time_id,col_zone_environnement_id,col_mode_environnement_id,col_polluant_id,col_station_mesure_id,col_type_carburant_id,col_emission_co2_kg,col_emission_co2_km,col_emission_par_habitant_kg,col_reduction_emission_pct,col_indice_aqi,col_niveau_qualite_air,col_pm25_ugm3,col_pm10_ugm3,col_no2_ugm3,col_o3_ugm3,col_energie_consommee_kwh,col_part_renouvelable_pct,col_cout_energie_eur,col_age_vehicule_moyen,col_nb_vehicules_electriques,col_taux_renouvellement_pct,col_valeur_cible,col_ecart_objectif_pct,col_atteint_objectif,col_reduction_trafic_covid_pct,col_gain_environnemental_kg
ID_000,ID_000,ID_000,ID_000,ID_000,ID_000,ID_000,4.81,7.31,8.5,3.04,5.37,6.52,2.33,4.77,6.35,7.05,6.1,3.31,1.26,7.15,6.56,1.83,77.83,1.93,4.89,ID_000,6.84
ID_001,ID_001,ID_001,ID_001,ID_001,ID_001,ID_001,8.77,2.59,5.51,6.86,6.28,3.06,7.31,8.1,6.47,4.21,3.44,6.11,7.91,2.42,2.92,6.28,65.03,3.05,4.65,ID_001,8.45
ID_002,ID_002,ID_002,ID_002,ID_002,ID_002,ID_002,7.31,7.03,2.44,5.12,50.78,3.04,8.2,7.4,2.72,8.79,8.18,1.88,4.45,2.55,8.57,2.11,14.18,2.89,4.58,ID_002,3.78
ID_003,ID_003,ID_003,ID_003,ID_003,ID_003,ID_003,4.57,4.92,8.55,5.55,58.13,8.03,1.89,2.28,4.03,2.48,8.42,1.27,5.95,8.3,5.02,1.92,78.52,4.78,3.91,ID_003,1.74
ID_004,ID_004,ID_004,ID_004,ID_004,ID_004,ID_004,3.33,6.34,3.65,2.82,64.37,4.32,1.23,2.34,3.22,7.39,7.32,3.79,8.42,7.48,5.49,2.56,45.66,3.95,4.45,ID_004,6.11
ID_005,ID_005,ID_005,ID_005,ID_005,ID_005,ID_005,7.09,2.18,7.95,6.5,34.43,4.79,4.48,5.08,3.3,7.05,1.69,5.97,4.27,7.04,5.88,6.53,76.48,5.87,3.04,ID_005,1.21
ID_006,ID_006,ID_006,ID_006,ID_006,ID_006,ID_006,5.4,6.31,3.8,3.95,18.61,4.15,6.95,3.44,3.5,8.62,1.74,7.95,5.68,6.05,4.3,7.73,62.9,2.96,1.5,ID_006,1.37
ID_007,ID_007,ID_007,ID_007,ID_007,ID_007,ID_007,4.03,7.03,6.49,5.91,78.88,4.38,4.23,6.94,1.36,3.42,4.0,8.56,1.46,1.32,2.28,5.2,8.25,8.46,8.12,ID_007,8.23
ID_008,ID_008,ID_008,ID_008,ID_008,ID_008,ID_008,8.35,5.93,2.2,6.79,38.68,4.66,1.41,1.6,3.41,2.64,8.69,6.89,1.88,6.41,1.5,2.36,58.32,2.15,3.75,ID_008,8.03
ID_009,ID_009,ID_009,ID_009,ID_009,ID_009,ID_009,2.06,1.31,4.86,6.57,69.83,1.34,8.31,1.21,7.58,1.29,7.25,6.55,7.05,7.05,2.01,5.77,77.21,5.91,7.21,ID_009,6.99
ID_010,ID_010,ID_010,ID_010,ID_010,ID_010,ID_010,4.81,4.15,3.7,5.88,14.08,7.15,2.58,2.86,4.71,3.11,2.94,5.6,1.93,8.64,6.35,3.78,82.62,2.18,5.37,ID_010,8.26
ID_011,ID_011,ID_011,ID_011,ID_011,ID_011,ID_011,4.26,7.97,4.18,2.17,64.03,4.79,6.9,1.3,3.36,3.13,6.46,7.71,6.1,5.14,6.96,3.59,74.89,4.07,5.68,ID_011,3.93
ID_012,ID_012,ID_012,ID_012,ID_012,ID_012,ID_012,6.57,5.86,3.15,6.93,4.77,4.52,4.22,7.93,8.56,4.93,5.53,4.53,3.78,4.43,7.57,8.31,14.27,7.0,3.72,ID_012,6.25
