col_price_id,col_region,col_periode_mois,col_annee,col_mois,col_fuel_type,col_prix_unitaire,col_devise
ID_000,Nouvelle-Aquitaine,7.25,4.56,1.45,8.38,1.749,5.82
ID_001,Île-de-France,2.35,2.96,5.03,4.64,1.839,4.95
ID_002,Hauts-de-France,4.78,8.19,1.6,7.81,1.971,8.01
ID_003,Pays de la Loire,5.7,6.82,7.83,2.72,1.842,3.42
ID_004,Auvergne-Rhône-Alpes,2.02,7.68,6.15,7.76,1.817,4.33
ID_005,Hauts-de-France,7.2,7.09,8.2,1.24,1.853,2.2
ID_006,Bretagne,5.15,4.56,1.71,2.65,1.731,5.56
ID_007,Auvergne-Rhône-Alpes,6.33,3.12,4.11,4.65,1.947,6.84
ID_008,Bretagne,4.92,7.39,6.97,1.4,1.714,3.16
ID_009,Auvergne-Rhône-Alpes,5.4,3.34,4.43,4.04,1.954,4.09
ID_010,Hauts-de-France,4.37,3.92,8.64,4.15,1.871,3.79
ID_011,Grand Est,6.86,1.47,5.62,3.22,1.727,1.38
ID_012,Provence-Alpes-Côte d'Azur,6.05,8.7,2.29,1.59,1.904,8.57
ID_013,Provence-Alpes-Côte d'Azur,4.05,2.54,4.04,6.17,1.983,6.93
ID_014,Île-de-France,5.02,3.58,6.14,1.96,1.906,7.92
ID_015,Hauts-de-France,2.44,8.04,6.99,7.73,1.958,3.33
ID_016,Occitanie,5.62,4.45,3.96,4.98,1.788,2.73
ID_017,Grand Est,6.54,4.41,4.95,3.39,1.76,6.36
ID_018,Pays de la Loire,6.11,2.04,3.28,3.13,1.905,5.98
ID_019,Occitanie,7.17,2.0,7.15,8.43,1.847,6.49
ID_020,Hauts-de-France,2.62,7.61,7.75,8.08,1.975,4.99
ID_021,Nouvelle-Aquitaine,7.06,4.64,2.16,6.74,1.688,4.32
ID_022,Nouvelle-Aquitaine,7.48,3.71,7.86,2.81,1.914,2.33
ID_023,Pays de la Loire,3.85,4.07,6.36,7.01,1.705,1.63
ID_024,Provence-Alpes-Côte d'Azur,4.06,5.91,7.04,5.45,1.971,8.18
ID_025,Auvergne-Rhône-Alpes,6.04,6.84,7.24,6.03,1.794,7.92
ID_026,Provence-Alpes-Côte d'Azur,3.64,5.66,2.37,1.25,1.908,7.93
ID_027,Nouvelle-Aquitaine,6.01,7.81,8.09,3.35,1.719,6.74
ID_028,Normandie,1.59,3.16,8.65,5.94,1.864,1.27
ID_029,Normandie,3.54,5.48,6.15,7.67,1.911,6.07
ID_030,Nouvelle-Aquitaine,4.98,8.7,5.24,4.67,1.765,6.89
ID_031,Auvergne-Rhône-Alpes,6.6,7.24,3.22,5.26,1.77,8.56
ID_032,Hauts-de-France,4.35,4.28,3.2,6.83,1.916,5.39
ID_033,Île-de-France,2.47,2.18,4.7,6.8,1.978,3.2
ID_034,Occitanie,3.47,7.07,4.19,6.81,1.697,2.81
ID_035,Provence-Alpes-Côte d'Azur,1.49,3.22,4.7,4.06,1.938,1.28
ID_036,Île-de-France,6.71,3.88,7.67,5.69,1.977,7.62
ID_037,Île-de-France,8.19,7.49,6.14,1.54,1.934,1.43
ID_038,Pays de la Loire,4.39,7.05,4.88,7.61,1.751,1.79
ID_039,Hauts-de-France,1.71,4.29,5.75,4.38,1.88,6.16
ID_040,Occitanie,7.06,3.54,5.8,7.98,1.804,6.32
ID_041,Occitanie,1.34,7.0,7.33,4.86,1.921,4.87
ID_042,Provence-Alpes-Côte d'Azur,6.45,7.35,3.48,4.24,1.888,3.48
ID_043,Normandie,2.03,5.77,1.82,2.72,1.922,1.48
ID_044,Provence-Alpes-Côte d'Azur,5.63,8.32,1.23,1.96,1.953,7.6
ID_045,Occitanie,7.73,3.51,8.38,4.91,1.726,2.43
ID_046,Pays de la Loire,7.03,1.95,4.25,7.28,1.845,5.21
ID_047,Provence-Alpes-Côte d'Azur,7.59,3.1,6.84,4.95,1.908,5.48
ID_048,Hauts-de-France,3.82,2.35,2.09,2.67,1.745,7.0
ID_049,Normandie,4.46,6.03,8.6,6.77,1.81,8.71
ID_050,Île-de-France,5.85,6.61,2.66,2.87,1.717,8.79
ID_051,Hauts-de-France,2.49,3.33,8.75,2.44,1.747,7.14
ID_052,Normandie,4.73,6.77,5.45,7.09,1.716,5.45
ID_053,Provence-Alpes-Côte d'Azur,3.9,1.65,3.43,7.84,1.904,3.95
ID_054,Hauts-de-France,2.47,1.41,2.19,4.95,1.764,4.23
ID_055,Grand Est,5.85,4.54,6.73,1.58,1.76,3.69
ID_056,Bretagne,8.33,4.87,1.49,4.27,1.956,5.12
ID_057,Normandie,4.96,5.04,4.4,8.14,1.907,2.15
ID_058,Auvergne-Rhône-Alpes,3.62,3.07,2.49,4.61,1.952,5.39
ID_059,Grand Est,5.4,1.31,5.94,2.94,1.836,7.31
ID_060,Provence-Alpes-Côte d'Azur,4.73,1.52,6.52,2.46,1.962,8.2
ID_061,Bretagne,7.41,5.36,8.75,4.14,1.71,8.36
ID_062,Auvergne-Rhône-Alpes,4.78,8.1,5.09,2.11,1.826,6.04
ID_063,Hauts-de-France,1.92,6.13,2.04,5.44,1.789,4.68
ID_064,Normandie,4.51,1.76,8.54,6.26,1.946,7.45
ID_065,Bretagne,4.23,3.86,4.08,3.77,1.69,1.87
ID_066,Hauts-de-France,2.49,7.81,5.65,3.55,1.9,5.44
ID_067,Grand Est,8.45,3.34,7.95,3.32,1.869,7.05
ID_068,Auvergne-Rhône-Alpes,2.17,8.77,6.66,2.5,1.86,3.85
ID_069,Auvergne-Rhône-Alpes,7.51,4.42,5.96,3.28,1.833,6.93
ID_070,Occitanie,5.18,3.89,7.96,1.98,1.954,4.98
ID_071,Auvergne-Rhône-Alpes,4.96,1.88,6.2,6.05,1.86,5.65
ID_072,Provence-Alpes-Côte d'Azur,4.43,3.03,6.05,2.29,1.95,4.75
ID_073,Nouvelle-Aquitaine,6.93,3.86,3.35,3.77,1.958,5.8
ID_074,Nouvelle-Aquitaine,3.41,7.01,2.46,1.59,1.774,1.96
ID_075,Bretagne,5.89,6.76,5.79,1.72,1.732,6.71
