col_aq_id,col_date,col_zone_id,col_pm25_ugm3,col_no2_ugm3,col_aqi_index
ID_000,2024-02-19 00:00:00,ID_000,8.58,8.69,15.96
ID_001,2024-09-03 00:00:00,ID_001,6.72,6.37,9.19
ID_002,2024-10-12 00:00:00,ID_002,4.29,3.83,17.31
ID_003,2024-06-16 00:00:00,ID_003,7.79,4.77,47.25
ID_004,2024-12-23 00:00:00,ID_004,8.73,3.36,22.54
ID_005,2024-11-22 00:00:00,ID_005,4.98,4.69,67.66
ID_006,2024-10-29 00:00:00,ID_006,8.33,1.77,83.62
ID_007,2024-05-05 00:00:00,ID_007,1.34,4.88,37.72
ID_008,2024-03-21 00:00:00,ID_008,4.71,8.69,24.73
ID_009,2024-09-08 00:00:00,ID_009,2.31,7.27,37.6
ID_010,2024-01-27 00:00:00,ID_010,1.45,2.37,9.07
ID_011,2024-09-09 00:00:00,ID_011,2.26,2.19,56.27
ID_012,2024-01-30 00:00:00,ID_012,2.19,7.15,19.54
ID_013,2024-09-12 00:00:00,ID_013,4.3,2.38,76.5
ID_014,2024-05-24 00:00:00,ID_014,5.18,7.94,41.42
ID_015,2024-08-24 00:00:00,ID_015,2.03,3.88,59.77
ID_016,2024-11-25 00:00:00,ID_016,3.37,6.86,10.61
ID_017,2024-10-13 00:00:00,ID_017,3.51,6.41,76.32
ID_018,2024-11-16 00:00:00,ID_018,2.86,5.97,38.39
ID_019,2024-08-18 00:00:00,ID_019,1.4,1.99,16.32
ID_020,2024-12-14 00:00:00,ID_020,8.58,3.83,10.63
ID_021,2024-10-12 00:00:00,ID_021,6.72,8.52,39.25
ID_022,2024-10-30 00:00:00,ID_022,7.96,3.43,25.05
ID_023,2024-10-16 00:00:00,ID_023,6.8,4.16,60.66
ID_024,2024-08-19 00:00:00,ID_024,4.05,4.58,33.04
ID_025,2024-12-22 00:00:00,ID_025,8.39,3.24,54.46
ID_026,2024-02-25 00:00:00,ID_026,6.67,7.22,66.45
ID_027,2024-01-02 00:00:00,ID_027,7.55,1.67,57.5
ID_028,2024-06-13 00:00:00,ID_028,2.94,2.94,65.59
ID_029,2024-09-22 00:00:00,ID_029,2.91,3.6,49.55
ID_030,2024-02-13 00:00:00,ID_030,7.29,4.44,60.4
ID_031,2024-08-31 00:00:00,ID_031,7.64,7.7,23.13
ID_032,2024-07-23 00:00:00,ID_032,7.56,4.58,10.16
ID_033,2024-07-01 00:00:00,ID_033,2.51,6.09,76.29
ID_034,2024-06-12 00:00:00,ID_034,3.12,4.34,14.93
ID_035,2024-03-07 00:00:00,ID_035,2.66,8.73,20.64
ID_036,2024-03-31 00:00:00,ID_036,5.13,5.47,44.57
ID_037,2024-12-13 00:00:00,ID_037,5.22,1.27,74.1
ID_038,2024-10-29 00:00:00,ID_038,2.21,3.22,58.32
ID_039,2024-11-27 00:00:00,ID_039,5.34,1.95,21.02
ID_040,2024-04-27 00:00:00,ID_040,2.29,2.91,15.95
ID_041,2024-02-08 00:00:00,ID_041,5.82,6.53,62.84
ID_042,2024-03-02 00:00:00,ID_042,5.35,4.6,16.39
ID_043,2024-11-17 00:00:00,ID_043,4.68,4.72,19.08
ID_044,2024-03-25 00:00:00,ID_044,7.81,5.84,17.33
ID_045,2024-08-12 00:00:00,ID_045,5.75,7.48,61.15
ID_046,2024-04-05 00:00:00,ID_046,1.7,8.54,22.42
ID_047,2024-08-29 00:00:00,ID_047,5.26,1.69,34.81
ID_048,2024-10-17 00:00:00,ID_048,7.92,2.75,16.8
ID_049,2024-02-15 00:00:00,ID_049,1.91,7.19,16.33
ID_050,2024-07-31 00:00:00,ID_050,7.82,3.11,41.15
ID_051,2024-07-28 00:00:00,ID_051,5.07,6.68,66.87
ID_052,2024-06-22 00:00:00,ID_052,4.92,2.72,45.17
ID_053,2024-06-15 00:00:00,ID_053,5.99,2.95,34.04
ID_054,2024-06-15 00:00:00,ID_054,4.23,1.26,80.28
ID_055,2024-10-31 00:00:00,ID_055,8.62,1.75,21.57
ID_056,2024-09-19 00:00:00,ID_056,3.34,6.23,67.58
ID_057,2024-01-27 00:00:00,ID_057,8.59,3.28,82.95
ID_058,2024-10-06 00:00:00,ID_058,1.37,6.82,43.52
ID_059,2024-12-17 00:00:00,ID_059,4.3,5.55,46.94
ID_060,2024-01-12 00:00:00,ID_060,5.78,7.93,11.04
ID_061,2024-02-26 00:00:00,ID_061,3.57,7.56,13.32
ID_062,2024-07-01 00:00:00,ID_062,1.97,3.0,39.83
ID_063,2024-01-10 00:00:00,ID_063,8.02,8.1,48.0
ID_064,2024-06-26 00:00:00,ID_064,3.38,6.62,20.92
ID_065,2024-06-10 00:00:00,ID_065,2.14,4.92,45.73
ID_066,2024-12-26 00:00:00,ID_066,6.2,6.49,36.69
ID_067,2024-05-31 00:00:00,ID_067,6.8,4.06,50.84
ID_068,2024-08-21 00:00:00,ID_068,4.98,7.97,67.26
ID_069,2024-03-05 00:00:00,ID_069,2.33,8.58,23.5
ID_070,2024-04-30 00:00:00,ID_070,2.84,5.08,10.8
ID_071,2024-01-29 00:00:00,ID_071,7.34,3.47,14.12
ID_072,2024-01-30 00:00:00,ID_072,3.3,2.01,77.88
ID_073,2024-10-20 00:00:00,ID_073,7.94,2.32,34.71
ID_074,2024-10-21 00:00:00,ID_074,4.87,1.26,2.24
ID_075,2024-06-28 00:00:00,ID_075,6.85,2.77,37.13
ID_076,2024-07-09 00:00:00,ID_076,6.84,3.36,76.56
ID_077,2024-01-11 00:00:00,ID_077,7.97,3.14,11.04
ID_078,2024-06-04 00:00:00,ID_078,5.58,2.32,36.35
ID_079,2024-07-30 00:00:00,ID_079,7.82,8.59,67.49
ID_080,2024-06-20 00:00:00,ID_080,4.89,2.53,11.34
ID_081,2024-07-15 00:00:00,ID_081,3.85,2.79,25.19
