col_date,col_heure,col_ville,col_station,col_polluant,col_valeur,col_unite,col_periode,col_indice_qualite,col_latitude,col_longitude,col_confinement
2024-10-07 00:00:00,8.28,Nantes,Saint-Jean 8,PM2.5,24.12,µg/m³,2.28,7.61,52.72253,1.056894,2.16
2024-03-20 00:00:00,4.35,Toulouse,Saint-Jean 9,NO2,70.26,µg/m³,3.85,3.91,50.474419,1.172708,7.43
2024-12-17 00:00:00,1.63,Toulouse,Haussmann Saint-Lazare 2,CO,16.99,µg/m³,6.01,1.96,52.144503,3.084221,8.02
2024-08-31 00:00:00,8.78,Lyon,Montparnasse 5,PM2.5,72.28,µg/m³,3.93,1.33,47.661163,-0.181273,6.35
2024-10-16 00:00:00,8.4,Marseille,Gare de l'Est 1,SO2,3.12,µg/m³,2.78,5.79,49.793246,5.049556,7.84
2024-12-13 00:00:00,2.74,Nantes,Saint-Charles 1,O3,20.86,µg/m³,4.31,4.97,52.178957,6.117806,8.22
2024-04-28 00:00:00,5.87,Marseille,Gare de l'Est 5,SO2,19.09,µg/m³,5.56,1.83,51.502963,2.195211,7.91
2024-05-31 00:00:00,1.25,Nantes,Gare de Lyon 8,NO2,71.24,µg/m³,1.74,6.44,48.681421,-0.019958,8.15
2024-10-02 00:00:00,6.96,Marseille,Haussmann Saint-Lazare 2,O3,13.56,µg/m³,4.62,7.38,45.547167,4.218608,3.03
2024-06-19 00:00:00,1.83,Montpellier,Gare du Nord 1,SO2,60.5,µg/m³,8.8,5.36,45.885496,6.151294,8.33
2024-08-19 00:00:00,3.5,Toulouse,Saint-Jean 3,CO,74.81,µg/m³,1.21,5.57,50.564277,3.274124,3.8
2024-04-30 00:00:00,8.23,Strasbourg,Part-Dieu 4,NO2,2.76,µg/m³,3.82,5.35,50.728415,0.691901,2.08
2024-09-20 00:00:00,6.74,Toulouse,Gare de Lyon 1,CO,4.89,µg/m³,7.71,2.81,52.322291,1.391442,8.79
2024-02-23 00:00:00,7.1,Bordeaux,Saint-Jean 5,NO2,46.54,µg/m³,6.02,5.77,47.196862,1.571784,1.67
2024-04-23 00:00:00,2.72,Bordeaux,Haussmann Saint-Lazare 4,CO,48.6,µg/m³,7.21,4.38,50.452184,1.350065,8.51
2024-07-08 00:00:00,2.42,Nantes,Saint-Jean 1,PM10,36.23,µg/m³,6.78,8.3,48.155415,3.16029,7.58
2024-11-14 00:00:00,1.43,Strasbourg,Saint-Charles 9,O3,17.18,µg/m³,7.26,2.4,44.984747,3.744897,2.94
2024-04-19 00:00:00,4.64,Lille,Gare de l'Est 9,NO2,71.55,µg/m³,2.8,8.75,52.419157,5.412815,4.47
2024-05-01 00:00:00,1.37,Lyon,Gare du Nord 7,NO2,42.49,µg/m³,3.31,2.72,52.294147,0.617304,4.9
2024-10-03 00:00:00,2.46,Lille,Part-Dieu 3,PM10,29.32,µg/m³,8.58,4.32,47.012481,-0.669421,5.97
2024-12-22 00:00:00,3.27,Toulouse,Matabiau 8,O3,47.48,µg/m³,6.97,4.6,45.144519,4.42465,3.79
2024-11-05 00:00:00,5.7,Paris,Gare de l'Est 6,CO,79.61,µg/m³,3.65,8.27,46.629756,1.454289,4.59
2024-07-16 00:00:00,6.83,Paris,Matabiau 2,CO,57.32,µg/m³,1.44,7.69,45.372045,-0.312927,8.04
2024-03-19 00:00:00,2.09,Nantes,Saint-Jean 2,NO2,50.76,µg/m³,3.37,6.99,46.28524,2.131422,2.18
2024-04-18 00:00:00,6.99,Marseille,Haussmann Saint-Lazare 6,PM10,52.22,µg/m³,3.29,6.22,47.934168,4.042715,3.66
2024-05-19 00:00:00,1.48,Toulouse,Gare de l'Est 6,PM10,78.19,µg/m³,2.63,6.49,50.735018,4.641583,4.78
2024-12-12 00:00:00,1.57,Paris,Gare de Lyon 5,NO2,8.6,µg/m³,7.39,7.65,50.946948,3.792103,4.81
2024-02-02 00:00:00,4.12,Lille,Gare du Nord 7,CO,74.97,µg/m³,8.22,3.54,48.453654,1.462492,7.01
2024-08-01 00:00:00,2.41,Marseille,Part-Dieu 6,SO2,42.28,µg/m³,1.53,6.94,46.293344,2.697128,1.91
2024-10-16 00:00:00,6.0,Marseille,Gare du Nord 3,NO2,82.22,µg/m³,6.59,2.64,48.749767,-0.887783,7.04
2024-01-27 00:00:00,4.38,Montpellier,Gare de Lyon 4,PM2.5,32.18,µg/m³,4.95,4.15,50.292084,6.20912,4.63
2024-06-08 00:00:00,4.31,Strasbourg,Montparnasse 9,SO2,37.32,µg/m³,4.16,5.32,49.696639,0.626079,6.03
2024-10-22 00:00:00,8.16,Lille,Saint-Charles 4,PM2.5,77.66,µg/m³,6.5,6.42,51.175311,4.427636,2.48
2024-06-07 00:00:00,4.5,Bordeaux,Saint-Jean 3,CO,31.86,µg/m³,5.89,2.91,47.618069,-0.107104,6.02
2024-12-03 00:00:00,2.36,Marseille,Montparnasse 8,PM2.5,8.77,µg/m³,8.13,4.65,50.987333,4.199849,3.53
2024-12-01 00:00:00,8.58,Strasbourg,Haussmann Saint-Lazare 8,NO2,19.34,µg/m³,2.24,1.55,48.940837,1.680255,6.43
2024-07-22 00:00:00,3.84,Montpellier,Montparnasse 6,NO2,45.17,µg/m³,5.89,1.38,47.86408,5.854333,4.47
2024-02-17 00:00:00,7.8,Strasbourg,Saint-Jean 6,PM10,37.39,µg/m³,8.5,2.18,46.1711,-1.618679,4.91
2024-06-25 00:00:00,8.47,Strasbourg,Saint-Jean 1,CO,58.65,µg/m³,7.88,1.85,49.455144,5.498405,1.62
2024-05-07 00:00:00,1.95,Toulouse,Saint-Charles 3,CO,57.89,µg/m³,8.17,2.23,45.389709,2.938491,2.8
2024-08-28 00:00:00,7.77,Lyon,Saint-Jean 4,NO2,62.57,µg/m³,2.82,5.72,50.401969,-0.263597,3.85
2024-07-30 00:00:00,8.58,Marseille,Saint-Jean 9,CO,37.24,µg/m³,7.38,1.21,46.987035,0.742485,2.16
2024-08-09 00:00:00,5.83,Nice,Gare du Nord 6,CO,44.03,µg/m³,3.56,3.2,45.24422,2.945591,1.6
2024-09-06 00:00:00,2.14,Nantes,Haussmann Saint-Lazare 8,CO,44.72,µg/m³,7.99,8.51,50.623794,5.408828,8.24
2024-05-26 00:00:00,7.34,Montpellier,Haussmann Saint-Lazare 6,NO2,24.96,µg/m³,2.68,7.58,49.003539,0.457112,4.82
2024-12-13 00:00:00,2.42,Lyon,Gare de Lyon 4,CO,70.27,µg/m³,2.51,7.69,50.744024,0.945737,8.14
2024-08-24 00:00:00,7.34,Nantes,Part-Dieu 4,CO,70.34,µg/m³,4.06,3.16,46.344474,1.059628,5.05
2024-08-09 00:00:00,5.08,Montpellier,Montparnasse 2,PM10,48.16,µg/m³,6.06,5.47,46.800522,5.481196,4.78
2024-09-21 00:00:00,7.2,Bordeaux,Gare de Lyon 1,PM2.5,82.42,µg/m³,3.77,1.96,52.003026,2.70135,8.36
2024-12-18 00:00:00,2.03,Montpellier,Gare de l'Est 2,PM10,74.86,µg/m³,3.69,5.54,47.762756,-0.434483,1.6
2024-12-05 00:00:00,1.74,Nice,Part-Dieu 9,NO2,50.92,µg/m³,6.71,4.57,47.784427,1.384755,1.26
2024-08-26 00:00:00,3.01,Lille,Matabiau 6,PM10,63.81,µg/m³,3.25,4.08,45.684148,0.681536,7.1
2024-05-31 00:00:00,5.65,Lyon,Gare du Nord 2,PM10,47.11,µg/m³,2.46,3.04,52.658569,5.243573,5.04
2024-02-03 00:00:00,2.81,Toulouse,Haussmann Saint-Lazare 2,O3,7.08,µg/m³,1.92,1.56,51.240427,3.146992,3.03
2024-04-19 00:00:00,4.21,Strasbourg,Saint-Charles 4,PM10,57.75,µg/m³,6.12,6.05,52.550573,5.052536,4.48
2024-05-11 00:00:00,4.31,Montpellier,Part-Dieu 6,PM2.5,48.33,µg/m³,5.41,6.87,51.663122,2.880472,3.95
2024-01-25 00:00:00,3.28,Nice,Saint-Charles 7,PM10,76.95,µg/m³,8.65,2.49,49.972099,1.437694,3.78
2024-10-26 00:00:00,5.54,Lyon,Part-Dieu 8,SO2,78.86,µg/m³,3.4,7.01,46.585651,3.149001,6.09
2024-08-16 00:00:00,3.07,Paris,Montparnasse 4,CO,37.43,µg/m³,7.07,6.33,45.862741,1.135634,4.65
2024-03-23 00:00:00,4.66,Montpellier,Haussmann Saint-Lazare 1,PM2.5,84.16,µg/m³,8.33,4.66,48.448791,0.381446,3.31
2024-07-07 00:00:00,3.05,Strasbourg,Matabiau 9,PM10,2.73,µg/m³,4.47,4.09,47.703145,1.760885,5.48
2024-03-06 00:00:00,2.98,Paris,Haussmann Saint-Lazare 6,CO,79.81,µg/m³,4.11,3.63,52.028992,3.735114,5.94
2024-03-16 00:00:00,6.37,Marseille,Saint-Charles 5,PM10,82.79,µg/m³,6.35,7.92,52.650761,-0.980973,2.08
2024-05-26 00:00:00,2.93,Montpellier,Gare du Nord 2,CO,35.41,µg/m³,7.09,2.71,51.637139,1.246705,4.06
2024-06-23 00:00:00,3.53,Bordeaux,Gare de Lyon 5,NO2,6.08,µg/m³,3.55,3.98,50.10799,1.078886,2.63
2024-04-03 00:00:00,1.37,Montpellier,Gare de Lyon 1,CO,56.21,µg/m³,6.72,7.91,50.692917,-0.00161,7.88
2024-07-08 00:00:00,6.85,Strasbourg,Haussmann Saint-Lazare 8,PM10,49.03,µg/m³,6.81,7.05,49.811656,3.997923,6.7
2024-11-21 00:00:00,8.72,Montpellier,Saint-Charles 2,NO2,72.66,µg/m³,3.04,6.33,47.793,1.760424,3.34
2024-07-07 00:00:00,6.59,Lyon,Part-Dieu 6,NO2,5.58,µg/m³,3.02,4.1,50.506125,2.271576,6.98
2024-05-01 00:00:00,8.65,Marseille,Haussmann Saint-Lazare 6,SO2,17.59,µg/m³,2.58,8.71,50.736347,-0.030838,6.79
2024-05-30 00:00:00,4.04,Toulouse,Gare de Lyon 4,NO2,29.59,µg/m³,8.12,5.92,51.218449,6.146905,3.14
2024-09-20 00:00:00,1.65,Lille,Montparnasse 1,NO2,14.28,µg/m³,8.43,8.75,48.064085,-0.778379,8.06
2024-11-06 00:00:00,3.38,Marseille,Haussmann Saint-Lazare 9,PM10,35.06,µg/m³,5.8,7.39,52.32602,-0.786882,3.75
2024-10-12 00:00:00,7.57,Lille,Saint-Jean 1,O3,47.87,µg/m³,2.22,5.42,50.131157,2.468714,7.0
2024-02-11 00:00:00,6.18,Marseille,Gare du Nord 2,PM2.5,71.73,µg/m³,3.02,4.86,45.899208,2.410637,1.73
2024-07-09 00:00:00,2.47,Bordeaux,Haussmann Saint-Lazare 3,CO,46.59,µg/m³,5.51,5.17,50.35783,-0.439887,6.17
2024-03-02 00:00:00,2.53,Nantes,Haussmann Saint-Lazare 6,SO2,39.56,µg/m³,1.29,2.63,50.916562,6.331962,3.1
2024-06-30 00:00:00,7.72,Montpellier,Saint-Charles 7,NO2,33.18,µg/m³,6.79,3.26,47.426204,1.224159,1.26
2024-05-14 00:00:00,1.86,Toulouse,Part-Dieu 3,PM10,42.99,µg/m³,6.14,5.48,45.954744,-1.11425,1.57
2024-06-25 00:00:00,6.4,Marseille,Matabiau 1,O3,3.13,µg/m³,4.54,3.52,47.532769,-0.556253,4.21
2024-03-13 00:00:00,2.86,Montpellier,Haussmann Saint-Lazare 9,O3,59.07,µg/m³,4.33,3.47,48.505905,4.130192,1.83
2024-08-15 00:00:00,3.58,Paris,Gare de Lyon 6,PM2.5,6.09,µg/m³,5.3,1.23,51.853622,2.751754,7.48
2024-07-08 00:00:00,2.86,Strasbourg,Haussmann Saint-Lazare 8,CO,6.42,µg/m³,8.63,5.27,50.218667,0.41962,6.12
2024-05-07 00:00:00,1.33,Toulouse,Gare de Lyon 5,NO2,73.79,µg/m³,8.19,4.83,45.47228,0.206285,6.32
2024-03-29 00:00:00,7.89,Toulouse,Haussmann Saint-Lazare 2,SO2,33.96,µg/m³,6.17,6.32,45.711926,-1.473618,3.22
2024-07-16 00:00:00,5.34,Strasbourg,Part-Dieu 8,CO,30.22,µg/m³,6.31,3.19,49.557313,2.596433,7.65
2024-09-08 00:00:00,5.58,Montpellier,Montparnasse 1,CO,84.44,µg/m³,4.09,8.49,52.691436,1.158078,2.43
2024-12-09 00:00:00,2.78,Lyon,Gare de l'Est 5,PM10,55.81,µg/m³,1.62,4.7,47.681925,4.810665,4.9
2024-04-16 00:00:00,5.2,Bordeaux,Gare de l'Est 2,PM2.5,36.48,µg/m³,4.51,6.08,50.630348,1.830076,7.1
2024-08-24 00:00:00,7.78,Nantes,Gare de Lyon 9,NO2,40.39,µg/m³,3.41,2.41,46.627291,1.236802,5.2
2024-04-22 00:00:00,7.63,Toulouse,Part-Dieu 6,PM10,61.3,µg/m³,3.46,8.1,49.122651,2.086265,7.31
2024-05-14 00:00:00,1.59,Nice,Montparnasse 7,O3,39.77,µg/m³,8.15,3.67,48.824143,4.980296,5.29
2024-07-10 00:00:00,2.55,Bordeaux,Montparnasse 3,PM10,4.44,µg/m³,4.74,6.75,52.318069,5.87199,3.58
2024-12-24 00:00:00,3.59,Strasbourg,Saint-Jean 4,PM2.5,37.23,µg/m³,3.6,2.02,48.022035,3.526455,2.69
2024-09-07 00:00:00,6.42,Marseille,Gare de Lyon 8,CO,22.81,µg/m³,2.73,6.61,48.862237,5.835021,8.75
2024-06-27 00:00:00,2.98,Montpellier,Saint-Jean 5,PM2.5,58.0,µg/m³,7.0,6.47,51.924476,1.368527,3.25
2024-01-29 00:00:00,7.18,Marseille,Gare du Nord 7,O3,15.2,µg/m³,6.71,4.22,50.974034,-0.541576,4.14
2024-12-06 00:00:00,4.01,Nice,Gare du Nord 2,O3,66.6,µg/m³,4.5,4.74,50.232613,0.759934,3.13
2024-04-10 00:00:00,3.94,Lyon,Gare du Nord 7,SO2,43.92,µg/m³,1.69,3.41,50.010864,4.224879,7.54
2024-05-24 00:00:00,7.57,Marseille,Gare de l'Est 3,O3,77.04,µg/m³,2.29,6.82,48.443445,6.103901,8.49
2024-05-10 00:00:00,5.18,Lyon,Gare de Lyon 2,PM2.5,21.25,µg/m³,7.08,2.52,48.720739,1.289598,4.63
2024-08-01 00:00:00,4.83,Toulouse,Matabiau 6,SO2,82.65,µg/m³,8.74,1.81,45.724901,1.581304,3.44
2024-03-24 00:00:00,1.63,Nantes,Part-Dieu 5,PM2.5,24.36,µg/m³,2.72,6.15,48.489973,2.271307,5.72
2024-12-20 00:00:00,6.63,Lille,Saint-Charles 2,PM2.5,82.19,µg/m³,5.77,7.48,47.044923,1.23415,2.39
2024-07-01 00:00:00,3.87,Lyon,Gare de Lyon 3,PM2.5,59.28,µg/m³,3.51,2.94,46.530416,5.98922,4.14
2024-03-26 00:00:00,3.84,Lyon,Montparnasse 1,SO2,44.47,µg/m³,2.09,2.51,46.261314,-0.128791,6.31
2024-01-10 00:00:00,3.84,Marseille,Saint-Jean 8,PM2.5,47.21,µg/m³,5.25,1.76,45.806153,1.787188,8.36
2024-07-15 00:00:00,4.99,Paris,Gare de l'Est 5,PM10,63.97,µg/m³,4.7,3.76,48.4474,4.830111,3.25
2024-11-09 00:00:00,7.74,Nice,Gare du Nord 5,SO2,73.56,µg/m³,2.39,2.17,45.150839,5.330932,8.58
2024-11-20 00:00:00,6.34,Toulouse,Gare de Lyon 1,PM10,46.08,µg/m³,4.69,6.82,48.176056,1.717701,1.25
2024-03-31 00:00:00,6.97,Paris,Gare du Nord 7,SO2,80.65,µg/m³,1.25,6.85,52.367563,1.258497,3.8
2024-03-18 00:00:00,5.16,Toulouse,Haussmann Saint-Lazare 2,PM10,23.18,µg/m³,8.59,6.8,48.375788,-0.269359,8.45
2024-09-17 00:00:00,5.55,Bordeaux,Saint-Jean 9,SO2,20.07,µg/m³,6.71,5.62,52.353919,-1.157623,8.25
2024-01-17 00:00:00,8.49,Montpellier,Part-Dieu 5,PM10,19.01,µg/m³,3.25,2.54,45.472938,1.18568,6.12
2024-01-24 00:00:00,2.42,Lille,Part-Dieu 8,NO2,62.95,µg/m³,3.38,2.42,48.15373,-1.351822,2.82
2024-06-03 00:00:00,2.53,Strasbourg,Montparnasse 4,O3,44.4,µg/m³,8.27,2.64,51.634495,2.18205,6.9
2024-06-27 00:00:00,1.51,Bordeaux,Gare de Lyon 1,PM10,26.9,µg/m³,8.12,3.87,47.179161,4.15494,2.4
2024-08-06 00:00:00,6.12,Paris,Gare de l'Est 4,NO2,68.55,µg/m³,4.59,1.95,47.951061,1.899792,7.9
2024-02-01 00:00:00,5.04,Montpellier,Gare de l'Est 5,PM2.5,59.2,µg/m³,5.06,6.45,45.022702,2.497067,8.22
2024-09-27 00:00:00,5.13,Bordeaux,Saint-Jean 7,CO,60.79,µg/m³,3.55,5.58,45.630212,0.279273,2.07
2024-11-06 00:00:00,5.14,Marseille,Haussmann Saint-Lazare 2,SO2,39.97,µg/m³,6.34,2.39,47.428877,2.66298,7.49
2024-08-07 00:00:00,1.34,Marseille,Gare de l'Est 7,O3,5.88,µg/m³,7.34,7.09,50.857866,3.277297,3.62
2024-01-26 00:00:00,2.35,Montpellier,Matabiau 9,O3,28.44,µg/m³,4.83,6.17,47.76744,6.087971,5.17
2024-12-01 00:00:00,1.21,Strasbourg,Gare du Nord 8,PM2.5,15.57,µg/m³,4.79,6.69,45.57814,2.935011,4.73
2024-09-28 00:00:00,1.45,Bordeaux,Part-Dieu 9,SO2,41.51,µg/m³,8.7,7.31,47.383339,1.285514,7.76
2024-11-21 00:00:00,8.13,Lille,Matabiau 8,NO2,84.97,µg/m³,4.17,6.73,47.998914,3.801157,8.05
2024-08-20 00:00:00,5.93,Lille,Haussmann Saint-Lazare 8,PM2.5,39.42,µg/m³,6.17,7.56,49.962118,-1.03471,4.16
2024-12-23 00:00:00,5.16,Paris,Matabiau 3,SO2,70.56,µg/m³,5.62,7.03,52.84194,2.162445,8.01
2024-03-03 00:00:00,5.28,Montpellier,Saint-Charles 3,CO,8.24,µg/m³,8.18,1.68,51.871011,3.454346,2.38
2024-08-14 00:00:00,1.59,Montpellier,Gare de l'Est 1,O3,7.2,µg/m³,4.29,1.28,51.848622,-0.372077,3.28
2024-11-20 00:00:00,7.0,Marseille,Gare de Lyon 3,PM2.5,70.37,µg/m³,7.84,8.02,50.651296,6.325941,2.63
2024-10-20 00:00:00,4.28,Lyon,Gare de Lyon 6,CO,33.25,µg/m³,4.07,1.27,51.480188,3.471141,7.92
2024-05-02 00:00:00,2.42,Montpellier,Saint-Jean 1,O3,77.01,µg/m³,1.72,8.8,49.046695,-1.506691,3.55
2024-02-02 00:00:00,3.01,Bordeaux,Saint-Jean 3,O3,17.02,µg/m³,5.81,5.83,48.934846,-1.029218,8.3
2024-08-04 00:00:00,4.86,Lyon,Haussmann Saint-Lazare 8,SO2,61.38,µg/m³,3.0,1.29,50.960952,-0.018491,7.75
2024-04-12 00:00:00,5.45,Lyon,Part-Dieu 6,O3,81.9,µg/m³,2.75,7.21,52.819966,0.855486,2.76
2024-05-27 00:00:00,4.54,Paris,Gare de l'Est 9,SO2,52.53,µg/m³,3.09,8.68,51.641052,3.750868,5.16
2024-11-08 00:00:00,5.07,Lille,Gare du Nord 9,NO2,68.28,µg/m³,7.7,6.84,52.376788,0.236039,6.91
2024-06-02 00:00:00,6.53,Marseille,Gare du Nord 8,O3,7.0,µg/m³,3.73,6.86,49.343014,-1.217386,5.1
2024-11-14 00:00:00,4.28,Paris,Gare de l'Est 9,CO,30.35,µg/m³,3.38,4.91,48.08573,5.740081,8.03
2024-02-23 00:00:00,5.34,Strasbourg,Haussmann Saint-Lazare 1,NO2,58.46,µg/m³,2.61,3.47,51.26221,-0.390652,3.21
2024-03-05 00:00:00,1.93,Nice,Haussmann Saint-Lazare 7,SO2,55.39,µg/m³,5.05,2.91,48.346626,1.229183,5.09
2024-08-05 00:00:00,5.61,Nice,Saint-Charles 2,PM10,53.91,µg/m³,2.14,2.74,44.853401,-1.386984,6.77
2024-06-20 00:00:00,5.25,Paris,Saint-Jean 8,CO,65.76,µg/m³,3.37,8.52,47.116395,4.477416,4.08
2024-05-27 00:00:00,7.67,Montpellier,Montparnasse 1,CO,12.8,µg/m³,5.0,8.37,48.454749,2.694361,2.79
2024-06-20 00:00:00,6.07,Nice,Montparnasse 5,PM2.5,37.35,µg/m³,7.44,2.81,51.400779,-0.009664,1.8
2024-03-10 00:00:00,5.4,Toulouse,Haussmann Saint-Lazare 4,SO2,61.79,µg/m³,8.06,4.52,46.386638,-0.084363,7.52
2024-05-10 00:00:00,8.74,Paris,Matabiau 7,PM2.5,52.03,µg/m³,3.78,3.63,49.492905,2.208494,7.23
2024-10-29 00:00:00,5.93,Strasbourg,Gare du Nord 6,PM2.5,58.94,µg/m³,4.04,2.31,46.926694,2.770782,6.71
2024-10-27 00:00:00,2.22,Nantes,Matabiau 4,PM2.5,30.44,µg/m³,2.87,4.81,47.126508,3.576556,5.8
2024-02-02 00:00:00,1.59,Bordeaux,Matabiau 3,NO2,62.62,µg/m³,1.63,2.17,46.417519,0.226402,4.2
2024-05-06 00:00:00,2.23,Marseille,Gare de Lyon 7,SO2,35.64,µg/m³,2.65,8.23,48.882356,5.247576,3.73
2024-02-23 00:00:00,1.21,Strasbourg,Gare du Nord 2,PM10,65.31,µg/m³,6.96,8.0,46.101297,3.280266,6.85
2024-08-28 00:00:00,5.64,Lyon,Part-Dieu 9,O3,29.17,µg/m³,8.61,7.63,46.301108,6.023583,2.2
2024-03-14 00:00:00,3.32,Bordeaux,Saint-Jean 6,PM10,54.86,µg/m³,6.56,3.47,52.110073,2.670411,3.25
2024-02-28 00:00:00,8.37,Nice,Matabiau 4,NO2,10.17,µg/m³,3.75,2.3,50.245925,3.809303,6.35
2024-03-27 00:00:00,5.43,Bordeaux,Saint-Jean 8,NO2,10.65,µg/m³,1.79,8.18,46.637274,0.280276,5.71
2024-11-30 00:00:00,7.06,Marseille,Matabiau 9,O3,23.75,µg/m³,7.44,1.26,48.635743,4.79111,2.92
2024-04-05 00:00:00,6.38,Toulouse,Montparnasse 4,O3,49.72,µg/m³,4.23,5.67,48.758955,-0.609138,4.84
2024-04-13 00:00:00,8.23,Toulouse,Gare du Nord 5,PM10,68.36,µg/m³,4.05,2.0,47.755094,3.887482,7.09
2024-07-16 00:00:00,4.04,Marseille,Matabiau 5,NO2,72.82,µg/m³,5.91,8.28,45.436275,5.066215,3.46
2024-11-30 00:00:00,4.8,Nice,Montparnasse 8,PM2.5,12.59,µg/m³,3.43,6.66,50.181106,5.95428,2.4
2024-08-10 00:00:00,2.59,Marseille,Gare de l'Est 6,SO2,36.87,µg/m³,5.07,3.13,46.091949,1.068963,2.06
2024-08-11 00:00:00,8.77,Toulouse,Saint-Charles 2,O3,84.42,µg/m³,3.66,1.27,49.912487,1.515181,4.93
2024-04-06 00:00:00,6.45,Bordeaux,Gare de Lyon 1,O3,42.73,µg/m³,2.81,8.61,49.082322,4.177369,3.67
2024-07-26 00:00:00,6.87,Montpellier,Saint-Jean 1,SO2,66.74,µg/m³,3.22,6.73,52.078733,-0.244918,8.63
2024-01-24 00:00:00,3.96,Lille,Gare de l'Est 9,SO2,40.76,µg/m³,5.61,5.45,46.076852,-0.689276,2.05
2024-06-16 00:00:00,4.24,Nice,Saint-Charles 9,NO2,8.91,µg/m³,1.6,6.35,45.653964,6.169884,3.44
2024-01-21 00:00:00,2.96,Lyon,Montparnasse 4,NO2,35.23,µg/m³,6.11,1.89,44.969739,1.765279,2.36
2024-03-27 00:00:00,6.14,Lille,Haussmann Saint-Lazare 3,SO2,35.14,µg/m³,1.58,2.52,49.612674,-0.307932,2.1
2024-04-14 00:00:00,3.89,Lyon,Montparnasse 2,O3,65.63,µg/m³,8.64,7.58,51.99515,6.11632,1.57
2024-09-01 00:00:00,7.67,Toulouse,Matabiau 4,CO,16.47,µg/m³,8.39,4.19,50.085261,0.681812,6.47
2024-09-24 00:00:00,7.62,Nice,Matabiau 1,O3,42.15,µg/m³,7.55,6.99,50.892281,-0.640681,6.13
2024-10-15 00:00:00,3.95,Strasbourg,Part-Dieu 9,PM2.5,71.0,µg/m³,5.88,2.66,50.501811,0.327426,8.72
2024-08-15 00:00:00,3.17,Lille,Gare du Nord 7,PM10,62.25,µg/m³,5.39,8.26,47.37806,3.023755,4.57
2024-04-23 00:00:00,6.29,Nantes,Haussmann Saint-Lazare 3,SO2,38.07,µg/m³,5.7,8.31,49.11168,1.822589,8.28
2024-03-01 00:00:00,5.91,Paris,Gare de l'Est 3,NO2,38.02,µg/m³,7.56,5.54,52.439514,1.599983,2.07
2024-11-11 00:00:00,5.13,Nantes,Gare de l'Est 3,NO2,45.21,µg/m³,6.93,5.55,44.906624,3.531887,5.29
2024-11-25 00:00:00,8.78,Lyon,Gare de Lyon 7,PM10,30.91,µg/m³,3.92,7.48,50.105983,5.134846,1.61
2024-06-22 00:00:00,7.96,Lyon,Gare de Lyon 2,O3,76.37,µg/m³,4.67,1.23,50.961162,3.115021,4.98
2024-04-03 00:00:00,7.33,Strasbourg,Gare de Lyon 6,NO2,27.47,µg/m³,5.76,3.34,51.014159,5.235148,3.01
2024-05-03 00:00:00,8.1,Paris,Montparnasse 4,PM2.5,36.02,µg/m³,1.52,7.32,48.423791,4.803906,6.75
2024-12-26 00:00:00,1.67,Lyon,Gare du Nord 9,NO2,10.74,µg/m³,1.91,3.71,47.081017,0.807524,3.88
2024-03-12 00:00:00,7.19,Bordeaux,Matabiau 7,PM10,61.88,µg/m³,2.55,3.82,46.113917,-1.599507,8.77
2024-09-16 00:00:00,5.85,Nantes,Saint-Charles 9,PM10,53.09,µg/m³,6.8,7.21,51.742051,0.997765,4.78
