col_aq_id,col_date,col_zone_id,col_pm25_ugm3,col_no2_ugm3,col_aqi_index,col_indice_qualite_air,col_date_enrichissement
ID_000,2024-06-25 00:00:00,ID_000,4.21,4.26,64.14,3.92,2024-08-18 00:00:00
ID_001,2024-01-10 00:00:00,ID_001,8.59,7.75,40.12,3.41,2024-11-27 00:00:00
ID_002,2024-09-19 00:00:00,ID_002,3.68,3.71,59.4,1.99,2024-10-24 00:00:00
ID_003,2024-06-18 00:00:00,ID_003,3.51,4.06,11.33,1.69,2024-03-20 00:00:00
ID_004,2024-06-15 00:00:00,ID_004,4.98,3.86,82.02,6.03,2024-08-26 00:00:00
ID_005,2024-06-11 00:00:00,ID_005,4.38,8.23,52.47,2.66,2024-02-06 00:00:00
ID_006,2024-07-14 00:00:00,ID_006,1.66,6.72,2.88,4.25,2024-06-26 00:00:00
ID_007,2024-03-11 00:00:00,ID_007,3.58,7.59,10.29,6.01,2024-02-01 00:00:00
ID_008,2024-07-13 00:00:00,ID_008,4.87,8.45,23.25,4.79,2024-07-23 00:00:00
ID_009,2024-05-14 00:00:00,ID_009,5.32,3.84,58.34,3.07,2024-10-15 00:00:00
ID_010,2024-08-31 00:00:00,ID_010,5.93,8.63,74.25,6.62,2024-02-03 00:00:00
ID_011,2024-01-14 00:00:00,ID_011,4.96,2.96,48.19,1.43,2024-02-15 00:00:00
ID_012,2024-06-12 00:00:00,ID_012,5.85,2.16,83.97,1.79,2024-10-20 00:00:00
ID_013,2024-10-07 00:00:00,ID_013,6.02,5.04,41.76,6.07,2024-03-03 00:00:00
ID_014,2024-06-23 00:00:00,ID_014,8.44,2.48,58.51,7.12,2024-11-24 00:00:00
ID_015,2024-01-23 00:00:00,ID_015,7.66,8.69,62.29,2.88,2024-06-05 00:00:00
ID_016,2024-11-24 00:00:00,ID_016,8.74,1.66,79.64,6.13,2024-02-28 00:00:00
ID_017,2024-06-15 00:00:00,ID_017,3.02,7.91,23.11,4.67,2024-01-16 00:00:00
ID_018,2024-04-03 00:00:00,ID_018,2.04,3.64,67.76,2.78,2024-10-03 00:00:00
ID_019,2024-04-14 00:00:00,ID_019,4.33,2.8,36.25,7.82,2024-08-03 00:00:00
ID_020,2024-11-24 00:00:00,ID_020,4.98,3.14,68.54,8.12,2024-04-09 00:00:00
ID_021,2024-04-24 00:00:00,ID_021,7.18,1.57,32.98,1.53,2024-09-24 00:00:00
ID_022,2024-09-29 00:00:00,ID_022,7.54,6.0,24.23,4.42,2024-11-28 00:00:00
ID_023,2024-01-15 00:00:00,ID_023,4.35,4.33,26.36,6.9,2024-12-13 00:00:00
ID_024,2024-04-29 00:00:00,ID_024,2.44,6.32,43.63,5.51,2024-10-07 00:00:00
ID_025,2024-08-18 00:00:00,ID_025,3.85,2.61,38.02,1.7,2024-10-17 00:00:00
ID_026,2024-04-18 00:00:00,ID_026,4.78,4.47,71.57,4.26,2024-09-23 00:00:00
ID_027,2024-03-18 00:00:00,ID_027,1.84,2.61,49.41,4.26,2024-08-24 00:00:00
ID_028,2024-01-05 00:00:00,ID_028,4.36,8.78,60.85,1.35,2024-04-24 00:00:00
ID_029,2024-02-02 00:00:00,ID_029,5.8,6.37,67.67,2.91,2024-02-20 00:00:00
ID_030,2024-01-25 00:00:00,ID_030,3.14,2.47,67.14,1.78,2024-07-09 00:00:00
ID_031,2024-12-11 00:00:00,ID_031,3.66,1.57,69.62,6.08,2024-03-06 00:00:00
ID_032,2024-09-13 00:00:00,ID_032,7.77,2.7,20.29,2.72,2024-11-10 00:00:00
ID_033,2024-04-22 00:00:00,ID_033,5.52,5.44,9.24,7.67,2024-01-11 00:00:00
ID_034,2024-07-24 00:00:00,ID_034,8.68,2.76,42.26,7.04,2024-10-01 00:00:00
ID_035,2024-06-09 00:00:00,ID_035,5.46,2.15,56.33,8.41,2024-06-30 00:00:00
ID_036,2024-11-18 00:00:00,ID_036,2.67,7.79,81.07,6.69,2024-01-06 00:00:00
ID_037,2024-06-20 00:00:00,ID_037,5.95,4.35,34.33,8.49,2024-02-16 00:00:00
ID_038,2024-08-04 00:00:00,ID_038,2.07,3.76,82.97,7.86,2024-04-01 00:00:00
ID_039,2024-06-09 00:00:00,ID_039,1.27,6.89,71.59,4.83,2024-11-28 00:00:00
ID_040,2024-03-14 00:00:00,ID_040,5.39,8.58,71.32,5.19,2024-04-21 00:00:00
ID_041,2024-12-13 00:00:00,ID_041,3.22,3.75,80.48,6.66,2024-04-20 00:00:00
ID_042,2024-05-12 00:00:00,ID_042,5.13,7.5,38.05,7.87,2024-04-17 00:00:00
ID_043,2024-02-16 00:00:00,ID_043,1.89,1.62,19.84,2.0,2024-07-03 00:00:00
ID_044,2024-05-27 00:00:00,ID_044,7.41,4.0,34.88,3.95,2024-08-30 00:00:00
ID_045,2024-11-26 00:00:00,ID_045,3.51,2.42,44.9,4.34,2024-11-26 00:00:00
ID_046,2024-12-11 00:00:00,ID_046,6.12,7.92,16.04,2.01,2024-04-15 00:00:00
ID_047,2024-08-11 00:00:00,ID_047,5.22,3.47,4.56,2.63,2024-07-29 00:00:00
ID_048,2024-10-21 00:00:00,ID_048,7.9,6.57,69.06,4.86,2024-05-06 00:00:00
ID_049,2024-12-11 00:00:00,ID_049,2.05,2.28,77.49,3.13,2024-08-01 00:00:00
ID_050,2024-09-25 00:00:00,ID_050,3.98,3.82,18.23,3.64,2024-02-21 00:00:00
ID_051,2024-04-14 00:00:00,ID_051,2.88,5.06,36.98,1.92,2024-08-28 00:00:00
ID_052,2024-01-04 00:00:00,ID_052,1.89,8.72,79.84,7.98,2024-11-22 00:00:00
ID_053,2024-02-08 00:00:00,ID_053,8.15,3.17,25.7,7.67,2024-02-12 00:00:00
ID_054,2024-04-15 00:00:00,ID_054,2.46,2.77,72.96,5.1,2024-04-24 00:00:00
ID_055,2024-01-01 00:00:00,ID_055,7.26,2.37,6.83,7.21,2024-05-16 00:00:00
ID_056,2024-11-18 00:00:00,ID_056,3.86,4.69,52.51,8.04,2024-07-12 00:00:00
ID_057,2024-07-12 00:00:00,ID_057,1.67,4.22,15.54,1.6,2024-04-15 00:00:00
ID_058,2024-12-07 00:00:00,ID_058,8.33,3.38,26.48,7.92,2024-01-29 00:00:00
ID_059,2024-04-04 00:00:00,ID_059,4.5,4.83,40.73,7.14,2024-06-04 00:00:00
ID_060,2024-01-21 00:00:00,ID_060,1.88,1.46,81.56,5.16,2024-10-16 00:00:00
ID_061,2024-03-12 00:00:00,ID_061,4.36,1.62,52.19,3.59,2024-09-16 00:00:00
ID_062,2024-01-18 00:00:00,ID_062,8.09,2.14,23.69,2.8,2024-12-20 00:00:00
ID_063,2024-08-30 00:00:00,ID_063,2.39,1.33,11.28,4.19,2024-05-24 00:00:00
ID_064,2024-06-06 00:00:00,ID_064,8.02,2.27,35.37,7.83,2024-08-08 00:00:00
ID_065,2024-07-14 00:00:00,ID_065,7.07,1.52,40.6,6.13,2024-05-22 00:00:00
ID_066,2024-01-23 00:00:00,ID_066,8.23,4.88,63.63,7.65,2024-03-16 00:00:00
ID_067,2024-06-04 00:00:00,ID_067,1.63,1.78,14.92,4.95,2024-03-31 00:00:00
ID_068,2024-12-04 00:00:00,ID_068,4.52,7.05,38.21,4.67,2024-02-08 00:00:00
ID_069,2024-07-13 00:00:00,ID_069,2.52,6.99,50.26,3.11,2024-09-03 00:00:00
ID_070,2024-04-19 00:00:00,ID_070,4.01,7.96,35.66,6.83,2024-06-13 00:00:00
ID_071,2024-05-30 00:00:00,ID_071,8.41,3.52,15.28,4.4,2024-01-07 00:00:00
ID_072,2024-10-01 00:00:00,ID_072,7.4,6.03,9.47,6.09,2024-04-10 00:00:00
ID_073,2024-01-22 00:00:00,ID_073,7.89,2.58,57.71,8.27,2024-01-14 00:00:00
ID_074,2024-10-14 00:00:00,ID_074,5.04,7.47,63.74,6.19,2024-03-15 00:00:00
ID_075,2024-07-18 00:00:00,ID_075,2.71,5.59,3.37,7.78,2024-05-12 00:00:00
ID_076,2024-05-12 00:00:00,ID_076,6.06,2.41,42.88,6.72,2024-07-03 00:00:00
ID_077,2024-11-11 00:00:00,ID_077,2.06,6.12,84.61,7.14,2024-09-25 00:00:00
ID_078,2024-02-03 00:00:00,ID_078,2.39,2.85,68.4,4.88,2024-11-24 00:00:00
