col_date,col_polluant,col_valeur,col_unite,col_ville,col_source,col_date_collecte
2024-06-17 00:00:00,SO2,60.36,µg/m³,Bordeaux,SNCF_Open_Data,2024-10-18 00:00:00
2024-06-29 00:00:00,PM10,47.82,µg/m³,Bordeaux,RATP_Open_Data_2024,2024-07-06 00:00:00
2024-01-17 00:00:00,PM10,38.98,µg/m³,Lyon,SNCF_Open_Data,2024-03-05 00:00:00
2024-12-17 00:00:00,SO2,39.22,µg/m³,Toulouse,Data.gouv.fr,2024-04-03 00:00:00
2024-11-20 00:00:00,NO2,20.05,µg/m³,Lyon,RATP_Open_Data_2024,2024-01-15 00:00:00
2024-12-19 00:00:00,NO2,18.79,µg/m³,Montpellier,RATP_Open_Data_2024,2024-11-24 00:00:00
2024-06-26 00:00:00,PM10,74.14,µg/m³,Toulouse,Data.gouv.fr,2024-01-18 00:00:00
2024-04-29 00:00:00,PM2.5,69.11,µg/m³,Lyon,Airparif,2024-09-19 00:00:00
2024-06-30 00:00:00,O3,47.49,µg/m³,Lyon,Météo-France,2024-11-01 00:00:00
2024-02-20 00:00:00,PM2.5,73.33,µg/m³,Paris,Météo-France,2024-11-07 00:00:00
2024-09-04 00:00:00,NO2,49.99,µg/m³,Marseille,RATP_Open_Data_2024,2024-08-24 00:00:00
2024-07-21 00:00:00,PM2.5,49.71,µg/m³,Nice,Data.gouv.fr,2024-12-22 00:00:00
2024-05-01 00:00:00,SO2,82.38,µg/m³,Lille,Météo-France,2024-05-14 00:00:00
2024-08-29 00:00:00,O3,45.39,µg/m³,Lille,Météo-France,2024-10-21 00:00:00
2024-04-14 00:00:00,PM2.5,60.96,µg/m³,Strasbourg,RATP_Open_Data_2024,2024-07-26 00:00:00
2024-06-14 00:00:00,SO2,75.89,µg/m³,Lyon,RATP_Open_Data_2024,2024-07-30 00:00:00
2024-01-28 00:00:00,PM10,67.98,µg/m³,Nice,RATP_Open_Data_2024,2024-05-28 00:00:00
2024-02-16 00:00:00,NO2,82.28,µg/m³,Marseille,RATP_Open_Data_2024,2024-05-25 00:00:00
2024-04-18 00:00:00,NO2,16.6,µg/m³,Lille,SNCF_Open_Data,2024-04-09 00:00:00
2024-10-06 00:00:00,PM10,56.99,µg/m³,Strasbourg,Météo-France,2024-01-12 00:00:00
2024-08-05 00:00:00,NO2,11.12,µg/m³,Lyon,SNCF_Open_Data,2024-03-18 00:00:00
2024-07-11 00:00:00,NO2,66.95,µg/m³,Marseille,Airparif,2024-01-09 00:00:00
2024-01-13 00:00:00,SO2,83.25,µg/m³,Nice,Météo-France,2024-12-05 00:00:00
2024-11-10 00:00:00,CO,31.33,µg/m³,Toulouse,Airparif,2024-03-10 00:00:00
2024-04-06 00:00:00,SO2,5.8,µg/m³,Paris,Météo-France,2024-05-24 00:00:00
2024-10-13 00:00:00,SO2,63.84,µg/m³,Strasbourg,RATP_Open_Data_2024,2024-10-27 00:00:00
2024-08-08 00:00:00,NO2,61.59,µg/m³,Strasbourg,SNCF_Open_Data,2024-09-24 00:00:00
2024-05-11 00:00:00,CO,36.54,µg/m³,Paris,SNCF_Open_Data,2024-03-25 00:00:00
2024-03-22 00:00:00,PM10,73.31,µg/m³,Lille,SNCF_Open_Data,2024-09-07 00:00:00
2024-03-31 00:00:00,O3,7.93,µg/m³,Lyon,Météo-France,2024-06-18 00:00:00
2024-11-17 00:00:00,PM2.5,7.92,µg/m³,Lyon,Data.gouv.fr,2024-02-20 00:00:00
2024-09-19 00:00:00,NO2,78.63,µg/m³,Toulouse,Airparif,2024-12-13 00:00:00
2024-09-09 00:00:00,SO2,53.21,µg/m³,Bordeaux,Météo-France,2024-03-15 00:00:00
