col_date,col_polluant,col_concentration_moyenne,col_evolution_annuelle,col_tendance,col_source
2024-01-20 00:00:00,PM10,65.37,2.86,2.76,RATP_Open_Data_2024
2024-09-19 00:00:00,PM2.5,52.81,2.4,2.8,SNCF_Open_Data
2024-12-02 00:00:00,CO,15.72,4.01,7.45,Airparif
2024-04-15 00:00:00,O3,18.11,3.02,6.62,SNCF_Open_Data
2024-02-11 00:00:00,O3,64.74,5.32,6.15,Airparif
2024-03-25 00:00:00,CO,31.05,8.55,1.61,SNCF_Open_Data
2024-02-17 00:00:00,O3,5.05,2.86,6.6,SNCF_Open_Data
2024-01-26 00:00:00,SO2,41.81,1.94,2.7,RATP_Open_Data_2024
2024-10-05 00:00:00,SO2,6.3,5.34,5.26,Météo-France
2024-04-17 00:00:00,SO2,49.33,2.43,4.91,Airparif
2024-10-08 00:00:00,NO2,67.67,2.59,8.1,Data.gouv.fr
2024-03-10 00:00:00,PM10,6.51,7.36,3.53,Météo-France
2024-06-23 00:00:00,PM10,46.17,5.94,2.08,Data.gouv.fr
2024-03-17 00:00:00,SO2,44.18,1.33,3.39,Airparif
2024-01-04 00:00:00,SO2,76.73,5.11,4.06,Data.gouv.fr
2024-01-06 00:00:00,SO2,40.27,4.3,2.74,SNCF_Open_Data
2024-06-25 00:00:00,SO2,64.11,2.76,2.28,SNCF_Open_Data
2024-09-05 00:00:00,PM2.5,21.04,4.15,8.21,Météo-France
2024-02-25 00:00:00,NO2,55.99,7.35,3.41,Airparif
2024-11-12 00:00:00,SO2,59.32,7.63,3.33,Airparif
2024-10-26 00:00:00,PM10,73.87,6.4,3.73,RATP_Open_Data_2024
2024-05-07 00:00:00,NO2,46.99,4.03,2.22,Data.gouv.fr
2024-03-28 00:00:00,CO,26.53,2.42,2.21,Airparif
2024-10-06 00:00:00,PM2.5,8.53,2.28,5.38,SNCF_Open_Data
2024-11-20 00:00:00,SO2,20.77,1.99,2.25,Météo-France
2024-11-30 00:00:00,NO2,11.73,7.92,8.68,Data.gouv.fr
2024-11-10 00:00:00,PM2.5,40.0,7.48,7.78,Data.gouv.fr
2024-10-04 00:00:00,PM2.5,58.07,4.78,5.79,SNCF_Open_Data
2024-09-04 00:00:00,PM10,20.44,3.85,4.21,Data.gouv.fr
2024-11-07 00:00:00,PM10,38.16,6.53,4.96,Météo-France
2024-06-13 00:00:00,SO2,68.09,4.47,4.81,Météo-France
2024-10-05 00:00:00,O3,8.76,2.12,6.79,Data.gouv.fr
2024-11-29 00:00:00,SO2,79.4,4.82,5.4,Airparif
