col_region,col_polluant,col_concentration_moyenne,col_concentration_min,col_concentration_max,col_indice_qualite,col_nombre_stations,col_date_maj,col_source
Hauts-de-France,NO2,63.72,25.72,52.68,4.05,Saint-Charles 6,2024-07-31 00:00:00,Data.gouv.fr
Provence-Alpes-Côte d'Azur,O3,55.27,13.29,8.3,4.33,Saint-Jean 2,2024-09-02 00:00:00,Data.gouv.fr
Hauts-de-France,CO,72.27,73.48,12.7,4.23,Gare de Lyon 7,2024-05-15 00:00:00,Airparif
Île-de-France,CO,34.0,72.82,52.01,6.86,Saint-Charles 7,2024-12-18 00:00:00,SNCF_Open_Data
Nouvelle-Aquitaine,O3,42.36,78.66,26.83,8.07,Matabiau 1,2024-02-20 00:00:00,Data.gouv.fr
Grand Est,O3,56.87,19.3,35.46,2.37,Part-Dieu 6,2024-08-28 00:00:00,Data.gouv.fr
Occitanie,CO,5.34,73.72,71.62,4.28,Montparnasse 1,2024-11-11 00:00:00,Data.gouv.fr
Occitanie,PM2.5,28.65,56.88,73.82,5.67,Gare du Nord 2,2024-05-03 00:00:00,Data.gouv.fr
Provence-Alpes-Côte d'Azur,O3,10.91,53.89,15.65,1.81,Haussmann Saint-Lazare 5,2024-02-19 00:00:00,RATP_Open_Data_2024
Île-de-France,O3,25.0,49.32,82.84,8.21,Gare de Lyon 8,2024-08-31 00:00:00,RATP_Open_Data_2024
Provence-Alpes-Côte d'Azur,O3,61.32,45.77,18.89,7.82,Haussmann Saint-Lazare 9,2024-01-08 00:00:00,Airparif
Normandie,CO,66.21,19.69,29.93,6.53,Saint-Jean 8,2024-08-24 00:00:00,Airparif
Occitanie,CO,17.69,9.96,12.68,6.22,Gare de Lyon 1,2024-02-06 00:00:00,SNCF_Open_Data
Bretagne,PM10,77.19,51.61,78.25,2.63,Gare de l'Est 5,2024-08-02 00:00:00,Météo-France
Provence-Alpes-Côte d'Azur,PM10,45.01,28.15,11.18,3.78,Montparnasse 9,2024-10-16 00:00:00,Airparif
