col_table_source,col_aq_id,col_date,col_zone_id,col_pm25_ugm3,col_no2_ugm3,col_aqi_index,col_source,col_annee,col_secteur,col_emissions_mt_co2eq,col_evolution_annuelle_pourcent,col_part_nationale_pourcent,col_date_collecte,col_emissions_co2_transport_mt,col_indice_qualite_air,col_consommation_energie_transport_twh,col_part_transport_emissions_pourcent,col_reduction_emissions_vs_2019_pourcent,col_amelioration_qualite_air_pourcent,col_objectif_atteint,col_energy_id,col_mois,col_line_id,col_mode,col_energie_kwh,col_ville,col_condition_meteo,col_temperature_celsius,col_humidite_pourcent,col_pression_hpa,col_vitesse_vent_kmh,col_visibilite_km
Airparif,ID_000,2024-01-10 00:00:00,ID_000,7.55,6.39,63.02,SNCF_Open_Data,2.65,8.22,3.88,6.49,5.69,2024-01-17 00:00:00,3.92,6.3,4.06,5.68,8.35,3.25,5.12,ID_000,5.36,ID_000,Tramway,8.15,Toulouse,3.56,11.9,ID_000,1012.9,50,4.16
Météo-France,ID_001,2024-05-29 00:00:00,ID_001,4.93,5.38,78.9,Météo-France,6.13,1.45,2.55,2.96,3.28,2024-08-27 00:00:00,8.79,3.02,5.52,6.02,6.66,2.45,6.67,ID_001,4.47,ID_001,Bus RATP,4.02,Bordeaux,6.28,11.3,ID_001,1005.8,50,1.31
Data.gouv.fr,ID_002,2024-07-11 00:00:00,ID_002,6.63,3.51,57.76,Data.gouv.fr,5.09,1.63,8.57,2.21,1.79,2024-02-20 00:00:00,6.54,3.61,5.85,1.47,1.31,5.79,2.69,ID_002,1.56,ID_002,Bus RATP,3.49,Nantes,3.95,20.1,ID_002,1004.5,30,2.08
Airparif,ID_003,2024-06-30 00:00:00,ID_003,1.46,2.99,3.48,Airparif,2.47,8.65,6.91,3.42,2.32,2024-05-27 00:00:00,5.76,3.71,4.58,4.71,5.85,5.82,6.62,ID_003,1.87,ID_003,Transilien,1.68,Marseille,2.77,9.1,ID_003,1015.0,30,8.1
SNCF_Open_Data,ID_004,2024-10-22 00:00:00,ID_004,6.24,7.94,60.09,Data.gouv.fr,2.83,8.13,1.42,6.2,7.16,2024-08-29 00:00:00,7.57,5.7,7.56,2.1,7.9,7.96,4.11,ID_004,7.64,ID_004,Tramway,7.83,Strasbourg,5.47,8.5,ID_004,1007.9,80,3.55
Météo-France,ID_005,2024-08-04 00:00:00,ID_005,5.8,2.55,48.9,Météo-France,3.58,3.54,1.33,2.39,2.1,2024-02-29 00:00:00,5.79,6.55,2.69,8.26,8.0,1.51,4.47,ID_005,2.7,ID_005,TGV,5.35,Lille,5.27,18.6,ID_005,997.4,70,6.45
Data.gouv.fr,ID_006,2024-02-02 00:00:00,ID_006,1.48,6.53,23.18,Airparif,3.42,7.84,1.29,4.29,5.94,2024-08-28 00:00:00,5.82,8.44,3.75,7.68,7.97,5.03,3.74,ID_006,2.13,ID_006,Tramway,8.03,Nice,7.85,19.9,ID_006,1010.2,45,2.0
Météo-France,ID_007,2024-04-17 00:00:00,ID_007,5.25,7.07,82.3,Météo-France,2.6,6.56,8.34,2.83,5.45,2024-01-11 00:00:00,2.66,6.54,6.92,6.42,3.91,4.97,7.42,ID_007,5.14,ID_007,TGV,7.98,Nantes,6.86,22.1,ID_007,1005.2,45,3.34
Data.gouv.fr,ID_008,2024-12-17 00:00:00,ID_008,8.68,2.28,7.64,RATP_Open_Data_2024,3.93,2.77,1.47,3.22,7.01,2024-08-17 00:00:00,7.01,1.49,4.36,8.57,8.33,2.19,4.86,ID_008,2.4,ID_008,Transilien,1.74,Lyon,1.8,13.2,ID_008,1016.1,50,8.27
Météo-France,ID_009,2024-05-15 00:00:00,ID_009,4.62,3.67,75.42,SNCF_Open_Data,6.5,3.34,6.38,3.53,2.26,2024-12-18 00:00:00,8.28,7.63,2.56,1.54,3.92,8.3,2.92,ID_009,4.78,ID_009,Tramway,4.74,Toulouse,2.38,8.3,ID_009,1007.7,130,7.76
