col_par_saison,col_par_creneau_horaire,col_par_polluant,col_weekend_vs_semaine,col_vacances_vs_scolaire,col_0,col_time_id,col_date,col_date_complete,col_annee,col_mois,col_jour,col_heure,col_creneau_horaire,col_saison,col_est_weekend,col_est_ferie,col_est_vacances_scolaires,col_polluant,col_concentration,col_unite,col_station,col_source_environnementale
6.15,2.66,O3,OUI,1,5.4,ID_000,2024-05-13 00:00:00,2024-08-25 00:00:00,7.76,8.06,6.1,6.54,6.03,4.31,OUI,NON,0,CO,41.69,µg/m³,Montparnasse 2,Data.gouv.fr
8.09,2.99,O3,1,1,7.21,ID_001,2024-02-13 00:00:00,2024-11-17 00:00:00,1.24,7.42,4.16,8.28,5.96,6.65,1,1,NON,PM10,59.03,µg/m³,Part-Dieu 8,SNCF_Open_Data
5.08,8.1,PM10,0,OUI,6.1,ID_002,2024-07-14 00:00:00,2024-12-07 00:00:00,8.49,5.96,3.42,3.87,7.83,2.2,0,0,OUI,PM10,48.3,µg/m³,Montparnasse 8,RATP_Open_Data_2024
4.33,6.3,PM10,1,0,7.75,ID_003,2024-01-20 00:00:00,2024-11-08 00:00:00,1.84,6.93,7.23,6.37,2.59,5.81,1,0,1,PM2.5,83.07,µg/m³,Matabiau 7,Data.gouv.fr
5.27,3.02,PM2.5,0,1,1.39,ID_004,2024-03-23 00:00:00,2024-10-21 00:00:00,8.1,5.61,5.15,5.53,4.12,2.45,1,0,NON,PM2.5,35.89,µg/m³,Gare de l'Est 4,SNCF_Open_Data
4.27,4.85,PM10,OUI,0,6.62,ID_005,2024-11-28 00:00:00,2024-05-06 00:00:00,4.06,5.21,4.6,7.13,3.87,3.39,0,1,NON,PM2.5,69.48,µg/m³,Haussmann Saint-Lazare 2,Météo-France
5.16,4.25,PM2.5,OUI,1,2.36,ID_006,2024-10-14 00:00:00,2024-10-08 00:00:00,2.34,4.79,7.59,6.47,2.52,6.84,NON,NON,1,SO2,50.48,µg/m³,Saint-Charles 8,SNCF_Open_Data
5.43,7.27,PM10,0,NON,1.26,ID_007,2024-07-13 00:00:00,2024-10-21 00:00:00,5.22,1.76,4.13,6.58,8.24,1.54,NON,NON,OUI,SO2,6.86,µg/m³,Montparnasse 1,Airparif
7.76,6.87,PM2.5,NON,1,3.47,ID_008,2024-11-24 00:00:00,2024-07-30 00:00:00,6.03,6.73,6.17,5.75,1.79,4.21,OUI,0,NON,PM10,71.91,µg/m³,Saint-Charles 4,Data.gouv.fr
1.63,1.71,NO2,0,OUI,5.87,ID_009,2024-08-23 00:00:00,2024-07-01 00:00:00,2.25,5.99,7.42,7.24,7.5,5.03,NON,NON,OUI,PM10,32.02,µg/m³,Haussmann Saint-Lazare 4,Météo-France
3.27,4.27,PM10,NON,0,2.99,ID_010,2024-05-27 00:00:00,2024-09-13 00:00:00,8.16,2.79,8.22,3.75,4.13,6.99,NON,NON,1,SO2,49.72,µg/m³,Saint-Jean 3,RATP_Open_Data_2024
6.18,4.12,O3,NON,OUI,3.31,ID_011,2024-05-22 00:00:00,2024-05-07 00:00:00,7.03,1.7,1.42,2.32,4.11,7.4,NON,OUI,0,PM2.5,67.34,µg/m³,Gare de l'Est 4,Météo-France
8.71,5.28,PM2.5,OUI,0,4.98,ID_012,2024-09-11 00:00:00,2024-11-08 00:00:00,6.64,1.99,8.76,2.89,5.26,3.7,NON,0,1,CO,51.79,µg/m³,Montparnasse 6,Météo-France
1.66,7.99,NO2,NON,OUI,2.21,ID_013,2024-10-02 00:00:00,2024-01-26 00:00:00,2.39,3.73,3.23,1.28,8.76,1.49,1,OUI,0,PM10,9.21,µg/m³,Matabiau 1,RATP_Open_Data_2024
4.91,3.62,SO2,1,OUI,7.36,ID_014,2024-06-17 00:00:00,2024-11-02 00:00:00,3.63,6.31,7.63,2.28,7.59,3.64,OUI,NON,NON,PM2.5,12.47,µg/m³,Gare du Nord 9,Data.gouv.fr
2.91,6.58,PM10,OUI,OUI,2.41,ID_015,2024-05-26 00:00:00,2024-06-06 00:00:00,3.26,4.11,3.43,4.51,2.62,5.11,OUI,NON,0,PM10,77.12,µg/m³,Gare du Nord 8,SNCF_Open_Data
1.46,3.94,SO2,0,0,1.69,ID_016,2024-12-01 00:00:00,2024-03-29 00:00:00,5.89,6.44,5.9,6.97,4.8,5.02,OUI,NON,1,CO,5.32,µg/m³,Haussmann Saint-Lazare 7,Airparif
4.08,5.96,SO2,0,1,1.62,ID_017,2024-06-12 00:00:00,2024-12-11 00:00:00,2.89,3.57,4.19,5.63,6.49,7.41,0,1,OUI,CO,23.65,µg/m³,Haussmann Saint-Lazare 6,RATP_Open_Data_2024
7.04,1.84,SO2,0,0,7.39,ID_018,2024-01-09 00:00:00,2024-06-25 00:00:00,3.01,2.07,3.89,7.57,5.71,7.51,OUI,1,OUI,NO2,33.68,µg/m³,Montparnasse 7,SNCF_Open_Data
8.59,8.19,NO2,OUI,1,6.3,ID_019,2024-06-21 00:00:00,2024-10-10 00:00:00,1.77,2.98,4.07,2.73,2.8,2.75,0,OUI,NON,PM10,19.59,µg/m³,Saint-Jean 4,RATP_Open_Data_2024
