col_categorie_vehicule,col_age_vehicule,col_annee_mise_circulation,col_emissions_co2_g_km,col_emissions_nox_g_km,col_emissions_pm25_g_km,col_emissions_co_g_km,col_emissions_hc_g_km,col_consommation_l_100km,col_classe_environmentale,col_impact_sante,col_annee,col_scenario,col_age_moyen_parc,col_emissions_moyennes_co2_g_km,col_pourcentage_vehicules_propres,col_reduction_emissions_pct,col_pourcentage_parc,col_nombre_estime
1.54,6.84,47.214435,6.83,6.56,6.19,3.42,6.03,3.8,2.93,1.67,5.93,5.84,5.63,6.22,1.89,4.79,3.87,2024-09-17 00:00:00
6.92,1.61,45.776398,5.08,6.15,8.6,6.77,1.34,6.07,5.91,6.37,7.0,8.08,3.55,5.66,5.48,2.39,5.62,2024-08-29 00:00:00
2.15,8.4,45.414268,2.16,7.49,2.57,2.53,2.68,6.26,3.92,5.25,6.31,3.48,2.79,3.68,7.75,4.91,8.51,2024-07-15 00:00:00
4.17,3.4,47.450855,8.42,5.77,1.63,3.8,5.56,3.86,7.95,4.11,3.57,7.39,4.9,7.48,7.56,3.12,4.75,2024-08-22 00:00:00
6.6,4.05,50.299051,2.77,1.45,6.8,6.72,3.24,2.36,8.34,3.18,1.4,8.34,8.74,5.56,1.93,5.71,3.02,2024-06-26 00:00:00
3.62,3.48,46.397861,5.66,4.4,7.39,2.19,1.32,2.37,8.55,4.39,5.4,6.5,6.5,1.74,2.69,8.63,1.96,2024-09-13 00:00:00
1.27,1.83,45.549753,2.75,8.54,7.24,3.43,5.01,4.56,8.49,6.04,7.12,5.19,7.78,1.79,5.45,2.6,8.4,2024-06-01 00:00:00
2.1,4.88,48.390916,6.65,4.88,4.42,7.87,7.48,5.26,2.41,5.79,4.13,7.99,5.97,8.7,3.6,2.61,4.57,2024-03-21 00:00:00
6.47,1.94,52.099757,7.85,1.35,3.54,4.63,2.75,2.69,5.79,5.41,4.86,6.01,5.85,2.41,5.1,7.88,2.74,2024-08-17 00:00:00
3.67,5.51,48.113805,3.31,8.7,2.03,8.11,3.79,1.32,4.17,7.54,8.04,3.23,5.12,5.65,8.38,1.64,4.82,2024-10-16 00:00:00
5.23,8.51,49.921257,4.92,8.48,2.43,2.96,6.01,1.26,4.63,7.2,7.67,4.28,8.75,5.95,4.45,5.56,4.7,2024-11-24 00:00:00
8.09,3.26,51.207981,4.03,5.06,8.68,2.84,3.61,2.72,4.4,2.1,5.71,3.06,1.32,1.33,4.3,5.77,3.61,2024-07-03 00:00:00
2.06,7.14,45.322051,5.4,7.7,7.12,8.39,5.64,3.86,7.83,7.72,5.45,7.01,2.64,8.11,6.39,3.41,8.56,2024-10-03 00:00:00
5.26,7.34,49.903491,5.84,1.84,6.68,4.36,1.31,4.1,1.5,1.47,3.97,2.45,5.15,2.35,6.73,3.01,7.03,2024-04-09 00:00:00
3.6,5.41,46.585435,2.09,6.31,1.74,6.67,6.93,8.57,5.99,3.87,2.06,1.69,1.54,4.65,1.99,4.52,7.85,2024-08-31 00:00:00
8.5,4.54,49.614831,4.98,7.54,1.29,4.26,4.29,2.32,6.64,8.5,1.88,2.77,7.37,5.95,8.58,4.02,8.48,2024-07-24 00:00:00
4.36,2.26,46.936935,2.07,6.97,7.73,3.58,1.86,2.38,7.6,2.95,3.47,7.14,4.34,3.53,4.09,5.42,2.28,2024-03-28 00:00:00
7.7,3.08,52.087018,7.31,4.67,7.89,6.58,3.15,2.94,5.33,6.28,3.95,1.91,7.35,3.35,6.2,5.62,2.22,2024-12-07 00:00:00
8.17,6.54,52.715064,2.23,6.51,5.33,7.99,6.39,2.9,3.13,8.67,3.11,7.71,6.63,5.78,1.7,8.25,7.39,2024-04-10 00:00:00
6.15,6.31,45.543219,3.31,6.89,6.67,7.89,7.29,5.23,3.26,1.94,4.43,5.38,1.31,4.75,5.59,1.32,4.46,2024-07-17 00:00:00
5.62,6.28,51.632259,8.4,1.27,4.5,2.79,7.98,1.37,5.56,4.19,7.71,1.82,2.84,7.98,3.65,6.8,1.76,2024-11-28 00:00:00
4.34,2.84,49.589351,4.85,6.75,3.85,7.48,3.67,7.54,8.05,4.62,5.35,6.86,1.32,3.83,7.53,6.73,2.82,2024-09-01 00:00:00
3.37,8.05,48.390939,4.85,8.33,6.76,7.78,4.04,3.75,5.99,4.27,6.29,2.95,1.5,3.71,7.24,4.6,1.36,2024-02-17 00:00:00
6.84,6.2,51.987443,8.26,1.49,8.49,6.66,5.8,3.48,2.61,3.12,5.09,8.03,4.59,4.53,7.18,3.84,7.4,2024-02-28 00:00:00
7.35,4.91,46.833646,4.14,5.59,3.84,3.31,3.68,2.68,8.51,4.77,8.71,4.08,5.56,5.19,3.66,6.82,1.51,2024-01-31 00:00:00
8.79,8.59,48.681947,3.34,4.08,5.0,6.55,1.5,1.89,3.59,3.35,6.43,5.07,3.51,8.51,6.42,5.74,7.15,2024-09-02 00:00:00
8.35,4.65,46.221721,6.85,8.16,2.38,3.28,2.69,4.68,2.96,5.51,7.0,6.03,6.71,3.71,1.44,1.64,4.9,2024-09-02 00:00:00
2.53,2.97,49.402827,6.76,7.77,4.57,4.97,3.16,8.22,7.75,5.71,6.16,6.46,2.61,7.95,8.45,6.08,3.88,2024-02-19 00:00:00
5.04,8.54,51.760048,3.84,2.79,6.07,6.84,8.78,5.14,7.09,6.19,6.0,3.69,8.21,5.88,7.92,7.6,4.8,2024-02-26 00:00:00
6.51,5.17,47.850792,4.94,3.78,2.17,3.91,4.88,5.5,3.37,2.81,5.92,2.09,5.57,4.99,2.22,6.35,6.84,2024-03-29 00:00:00
8.29,1.4,48.571238,1.42,5.91,4.68,2.09,6.62,3.92,1.8,6.66,6.64,8.04,2.59,5.19,8.37,3.04,1.4,2024-07-11 00:00:00
6.28,8.76,49.804011,2.08,5.07,6.48,2.93,8.04,2.75,4.22,2.38,8.22,8.29,8.42,5.5,2.16,3.07,3.09,2024-07-30 00:00:00
3.94,8.8,48.818191,4.85,4.73,4.16,3.36,6.92,8.77,2.61,7.37,4.83,2.46,1.27,1.4,8.33,5.04,7.17,2024-03-02 00:00:00
2.35,5.6,51.054978,3.55,6.45,6.17,7.68,2.94,3.0,8.67,5.18,3.64,5.23,5.21,1.56,4.13,7.17,7.26,2024-09-04 00:00:00
3.97,3.99,52.849281,2.72,3.79,8.42,1.42,7.61,1.81,2.7,4.48,5.84,8.13,1.84,5.04,4.67,7.81,1.52,2024-12-05 00:00:00
5.61,4.03,46.497843,4.41,1.74,3.15,7.67,7.71,8.44,7.58,6.71,6.59,6.07,4.27,8.59,4.81,1.31,4.11,2024-02-09 00:00:00
8.68,7.37,52.411953,4.89,1.25,6.41,8.14,8.07,5.62,7.24,6.33,1.76,7.28,7.97,2.34,1.92,7.39,6.38,2024-04-22 00:00:00
6.37,5.04,45.04324,6.06,4.19,6.89,2.18,4.84,8.4,5.29,2.57,7.59,8.45,4.85,4.59,8.52,8.04,2.19,2024-05-14 00:00:00
3.25,1.82,45.851994,7.47,6.8,1.78,7.19,1.75,4.33,3.8,8.19,3.37,5.25,5.4,2.33,3.18,2.1,4.56,2024-01-04 00:00:00
7.48,2.98,49.126937,7.79,8.44,5.85,4.47,2.9,1.28,4.15,5.72,6.09,3.78,2.74,8.01,6.59,5.61,4.1,2024-08-07 00:00:00
7.25,3.35,51.005803,5.39,1.41,1.29,5.45,1.89,1.54,4.5,2.95,8.08,4.48,5.88,7.16,5.95,1.28,2.2,2024-10-03 00:00:00
5.78,5.19,45.397044,1.23,5.26,6.4,2.81,2.2,8.11,2.44,3.14,2.87,8.69,8.39,1.81,3.05,7.79,3.88,2024-06-09 00:00:00
