col_scenario,col_nom_scenario,col_description,col_annee,col_age_moyen_parc,col_taux_renouvellement_annuel,col_reduction_emissions_pct,col_nombre_vehicules_remplaces_cumules,col_cout_politique_millions_eur,col_co2_evite_millions_tonnes,col_gain_qualite_air_pct,col_emplois_crees_estimes,col_rentabilite_annees,col_region,col_code_type,col_type_vehicule,col_tranche_age,col_age_moyen_tranche,col_nombre_vehicules,col_pourcentage_type_region,col_pourcentage_total_national,col_emissions_co2_g_km,col_consommation_l_100km,col_norme_euro,col_critair,col_impact_environnemental,col_cout_entretien_annuel_eur,col_taux_controle_technique_defaut,col_risque_accident,col_date_mise_circulation_moyenne,col_ville,col_population,col_date_mise_place_zfe,col_niveau_critair,col_total_vehicules_ville,col_vehicules_impactes,col_pourcentage_impactes,col_reduction_emissions_locale_pct,col_amelioration_qualite_air_pct,col_cout_adaptation_estime_eur,col_economies_sante_estimees_eur,col_date_conformite_complete
7.82,7.65,4.08,3.5,4.13,4.97,7.98,4.64,3.17,8.59,7.35,2024-01-12 00:00:00,8.29,Pays de la Loire,6.14,3.02,2.69,8.7,1.69,Île-de-France,3.0,5.26,7.95,4.92,3.56,8.0,1.69,1.23,ID_000,45.436093,Lille,45.436093,2024-07-22 00:00:00,6.34,Nantes,5.34,6.48,1.85,2.33,2024-02-16 00:00:00,2024-08-03 00:00:00,2024-07-23 00:00:00
4.17,6.87,4.31,7.68,7.64,7.76,6.96,4.25,4.36,8.61,1.74,2024-07-09 00:00:00,4.73,Grand Est,8.65,7.22,4.99,2.71,1.65,Provence-Alpes-Côte d'Azur,2.76,4.22,5.56,2.9,1.5,6.33,8.46,7.44,ID_001,48.4975,Nice,48.4975,2024-04-07 00:00:00,8.33,Nantes,2.12,2.37,3.38,8.41,2024-07-22 00:00:00,2024-04-25 00:00:00,2024-03-11 00:00:00
6.66,2.45,2.66,8.45,4.29,8.6,5.64,1.99,3.01,7.61,6.91,2024-10-06 00:00:00,5.41,Grand Est,6.84,4.38,6.03,5.81,1.32,Auvergne-Rhône-Alpes,5.25,7.2,7.07,4.63,6.96,8.22,8.79,8.29,ID_002,46.231664,Strasbourg,46.231664,2024-05-13 00:00:00,3.59,Strasbourg,5.8,2.16,5.19,4.24,2024-09-10 00:00:00,2024-03-31 00:00:00,2024-11-04 00:00:00
4.34,5.78,2.73,6.05,6.78,3.32,8.1,8.29,3.2,3.46,4.24,2024-06-05 00:00:00,1.91,Nouvelle-Aquitaine,1.3,6.04,2.48,6.0,3.79,Hauts-de-France,7.44,4.89,4.91,3.34,8.01,7.18,7.7,7.91,ID_003,50.951531,Bordeaux,50.951531,2024-02-06 00:00:00,6.12,Lille,5.94,8.25,7.13,6.57,2024-11-10 00:00:00,2024-02-08 00:00:00,2024-06-10 00:00:00
7.06,2.78,3.35,1.72,1.9,7.98,7.96,6.74,1.91,5.28,4.85,2024-11-04 00:00:00,7.17,Bretagne,1.73,2.1,3.72,5.91,5.17,Normandie,2.92,2.65,3.04,8.63,2.79,5.6,4.0,6.57,ID_004,52.455246,Bordeaux,52.455246,2024-07-17 00:00:00,3.32,Nantes,6.52,3.52,3.99,8.46,2024-09-27 00:00:00,2024-04-05 00:00:00,2024-06-27 00:00:00
5.7,2.1,8.1,7.19,4.82,4.58,2.14,3.44,6.27,3.3,7.47,2024-09-03 00:00:00,6.44,Auvergne-Rhône-Alpes,2.9,7.08,4.79,4.62,4.48,Île-de-France,7.76,1.45,4.13,8.04,7.26,7.22,5.26,7.52,ID_005,46.846583,Lille,46.846583,2024-10-09 00:00:00,4.65,Bordeaux,1.25,1.29,2.32,5.38,2024-05-16 00:00:00,2024-08-22 00:00:00,2024-09-30 00:00:00
4.2,3.91,3.43,4.19,1.86,5.01,4.57,7.1,4.02,7.48,7.63,2024-09-24 00:00:00,4.8,Provence-Alpes-Côte d'Azur,4.38,2.14,2.79,1.86,3.51,Grand Est,6.75,7.36,7.04,2.95,7.34,8.42,2.18,7.52,ID_006,51.397196,Toulouse,51.397196,2024-06-15 00:00:00,6.89,Paris,7.31,6.09,5.82,4.34,2024-04-14 00:00:00,2024-04-19 00:00:00,2024-05-28 00:00:00
5.84,5.32,2.74,8.5,2.14,3.78,6.85,6.21,3.78,3.59,2.58,2024-04-19 00:00:00,5.79,Grand Est,8.75,6.77,2.58,7.6,2.58,Provence-Alpes-Côte d'Azur,5.12,2.61,4.74,5.34,7.27,4.94,5.71,7.3,ID_007,51.345587,Nantes,51.345587,2024-05-29 00:00:00,3.9,Marseille,2.77,4.56,3.84,3.65,2024-01-08 00:00:00,2024-08-26 00:00:00,2024-06-01 00:00:00
6.12,1.87,3.28,8.49,5.18,5.77,4.86,6.05,7.31,6.25,8.2,2024-10-25 00:00:00,8.47,Pays de la Loire,8.64,1.57,3.02,1.36,1.3,Bretagne,6.63,1.71,6.58,4.03,8.2,5.57,3.49,3.08,ID_008,45.879844,Lyon,45.879844,2024-11-27 00:00:00,5.98,Lyon,7.83,4.77,5.09,5.3,2024-03-22 00:00:00,2024-10-18 00:00:00,2024-11-17 00:00:00
4.53,7.99,2.37,8.26,6.25,3.88,5.58,6.64,2.94,1.36,3.24,2024-11-16 00:00:00,1.8,Bretagne,3.61,2.56,2.19,6.9,4.32,Normandie,4.05,5.95,8.25,6.49,3.55,7.93,5.44,8.3,ID_009,52.010606,Toulouse,52.010606,2024-01-21 00:00:00,1.86,Marseille,4.73,5.18,1.37,7.86,2024-07-30 00:00:00,2024-02-17 00:00:00,2024-10-08 00:00:00
