col_environnement_id,col_time_id,col_zone_id,col_polluant_id,col_mode_id,col_station_id,col_valeur_co2,col_niveau_pollution,col_aqi_moyen,col_condition_meteo,col_temperature,col_prix_carburant_ref,col_energie_renouvelable_pourcent,col_impact_sante_index,col_cout_pollution,col_energy_consumption_per_vehicle,col_source,col_date_insertion
ENV_00001,00001,00001,00001,00001,00001,46.36,Modéré,6.17,Orage,3.88,2.27,8.49,6,1.43,2.52,Meteo_France,2024-01-01 00:00:00
ENV_00002,00002,00002,00002,00002,00002,44.44,Modéré,6.86,Brouillard,6.61,2.32,5.90,50,2.28,2.63,SNCF_Open_Data,2024-01-01 00:00:00
ENV_00003,00003,00003,00003,00003,00003,11.20,Faible,9.28,Nuageux,1.45,4.58,9.13,48,5.39,5.48,RATP_Open_Data_2024,2024-01-01 00:00:00
ENV_00004,00004,00004,00004,00004,00004,21.48,Critique,8.08,Brouillard,4.67,0.56,3.99,99,3.16,4.42,AirParif_2024,2024-01-01 00:00:00
ENV_00005,00005,00005,00005,00005,00005,29.69,Critique,1.11,Pluie,6.65,7.52,5.95,86,6.09,5.06,Data.gouv.fr,2024-01-01 00:00:00
ENV_00006,00006,00006,00006,00006,00006,18.56,Critique,4.21,Soleil,1.47,0.88,9.20,78,3.49,9.88,SNCF_Open_Data,2024-01-01 00:00:00
ENV_00007,00007,00007,00007,00007,00007,23.90,Élevé,4.99,Orage,3.99,9.68,4.09,11,9.40,5.07,SNCF_Open_Data,2024-01-01 00:00:00
ENV_00008,00008,00008,00008,00008,00008,26.25,Critique,5.91,Brouillard,9.75,7.41,7.76,8,3.59,6.83,AirParif_2024,2024-01-01 00:00:00
ENV_00009,00009,00009,00009,00009,00009,38.67,Modéré,9.39,Brouillard,9.03,8.00,5.72,41,8.21,7.28,Meteo_France,2024-01-01 00:00:00
ENV_00010,00010,00010,00010,00010,00010,13.85,Faible,1.98,Orage,2.36,0.92,6.77,77,9.73,3.29,AirParif_2024,2024-01-01 00:00:00
ENV_00011,00011,00011,00011,00011,00011,43.25,Élevé,9.77,Brouillard,4.31,2.53,8.14,24,2.85,8.48,Meteo_France,2024-01-01 00:00:00
ENV_00012,00012,00012,00012,00012,00012,35.43,Faible,7.14,Nuageux,7.48,0.71,5.99,30,6.93,7.63,AirParif_2024,2024-01-01 00:00:00
ENV_00013,00013,00013,00013,00013,00013,41.26,Faible,1.25,Soleil,1.37,4.65,1.10,65,2.38,8.53,Data.gouv.fr,2024-01-01 00:00:00
ENV_00014,00014,00014,00014,00014,00014,39.61,Modéré,7.51,Soleil,6.53,7.18,3.97,59,9.02,1.12,Meteo_France,2024-01-01 00:00:00
ENV_00015,00015,00015,00015,00015,00015,40.99,Faible,2.81,Orage,4.34,3.78,3.06,94,3.74,4.28,SNCF_Open_Data,2024-01-01 00:00:00
ENV_00016,00016,00016,00016,00016,00016,18.34,Élevé,3.79,Orage,5.18,2.97,6.36,51,2.42,6.83,RATP_Open_Data_2024,2024-01-01 00:00:00
