col_id_station,col_region,col_departement,col_commune,col_carburant,col_prix,col_date_releve,col_latitude,col_longitude,col_marque,col_services
S_016,Grand Est,Pays de la Loire,Strasbourg,8.19,1.87,2024-03-26 00:00:00,47.027765,-1.263879,6.04,1.35
S_005,Hauts-de-France,Pays de la Loire,Toulouse,4.44,1.735,2024-09-16 00:00:00,48.261168,2.686509,8.16,2.34
S_038,Provence-Alpes-Côte d'Azur,Grand Est,Montpellier,4.12,1.888,2024-10-29 00:00:00,49.537765,-0.737196,2.06,5.87
S_024,Occitanie,Occitanie,Lyon,4.57,1.823,2024-09-13 00:00:00,50.156435,1.746205,5.88,4.31
S_084,Normandie,Auvergne-Rhône-Alpes,Paris,8.4,1.96,2024-06-25 00:00:00,52.4743,3.480025,2.22,3.24
S_035,Bretagne,Pays de la Loire,Toulouse,8.18,1.831,2024-10-10 00:00:00,49.976559,5.335399,4.26,5.51
S_021,Normandie,Hauts-de-France,Bordeaux,1.21,1.946,2024-09-25 00:00:00,44.9962,4.344387,2.3,8.24
S_051,Bretagne,Grand Est,Nantes,4.66,1.714,2024-07-09 00:00:00,50.792829,2.376049,3.38,1.22
S_068,Île-de-France,Normandie,Montpellier,7.93,1.821,2024-01-12 00:00:00,52.827595,4.924876,4.7,2.72
S_041,Provence-Alpes-Côte d'Azur,Grand Est,Nice,5.33,1.845,2024-07-11 00:00:00,47.142763,-0.09941,1.99,4.3
S_016,Bretagne,Hauts-de-France,Strasbourg,5.81,1.88,2024-02-26 00:00:00,45.827411,5.557605,3.93,7.77
S_017,Île-de-France,Normandie,Paris,3.77,1.965,2024-08-03 00:00:00,48.343702,4.970304,5.48,6.2
S_079,Hauts-de-France,Île-de-France,Paris,8.05,1.876,2024-08-05 00:00:00,49.571596,0.119898,8.35,3.04
S_032,Grand Est,Normandie,Toulouse,1.68,1.904,2024-12-24 00:00:00,47.679511,2.158581,8.11,8.31
S_030,Pays de la Loire,Hauts-de-France,Strasbourg,1.96,1.988,2024-02-22 00:00:00,51.759186,5.193088,4.44,7.11
S_089,Auvergne-Rhône-Alpes,Île-de-France,Montpellier,6.22,1.921,2024-06-27 00:00:00,51.549644,-0.80256,3.85,5.09
S_033,Normandie,Normandie,Montpellier,1.84,1.985,2024-10-18 00:00:00,52.183393,3.087831,3.88,6.65
S_008,Normandie,Occitanie,Bordeaux,1.83,1.951,2024-02-16 00:00:00,45.497611,1.744135,1.54,2.54
S_032,Île-de-France,Provence-Alpes-Côte d'Azur,Bordeaux,7.72,1.895,2024-03-30 00:00:00,47.75222,1.085317,4.52,2.47
S_076,Nouvelle-Aquitaine,Occitanie,Toulouse,5.82,1.684,2024-10-24 00:00:00,48.105757,1.257304,2.92,7.63
