col_annee,col_pays,col_type_vehicule,col_pourcentage_parc,col_nombre_vehicules,col_emissions_co2_moyennes,col_source
2.38,France,3.06,7.48,8.71,6.79,Airparif
8.12,France,7.21,3.56,3.52,6.23,Airparif
7.96,France,3.87,1.76,6.66,1.64,SNCF_Open_Data
5.65,France,2.0,4.76,4.66,4.49,SNCF_Open_Data
2.09,France,5.71,7.91,8.71,4.03,SNCF_Open_Data
1.67,France,3.22,6.43,4.03,6.21,Airparif
2.53,France,7.6,4.21,5.63,2.89,Météo-France
5.63,France,8.3,4.17,2.46,7.93,RATP_Open_Data_2024
4.76,France,8.57,7.22,3.25,7.62,Airparif
4.27,France,2.73,6.16,6.98,6.31,SNCF_Open_Data
4.49,France,2.34,4.97,6.45,6.79,RATP_Open_Data_2024
3.54,France,3.55,1.68,6.72,2.54,RATP_Open_Data_2024
6.29,France,6.7,4.78,4.08,2.09,Météo-France
8.36,France,8.31,4.42,4.99,5.49,Data.gouv.fr
1.77,France,1.4,3.69,6.8,1.82,SNCF_Open_Data
8.56,France,8.06,4.77,4.39,7.2,SNCF_Open_Data
3.81,France,6.1,4.83,2.83,3.81,Data.gouv.fr
3.89,France,7.84,3.92,8.5,6.8,Météo-France
7.99,France,5.24,6.67,5.81,2.72,Airparif
6.71,France,4.26,8.28,7.22,5.43,Airparif
5.0,France,8.27,6.49,2.41,6.68,SNCF_Open_Data
3.97,France,2.28,6.7,2.81,8.19,Airparif
2.39,France,3.37,5.09,5.97,1.69,Météo-France
4.99,France,5.59,7.96,5.74,4.42,Météo-France
6.29,France,4.07,7.99,1.62,4.93,Data.gouv.fr
1.8,France,4.77,7.38,8.63,6.13,Météo-France
3.25,France,6.57,5.36,1.67,4.07,Data.gouv.fr
7.73,France,2.28,4.06,4.82,3.58,Météo-France
2.53,France,6.69,4.27,5.86,5.12,RATP_Open_Data_2024
1.6,France,4.07,3.36,8.42,5.88,RATP_Open_Data_2024
5.05,France,2.37,6.5,8.52,6.64,RATP_Open_Data_2024
8.08,France,8.15,6.93,2.97,6.25,SNCF_Open_Data
6.18,France,5.88,8.5,8.05,7.78,SNCF_Open_Data
3.72,France,1.69,8.33,2.5,7.88,Airparif
8.67,France,2.98,7.24,3.45,4.61,RATP_Open_Data_2024
3.34,France,5.52,4.98,5.98,1.43,Data.gouv.fr
1.75,France,5.55,3.24,4.35,2.67,Data.gouv.fr
7.92,France,8.13,3.63,3.75,4.74,Data.gouv.fr
8.38,France,5.24,3.54,1.48,5.77,Airparif
5.65,France,3.55,2.6,7.21,4.3,Data.gouv.fr
5.08,France,3.87,1.96,6.85,4.03,Airparif
2.2,France,3.57,6.42,3.63,5.38,Data.gouv.fr
6.69,France,7.9,5.38,3.54,4.83,Airparif
4.98,France,7.89,5.22,2.25,6.24,Météo-France
3.44,France,5.0,5.51,1.47,6.44,SNCF_Open_Data
4.32,France,3.92,5.56,6.0,7.43,Airparif
2.65,France,3.79,4.93,2.46,1.64,RATP_Open_Data_2024
6.49,France,5.7,2.25,6.54,3.72,Météo-France
4.72,France,1.67,7.27,4.18,4.33,Data.gouv.fr
4.76,France,4.01,4.34,5.44,5.21,Météo-France
4.56,France,7.14,7.03,1.7,2.43,Data.gouv.fr
4.2,France,3.14,2.35,1.37,7.97,Data.gouv.fr
5.57,France,8.72,7.7,2.31,2.05,RATP_Open_Data_2024
2.79,France,7.96,3.3,2.58,1.54,Airparif
1.32,France,8.43,6.78,5.47,8.18,Data.gouv.fr
6.07,France,2.8,1.45,8.53,4.9,Météo-France
7.13,France,6.5,5.0,5.09,2.9,RATP_Open_Data_2024
2.03,France,2.28,6.59,7.94,7.45,SNCF_Open_Data
3.23,France,4.08,6.54,7.38,2.82,SNCF_Open_Data
2.77,France,6.32,2.89,6.13,5.35,RATP_Open_Data_2024
2.55,France,1.64,3.46,3.51,2.63,SNCF_Open_Data
4.82,France,8.67,5.1,1.56,2.63,RATP_Open_Data_2024
1.93,France,8.2,4.41,4.66,7.46,Airparif
2.02,France,8.56,7.48,2.01,7.38,Data.gouv.fr
6.27,France,1.3,1.52,5.6,7.93,Météo-France
5.53,France,4.29,2.54,6.72,2.43,Airparif
2.42,France,5.18,6.33,4.07,2.51,Data.gouv.fr
7.94,France,8.18,1.49,6.77,5.82,RATP_Open_Data_2024
4.01,France,3.25,1.56,8.47,1.77,Airparif
7.09,France,4.67,2.26,8.63,6.99,Météo-France
6.58,France,3.34,5.97,4.52,3.39,Data.gouv.fr
2.72,France,1.41,5.94,4.36,6.37,RATP_Open_Data_2024
8.6,France,2.65,8.4,2.66,2.65,RATP_Open_Data_2024
7.46,France,8.45,6.93,1.35,2.95,Météo-France
6.07,France,4.63,3.36,6.06,6.01,RATP_Open_Data_2024
6.2,France,8.4,6.76,8.8,2.16,Airparif
4.8,France,5.44,3.24,2.75,1.42,Airparif
6.38,France,6.78,5.61,3.76,7.56,Airparif
1.32,France,2.14,7.92,5.47,8.3,Météo-France
8.13,France,5.78,8.67,3.2,3.79,Data.gouv.fr
6.94,France,3.56,4.87,8.55,1.71,Météo-France
6.41,France,4.22,3.76,6.45,3.26,RATP_Open_Data_2024
2.4,France,8.32,2.54,5.88,5.79,Data.gouv.fr
7.57,France,1.44,6.81,6.67,3.35,Data.gouv.fr
4.4,France,3.78,2.9,5.92,1.6,Météo-France
4.1,France,4.95,2.51,8.71,4.82,RATP_Open_Data_2024
3.97,France,4.31,1.64,5.98,4.52,SNCF_Open_Data
8.61,France,4.68,1.82,2.09,5.48,Data.gouv.fr
4.16,France,6.97,7.6,4.75,5.86,Météo-France
1.64,France,8.28,5.47,2.26,3.11,RATP_Open_Data_2024
2.71,France,3.62,7.12,6.54,1.59,RATP_Open_Data_2024
7.62,France,1.69,5.68,2.21,5.31,Airparif
6.08,France,4.7,4.08,6.21,8.64,Data.gouv.fr
7.96,France,6.77,2.97,1.48,5.11,Météo-France
2.35,France,6.6,3.62,3.84,5.66,SNCF_Open_Data
4.67,France,2.46,8.03,3.09,5.71,Météo-France
6.03,France,5.03,8.25,8.41,8.75,Data.gouv.fr
8.71,France,8.47,8.4,8.4,1.49,Météo-France
2.31,France,6.6,4.36,5.29,1.82,Data.gouv.fr
2.65,France,6.05,1.6,7.53,1.62,RATP_Open_Data_2024
1.82,France,5.79,6.06,6.29,3.46,Airparif
5.34,France,5.49,3.27,2.46,4.4,Airparif
2.99,France,2.86,7.38,6.32,4.35,SNCF_Open_Data
8.12,France,4.03,3.92,6.95,3.68,Airparif
6.72,France,7.73,2.54,1.33,3.12,Airparif
5.04,France,2.11,6.89,6.11,7.49,RATP_Open_Data_2024
5.73,France,7.24,6.84,6.8,5.81,RATP_Open_Data_2024
3.88,France,7.99,3.96,8.65,8.75,Airparif
4.54,France,4.01,7.14,3.92,8.03,SNCF_Open_Data
8.21,France,2.57,6.91,7.9,4.98,SNCF_Open_Data
8.72,France,8.2,6.65,4.07,7.81,RATP_Open_Data_2024
3.16,France,2.79,2.66,5.2,4.34,Data.gouv.fr
6.62,France,6.62,7.18,2.29,2.8,SNCF_Open_Data
2.85,France,5.86,7.95,5.38,1.43,Météo-France
5.45,France,4.46,2.04,4.97,6.88,Data.gouv.fr
6.5,France,7.99,7.1,3.5,7.02,RATP_Open_Data_2024
3.52,France,2.23,8.18,3.17,6.29,Airparif
8.07,France,6.17,5.48,6.51,3.8,Data.gouv.fr
6.33,France,2.26,7.37,1.94,5.97,SNCF_Open_Data
6.74,France,6.94,7.83,8.39,7.37,RATP_Open_Data_2024
1.73,France,5.32,5.24,3.22,3.17,RATP_Open_Data_2024
8.12,France,3.24,4.14,8.01,1.53,Airparif
4.29,France,3.29,5.6,7.54,4.27,SNCF_Open_Data
7.97,France,1.91,5.67,2.16,6.61,SNCF_Open_Data
2.25,France,2.22,5.15,3.99,2.04,Data.gouv.fr
2.46,France,5.76,2.38,8.15,4.83,RATP_Open_Data_2024
4.22,France,8.11,2.79,4.21,2.48,Data.gouv.fr
6.51,France,5.64,5.36,4.47,2.21,Météo-France
8.64,France,4.69,1.63,3.38,3.45,Météo-France
4.39,France,3.78,2.57,6.76,7.83,Airparif
3.56,France,4.19,4.59,5.33,3.38,SNCF_Open_Data
4.25,France,8.75,3.34,1.91,5.76,Météo-France
1.71,France,5.28,3.28,8.0,6.4,Météo-France
7.67,France,2.81,3.32,3.09,2.95,Data.gouv.fr
6.21,France,6.78,5.29,8.1,3.31,RATP_Open_Data_2024
7.57,France,8.74,4.11,2.49,6.61,Météo-France
2.89,France,4.62,7.48,3.54,5.84,Airparif
1.4,France,8.51,7.87,1.48,4.48,RATP_Open_Data_2024
3.34,France,6.74,5.58,2.68,2.77,RATP_Open_Data_2024
2.07,France,1.42,7.9,6.08,6.8,Météo-France
4.52,France,2.97,8.63,8.73,1.31,Data.gouv.fr
4.53,France,6.17,4.3,5.1,3.75,Data.gouv.fr
1.25,France,5.65,6.04,7.49,4.34,SNCF_Open_Data
2.18,France,6.47,8.7,2.78,6.54,RATP_Open_Data_2024
8.74,France,2.51,1.59,8.15,3.73,Météo-France
6.02,France,7.98,3.8,7.64,6.18,Météo-France
7.71,France,4.32,3.61,2.72,2.92,Airparif
5.5,France,6.33,7.17,1.72,4.64,Airparif
4.32,France,1.23,1.49,2.17,6.09,Data.gouv.fr
4.27,France,8.12,6.93,1.69,7.46,SNCF_Open_Data
4.25,France,3.32,3.07,8.47,4.83,SNCF_Open_Data
5.91,France,8.64,3.72,2.43,5.76,Data.gouv.fr
2.0,France,6.15,7.15,5.36,2.33,RATP_Open_Data_2024
7.73,France,7.98,2.62,1.29,4.85,RATP_Open_Data_2024
8.14,France,3.33,1.94,7.59,4.47,Airparif
2.73,France,5.63,3.31,1.46,8.28,Data.gouv.fr
2.07,France,2.87,4.86,7.25,1.84,Airparif
2.66,France,5.67,8.44,6.3,1.97,Airparif
2.95,France,5.37,5.45,6.19,7.9,Airparif
7.72,France,7.95,1.69,4.93,2.62,Météo-France
5.81,France,4.86,1.52,8.52,1.56,Météo-France
6.76,France,1.58,1.25,3.42,1.43,SNCF_Open_Data
7.48,France,7.39,4.96,5.12,7.37,SNCF_Open_Data
2.23,France,7.19,6.67,8.73,3.51,Data.gouv.fr
1.86,France,3.03,7.85,8.78,5.69,RATP_Open_Data_2024
5.5,France,8.7,2.52,2.19,7.82,RATP_Open_Data_2024
5.17,France,6.29,7.73,3.29,1.36,RATP_Open_Data_2024
2.92,France,5.63,1.34,3.86,3.34,Airparif
4.23,France,8.39,6.59,6.18,8.43,RATP_Open_Data_2024
3.98,France,5.38,4.54,6.71,1.5,Airparif
2.17,France,2.97,8.32,2.39,6.53,Airparif
2.73,France,2.49,6.22,4.77,6.08,Météo-France
8.6,France,4.66,5.22,2.38,7.95,SNCF_Open_Data
3.88,France,7.95,1.47,2.1,1.93,RATP_Open_Data_2024
4.73,France,7.63,3.19,3.73,1.86,Météo-France
5.56,France,1.92,5.04,5.53,6.99,SNCF_Open_Data
8.39,France,5.74,5.53,8.39,2.63,RATP_Open_Data_2024
2.89,France,3.13,6.0,7.97,2.65,Météo-France
8.62,France,2.22,6.62,7.16,3.79,Airparif
5.09,France,6.53,5.28,4.58,5.36,SNCF_Open_Data
2.47,France,5.81,5.97,4.32,3.33,Data.gouv.fr
3.37,France,3.54,4.69,7.16,7.78,Météo-France
6.98,France,2.82,5.05,4.14,1.98,Airparif
6.29,France,6.42,7.97,3.03,4.91,Météo-France
5.5,France,5.53,7.22,5.32,3.42,Météo-France
5.79,France,1.61,8.57,4.03,8.12,RATP_Open_Data_2024
7.04,France,1.97,3.11,6.54,1.28,Airparif
1.5,France,3.43,4.96,4.43,7.46,RATP_Open_Data_2024
3.03,France,1.22,6.79,3.63,3.26,SNCF_Open_Data
7.1,France,7.02,5.26,3.77,4.41,Data.gouv.fr
2.07,France,2.62,1.99,8.3,6.11,RATP_Open_Data_2024
7.99,France,1.8,3.05,1.68,3.89,Météo-France
5.9,France,7.72,1.57,3.21,4.04,SNCF_Open_Data
5.92,France,5.92,1.74,4.26,3.74,Météo-France
1.89,France,3.71,5.64,5.82,7.47,RATP_Open_Data_2024
5.18,France,2.25,2.35,7.15,6.32,RATP_Open_Data_2024
3.49,France,1.69,8.71,5.38,4.42,Météo-France
7.52,France,6.77,7.8,1.59,1.77,Météo-France
4.26,France,8.39,1.75,8.08,6.7,RATP_Open_Data_2024
3.87,France,5.94,6.74,7.9,6.47,Airparif
8.42,France,4.55,3.5,3.42,4.17,SNCF_Open_Data
8.79,France,6.87,1.85,6.02,1.61,Météo-France
4.57,France,2.72,7.08,8.79,4.77,RATP_Open_Data_2024
3.74,France,5.94,3.13,2.37,6.66,SNCF_Open_Data
5.09,France,6.43,4.74,2.41,7.21,Airparif
5.3,France,8.76,5.24,1.35,6.2,SNCF_Open_Data
4.81,France,6.24,1.21,8.79,3.02,Airparif
6.46,France,8.63,2.59,2.69,8.75,SNCF_Open_Data
1.76,France,1.51,2.91,5.22,7.43,SNCF_Open_Data
5.01,France,7.65,7.85,1.25,8.29,Airparif
5.2,France,1.44,6.53,8.06,8.05,Météo-France
8.69,France,3.86,8.64,6.78,3.68,RATP_Open_Data_2024
1.38,France,4.25,5.22,6.94,2.06,Data.gouv.fr
3.56,France,7.94,5.33,4.94,4.32,SNCF_Open_Data
7.39,France,2.27,6.99,7.66,4.13,Airparif
7.49,France,3.25,1.63,3.95,6.48,SNCF_Open_Data
5.16,France,4.46,3.87,2.09,4.56,Data.gouv.fr
2.94,France,2.83,6.3,8.17,4.86,Airparif
8.48,France,3.98,7.81,3.08,2.5,Airparif
8.34,France,7.49,1.86,3.79,6.12,RATP_Open_Data_2024
5.04,France,8.51,6.71,4.83,7.92,Météo-France
3.18,France,3.85,1.26,5.34,3.98,Météo-France
2.15,France,4.2,5.93,3.97,6.46,Météo-France
2.99,France,5.21,2.17,3.9,2.62,Data.gouv.fr
1.68,France,4.49,2.72,6.45,6.15,Météo-France
4.9,France,8.33,7.3,8.68,3.9,Data.gouv.fr
4.42,France,6.55,2.34,6.35,4.95,Météo-France
6.72,France,5.03,5.57,8.47,8.34,Météo-France
7.18,France,5.67,2.76,3.5,3.62,Météo-France
3.5,France,2.91,3.69,4.26,7.75,RATP_Open_Data_2024
6.42,France,7.14,6.08,5.64,4.48,RATP_Open_Data_2024
5.2,France,1.82,8.19,2.9,6.94,Météo-France
5.06,France,6.64,4.03,6.67,5.24,RATP_Open_Data_2024
4.43,France,5.53,6.94,2.04,5.94,Airparif
7.03,France,4.78,8.39,3.93,7.45,Data.gouv.fr
6.42,France,7.62,4.96,8.28,6.0,Data.gouv.fr
2.16,France,8.75,1.94,7.46,7.56,RATP_Open_Data_2024
4.72,France,8.0,2.2,6.0,1.64,SNCF_Open_Data
3.01,France,6.83,8.62,8.32,5.94,Airparif
7.2,France,5.4,5.55,1.95,7.34,RATP_Open_Data_2024
3.2,France,7.05,7.76,4.96,1.69,SNCF_Open_Data
1.69,France,2.51,7.7,7.16,7.18,RATP_Open_Data_2024
7.06,France,5.0,4.66,2.42,6.41,Airparif
3.29,France,3.31,7.03,8.26,5.11,Météo-France
3.61,France,5.11,1.29,7.58,2.45,SNCF_Open_Data
