col_id_station,col_latitude,col_longitude,col_cp,col_ville,col_adresse,col_carburant,col_prix,col_date_maj,col_services
S_043,47.52471,1.347461,5.33,Nice,8.23,2.7,1.883,2024-07-09 00:00:00,4.69
S_035,49.784138,3.570555,8.18,Lille,7.6,2.12,1.925,2024-08-26 00:00:00,6.81
S_062,51.089857,4.563627,4.58,Marseille,4.43,4.4,1.814,2024-09-26 00:00:00,6.56
S_058,52.029766,2.51353,1.37,Strasbourg,6.8,1.85,1.953,2024-01-07 00:00:00,3.18
S_057,48.006695,1.939053,4.12,Montpellier,5.92,6.45,1.977,2024-12-18 00:00:00,4.03
S_097,52.183975,-1.025648,6.02,Nice,8.3,3.98,1.81,2024-04-12 00:00:00,3.44
S_011,48.650519,2.505495,3.6,Strasbourg,2.04,5.09,1.798,2024-07-05 00:00:00,3.88
S_042,48.301528,4.252578,5.49,Lille,2.84,2.71,1.967,2024-03-26 00:00:00,8.42
S_054,49.216789,3.52773,5.91,Lyon,4.62,5.28,1.819,2024-08-09 00:00:00,6.52
S_082,51.617422,0.05821,1.66,Lyon,4.25,3.13,1.782,2024-04-09 00:00:00,4.6
S_041,51.383637,-0.606496,5.03,Marseille,3.8,3.52,1.83,2024-02-29 00:00:00,4.09
S_038,45.223594,-0.076552,3.8,Lyon,1.48,5.18,1.886,2024-07-07 00:00:00,7.87
S_096,46.34225,1.640766,7.88,Marseille,6.05,1.84,1.866,2024-06-29 00:00:00,3.52
S_008,49.966878,1.839148,1.3,Lille,4.14,1.47,1.837,2024-10-26 00:00:00,8.19
S_070,45.483487,6.249065,3.38,Lille,2.77,1.77,1.702,2024-11-21 00:00:00,7.34
S_030,47.525119,-0.143178,6.89,Nantes,3.07,2.84,1.904,2024-03-22 00:00:00,3.52
S_025,45.13331,0.854102,4.29,Lille,7.67,6.6,1.966,2024-04-30 00:00:00,5.79
S_062,49.99876,1.078152,4.06,Paris,4.57,8.49,1.932,2024-06-01 00:00:00,3.6
S_063,48.079966,-0.798832,7.88,Lille,6.07,6.09,1.887,2024-12-01 00:00:00,7.81
S_046,46.954894,-1.255532,1.24,Lille,7.52,7.09,1.759,2024-09-25 00:00:00,5.78
S_056,48.701345,-1.19331,4.03,Montpellier,6.51,2.91,1.869,2024-01-30 00:00:00,8.49
S_027,45.482653,3.919708,8.54,Bordeaux,3.88,7.89,1.818,2024-07-31 00:00:00,5.29
S_066,51.071383,4.517259,6.51,Lille,2.95,4.12,1.926,2024-11-30 00:00:00,4.93
S_021,48.059803,5.10529,3.99,Marseille,3.58,5.21,1.84,2024-11-13 00:00:00,2.82
