col_date,col_heure,col_station,col_polluant,col_valeur,col_unite,col_indice_qualite,col_latitude,col_longitude
2024-05-08 00:00:00,1.97,Matabiau 3,O3,3.45,µg/m³,5.56,49.164785,3.908219
2024-08-04 00:00:00,5.8,Saint-Jean 4,SO2,65.67,µg/m³,1.99,49.868419,5.765301
2024-07-06 00:00:00,7.83,Matabiau 8,NO2,10.71,µg/m³,3.88,46.637964,-0.908833
2024-05-24 00:00:00,4.2,Part-Dieu 9,NO2,60.3,µg/m³,4.11,51.907199,1.252405
2024-01-08 00:00:00,5.41,Gare de Lyon 2,PM2.5,16.48,µg/m³,2.46,50.457543,1.767784
2024-08-11 00:00:00,3.77,Gare du Nord 2,PM2.5,80.08,µg/m³,5.72,50.248583,3.866159
2024-08-25 00:00:00,5.44,Gare de Lyon 1,CO,39.45,µg/m³,6.28,48.005052,3.525747
2024-02-18 00:00:00,3.22,Gare de l'Est 3,PM2.5,50.78,µg/m³,3.83,48.888213,2.193746
2024-01-27 00:00:00,4.73,Part-Dieu 1,PM2.5,8.95,µg/m³,6.91,49.106809,-0.618099
2024-10-28 00:00:00,4.3,Gare de l'Est 4,O3,39.9,µg/m³,5.45,48.506107,0.048518
2024-06-21 00:00:00,2.71,Gare du Nord 7,O3,50.6,µg/m³,2.29,47.976782,1.826493
2024-06-19 00:00:00,1.22,Montparnasse 7,NO2,67.83,µg/m³,6.42,47.143231,-1.627879
2024-12-21 00:00:00,1.32,Saint-Charles 1,PM2.5,34.1,µg/m³,6.86,50.93074,4.169007
2024-01-23 00:00:00,5.09,Part-Dieu 1,SO2,57.36,µg/m³,2.89,47.350607,2.893128
2024-06-25 00:00:00,6.88,Saint-Jean 2,O3,18.32,µg/m³,6.1,51.985708,-0.44403
2024-08-08 00:00:00,1.7,Saint-Charles 8,PM2.5,71.75,µg/m³,3.24,45.050434,6.173576
2024-12-26 00:00:00,7.34,Gare de Lyon 4,NO2,26.48,µg/m³,1.94,46.697486,2.226877
2024-10-16 00:00:00,5.32,Part-Dieu 6,SO2,35.11,µg/m³,6.18,45.275802,-0.198175
2024-08-30 00:00:00,4.72,Part-Dieu 9,CO,28.27,µg/m³,8.21,50.343197,-0.603061
2024-06-24 00:00:00,1.52,Montparnasse 3,PM10,7.05,µg/m³,3.27,49.469325,4.92242
2024-10-09 00:00:00,6.36,Matabiau 8,NO2,52.29,µg/m³,3.35,51.64052,-0.6958
2024-04-13 00:00:00,1.88,Part-Dieu 8,O3,36.78,µg/m³,5.13,51.779346,-0.786343
2024-06-21 00:00:00,5.41,Matabiau 1,NO2,59.59,µg/m³,3.57,44.959579,-1.398941
2024-10-17 00:00:00,3.28,Matabiau 8,O3,57.63,µg/m³,6.54,47.677218,1.820101
2024-01-10 00:00:00,4.42,Haussmann Saint-Lazare 4,PM2.5,23.75,µg/m³,6.49,45.614104,4.376935
2024-10-27 00:00:00,3.23,Gare de Lyon 4,SO2,6.85,µg/m³,3.32,46.239031,-0.630272
2024-11-09 00:00:00,7.05,Gare de Lyon 1,PM2.5,17.64,µg/m³,3.48,52.225706,3.379182
2024-05-06 00:00:00,7.3,Gare du Nord 8,PM2.5,58.01,µg/m³,6.38,48.857068,4.12806
2024-02-15 00:00:00,7.94,Haussmann Saint-Lazare 8,PM10,12.63,µg/m³,7.76,51.119024,5.794899
2024-11-22 00:00:00,2.79,Montparnasse 9,O3,70.97,µg/m³,3.13,50.213397,0.084919
2024-02-20 00:00:00,6.63,Matabiau 2,O3,25.94,µg/m³,4.17,44.934308,2.118185
2024-06-15 00:00:00,2.58,Montparnasse 1,SO2,15.21,µg/m³,3.98,49.205279,-0.770272
2024-11-02 00:00:00,8.71,Part-Dieu 9,CO,39.59,µg/m³,4.48,51.156019,0.751536
2024-10-12 00:00:00,2.95,Saint-Charles 6,NO2,64.25,µg/m³,3.96,51.025245,6.317553
