col_date,col_annee,col_mois,col_indice_prix_gazole,col_indice_prix_sp95,col_indice_prix_sp98,col_variation_mensuelle_gazole,col_variation_mensuelle_sp95,col_variation_mensuelle_sp98,col_indice_inflation
2024-02-08 00:00:00,5.27,6.63,1.917,1.978,1.836,1.45,3.17,2.83,49.66575
2024-06-20 00:00:00,4.43,3.2,1.988,1.816,1.828,6.57,7.71,1.42,45.808979
2024-12-22 00:00:00,4.97,5.87,1.82,1.772,1.976,3.76,6.38,7.76,47.447951
2024-05-19 00:00:00,4.46,6.29,1.781,1.929,1.746,3.16,8.51,1.53,48.306426
2024-04-05 00:00:00,1.72,8.37,1.732,1.861,1.695,5.54,4.41,1.39,51.676293
2024-12-15 00:00:00,8.0,2.92,1.799,1.793,1.707,1.84,8.56,1.22,48.532534
2024-07-15 00:00:00,3.27,7.29,1.714,1.81,1.776,3.91,6.78,2.37,51.325263
2024-01-16 00:00:00,7.39,3.03,1.696,1.893,1.82,8.15,4.55,4.82,46.11205
2024-03-06 00:00:00,5.88,1.38,1.832,1.741,1.715,5.28,3.95,7.58,47.348528
2024-05-12 00:00:00,4.14,5.1,1.837,1.835,1.928,3.13,5.92,1.41,47.915075
2024-11-11 00:00:00,5.89,5.38,1.938,1.695,1.908,7.89,3.25,5.32,47.491197
2024-03-11 00:00:00,8.04,8.77,1.696,1.882,1.715,4.04,3.46,4.16,52.489989
2024-11-24 00:00:00,1.21,3.82,1.959,1.974,1.964,6.01,1.55,3.69,48.450256
2024-04-19 00:00:00,1.91,8.08,1.762,1.746,1.712,3.15,8.54,1.37,48.398367
2024-06-19 00:00:00,3.24,5.32,1.819,1.853,1.976,4.19,4.24,1.68,52.480942
2024-12-11 00:00:00,7.94,1.79,1.97,1.698,1.883,2.9,5.26,2.52,50.373561
2024-01-23 00:00:00,8.08,8.61,1.888,1.968,1.791,7.27,4.79,4.83,45.01441
2024-01-11 00:00:00,1.26,5.47,1.929,1.953,1.738,4.02,2.1,4.79,51.16614
2024-06-17 00:00:00,7.85,4.42,1.775,1.91,1.977,7.06,8.65,4.12,51.639747
2024-01-19 00:00:00,1.94,5.22,1.776,1.965,1.696,6.53,4.63,6.46,45.855
2024-11-11 00:00:00,2.46,8.44,1.736,1.777,1.755,7.94,7.0,2.37,46.708923
2024-03-25 00:00:00,4.93,7.53,1.832,1.857,1.914,6.61,2.4,8.25,49.969156
2024-10-20 00:00:00,6.61,7.92,1.898,1.926,1.8,2.73,8.45,6.45,52.836249
2024-09-12 00:00:00,8.51,3.87,1.875,1.899,1.91,6.59,7.03,5.75,51.801968
2024-10-23 00:00:00,6.1,8.06,1.809,1.884,1.839,1.32,8.61,6.32,46.232818
2024-01-29 00:00:00,7.62,5.2,1.975,1.924,1.698,3.62,2.2,5.44,46.12022
2024-07-20 00:00:00,3.92,2.72,1.874,1.718,1.988,7.99,3.46,7.5,47.73574
2024-07-23 00:00:00,4.19,5.09,1.943,1.932,1.8,7.07,7.67,8.8,45.760451
2024-03-03 00:00:00,4.93,4.83,1.818,1.973,1.849,8.23,5.8,6.62,49.037575
2024-03-04 00:00:00,4.42,7.56,1.797,1.738,1.68,7.07,7.87,5.71,52.421451
2024-01-09 00:00:00,1.45,1.43,1.804,1.695,1.725,7.01,2.18,6.63,46.703866
2024-05-10 00:00:00,8.16,1.63,1.969,1.92,1.751,5.94,2.65,4.25,50.089431
2024-02-03 00:00:00,1.96,3.71,1.715,1.834,1.839,4.64,6.31,3.7,44.930692
2024-10-08 00:00:00,7.72,1.53,1.929,1.978,1.91,4.76,7.67,6.97,47.117182
2024-06-17 00:00:00,2.6,1.24,1.878,1.901,1.867,3.18,4.51,5.41,50.738712
2024-09-19 00:00:00,8.43,4.89,1.973,1.715,1.983,6.94,1.73,5.4,49.762071
2024-11-19 00:00:00,4.38,4.07,1.961,1.719,1.88,2.1,4.8,2.64,52.79344
2024-09-08 00:00:00,1.95,8.59,1.758,1.948,1.82,3.46,3.75,6.61,51.927292
2024-08-28 00:00:00,1.55,4.14,1.734,1.741,1.824,7.39,3.61,6.93,49.616811
2024-01-06 00:00:00,6.27,8.15,1.784,1.815,1.737,6.79,5.56,1.79,49.807147
2024-09-24 00:00:00,8.54,5.51,1.86,1.772,1.737,7.65,6.26,8.56,48.999586
2024-07-28 00:00:00,6.14,3.52,1.8,1.815,1.719,2.56,3.4,4.88,48.312684
2024-08-06 00:00:00,8.72,7.96,1.756,1.888,1.928,7.78,1.79,6.64,47.25329
2024-01-21 00:00:00,6.28,5.1,1.865,1.967,1.693,3.23,2.4,6.07,50.951436
2024-04-26 00:00:00,2.55,7.4,1.773,1.924,1.844,4.25,7.64,1.51,46.759602
2024-09-29 00:00:00,4.15,8.67,1.959,1.902,1.849,8.41,3.07,3.45,51.495327
2024-09-09 00:00:00,7.25,3.99,1.969,1.775,1.846,3.97,5.39,1.99,48.899065
2024-02-13 00:00:00,1.83,8.43,1.736,1.943,1.866,2.55,7.69,7.63,49.979672
2024-11-30 00:00:00,5.89,5.85,1.707,1.852,1.973,5.1,4.83,3.33,46.643004
2024-06-05 00:00:00,2.72,1.81,1.847,1.784,1.934,1.32,4.61,7.87,45.258365
2024-04-03 00:00:00,6.71,5.77,1.785,1.748,1.699,7.28,7.72,3.88,51.211336
2024-06-01 00:00:00,1.97,4.64,1.978,1.949,1.761,2.55,6.3,3.78,47.529421
2024-01-12 00:00:00,8.22,8.79,1.817,1.685,1.693,3.01,7.62,1.43,47.802357
2024-11-19 00:00:00,3.34,7.09,1.969,1.857,1.916,3.24,1.7,6.3,50.139278
2024-10-27 00:00:00,7.38,4.41,1.821,1.989,1.867,5.82,8.4,8.54,51.682203
2024-07-24 00:00:00,1.9,8.45,1.746,1.713,1.922,5.02,3.99,7.05,44.896368
2024-03-31 00:00:00,7.21,6.48,1.893,1.838,1.921,6.13,8.0,7.8,52.638998
2024-03-29 00:00:00,6.29,2.72,1.774,1.786,1.928,8.22,6.0,8.1,47.95828
2024-08-12 00:00:00,4.51,3.52,1.969,1.99,1.706,5.61,4.72,3.57,51.294087
2024-02-19 00:00:00,6.57,2.26,1.942,1.685,1.723,8.5,5.09,5.31,50.310986
2024-12-19 00:00:00,8.1,6.83,1.977,1.92,1.733,2.75,6.56,1.52,51.520904
2024-12-26 00:00:00,2.7,5.01,1.839,1.839,1.852,3.71,2.14,2.33,45.444477
2024-01-04 00:00:00,5.08,6.38,1.746,1.981,1.885,5.86,8.55,2.47,48.327645
2024-11-08 00:00:00,3.31,7.67,1.864,1.859,1.911,3.48,3.79,2.12,45.063557
2024-08-31 00:00:00,5.84,7.2,1.724,1.97,1.788,8.32,2.87,7.67,48.957361
2024-06-27 00:00:00,6.81,3.04,1.828,1.763,1.937,6.06,2.87,5.72,50.134729
2024-06-26 00:00:00,2.88,5.51,1.724,1.93,1.819,3.78,6.63,5.15,50.074825
2024-09-28 00:00:00,2.46,3.01,1.808,1.793,1.858,8.09,3.94,4.62,51.159299
2024-07-28 00:00:00,3.47,5.83,1.979,1.838,1.859,1.31,2.36,4.91,45.0976
2024-06-18 00:00:00,3.03,5.31,1.892,1.704,1.725,7.4,7.22,6.72,45.494003
2024-05-06 00:00:00,5.62,6.71,1.813,1.785,1.821,7.97,1.31,1.93,51.994991
2024-10-07 00:00:00,3.27,7.62,1.93,1.983,1.824,6.66,1.8,1.44,48.513371
2024-03-29 00:00:00,8.26,8.06,1.719,1.853,1.908,5.39,1.79,3.15,50.486009
2024-11-13 00:00:00,5.34,5.14,1.693,1.813,1.825,3.07,8.02,7.3,51.010671
2024-07-21 00:00:00,2.14,6.07,1.789,1.889,1.893,4.9,8.66,6.73,48.695498
2024-12-16 00:00:00,7.34,4.13,1.715,1.817,1.845,2.32,6.52,6.61,51.247063
2024-10-05 00:00:00,7.26,7.58,1.721,1.791,1.72,5.46,7.79,1.57,47.134091
2024-06-16 00:00:00,6.63,1.7,1.925,1.722,1.704,3.83,7.53,5.68,48.343193
2024-08-23 00:00:00,1.48,8.59,1.976,1.975,1.878,5.24,5.05,7.68,48.012867
2024-05-21 00:00:00,4.21,1.43,1.829,1.87,1.967,8.71,8.02,3.57,51.455715
2024-05-07 00:00:00,7.65,3.87,1.837,1.921,1.747,1.59,1.35,2.69,47.044318
2024-04-24 00:00:00,3.35,1.25,1.804,1.727,1.818,7.85,6.67,8.34,51.956996
2024-06-07 00:00:00,6.06,2.55,1.891,1.832,1.842,2.61,2.67,2.65,45.490128
2024-05-12 00:00:00,3.62,6.79,1.775,1.852,1.856,1.41,5.42,3.1,52.203422
2024-09-11 00:00:00,1.5,8.32,1.889,1.693,1.693,7.7,4.05,7.86,45.169141
2024-08-13 00:00:00,5.27,2.18,1.852,1.965,1.849,2.53,6.47,8.18,50.797104
2024-07-04 00:00:00,3.5,5.32,1.811,1.714,1.819,4.26,2.63,3.55,46.084477
2024-11-08 00:00:00,6.81,3.21,1.878,1.781,1.768,2.12,5.5,5.51,52.26421
2024-08-28 00:00:00,8.04,2.46,1.983,1.817,1.776,7.55,8.35,4.65,52.101329
2024-05-29 00:00:00,6.34,7.69,1.902,1.956,1.835,2.21,2.5,8.3,51.129721
2024-09-22 00:00:00,2.38,1.35,1.877,1.815,1.866,7.76,4.2,2.97,49.381702
2024-04-17 00:00:00,6.53,8.1,1.687,1.898,1.71,5.6,5.42,6.08,45.509355
2024-11-30 00:00:00,2.21,5.72,1.945,1.938,1.809,6.27,6.29,4.29,46.507115
2024-12-16 00:00:00,7.46,6.85,1.912,1.867,1.753,8.66,7.0,7.08,47.613521
2024-02-20 00:00:00,2.95,1.5,1.898,1.694,1.766,4.71,5.15,7.2,48.551857
2024-12-21 00:00:00,8.35,4.6,1.811,1.893,1.962,1.62,6.65,4.22,49.409278
2024-08-17 00:00:00,7.73,5.54,1.825,1.835,1.738,6.92,7.04,4.11,49.578065
2024-06-03 00:00:00,7.07,5.15,1.868,1.858,1.978,3.11,7.75,2.24,49.832221
2024-05-15 00:00:00,6.4,2.35,1.734,1.725,1.842,8.31,3.16,7.2,49.710144
2024-12-18 00:00:00,1.46,7.98,1.957,1.728,1.834,4.17,2.24,6.75,49.823073
2024-09-13 00:00:00,4.65,1.66,1.76,1.807,1.845,4.97,3.14,5.65,46.416428
2024-08-27 00:00:00,2.14,1.66,1.847,1.72,1.924,6.76,2.53,5.79,47.239872
2024-03-09 00:00:00,1.5,6.62,1.797,1.78,1.733,4.85,2.96,6.77,45.252744
2024-10-17 00:00:00,2.78,5.57,1.804,1.934,1.735,8.43,3.66,3.52,45.570832
