col_region,col_carburant,col_prix_moyen,col_prix_min,col_prix_max,col_nombre_stations,col_date_maj,col_source
Provence-Alpes-Côte d'Azur,4.84,1.894,1.911,1.896,Saint-Jean 8,2024-06-22 00:00:00,Airparif
Normandie,7.91,1.783,1.715,1.861,Haussmann Saint-Lazare 3,2024-04-10 00:00:00,SNCF_Open_Data
Normandie,3.72,1.894,1.715,1.684,Haussmann Saint-Lazare 5,2024-03-10 00:00:00,Airparif
Île-de-France,5.41,1.886,1.791,1.828,Part-Dieu 6,2024-10-10 00:00:00,Météo-France
Auvergne-Rhône-Alpes,7.43,1.724,1.846,1.934,Haussmann Saint-Lazare 1,2024-07-15 00:00:00,Météo-France
Hauts-de-France,6.02,1.882,1.718,1.959,Gare de l'Est 1,2024-01-01 00:00:00,Data.gouv.fr
Grand Est,2.62,1.839,1.707,1.864,Gare de l'Est 4,2024-09-09 00:00:00,Météo-France
Bretagne,5.87,1.863,1.805,1.823,Saint-Jean 4,2024-10-31 00:00:00,RATP_Open_Data_2024
Pays de la Loire,3.54,1.794,1.875,1.876,Saint-Charles 4,2024-12-08 00:00:00,Airparif
Hauts-de-France,2.66,1.707,1.854,1.982,Gare de Lyon 7,2024-09-11 00:00:00,Airparif
Normandie,3.1,1.92,1.964,1.873,Saint-Charles 4,2024-02-03 00:00:00,Data.gouv.fr
Occitanie,5.46,1.944,1.779,1.692,Matabiau 3,2024-09-20 00:00:00,Data.gouv.fr
Grand Est,7.97,1.976,1.835,1.706,Matabiau 4,2024-08-16 00:00:00,Data.gouv.fr
Hauts-de-France,2.98,1.738,1.91,1.887,Gare de Lyon 6,2024-03-15 00:00:00,Airparif
Occitanie,4.28,1.734,1.955,1.791,Saint-Charles 7,2024-08-08 00:00:00,Météo-France
Pays de la Loire,3.86,1.767,1.922,1.737,Gare de Lyon 4,2024-08-27 00:00:00,SNCF_Open_Data
Pays de la Loire,4.46,1.927,1.706,1.778,Part-Dieu 2,2024-04-08 00:00:00,RATP_Open_Data_2024
Occitanie,1.49,1.861,1.804,1.964,Montparnasse 9,2024-01-12 00:00:00,SNCF_Open_Data
Grand Est,5.11,1.917,1.732,1.721,Gare du Nord 8,2024-04-08 00:00:00,Data.gouv.fr
Grand Est,7.72,1.897,1.901,1.701,Gare du Nord 9,2024-09-15 00:00:00,SNCF_Open_Data
Nouvelle-Aquitaine,2.96,1.764,1.945,1.981,Gare de l'Est 8,2024-12-19 00:00:00,RATP_Open_Data_2024
Île-de-France,7.13,1.794,1.691,1.76,Matabiau 2,2024-11-28 00:00:00,RATP_Open_Data_2024
