col_date,col_type_carburant,col_prix_moyen,col_prix_min,col_prix_max,col_evolution_annuelle_pourcent,col_source
2024-06-13 00:00:00,7.6,1.972,1.951,1.847,6.93,Météo-France
2024-07-05 00:00:00,7.33,1.973,1.772,1.792,2.18,Airparif
2024-10-18 00:00:00,6.72,1.852,1.804,1.731,2.92,RATP_Open_Data_2024
2024-07-06 00:00:00,8.76,1.887,1.939,1.838,6.65,RATP_Open_Data_2024
2024-01-29 00:00:00,3.34,1.689,1.818,1.901,8.55,RATP_Open_Data_2024
2024-11-21 00:00:00,4.91,1.95,1.943,1.831,5.83,Airparif
2024-06-29 00:00:00,5.57,1.857,1.788,1.841,3.96,Airparif
2024-06-10 00:00:00,1.45,1.947,1.851,1.711,1.63,Data.gouv.fr
2024-03-31 00:00:00,7.5,1.77,1.839,1.904,8.79,RATP_Open_Data_2024
2024-01-05 00:00:00,6.12,1.785,1.769,1.774,1.52,Airparif
2024-08-17 00:00:00,3.73,1.87,1.898,1.68,4.62,RATP_Open_Data_2024
2024-07-05 00:00:00,6.66,1.859,1.836,1.968,3.96,Airparif
2024-07-02 00:00:00,8.05,1.822,1.849,1.899,6.57,RATP_Open_Data_2024
2024-11-17 00:00:00,5.57,1.923,1.809,1.772,5.05,Data.gouv.fr
2024-04-03 00:00:00,8.33,1.958,1.704,1.917,8.23,Météo-France
2024-06-28 00:00:00,6.83,1.695,1.801,1.871,8.34,Data.gouv.fr
2024-07-29 00:00:00,4.78,1.914,1.895,1.818,4.72,Météo-France
2024-03-13 00:00:00,5.26,1.81,1.767,1.704,7.2,Météo-France
2024-11-12 00:00:00,4.72,1.908,1.785,1.918,8.49,RATP_Open_Data_2024
2024-05-07 00:00:00,3.96,1.806,1.73,1.989,3.31,SNCF_Open_Data
2024-06-07 00:00:00,1.33,1.775,1.953,1.976,4.26,RATP_Open_Data_2024
2024-09-11 00:00:00,6.45,1.987,1.983,1.769,5.99,RATP_Open_Data_2024
2024-10-03 00:00:00,1.27,1.902,1.955,1.882,7.12,RATP_Open_Data_2024
2024-11-16 00:00:00,2.24,1.902,1.813,1.852,4.25,Data.gouv.fr
2024-02-27 00:00:00,6.51,1.845,1.712,1.972,5.68,Airparif
2024-07-28 00:00:00,2.83,1.821,1.695,1.911,3.76,SNCF_Open_Data
2024-12-01 00:00:00,3.6,1.851,1.938,1.837,5.93,RATP_Open_Data_2024
2024-08-22 00:00:00,6.14,1.976,1.839,1.876,2.06,Airparif
2024-08-10 00:00:00,4.75,1.78,1.919,1.723,6.42,Data.gouv.fr
2024-11-30 00:00:00,5.94,1.948,1.688,1.776,6.47,Airparif
2024-04-30 00:00:00,8.06,1.839,1.711,1.786,6.94,SNCF_Open_Data
2024-12-07 00:00:00,1.88,1.78,1.689,1.912,5.02,Airparif
2024-10-29 00:00:00,6.91,1.759,1.752,1.924,7.6,SNCF_Open_Data
2024-10-23 00:00:00,1.37,1.935,1.722,1.73,1.82,Airparif
2024-09-01 00:00:00,8.4,1.903,1.961,1.725,2.44,SNCF_Open_Data
2024-08-16 00:00:00,8.04,1.917,1.684,1.968,3.14,SNCF_Open_Data
2024-11-25 00:00:00,7.14,1.876,1.928,1.741,2.43,Data.gouv.fr
2024-10-09 00:00:00,8.15,1.966,1.688,1.692,6.24,Airparif
2024-05-31 00:00:00,6.72,1.979,1.876,1.753,1.41,Data.gouv.fr
2024-02-04 00:00:00,7.86,1.952,1.829,1.895,1.79,Météo-France
2024-11-25 00:00:00,3.21,1.734,1.751,1.927,7.29,Airparif
2024-11-09 00:00:00,3.0,1.781,1.863,1.875,3.31,Airparif
2024-09-07 00:00:00,7.05,1.958,1.941,1.872,3.79,Data.gouv.fr
2024-03-16 00:00:00,1.66,1.704,1.79,1.741,7.13,Airparif
2024-12-02 00:00:00,6.25,1.964,1.74,1.846,6.7,RATP_Open_Data_2024
2024-09-14 00:00:00,4.22,1.961,1.8,1.903,6.74,Data.gouv.fr
2024-11-27 00:00:00,1.8,1.979,1.818,1.859,5.41,SNCF_Open_Data
2024-12-17 00:00:00,1.47,1.709,1.963,1.697,4.12,Airparif
2024-07-26 00:00:00,7.22,1.774,1.927,1.957,7.21,Data.gouv.fr
2024-09-08 00:00:00,3.88,1.909,1.878,1.863,2.92,Météo-France
2024-06-03 00:00:00,4.35,1.959,1.696,1.894,7.1,RATP_Open_Data_2024
2024-10-11 00:00:00,6.22,1.853,1.917,1.911,3.83,Airparif
2024-03-09 00:00:00,6.22,1.684,1.861,1.844,5.45,SNCF_Open_Data
2024-01-20 00:00:00,4.26,1.977,1.855,1.949,2.02,RATP_Open_Data_2024
2024-07-17 00:00:00,3.75,1.849,1.877,1.861,8.34,SNCF_Open_Data
2024-06-21 00:00:00,5.06,1.984,1.85,1.878,8.4,Data.gouv.fr
2024-06-27 00:00:00,8.71,1.848,1.939,1.876,6.38,RATP_Open_Data_2024
2024-01-10 00:00:00,5.34,1.786,1.943,1.728,6.97,SNCF_Open_Data
2024-12-05 00:00:00,4.14,1.68,1.936,1.946,7.31,SNCF_Open_Data
2024-02-14 00:00:00,6.77,1.833,1.946,1.821,5.79,Météo-France
2024-07-09 00:00:00,3.73,1.904,1.734,1.789,4.22,Météo-France
2024-06-01 00:00:00,8.2,1.743,1.943,1.726,4.93,Météo-France
2024-05-10 00:00:00,3.92,1.689,1.901,1.896,7.71,Météo-France
2024-03-05 00:00:00,5.1,1.885,1.709,1.799,5.79,SNCF_Open_Data
2024-06-10 00:00:00,7.85,1.89,1.864,1.778,1.75,RATP_Open_Data_2024
2024-09-02 00:00:00,8.8,1.729,1.898,1.907,1.6,RATP_Open_Data_2024
2024-03-11 00:00:00,4.83,1.859,1.926,1.793,3.09,RATP_Open_Data_2024
2024-09-02 00:00:00,1.65,1.795,1.916,1.783,4.07,Airparif
2024-06-05 00:00:00,5.72,1.98,1.683,1.776,6.27,Météo-France
2024-08-21 00:00:00,3.66,1.81,1.843,1.853,1.96,Météo-France
2024-04-19 00:00:00,4.17,1.959,1.94,1.763,7.29,RATP_Open_Data_2024
2024-11-30 00:00:00,4.98,1.854,1.722,1.75,7.98,RATP_Open_Data_2024
2024-12-22 00:00:00,4.37,1.851,1.855,1.75,3.18,Airparif
2024-09-12 00:00:00,7.85,1.817,1.712,1.754,3.05,RATP_Open_Data_2024
2024-01-22 00:00:00,2.07,1.729,1.74,1.956,2.94,Météo-France
2024-08-12 00:00:00,1.64,1.973,1.736,1.8,1.66,RATP_Open_Data_2024
2024-10-07 00:00:00,6.27,1.933,1.874,1.712,1.8,SNCF_Open_Data
2024-10-31 00:00:00,6.25,1.838,1.899,1.833,1.7,Météo-France
2024-07-15 00:00:00,8.12,1.721,1.859,1.962,4.07,Airparif
2024-11-13 00:00:00,4.16,1.844,1.84,1.739,4.82,Airparif
2024-04-11 00:00:00,6.68,1.983,1.685,1.912,6.9,Airparif
2024-05-04 00:00:00,1.87,1.711,1.758,1.878,4.17,SNCF_Open_Data
2024-02-26 00:00:00,4.86,1.885,1.97,1.804,2.21,RATP_Open_Data_2024
2024-09-14 00:00:00,2.48,1.889,1.966,1.9,6.78,Airparif
2024-11-24 00:00:00,1.84,1.853,1.885,1.766,6.44,RATP_Open_Data_2024
2024-01-03 00:00:00,6.83,1.885,1.82,1.708,6.47,SNCF_Open_Data
2024-08-28 00:00:00,2.91,1.874,1.907,1.698,6.87,Météo-France
2024-01-15 00:00:00,7.98,1.886,1.899,1.88,2.12,RATP_Open_Data_2024
2024-10-10 00:00:00,7.57,1.868,1.736,1.761,6.1,SNCF_Open_Data
2024-09-17 00:00:00,7.34,1.817,1.799,1.891,7.46,Data.gouv.fr
2024-11-01 00:00:00,1.21,1.847,1.756,1.99,5.33,SNCF_Open_Data
2024-07-02 00:00:00,5.71,1.892,1.953,1.839,8.15,RATP_Open_Data_2024
2024-11-05 00:00:00,2.46,1.847,1.686,1.947,2.67,Météo-France
2024-06-07 00:00:00,1.86,1.945,1.897,1.933,2.24,Météo-France
2024-02-21 00:00:00,7.09,1.729,1.713,1.766,2.55,Data.gouv.fr
2024-08-03 00:00:00,7.11,1.824,1.735,1.977,2.39,RATP_Open_Data_2024
2024-01-14 00:00:00,5.67,1.982,1.85,1.707,2.62,RATP_Open_Data_2024
2024-12-01 00:00:00,1.22,1.931,1.77,1.796,4.84,Météo-France
2024-07-20 00:00:00,6.76,1.79,1.865,1.749,2.13,RATP_Open_Data_2024
2024-09-27 00:00:00,5.7,1.929,1.989,1.708,2.42,RATP_Open_Data_2024
2024-06-24 00:00:00,8.59,1.682,1.705,1.77,4.89,Data.gouv.fr
2024-09-05 00:00:00,8.64,1.812,1.794,1.797,6.73,Airparif
