col_date,col_polluant,col_valeur,col_unite,col_ville,col_source,col_date_collecte
2024-04-30 00:00:00,PM2.5,70.5,µg/m³,Lille,RATP_Open_Data_2024,2024-10-09 00:00:00
2024-10-29 00:00:00,SO2,74.91,µg/m³,Lille,SNCF_Open_Data,2024-05-25 00:00:00
2024-05-20 00:00:00,PM10,34.8,µg/m³,Lille,Airparif,2024-04-11 00:00:00
2024-11-18 00:00:00,PM10,54.93,µg/m³,Bordeaux,Airparif,2024-08-07 00:00:00
2024-05-07 00:00:00,O3,18.96,µg/m³,Lyon,Data.gouv.fr,2024-12-26 00:00:00
2024-12-18 00:00:00,SO2,31.09,µg/m³,Strasbourg,SNCF_Open_Data,2024-02-14 00:00:00
2024-12-02 00:00:00,CO,76.97,µg/m³,Lille,Météo-France,2024-10-06 00:00:00
2024-10-26 00:00:00,PM10,4.03,µg/m³,Marseille,RATP_Open_Data_2024,2024-07-18 00:00:00
2024-03-13 00:00:00,NO2,42.89,µg/m³,Montpellier,Météo-France,2024-11-12 00:00:00
2024-09-11 00:00:00,O3,36.16,µg/m³,Nantes,Data.gouv.fr,2024-05-21 00:00:00
2024-04-24 00:00:00,NO2,28.26,µg/m³,Marseille,Météo-France,2024-12-14 00:00:00
2024-09-11 00:00:00,CO,27.81,µg/m³,Bordeaux,Data.gouv.fr,2024-10-31 00:00:00
2024-06-29 00:00:00,NO2,49.7,µg/m³,Nantes,SNCF_Open_Data,2024-10-13 00:00:00
2024-06-10 00:00:00,PM10,70.7,µg/m³,Paris,Data.gouv.fr,2024-05-01 00:00:00
2024-04-29 00:00:00,CO,43.46,µg/m³,Lille,Airparif,2024-03-08 00:00:00
2024-07-25 00:00:00,SO2,79.87,µg/m³,Toulouse,Airparif,2024-09-20 00:00:00
2024-06-02 00:00:00,O3,26.99,µg/m³,Toulouse,Météo-France,2024-02-15 00:00:00
2024-03-01 00:00:00,PM10,11.76,µg/m³,Bordeaux,Data.gouv.fr,2024-02-26 00:00:00
2024-03-08 00:00:00,O3,12.81,µg/m³,Bordeaux,Météo-France,2024-07-10 00:00:00
2024-08-07 00:00:00,NO2,5.49,µg/m³,Nantes,Météo-France,2024-07-19 00:00:00
2024-01-26 00:00:00,O3,6.59,µg/m³,Lille,Météo-France,2024-08-24 00:00:00
2024-02-07 00:00:00,CO,52.81,µg/m³,Paris,Data.gouv.fr,2024-04-18 00:00:00
2024-03-30 00:00:00,PM2.5,79.59,µg/m³,Strasbourg,Météo-France,2024-10-23 00:00:00
2024-11-18 00:00:00,CO,22.85,µg/m³,Strasbourg,Météo-France,2024-12-19 00:00:00
2024-09-12 00:00:00,CO,25.07,µg/m³,Nantes,Airparif,2024-09-18 00:00:00
2024-11-15 00:00:00,O3,10.62,µg/m³,Bordeaux,Data.gouv.fr,2024-01-29 00:00:00
2024-01-28 00:00:00,PM10,27.92,µg/m³,Marseille,Airparif,2024-08-06 00:00:00
2024-08-26 00:00:00,NO2,71.2,µg/m³,Paris,Météo-France,2024-11-17 00:00:00
2024-03-31 00:00:00,PM2.5,14.24,µg/m³,Paris,Data.gouv.fr,2024-07-23 00:00:00
2024-04-01 00:00:00,PM10,76.89,µg/m³,Strasbourg,RATP_Open_Data_2024,2024-04-23 00:00:00
2024-08-18 00:00:00,CO,37.55,µg/m³,Lille,RATP_Open_Data_2024,2024-08-07 00:00:00
2024-11-20 00:00:00,PM2.5,56.0,µg/m³,Bordeaux,Data.gouv.fr,2024-01-30 00:00:00
2024-10-05 00:00:00,NO2,73.97,µg/m³,Lille,Airparif,2024-04-26 00:00:00
2024-05-23 00:00:00,CO,80.23,µg/m³,Nice,Airparif,2024-09-17 00:00:00
2024-04-26 00:00:00,PM2.5,84.78,µg/m³,Toulouse,Airparif,2024-06-14 00:00:00
2024-10-15 00:00:00,PM2.5,12.01,µg/m³,Nantes,SNCF_Open_Data,2024-05-02 00:00:00
2024-09-05 00:00:00,SO2,44.89,µg/m³,Lyon,RATP_Open_Data_2024,2024-08-19 00:00:00
2024-08-08 00:00:00,O3,42.86,µg/m³,Montpellier,Météo-France,2024-12-09 00:00:00
2024-08-17 00:00:00,NO2,65.35,µg/m³,Lille,SNCF_Open_Data,2024-11-11 00:00:00
2024-05-20 00:00:00,NO2,19.06,µg/m³,Nantes,SNCF_Open_Data,2024-11-02 00:00:00
2024-03-13 00:00:00,PM2.5,18.24,µg/m³,Toulouse,RATP_Open_Data_2024,2024-02-15 00:00:00
2024-07-03 00:00:00,PM2.5,10.21,µg/m³,Marseille,SNCF_Open_Data,2024-03-20 00:00:00
2024-04-25 00:00:00,PM10,4.12,µg/m³,Montpellier,Météo-France,2024-08-25 00:00:00
2024-03-31 00:00:00,PM10,15.66,µg/m³,Bordeaux,RATP_Open_Data_2024,2024-03-27 00:00:00
2024-08-26 00:00:00,NO2,60.03,µg/m³,Toulouse,Data.gouv.fr,2024-11-12 00:00:00
2024-04-26 00:00:00,PM2.5,37.26,µg/m³,Lyon,Météo-France,2024-10-09 00:00:00
2024-09-15 00:00:00,CO,40.37,µg/m³,Lille,SNCF_Open_Data,2024-06-25 00:00:00
2024-01-25 00:00:00,PM2.5,13.75,µg/m³,Bordeaux,Data.gouv.fr,2024-03-27 00:00:00
2024-01-31 00:00:00,NO2,45.2,µg/m³,Nice,Airparif,2024-12-03 00:00:00
2024-03-02 00:00:00,PM2.5,82.69,µg/m³,Strasbourg,SNCF_Open_Data,2024-04-05 00:00:00
2024-09-19 00:00:00,CO,62.59,µg/m³,Lille,Data.gouv.fr,2024-07-31 00:00:00
2024-07-10 00:00:00,O3,48.3,µg/m³,Montpellier,Data.gouv.fr,2024-06-24 00:00:00
