col_date,col_polluant,col_concentration_moyenne,col_evolution_annuelle,col_tendance,col_source
2024-04-16 00:00:00,O3,49.67,2.55,5.4,RATP_Open_Data_2024
2024-03-04 00:00:00,NO2,29.15,2.25,7.95,Airparif
2024-10-15 00:00:00,SO2,5.28,4.06,2.39,SNCF_Open_Data
2024-12-05 00:00:00,O3,73.81,5.67,8.42,Data.gouv.fr
2024-11-06 00:00:00,PM2.5,9.9,8.63,8.5,Airparif
2024-08-14 00:00:00,NO2,20.27,4.68,6.83,SNCF_Open_Data
2024-05-25 00:00:00,CO,45.23,2.23,3.21,Météo-France
2024-05-11 00:00:00,SO2,18.03,4.32,5.92,RATP_Open_Data_2024
2024-10-14 00:00:00,SO2,34.73,2.12,8.2,RATP_Open_Data_2024
2024-02-15 00:00:00,NO2,39.0,7.52,3.11,Data.gouv.fr
2024-10-12 00:00:00,CO,33.73,5.54,1.43,Airparif
2024-03-22 00:00:00,SO2,34.8,2.58,1.63,Météo-France
2024-02-11 00:00:00,NO2,60.06,3.87,4.56,Airparif
2024-06-05 00:00:00,NO2,40.49,5.46,8.77,Airparif
2024-09-05 00:00:00,PM10,76.13,4.65,3.49,Data.gouv.fr
2024-04-21 00:00:00,NO2,23.6,1.39,2.65,Météo-France
2024-10-13 00:00:00,PM2.5,52.71,6.31,5.59,SNCF_Open_Data
2024-09-11 00:00:00,PM10,47.67,5.69,1.61,SNCF_Open_Data
2024-05-24 00:00:00,PM2.5,31.85,6.62,6.84,Data.gouv.fr
2024-09-15 00:00:00,NO2,49.16,1.38,7.52,RATP_Open_Data_2024
2024-12-20 00:00:00,CO,42.28,7.39,4.11,Airparif
2024-04-12 00:00:00,PM2.5,60.76,7.2,2.81,SNCF_Open_Data
2024-09-15 00:00:00,SO2,40.84,5.19,2.18,RATP_Open_Data_2024
2024-04-20 00:00:00,CO,35.09,1.48,2.91,Airparif
2024-09-23 00:00:00,SO2,24.92,4.88,3.26,Data.gouv.fr
2024-01-23 00:00:00,NO2,43.15,2.15,2.24,SNCF_Open_Data
2024-04-12 00:00:00,PM10,70.86,2.77,5.95,Météo-France
2024-08-04 00:00:00,PM10,62.65,2.28,8.56,Data.gouv.fr
2024-01-04 00:00:00,PM10,47.65,8.38,7.2,RATP_Open_Data_2024
2024-12-25 00:00:00,PM2.5,24.65,6.25,6.09,SNCF_Open_Data
2024-09-27 00:00:00,CO,4.19,2.65,4.07,Météo-France
2024-04-08 00:00:00,PM2.5,54.63,2.53,5.61,Airparif
2024-04-08 00:00:00,PM10,39.51,7.62,6.5,SNCF_Open_Data
2024-09-28 00:00:00,SO2,6.21,5.75,6.42,RATP_Open_Data_2024
2024-02-17 00:00:00,PM2.5,14.87,6.82,3.26,SNCF_Open_Data
2024-09-04 00:00:00,PM10,80.54,2.96,5.61,Météo-France
2024-06-23 00:00:00,CO,43.8,3.4,7.4,SNCF_Open_Data
2024-05-03 00:00:00,SO2,52.22,4.31,8.21,RATP_Open_Data_2024
2024-06-21 00:00:00,NO2,62.76,2.68,6.16,RATP_Open_Data_2024
2024-10-21 00:00:00,O3,41.85,4.39,6.34,Data.gouv.fr
2024-02-24 00:00:00,PM10,35.84,1.87,1.57,Data.gouv.fr
2024-02-12 00:00:00,CO,6.35,5.39,6.5,Airparif
2024-07-27 00:00:00,PM2.5,23.34,1.61,2.62,Data.gouv.fr
2024-06-16 00:00:00,CO,41.51,7.7,7.27,Airparif
2024-08-02 00:00:00,NO2,66.17,2.57,3.3,RATP_Open_Data_2024
2024-06-28 00:00:00,PM10,63.54,7.44,5.4,SNCF_Open_Data
2024-08-22 00:00:00,SO2,62.78,7.21,2.73,SNCF_Open_Data
2024-07-25 00:00:00,CO,42.38,7.38,7.25,SNCF_Open_Data
2024-10-06 00:00:00,PM10,76.91,4.89,8.28,RATP_Open_Data_2024
2024-06-09 00:00:00,PM10,25.69,5.81,5.27,Airparif
2024-11-26 00:00:00,NO2,23.3,7.28,3.02,RATP_Open_Data_2024
2024-12-01 00:00:00,PM2.5,67.79,4.6,3.6,SNCF_Open_Data
2024-08-29 00:00:00,CO,7.68,3.6,5.09,Airparif
2024-03-26 00:00:00,NO2,45.29,4.52,1.79,RATP_Open_Data_2024
2024-11-29 00:00:00,PM2.5,69.16,3.4,4.02,SNCF_Open_Data
2024-07-15 00:00:00,PM10,7.47,7.47,2.83,Météo-France
2024-08-20 00:00:00,SO2,73.36,6.98,6.52,SNCF_Open_Data
2024-08-20 00:00:00,NO2,32.45,3.16,4.54,SNCF_Open_Data
2024-06-08 00:00:00,CO,17.86,1.46,8.28,RATP_Open_Data_2024
2024-05-19 00:00:00,O3,20.7,4.76,6.99,Data.gouv.fr
2024-03-10 00:00:00,PM2.5,50.98,8.12,1.35,Airparif
2024-01-21 00:00:00,PM2.5,80.27,3.28,4.22,Météo-France
2024-10-31 00:00:00,PM10,66.35,3.29,1.72,Météo-France
2024-02-28 00:00:00,PM2.5,15.95,8.11,6.72,RATP_Open_Data_2024
2024-01-30 00:00:00,CO,59.63,5.55,3.69,Airparif
2024-04-27 00:00:00,NO2,16.8,2.17,4.61,Data.gouv.fr
2024-04-27 00:00:00,CO,43.84,6.99,4.36,Météo-France
2024-06-23 00:00:00,CO,67.08,4.51,7.66,RATP_Open_Data_2024
2024-07-10 00:00:00,SO2,15.09,6.86,4.73,Météo-France
2024-05-07 00:00:00,PM2.5,4.78,2.68,3.86,Météo-France
2024-02-05 00:00:00,O3,15.91,5.87,7.94,Airparif
2024-06-02 00:00:00,CO,48.97,6.82,2.38,Data.gouv.fr
2024-09-10 00:00:00,PM10,15.0,1.2,1.99,Data.gouv.fr
2024-09-22 00:00:00,CO,24.94,4.25,6.66,SNCF_Open_Data
2024-01-13 00:00:00,PM10,12.25,2.3,4.05,SNCF_Open_Data
2024-08-23 00:00:00,SO2,50.37,4.4,1.47,Météo-France
2024-05-11 00:00:00,PM2.5,51.22,5.9,7.8,Météo-France
2024-01-16 00:00:00,SO2,28.6,8.65,2.17,Météo-France
2024-01-27 00:00:00,O3,54.43,4.79,3.2,Airparif
2024-02-24 00:00:00,O3,42.85,2.82,6.15,Airparif
2024-04-10 00:00:00,PM10,40.27,6.28,7.26,Airparif
2024-05-07 00:00:00,O3,25.66,2.74,2.81,SNCF_Open_Data
2024-05-04 00:00:00,SO2,36.35,8.06,1.25,Airparif
2024-12-17 00:00:00,O3,62.43,7.05,3.92,Airparif
2024-11-24 00:00:00,SO2,76.67,2.82,1.27,SNCF_Open_Data
2024-04-08 00:00:00,PM10,17.31,1.35,4.94,Airparif
2024-07-13 00:00:00,SO2,26.56,6.73,3.71,Airparif
2024-07-17 00:00:00,NO2,7.21,8.46,8.46,SNCF_Open_Data
2024-03-31 00:00:00,CO,59.44,3.45,6.9,Airparif
2024-01-19 00:00:00,O3,60.46,5.28,8.27,Data.gouv.fr
2024-02-26 00:00:00,PM10,70.94,2.91,7.25,Météo-France
2024-03-14 00:00:00,PM10,67.85,5.29,4.67,Airparif
2024-09-17 00:00:00,CO,51.64,2.87,4.57,Airparif
2024-03-16 00:00:00,SO2,77.21,8.68,3.67,RATP_Open_Data_2024
2024-12-03 00:00:00,PM10,29.74,1.49,3.7,SNCF_Open_Data
2024-05-29 00:00:00,PM10,47.16,2.36,6.45,Météo-France
2024-04-06 00:00:00,CO,25.89,5.45,3.63,Météo-France
2024-10-05 00:00:00,PM10,16.24,1.24,6.85,RATP_Open_Data_2024
2024-02-26 00:00:00,NO2,6.32,8.4,5.9,Data.gouv.fr
2024-11-06 00:00:00,SO2,47.3,2.84,4.65,Data.gouv.fr
2024-04-12 00:00:00,PM2.5,10.24,2.1,5.51,SNCF_Open_Data
2024-05-11 00:00:00,PM10,13.57,5.85,3.79,SNCF_Open_Data
2024-07-11 00:00:00,PM10,69.15,5.96,4.43,SNCF_Open_Data
2024-12-02 00:00:00,PM10,73.95,6.3,6.3,Data.gouv.fr
2024-03-22 00:00:00,SO2,49.44,3.37,7.97,Airparif
2024-05-27 00:00:00,CO,70.93,7.74,8.22,RATP_Open_Data_2024
2024-02-25 00:00:00,NO2,60.68,8.38,8.21,Data.gouv.fr
2024-07-03 00:00:00,O3,74.6,6.44,2.06,Météo-France
2024-07-31 00:00:00,NO2,79.48,5.91,1.34,Météo-France
2024-02-10 00:00:00,PM10,3.78,3.55,3.35,Airparif
2024-08-31 00:00:00,NO2,4.26,6.01,1.25,RATP_Open_Data_2024
2024-02-19 00:00:00,CO,33.36,8.42,2.31,RATP_Open_Data_2024
2024-10-30 00:00:00,PM10,44.38,6.14,4.59,Data.gouv.fr
2024-11-23 00:00:00,O3,54.51,4.91,4.35,Météo-France
2024-04-07 00:00:00,O3,74.88,8.61,5.12,Airparif
2024-01-30 00:00:00,O3,5.46,7.32,3.07,Airparif
2024-09-27 00:00:00,NO2,29.8,7.08,2.4,Météo-France
2024-04-29 00:00:00,PM2.5,76.2,7.63,3.57,Météo-France
2024-09-09 00:00:00,CO,33.12,6.88,6.29,Météo-France
2024-09-13 00:00:00,SO2,71.02,5.5,3.12,RATP_Open_Data_2024
2024-11-21 00:00:00,PM10,12.19,6.88,5.8,Météo-France
2024-04-07 00:00:00,PM2.5,19.31,3.48,5.73,Météo-France
2024-11-04 00:00:00,SO2,68.48,1.4,1.9,Airparif
2024-11-14 00:00:00,PM2.5,17.18,7.61,1.49,SNCF_Open_Data
2024-03-10 00:00:00,SO2,23.99,4.68,3.08,Data.gouv.fr
2024-03-12 00:00:00,PM2.5,45.96,5.76,1.51,Météo-France
2024-11-15 00:00:00,PM10,48.86,2.12,2.79,RATP_Open_Data_2024
2024-11-18 00:00:00,NO2,83.61,8.79,3.97,Data.gouv.fr
2024-01-23 00:00:00,PM10,19.56,5.88,8.3,Airparif
2024-07-21 00:00:00,O3,84.88,7.16,8.68,Data.gouv.fr
2024-06-25 00:00:00,CO,49.25,2.15,6.5,Météo-France
2024-05-24 00:00:00,NO2,36.56,6.58,4.13,Data.gouv.fr
2024-04-19 00:00:00,SO2,29.08,4.79,7.83,RATP_Open_Data_2024
2024-09-15 00:00:00,SO2,60.86,6.84,5.35,Météo-France
2024-06-23 00:00:00,NO2,40.26,5.23,4.77,Data.gouv.fr
2024-05-03 00:00:00,SO2,17.23,2.66,3.38,RATP_Open_Data_2024
2024-03-29 00:00:00,PM2.5,6.49,6.38,8.1,Météo-France
2024-04-12 00:00:00,PM2.5,72.09,6.74,6.84,Data.gouv.fr
2024-03-17 00:00:00,PM2.5,84.82,3.87,7.44,Airparif
2024-07-11 00:00:00,O3,66.78,8.73,7.95,SNCF_Open_Data
2024-07-26 00:00:00,CO,47.47,7.45,8.77,RATP_Open_Data_2024
2024-12-15 00:00:00,CO,82.07,8.62,6.94,RATP_Open_Data_2024
2024-02-27 00:00:00,SO2,4.41,6.24,8.54,Météo-France
2024-01-23 00:00:00,PM10,26.5,4.19,2.4,Data.gouv.fr
2024-07-15 00:00:00,PM10,62.07,1.95,2.75,Data.gouv.fr
2024-09-30 00:00:00,O3,66.03,4.7,4.35,Data.gouv.fr
2024-10-20 00:00:00,SO2,29.12,4.13,7.97,Airparif
2024-06-20 00:00:00,SO2,84.69,2.52,6.48,Data.gouv.fr
2024-01-12 00:00:00,SO2,10.61,7.44,2.87,Data.gouv.fr
2024-01-01 00:00:00,PM10,73.29,5.75,5.09,RATP_Open_Data_2024
2024-06-14 00:00:00,SO2,41.14,2.66,2.26,Météo-France
2024-07-02 00:00:00,NO2,68.62,7.18,3.7,RATP_Open_Data_2024
2024-09-09 00:00:00,NO2,23.19,1.46,6.97,Météo-France
2024-03-29 00:00:00,PM2.5,36.2,6.57,8.15,SNCF_Open_Data
2024-10-06 00:00:00,PM2.5,23.38,3.14,4.67,Météo-France
2024-12-22 00:00:00,SO2,18.79,6.46,3.48,Airparif
2024-10-04 00:00:00,SO2,21.93,2.94,1.76,Airparif
2024-08-15 00:00:00,PM10,58.43,1.45,2.67,Météo-France
2024-01-02 00:00:00,CO,17.09,7.56,3.57,Météo-France
2024-01-22 00:00:00,PM10,35.44,2.28,2.99,SNCF_Open_Data
2024-07-07 00:00:00,PM10,15.2,3.46,2.97,Data.gouv.fr
2024-10-20 00:00:00,NO2,4.31,8.12,4.21,RATP_Open_Data_2024
