col_ville,col_indice_congestion,col_vitesse_moyenne_kmh,col_temps_perdu_heures_an,col_niveau_trafic,col_population,col_superficie_km2,col_source,col_date_maj
Lyon,1.73,80,22.3,2.7,48.865227,8.53,SNCF_Open_Data,2024-04-07 00:00:00
Strasbourg,4.25,130,8.5,4.37,51.287427,5.68,Data.gouv.fr,2024-05-23 00:00:00
Strasbourg,2.35,70,22.9,6.46,51.889343,2.3,Data.gouv.fr,2024-07-31 00:00:00
Marseille,3.03,70,11.2,1.55,49.959317,5.3,Airparif,2024-02-14 00:00:00
Lyon,6.59,30,16.7,4.15,45.097634,4.36,Météo-France,2024-04-09 00:00:00
Lille,6.93,30,24.3,2.07,44.854392,7.82,Airparif,2024-02-19 00:00:00
Paris,6.27,130,24.7,3.51,48.255879,5.65,Data.gouv.fr,2024-04-25 00:00:00
Nantes,1.86,80,19.2,3.02,48.119648,6.53,Airparif,2024-12-10 00:00:00
Marseille,5.42,30,8.9,4.21,52.385818,7.25,RATP_Open_Data_2024,2024-01-24 00:00:00
Bordeaux,7.82,70,6.1,6.71,45.418115,7.15,Airparif,2024-11-01 00:00:00
Montpellier,3.07,50,24.8,3.38,47.579835,3.84,RATP_Open_Data_2024,2024-12-09 00:00:00
Marseille,6.56,45,10.7,7.84,51.362755,3.68,SNCF_Open_Data,2024-07-15 00:00:00
Montpellier,6.46,50,27.1,1.84,49.220185,1.36,RATP_Open_Data_2024,2024-05-19 00:00:00
Bordeaux,8.73,50,11.3,3.34,45.451014,2.61,RATP_Open_Data_2024,2024-01-10 00:00:00
Strasbourg,1.56,130,12.4,3.48,47.3649,2.5,Airparif,2024-06-13 00:00:00
Marseille,1.89,70,7.1,6.63,45.347153,8.61,RATP_Open_Data_2024,2024-04-14 00:00:00
Nice,5.56,70,19.7,8.06,45.424106,3.37,Météo-France,2024-05-12 00:00:00
Paris,1.36,70,22.0,8.76,49.984251,1.99,SNCF_Open_Data,2024-07-06 00:00:00
Marseille,2.63,110,16.2,6.61,50.830725,2.99,RATP_Open_Data_2024,2024-03-30 00:00:00
Montpellier,5.39,30,11.1,1.3,51.557534,8.08,Météo-France,2024-01-04 00:00:00
Lyon,4.42,80,8.6,2.91,47.629106,4.11,Airparif,2024-10-25 00:00:00
Strasbourg,3.58,130,24.1,4.12,47.757457,4.33,SNCF_Open_Data,2024-11-01 00:00:00
Strasbourg,4.48,130,23.4,2.77,45.001068,4.36,Airparif,2024-01-17 00:00:00
Toulouse,5.55,80,16.4,7.96,47.935837,7.0,RATP_Open_Data_2024,2024-06-22 00:00:00
Toulouse,4.68,45,17.4,4.12,47.902486,4.86,RATP_Open_Data_2024,2024-09-21 00:00:00
Nantes,7.57,130,11.5,3.41,47.882821,3.95,Météo-France,2024-11-01 00:00:00
Paris,6.59,30,13.1,2.98,50.027022,7.12,SNCF_Open_Data,2024-11-09 00:00:00
Strasbourg,5.87,45,9.3,2.04,49.177388,3.45,SNCF_Open_Data,2024-04-28 00:00:00
Nice,6.75,130,25.4,3.15,52.821388,1.51,SNCF_Open_Data,2024-02-23 00:00:00
Lille,3.01,50,10.3,2.36,52.679064,3.03,Météo-France,2024-02-11 00:00:00
Nice,3.11,130,25.5,6.54,49.568216,5.56,Data.gouv.fr,2024-10-04 00:00:00
Paris,6.04,130,27.3,4.74,50.566092,8.32,Airparif,2024-10-04 00:00:00
Bordeaux,1.5,70,24.8,5.28,52.835209,7.37,SNCF_Open_Data,2024-12-24 00:00:00
Marseille,6.99,80,9.8,7.3,46.767498,8.03,Data.gouv.fr,2024-03-22 00:00:00
Paris,1.3,110,17.9,7.94,44.906011,3.6,SNCF_Open_Data,2024-05-23 00:00:00
Nantes,5.51,130,26.5,7.1,45.822014,5.37,Data.gouv.fr,2024-07-02 00:00:00
Nantes,4.57,80,11.3,3.83,49.930027,4.96,Data.gouv.fr,2024-07-03 00:00:00
Lyon,1.61,130,6.3,4.22,46.142638,3.67,Météo-France,2024-05-10 00:00:00
Bordeaux,5.78,45,17.7,8.76,51.408387,4.36,Météo-France,2024-04-21 00:00:00
Lille,7.57,50,14.3,5.38,45.716503,3.44,Météo-France,2024-03-19 00:00:00
Strasbourg,3.51,30,23.8,4.25,51.351881,7.1,SNCF_Open_Data,2024-10-15 00:00:00
Bordeaux,2.43,45,6.7,3.44,52.79325,3.03,Airparif,2024-06-29 00:00:00
Marseille,8.72,110,13.7,7.23,45.853127,5.2,Airparif,2024-12-09 00:00:00
Lille,5.22,110,9.6,3.19,51.176046,6.67,SNCF_Open_Data,2024-10-13 00:00:00
Montpellier,2.25,50,27.1,5.99,46.696173,7.91,SNCF_Open_Data,2024-03-31 00:00:00
Strasbourg,5.21,45,10.9,2.97,51.029462,2.63,SNCF_Open_Data,2024-11-14 00:00:00
Lille,3.22,70,22.7,4.67,50.83645,8.44,RATP_Open_Data_2024,2024-03-01 00:00:00
Marseille,2.96,70,12.4,8.24,46.830587,7.38,Airparif,2024-07-21 00:00:00
Paris,5.32,110,15.0,8.53,48.060026,2.33,RATP_Open_Data_2024,2024-02-12 00:00:00
Toulouse,4.38,110,24.5,3.57,50.134595,4.69,Data.gouv.fr,2024-08-26 00:00:00
