col_type_route,col_heure,col_intensite_moyenne_veh_h,col_vitesse_moyenne_kmh,col_indice_congestion,col_source
5.77,1.26,2.55,110,6.64,Météo-France
3.58,6.08,1.86,30,6.66,RATP_Open_Data_2024
3.64,7.23,1.78,45,1.83,Météo-France
6.06,8.45,2.26,45,1.2,SNCF_Open_Data
2.57,8.75,4.04,130,7.03,Airparif
1.77,4.93,8.67,50,3.55,RATP_Open_Data_2024
2.04,3.81,6.67,50,2.25,Airparif
3.06,8.39,7.38,45,4.43,RATP_Open_Data_2024
7.63,8.73,6.27,50,7.9,SNCF_Open_Data
5.46,7.01,5.8,50,7.53,Airparif
7.81,7.43,4.07,110,7.73,RATP_Open_Data_2024
3.66,4.58,2.74,45,4.44,Météo-France
3.0,8.47,4.39,80,1.84,SNCF_Open_Data
8.69,5.12,6.8,50,8.45,SNCF_Open_Data
2.78,8.43,4.28,70,7.9,RATP_Open_Data_2024
7.43,3.33,6.45,50,2.02,Météo-France
8.63,3.46,7.18,50,1.87,Météo-France
4.11,3.86,1.68,50,5.62,Data.gouv.fr
1.56,7.21,8.38,45,1.55,Météo-France
5.0,4.14,8.06,50,3.29,SNCF_Open_Data
8.14,4.94,7.17,30,6.83,Météo-France
5.63,3.04,2.7,45,8.37,Data.gouv.fr
5.1,6.88,2.85,30,2.44,Météo-France
2.29,6.19,6.96,50,5.14,Météo-France
4.8,5.25,3.56,50,2.97,RATP_Open_Data_2024
4.85,6.88,7.05,80,6.23,Airparif
1.32,6.49,2.54,70,1.69,Météo-France
4.48,5.14,6.74,50,1.65,Météo-France
2.92,8.44,4.34,130,2.76,RATP_Open_Data_2024
2.7,2.83,5.8,130,7.48,Data.gouv.fr
3.91,7.01,4.84,50,6.45,Airparif
3.34,2.53,5.97,45,3.83,SNCF_Open_Data
7.21,6.32,1.78,50,4.54,RATP_Open_Data_2024
2.75,7.44,6.23,30,2.97,Airparif
7.18,1.67,6.81,50,2.9,Airparif
7.03,8.46,5.65,50,6.79,Airparif
4.15,5.61,3.29,30,5.48,RATP_Open_Data_2024
4.93,7.06,1.67,50,8.44,Airparif
8.8,7.78,8.4,110,2.27,Météo-France
6.25,4.65,1.56,130,8.16,Airparif
6.26,2.09,3.46,130,8.29,Météo-France
2.32,5.04,5.73,80,6.68,RATP_Open_Data_2024
5.22,2.89,7.54,50,4.85,SNCF_Open_Data
6.46,5.84,2.92,45,6.74,Airparif
8.15,4.7,1.92,110,5.61,Data.gouv.fr
