col_annee,col_mode_transport,col_facteur_emission_kg_co2_km,col_activite_km_an,col_emissions_co2_kg,col_source,col_date_collecte
1.41,Bus RATP,6.88,6.69,2.49,Airparif,2024-05-20 00:00:00
2.09,TGV,8.16,6.36,3.73,SNCF_Open_Data,2024-08-20 00:00:00
4.82,TGV,5.73,1.57,8.79,RATP_Open_Data_2024,2024-02-19 00:00:00
3.52,Bus RATP,5.32,7.1,8.29,SNCF_Open_Data,2024-05-27 00:00:00
6.75,Bus RATP,3.19,5.8,6.19,RATP_Open_Data_2024,2024-05-10 00:00:00
2.25,Bus RATP,2.54,5.78,7.89,RATP_Open_Data_2024,2024-11-13 00:00:00
8.23,TGV,2.47,6.43,2.05,Airparif,2024-11-28 00:00:00
5.53,Tramway,3.07,4.11,1.83,Airparif,2024-09-03 00:00:00
5.44,RER,5.12,8.59,8.73,RATP_Open_Data_2024,2024-02-21 00:00:00
7.68,Transilien,2.55,7.66,3.5,Météo-France,2024-04-25 00:00:00
7.83,Tramway,1.56,3.38,4.62,RATP_Open_Data_2024,2024-09-14 00:00:00
8.75,TGV,2.64,4.38,7.76,Météo-France,2024-12-05 00:00:00
2.42,Transilien,5.7,8.48,3.26,SNCF_Open_Data,2024-09-23 00:00:00
6.86,TGV,5.84,1.84,1.48,SNCF_Open_Data,2024-09-02 00:00:00
4.87,TER,3.76,7.35,7.46,SNCF_Open_Data,2024-04-18 00:00:00
3.2,Transilien,7.48,6.15,3.43,Data.gouv.fr,2024-04-08 00:00:00
5.97,Métro,2.32,5.11,8.23,Météo-France,2024-08-24 00:00:00
2.01,Bus RATP,4.78,7.91,4.5,Data.gouv.fr,2024-09-19 00:00:00
5.91,RER,5.2,6.33,7.84,RATP_Open_Data_2024,2024-01-30 00:00:00
3.22,Transilien,1.51,4.7,7.37,Data.gouv.fr,2024-04-17 00:00:00
1.46,Métro,5.88,5.29,8.52,Météo-France,2024-04-05 00:00:00
1.41,Tramway,8.26,3.02,4.78,Airparif,2024-05-06 00:00:00
2.8,TGV,2.39,2.28,2.55,SNCF_Open_Data,2024-01-04 00:00:00
8.48,TER,7.37,7.55,3.17,Airparif,2024-09-30 00:00:00
3.12,Transilien,7.64,2.03,4.09,Météo-France,2024-03-09 00:00:00
4.17,Tramway,1.52,2.99,1.85,Météo-France,2024-12-07 00:00:00
6.84,RER,2.45,2.85,1.93,SNCF_Open_Data,2024-11-08 00:00:00
1.76,Bus RATP,1.83,7.46,8.64,Météo-France,2024-11-07 00:00:00
1.98,Bus RATP,2.91,6.02,7.8,RATP_Open_Data_2024,2024-06-24 00:00:00
7.9,TER,5.89,2.5,2.87,SNCF_Open_Data,2024-01-14 00:00:00
7.86,TGV,5.14,1.95,4.24,Data.gouv.fr,2024-05-31 00:00:00
8.23,TER,8.44,7.58,6.7,SNCF_Open_Data,2024-09-22 00:00:00
5.24,RER,4.73,7.15,3.65,Airparif,2024-10-28 00:00:00
2.64,TGV,3.68,3.99,4.34,SNCF_Open_Data,2024-09-17 00:00:00
4.73,Transilien,5.86,8.19,6.0,Data.gouv.fr,2024-12-12 00:00:00
8.31,Transilien,6.5,3.58,3.95,Météo-France,2024-08-16 00:00:00
7.16,Tramway,6.14,6.68,6.53,SNCF_Open_Data,2024-04-04 00:00:00
6.26,TGV,5.34,5.71,3.74,RATP_Open_Data_2024,2024-06-19 00:00:00
2.63,Bus RATP,5.24,2.35,3.7,Météo-France,2024-08-20 00:00:00
4.08,Bus RATP,3.03,3.02,2.83,Météo-France,2024-04-15 00:00:00
3.7,Tramway,5.03,8.75,2.57,Airparif,2024-12-16 00:00:00
4.4,Métro,4.17,5.23,7.32,Airparif,2024-12-26 00:00:00
8.56,Tramway,4.99,1.46,3.81,Airparif,2024-01-11 00:00:00
6.55,RER,7.39,1.96,8.01,Data.gouv.fr,2024-02-17 00:00:00
6.4,Bus RATP,5.24,1.93,7.18,Météo-France,2024-10-20 00:00:00
3.06,Métro,3.57,5.65,8.21,Météo-France,2024-07-29 00:00:00
3.25,Bus RATP,3.36,5.66,3.82,Data.gouv.fr,2024-03-03 00:00:00
5.9,Tramway,8.13,3.32,3.65,Data.gouv.fr,2024-01-29 00:00:00
2.26,TGV,1.86,2.32,2.95,Airparif,2024-05-21 00:00:00
6.26,Bus RATP,1.69,6.26,3.81,RATP_Open_Data_2024,2024-11-01 00:00:00
