col_mode_transport,col_part_sectorielle_pourcent,col_emissions_mt_co2eq,col_facteur_emission_moyen,col_tendance,col_source,col_date_maj
Bus RATP,3.67,3.69,4.2,3.66,RATP_Open_Data_2024,2024-02-04 00:00:00
TER,2.61,2.09,3.21,7.13,Météo-France,2024-12-10 00:00:00
Tramway,4.97,3.76,5.8,3.72,Airparif,2024-10-08 00:00:00
Métro,1.48,4.68,5.89,7.57,Météo-France,2024-01-27 00:00:00
RER,4.24,2.7,4.91,3.06,SNCF_Open_Data,2024-03-19 00:00:00
Bus RATP,8.54,1.5,3.76,1.8,RATP_Open_Data_2024,2024-06-26 00:00:00
RER,2.72,5.53,5.8,6.41,SNCF_Open_Data,2024-03-28 00:00:00
Transilien,5.0,4.52,2.75,6.47,Météo-France,2024-08-04 00:00:00
Bus RATP,6.81,8.13,5.65,7.62,RATP_Open_Data_2024,2024-12-09 00:00:00
Tramway,2.59,3.26,2.93,2.39,SNCF_Open_Data,2024-10-17 00:00:00
Transilien,3.3,1.67,2.46,2.99,RATP_Open_Data_2024,2024-03-17 00:00:00
RER,4.81,7.29,4.34,5.14,Airparif,2024-05-29 00:00:00
RER,1.97,4.85,7.94,6.53,Data.gouv.fr,2024-12-12 00:00:00
Métro,2.19,6.35,2.59,5.23,RATP_Open_Data_2024,2024-12-22 00:00:00
Tramway,2.26,3.16,6.5,1.28,Météo-France,2024-04-04 00:00:00
Transilien,8.65,4.31,3.89,7.79,RATP_Open_Data_2024,2024-02-18 00:00:00
Bus RATP,1.34,5.21,4.87,6.54,RATP_Open_Data_2024,2024-05-05 00:00:00
RER,5.49,4.6,1.67,7.9,SNCF_Open_Data,2024-02-20 00:00:00
Bus RATP,5.66,7.5,2.61,8.22,RATP_Open_Data_2024,2024-03-02 00:00:00
Tramway,5.96,3.11,6.52,7.3,Data.gouv.fr,2024-11-25 00:00:00
Transilien,5.58,7.89,4.88,1.99,Airparif,2024-06-27 00:00:00
TGV,5.37,2.04,7.59,1.75,RATP_Open_Data_2024,2024-12-13 00:00:00
Transilien,2.7,4.04,4.25,3.27,RATP_Open_Data_2024,2024-10-07 00:00:00
TGV,2.51,7.18,5.37,1.57,Airparif,2024-11-07 00:00:00
RER,4.83,2.96,6.78,2.73,Airparif,2024-04-30 00:00:00
Tramway,6.94,3.85,4.71,5.83,Data.gouv.fr,2024-06-07 00:00:00
Transilien,6.16,8.09,3.55,1.23,RATP_Open_Data_2024,2024-05-12 00:00:00
Transilien,1.97,5.39,7.0,3.81,Airparif,2024-11-04 00:00:00
Tramway,7.52,6.03,8.28,3.76,RATP_Open_Data_2024,2024-01-07 00:00:00
Tramway,6.13,5.34,6.65,1.87,SNCF_Open_Data,2024-04-03 00:00:00
TER,4.2,6.63,2.7,4.37,Airparif,2024-07-14 00:00:00
Tramway,3.53,7.37,1.21,8.12,Météo-France,2024-07-21 00:00:00
TGV,4.84,5.33,8.27,7.43,SNCF_Open_Data,2024-04-11 00:00:00
Transilien,7.7,5.25,4.37,3.04,RATP_Open_Data_2024,2024-03-26 00:00:00
TGV,4.91,7.74,7.62,8.42,SNCF_Open_Data,2024-08-10 00:00:00
Tramway,7.83,6.38,6.38,4.63,Airparif,2024-04-07 00:00:00
Tramway,6.05,6.33,3.03,2.53,SNCF_Open_Data,2024-09-22 00:00:00
TER,1.57,3.89,5.34,3.73,Météo-France,2024-09-22 00:00:00
Bus RATP,5.48,7.34,7.97,1.68,Météo-France,2024-12-03 00:00:00
TER,1.58,3.59,3.1,5.61,Météo-France,2024-10-04 00:00:00
Métro,6.42,2.38,3.78,4.96,Airparif,2024-01-15 00:00:00
Bus RATP,2.73,5.89,2.62,3.44,SNCF_Open_Data,2024-02-01 00:00:00
TER,3.5,3.27,2.95,2.51,Airparif,2024-11-10 00:00:00
Tramway,6.71,5.2,4.43,2.14,RATP_Open_Data_2024,2024-05-07 00:00:00
Bus RATP,4.83,6.74,8.4,4.23,Airparif,2024-05-03 00:00:00
TER,3.13,4.95,5.47,6.9,RATP_Open_Data_2024,2024-03-08 00:00:00
RER,5.63,2.97,4.04,1.4,SNCF_Open_Data,2024-11-29 00:00:00
RER,6.76,3.18,5.13,6.83,RATP_Open_Data_2024,2024-10-25 00:00:00
Tramway,6.73,7.46,1.44,3.17,RATP_Open_Data_2024,2024-12-01 00:00:00
RER,1.89,7.14,4.13,5.14,RATP_Open_Data_2024,2024-01-20 00:00:00
