col_annee,col_secteur,col_emissions_mt_co2eq,col_evolution_annuelle_pourcent,col_part_nationale_pourcent,col_source,col_date_collecte
4.96,3.68,2.93,5.16,7.7,Météo-France,2024-12-21 00:00:00
2.0,3.33,4.58,7.66,3.55,Airparif,2024-10-28 00:00:00
3.81,6.65,3.07,1.25,2.85,SNCF_Open_Data,2024-06-24 00:00:00
5.39,6.64,4.56,3.04,8.55,RATP_Open_Data_2024,2024-05-14 00:00:00
6.82,1.76,5.23,5.75,4.27,Météo-France,2024-09-29 00:00:00
5.52,6.12,7.7,4.78,3.57,Météo-France,2024-07-03 00:00:00
6.6,3.83,7.11,2.76,6.51,Data.gouv.fr,2024-08-04 00:00:00
1.86,5.23,6.09,2.26,5.24,Météo-France,2024-09-29 00:00:00
3.21,2.21,2.9,3.5,5.11,Météo-France,2024-03-30 00:00:00
6.09,7.18,6.37,8.01,2.45,SNCF_Open_Data,2024-10-16 00:00:00
1.69,2.63,6.1,5.15,6.95,SNCF_Open_Data,2024-11-15 00:00:00
4.34,5.51,6.82,1.65,6.48,Météo-France,2024-04-05 00:00:00
6.57,2.95,6.19,1.62,8.71,Airparif,2024-01-05 00:00:00
4.54,6.37,8.72,5.23,6.73,SNCF_Open_Data,2024-05-08 00:00:00
1.91,5.46,7.6,5.23,4.91,Météo-France,2024-07-21 00:00:00
3.9,8.45,6.53,4.46,3.15,Météo-France,2024-09-09 00:00:00
4.23,1.93,5.84,4.79,2.45,RATP_Open_Data_2024,2024-01-16 00:00:00
1.6,3.89,7.99,4.88,3.56,SNCF_Open_Data,2024-09-15 00:00:00
5.31,6.08,2.53,3.44,7.4,Météo-France,2024-05-14 00:00:00
5.3,5.89,7.23,1.96,1.93,Météo-France,2024-02-20 00:00:00
2.32,5.03,5.07,2.25,1.54,Data.gouv.fr,2024-11-28 00:00:00
7.37,7.35,5.53,3.11,3.52,Data.gouv.fr,2024-12-17 00:00:00
7.33,5.78,8.1,8.4,8.75,RATP_Open_Data_2024,2024-06-03 00:00:00
2.83,2.81,5.41,8.7,3.19,Data.gouv.fr,2024-09-30 00:00:00
6.85,1.74,2.47,6.04,3.1,Airparif,2024-12-21 00:00:00
3.64,5.66,8.43,4.19,4.11,RATP_Open_Data_2024,2024-08-11 00:00:00
7.05,1.28,7.52,8.09,3.82,Météo-France,2024-01-24 00:00:00
5.47,8.52,6.39,8.0,5.38,RATP_Open_Data_2024,2024-09-25 00:00:00
8.23,1.42,4.81,4.49,4.18,Airparif,2024-01-25 00:00:00
4.15,5.81,2.97,4.58,7.94,Météo-France,2024-05-15 00:00:00
6.13,6.61,5.44,6.35,8.39,SNCF_Open_Data,2024-11-21 00:00:00
4.5,1.2,3.13,5.62,3.11,RATP_Open_Data_2024,2024-02-29 00:00:00
8.16,6.03,8.18,4.08,2.3,RATP_Open_Data_2024,2024-07-27 00:00:00
6.42,6.75,5.37,3.37,2.75,SNCF_Open_Data,2024-10-09 00:00:00
5.93,4.04,8.03,8.74,2.17,SNCF_Open_Data,2024-06-03 00:00:00
3.14,5.14,7.51,7.63,3.85,SNCF_Open_Data,2024-07-18 00:00:00
4.79,6.62,8.68,7.53,1.65,Airparif,2024-09-26 00:00:00
6.57,5.09,1.2,2.6,3.29,SNCF_Open_Data,2024-06-26 00:00:00
4.08,5.35,1.67,7.2,4.4,RATP_Open_Data_2024,2024-07-11 00:00:00
6.57,7.41,1.89,6.4,8.08,Data.gouv.fr,2024-08-28 00:00:00
7.64,8.33,2.94,7.37,7.35,SNCF_Open_Data,2024-06-11 00:00:00
6.36,6.43,4.8,2.45,1.58,SNCF_Open_Data,2024-08-26 00:00:00
2.08,1.34,3.15,7.85,5.91,Météo-France,2024-05-08 00:00:00
3.14,6.7,5.6,4.94,2.56,Météo-France,2024-08-17 00:00:00
4.35,5.51,8.25,2.18,5.35,Airparif,2024-03-19 00:00:00
4.47,3.81,4.78,2.78,6.5,Airparif,2024-09-02 00:00:00
6.18,5.93,5.86,7.83,6.49,Airparif,2024-10-05 00:00:00
1.35,8.19,2.92,7.83,7.97,RATP_Open_Data_2024,2024-01-21 00:00:00
7.76,2.13,2.0,5.94,3.64,Météo-France,2024-03-24 00:00:00
5.68,2.49,2.97,1.5,4.19,Météo-France,2024-09-28 00:00:00
