col_station,col_lignes,col_trafic_journalier,col_trafic_annuel,col_nombre_correspondances,col_zone_tarifaire,col_ville,col_source,col_date_maj
Gare de Lyon 5,8.75,3.9,8.43,8.5,3.49,Paris,Airparif,2024-07-18 00:00:00
Saint-Charles 2,6.36,2.4,3.53,6.23,3.18,Montpellier,SNCF_Open_Data,2024-05-20 00:00:00
Saint-Jean 9,5.01,5.05,5.8,4.45,1.22,Montpellier,Airparif,2024-07-20 00:00:00
Gare de l'Est 2,8.53,6.27,5.97,8.76,1.57,Nice,Météo-France,2024-04-12 00:00:00
Matabiau 8,6.49,3.43,7.28,5.61,2.3,Marseille,SNCF_Open_Data,2024-05-03 00:00:00
Gare de Lyon 6,2.49,2.11,4.27,6.38,5.04,Lyon,RATP_Open_Data_2024,2024-12-17 00:00:00
Montparnasse 4,5.81,6.45,5.5,7.15,2.2,Toulouse,Data.gouv.fr,2024-07-28 00:00:00
Gare de l'Est 4,8.47,1.74,7.91,2.29,4.18,Bordeaux,SNCF_Open_Data,2024-06-04 00:00:00
Gare du Nord 9,6.61,7.38,6.01,2.06,6.25,Strasbourg,SNCF_Open_Data,2024-04-22 00:00:00
Gare de l'Est 7,7.49,7.78,4.9,2.92,5.92,Toulouse,Météo-France,2024-03-09 00:00:00
Gare de l'Est 2,4.01,7.18,5.08,6.91,7.86,Toulouse,SNCF_Open_Data,2024-01-19 00:00:00
Haussmann Saint-Lazare 3,5.74,7.64,4.84,6.09,4.05,Lyon,Météo-France,2024-03-18 00:00:00
Saint-Charles 7,2.61,1.5,1.23,4.12,3.23,Lyon,Airparif,2024-02-13 00:00:00
Saint-Charles 9,6.49,6.89,6.1,5.74,7.13,Nice,SNCF_Open_Data,2024-10-17 00:00:00
Part-Dieu 4,4.15,8.33,2.51,1.31,1.21,Montpellier,RATP_Open_Data_2024,2024-05-24 00:00:00
Gare de l'Est 8,5.38,7.59,3.73,1.28,4.13,Paris,Météo-France,2024-09-28 00:00:00
Saint-Jean 2,2.64,2.56,3.48,5.77,4.4,Marseille,Data.gouv.fr,2024-11-30 00:00:00
Saint-Charles 9,8.65,1.92,7.37,4.49,3.68,Bordeaux,RATP_Open_Data_2024,2024-07-01 00:00:00
Gare de Lyon 8,4.4,7.03,1.72,8.62,7.36,Strasbourg,Météo-France,2024-04-03 00:00:00
Gare de Lyon 9,4.88,6.25,5.58,7.41,8.32,Lille,RATP_Open_Data_2024,2024-02-24 00:00:00
Gare du Nord 4,4.26,2.11,5.0,8.42,4.79,Bordeaux,Airparif,2024-11-16 00:00:00
Part-Dieu 7,7.42,8.73,6.72,2.34,8.45,Nice,Airparif,2024-12-11 00:00:00
Saint-Jean 1,7.7,6.02,4.13,4.39,6.7,Paris,RATP_Open_Data_2024,2024-10-17 00:00:00
Montparnasse 4,7.27,4.49,4.72,1.67,5.23,Paris,Airparif,2024-05-04 00:00:00
Gare du Nord 5,5.55,5.66,4.46,7.67,3.48,Nice,Météo-France,2024-12-26 00:00:00
Montparnasse 4,5.36,5.39,7.47,7.73,2.72,Montpellier,Data.gouv.fr,2024-06-15 00:00:00
Montparnasse 3,8.53,3.54,6.79,7.83,1.48,Paris,Airparif,2024-10-17 00:00:00
Matabiau 4,4.16,1.31,6.54,8.44,2.88,Nantes,RATP_Open_Data_2024,2024-09-25 00:00:00
Saint-Charles 2,3.37,3.25,4.69,6.69,6.47,Marseille,Data.gouv.fr,2024-04-29 00:00:00
Haussmann Saint-Lazare 7,7.05,2.68,7.4,5.58,6.14,Nice,Airparif,2024-07-15 00:00:00
Saint-Jean 5,6.08,7.95,3.88,6.08,4.61,Strasbourg,Météo-France,2024-05-19 00:00:00
Part-Dieu 3,8.56,5.39,4.18,3.08,7.67,Lyon,Météo-France,2024-01-10 00:00:00
Gare du Nord 3,2.73,3.8,1.34,2.63,3.34,Marseille,Météo-France,2024-04-25 00:00:00
Haussmann Saint-Lazare 2,7.36,7.98,3.84,2.0,2.13,Bordeaux,Data.gouv.fr,2024-02-15 00:00:00
Part-Dieu 3,6.45,3.15,4.27,4.43,3.23,Marseille,Data.gouv.fr,2024-09-21 00:00:00
Montparnasse 7,2.25,3.44,7.05,6.74,3.43,Paris,SNCF_Open_Data,2024-12-10 00:00:00
Saint-Jean 6,7.68,4.93,1.8,4.07,2.3,Lille,Météo-France,2024-02-10 00:00:00
Part-Dieu 4,6.48,3.26,6.12,4.89,5.02,Toulouse,Airparif,2024-07-20 00:00:00
