col_annee,col_type_energie,col_consommation,col_unite,col_evolution_pourcent,col_source,col_date_collecte
7.7,5.63,7.63,µg/m³,8.13,RATP_Open_Data_2024,2024-07-29 00:00:00
1.85,6.14,5.29,µg/m³,1.54,RATP_Open_Data_2024,2024-07-22 00:00:00
7.7,5.86,1.74,µg/m³,4.58,Météo-France,2024-08-11 00:00:00
1.43,6.89,1.22,µg/m³,6.33,Airparif,2024-03-19 00:00:00
2.58,5.69,4.81,µg/m³,8.14,Météo-France,2024-08-07 00:00:00
3.73,8.16,4.55,µg/m³,2.41,RATP_Open_Data_2024,2024-12-02 00:00:00
5.96,8.28,5.46,µg/m³,5.27,SNCF_Open_Data,2024-02-24 00:00:00
5.87,5.59,4.77,µg/m³,4.74,Météo-France,2024-05-15 00:00:00
2.56,3.43,1.73,µg/m³,7.4,Data.gouv.fr,2024-07-28 00:00:00
2.16,7.82,4.07,µg/m³,4.48,Airparif,2024-10-26 00:00:00
6.66,8.45,4.05,µg/m³,3.18,RATP_Open_Data_2024,2024-09-27 00:00:00
8.46,4.65,2.85,µg/m³,5.32,SNCF_Open_Data,2024-05-06 00:00:00
8.21,5.03,3.2,µg/m³,8.38,SNCF_Open_Data,2024-10-20 00:00:00
6.53,4.04,2.07,µg/m³,4.1,Météo-France,2024-03-20 00:00:00
2.39,2.95,7.0,µg/m³,5.72,Data.gouv.fr,2024-04-25 00:00:00
7.53,3.2,2.38,µg/m³,5.05,Data.gouv.fr,2024-10-07 00:00:00
8.33,4.43,3.92,µg/m³,8.65,Data.gouv.fr,2024-06-11 00:00:00
8.59,3.5,3.78,µg/m³,4.61,RATP_Open_Data_2024,2024-10-01 00:00:00
3.21,7.85,2.25,µg/m³,3.62,Data.gouv.fr,2024-05-12 00:00:00
2.88,8.45,4.88,µg/m³,3.28,Airparif,2024-04-20 00:00:00
5.49,2.9,7.92,µg/m³,2.62,Météo-France,2024-07-16 00:00:00
8.42,3.15,7.49,µg/m³,6.46,RATP_Open_Data_2024,2024-11-06 00:00:00
2.39,4.71,7.54,µg/m³,6.69,SNCF_Open_Data,2024-02-09 00:00:00
7.08,5.39,6.66,µg/m³,6.83,RATP_Open_Data_2024,2024-04-27 00:00:00
7.84,5.46,8.36,µg/m³,3.23,Data.gouv.fr,2024-04-16 00:00:00
4.82,7.68,2.34,µg/m³,7.74,RATP_Open_Data_2024,2024-04-29 00:00:00
1.41,5.75,6.46,µg/m³,6.98,Data.gouv.fr,2024-09-13 00:00:00
3.13,6.36,5.8,µg/m³,6.55,Data.gouv.fr,2024-03-09 00:00:00
1.7,2.03,5.31,µg/m³,4.71,RATP_Open_Data_2024,2024-11-05 00:00:00
7.54,8.59,6.28,µg/m³,4.99,RATP_Open_Data_2024,2024-08-08 00:00:00
3.88,6.85,2.66,µg/m³,3.41,RATP_Open_Data_2024,2024-11-01 00:00:00
7.3,4.83,1.35,µg/m³,5.44,Data.gouv.fr,2024-07-25 00:00:00
6.65,3.5,1.76,µg/m³,5.06,RATP_Open_Data_2024,2024-09-28 00:00:00
3.45,7.25,7.82,µg/m³,7.6,Data.gouv.fr,2024-10-23 00:00:00
4.06,6.68,2.51,µg/m³,8.58,SNCF_Open_Data,2024-12-10 00:00:00
4.44,5.18,1.6,µg/m³,3.78,SNCF_Open_Data,2024-01-16 00:00:00
6.39,3.1,4.39,µg/m³,3.38,Data.gouv.fr,2024-04-07 00:00:00
6.74,5.44,4.15,µg/m³,3.58,RATP_Open_Data_2024,2024-10-28 00:00:00
5.07,8.63,6.17,µg/m³,2.27,Météo-France,2024-04-18 00:00:00
2.62,5.33,2.32,µg/m³,6.52,SNCF_Open_Data,2024-09-05 00:00:00
6.4,7.14,8.5,µg/m³,7.15,Data.gouv.fr,2024-03-09 00:00:00
8.37,3.91,6.76,µg/m³,4.47,Météo-France,2024-04-05 00:00:00
8.67,8.52,1.41,µg/m³,2.83,Airparif,2024-12-19 00:00:00
3.59,5.93,5.77,µg/m³,6.87,Météo-France,2024-04-05 00:00:00
6.75,4.22,3.3,µg/m³,2.39,RATP_Open_Data_2024,2024-08-17 00:00:00
6.56,2.68,6.43,µg/m³,4.54,Data.gouv.fr,2024-10-08 00:00:00
1.52,7.87,3.87,µg/m³,3.37,Data.gouv.fr,2024-11-19 00:00:00
3.41,6.09,6.49,µg/m³,2.51,Météo-France,2024-11-03 00:00:00
4.09,2.37,1.98,µg/m³,3.0,Airparif,2024-04-05 00:00:00
6.71,3.25,3.46,µg/m³,2.62,Data.gouv.fr,2024-07-23 00:00:00
